freq_radius,radial_mean_power,cumulative_energy_fraction
0,3030069614,0.7411639196
1,60453709.02,0.8594611567
2,11282560.71,0.903617116
3,4801273.893,0.9271052297
4,1806071.306,0.9377077179
5,1108645.015,0.9485548309
6,844747.8035,0.9559934314
7,527594.1788,0.9621878834
8,320865.4599,0.9665830229
9,186564.783,0.9691385433
10,172747.7942,0.9720118573
11,178518.0429,0.9748064837
12,148355.2494,0.977709534
13,96700.87564,0.9798856393
14,104921.2185,0.9821440746
15,93149.72703,0.9843314055
16,52011.02537,0.9855527222
17,37413.01963,0.986614277
18,41639.4724,0.9878364935
19,42149.83202,0.9890736902
20,37140.49187,0.9902001897
21,28710.88403,0.991211468
22,19141.53337,0.9918482303
23,22005.02304,0.9926017793
24,17022.80564,0.9932346812
25,14167.54229,0.9938168722
26,10041.19521,0.9942491468
27,13931.2917,0.9948079989
28,10149.13997,0.9952250605
29,8064.485928,0.9956037991
30,6901.756515,0.9959211788
31,7513.005357,0.9963034211
32,5316.063616,0.996563486
33,5879.884763,0.9968626393
34,4982.796319,0.9971405272
35,4473.484228,0.9973681265
36,3626.403766,0.9975739172
37,3843.145458,0.9977882474
38,3048.368906,0.9979791313
39,2829.130946,0.9981507507
40,2357.532514,0.9982868423
41,2053.885125,0.9984234914
42,2002.686631,0.9985528152
43,1602.812278,0.9986657263
44,1546.926783,0.99877016
45,1415.769852,0.998864354
46,1132.706621,0.9989463648
47,969.8137222,0.9990156328
48,913.0699093,0.9990853147
49,905.7548097,0.999152666
50,738.6673335,0.9992133746
51,559.1530971,0.9992576882
52,547.9067795,0.9992995023
53,474.2722994,0.9993394092
54,440.6545804,0.9993743317
55,390.9976115,0.999410292
56,345.9684166,0.999439403
57,293.6208425,0.9994652584
58,299.1177854,0.9994918905
59,256.0480496,0.9995149383
60,224.1896889,0.9995364346
61,192.9304772,0.9995547449
62,164.7801536,0.9995705447
63,163.8855869,0.9995865795
64,137.8438692,0.9995996617
65,123.5987032,0.9996127221
66,136.1462929,0.9996260429
67,113.8330277,0.9996378487
68,99.56711205,0.9996488569
69,91.24826274,0.9996581418
70,88.65932433,0.9996678573
71,83.79013228,0.9996766293
72,72.6935018,0.9996851642
73,64.49190804,0.9996924837
74,58.51600459,0.9996991251
75,58.92237795,0.9997059855
76,52.47320624,0.9997121463
77,49.95861025,0.9997182074
78,47.12359243,0.9997236941
79,46.55986733,0.9997293429
80,37.94232125,0.9997341689
81,42.46438596,0.9997393623
82,36.98971703,0.999744212
83,38.2065211,0.999748922
84,33.03589389,0.9997532533
85,33.43816188,0.9997577354
86,32.17043232,0.9997620161
87,31.54403839,0.9997662753
88,31.80619691,0.9997703519
89,26.26927399,0.9997742072
90,29.01099704,0.9997781243
91,28.60945802,0.9997821552
92,27.26631304,0.9997860234
93,25.68405496,0.9997896923
94,24.9733054,0.9997934063
95,25.6876097,0.9997970506
96,23.68897857,0.9998005273
97,22.34973542,0.9998039823
98,24.58195392,0.9998076381
99,22.19084035,0.9998111337
100,22.92320018,0.9998145428
101,20.61225718,0.9998178905
102,20.41217478,0.999821106
103,20.79689348,0.9998242802
104,19.33584742,0.9998274585
105,20.13501254,0.9998306303
106,18.32435552,0.9998337499
107,18.39484492,0.9998367735
108,18.30720498,0.9998397469
109,18.00789169,0.9998427598
110,17.68877605,0.9998457366
111,16.02356301,0.9998485585
112,17.09461885,0.9998514855
113,16.57088506,0.9998543714
114,15.88342822,0.999857262
115,16.86477451,0.9998602321
116,15.66831106,0.9998629762
117,15.77062619,0.9998658153
118,14.49842439,0.9998684822
119,14.46906998,0.9998711578
120,13.91578799,0.9998737175
121,14.02518581,0.9998762424
122,13.59763187,0.9998788101
123,13.55300564,0.9998815418
124,13.87677342,0.9998840943
125,13.6184012,0.9998867858
126,14.13550029,0.9998893997
127,12.39727411,0.9998918742
128,12.52083974,0.9998943978
129,12.70540314,0.9998968467
130,12.26148417,0.9998993661
131,12.3663372,0.9999018101
132,11.22782878,0.999904183
133,11.31315136,0.9999065185
134,12.07533146,0.9999088815
135,11.45362944,0.9999113469
136,11.25524403,0.9999136925
137,10.78649563,0.9999159932
138,10.87078711,0.9999182906
139,11.22603605,0.9999206301
140,10.03601117,0.9999228689
141,10.4871108,0.9999251057
142,10.49351629,0.9999274055
143,10.66865676,0.9999297542
144,10.10623472,0.9999320086
145,10.10430854,0.999934322
146,9.937709672,0.9999365292
147,9.941537101,0.9999387469
148,9.65545703,0.9999409953
149,9.520879446,0.9999431937
150,9.638868007,0.9999454288
151,9.81279331,0.999947637
152,9.188831723,0.9999498307
153,9.270834791,0.9999519804
154,9.014098861,0.9999541853
155,9.191979527,0.9999563438
156,9.199137883,0.9999585399
157,8.639687917,0.9999606955
158,8.981190271,0.9999628044
159,8.856244911,0.9999649707
160,5.897500193,0.9999663685
161,2.442920837,0.9999669481
162,2.392275617,0.9999674783
163,2.521171388,0.9999680099
164,2.230977977,0.9999684923
165,2.252230299,0.9999689671
166,2.145782202,0.9999694374
167,2.224018735,0.9999698889
168,2.394280344,0.9999703621
169,2.245590802,0.9999708411
170,2.301669633,0.9999713095
171,2.316838882,0.9999717788
172,2.326020588,0.9999722328
173,2.20110929,0.9999726807
174,2.259041434,0.9999731349
175,2.430595439,0.9999736011
176,2.349885833,0.9999740666
177,2.291705085,0.9999745005
178,2.310505097,0.9999749639
179,2.165659971,0.9999753824
180,2.258259847,0.9999758055
181,2.250053861,0.9999762447
182,2.360802842,0.9999766963
183,2.211274648,0.9999771279
184,2.280961848,0.9999775419
185,2.256869851,0.9999779692
186,2.113106594,0.9999783796
187,2.381382979,0.9999788165
188,2.019198052,0.9999792007
189,2.258526076,0.9999796128
190,2.235333876,0.9999800251
191,2.240999939,0.9999804494
192,2.221208051,0.9999808449
193,2.106944131,0.9999812479
194,2.298866037,0.9999816584
195,2.162454257,0.9999820636
196,2.339986805,0.9999824963
197,2.231154898,0.9999828947
198,2.284622457,0.9999833205
199,2.273918999,0.999983721
200,2.040475423,0.9999841053
201,2.250656742,0.9999845028
