freq_radius,radial_mean_power,cumulative_energy_fraction
0,4751127291,0.9356277478
1,18796773.46,0.9652405647
2,795605.7873,0.9677473915
3,537910.6769,0.9698659799
4,525083.1774,0.9723476599
5,133824.8942,0.9734018121
6,196920.7225,0.9747978601
7,106795.439,0.9758073463
8,100987.6887,0.9769210326
9,95693.79024,0.9779763381
10,94488.59908,0.9792416417
11,78892.8526,0.9802359569
12,66340.60956,0.9812811003
13,55428.47039,0.9822853163
14,41512.64872,0.9830047148
15,36708.34019,0.9836986876
16,42209.49467,0.9844966598
17,33951.1179,0.9852722254
18,26668.22627,0.9859024303
19,22396.36809,0.9864316857
20,21039.73662,0.9869454553
21,20145.59107,0.9875167352
22,13242.44265,0.9878713962
23,16707.29199,0.9883320138
24,21750.75232,0.9889830787
25,16465.36354,0.9895278159
26,15133.93372,0.9900523466
27,16431.26217,0.9905830125
28,13123.50102,0.9910171881
29,15741.52372,0.9916123765
30,9917.191749,0.9919795345
31,9610.114116,0.9923731736
32,8904.846438,0.9927238955
33,8687.150439,0.9930797292
34,7036.250933,0.9933956532
35,7398.200097,0.9936986904
36,6416.016873,0.9939918201
37,5394.026683,0.9942340091
38,4288.240859,0.9944501941
39,5669.860272,0.9947270989
40,5507.496929,0.9949830592
41,4382.100787,0.9952177833
42,4589.853548,0.9954564046
43,4451.464903,0.99570887
44,3858.506195,0.9959185875
45,4618.919625,0.9961659967
46,4726.476202,0.9964415056
47,4015.317095,0.9966723977
48,4543.9548,0.9969515846
49,4244.52945,0.9972056874
50,4135.090585,0.9974792967
51,3697.392344,0.997715207
52,3131.641441,0.9979076194
53,3182.616215,0.9981232196
54,2211.92562,0.9982643504
55,2157.670353,0.9984241146
56,1750.022118,0.9985426665
57,1755.654646,0.9986671317
58,1821.701469,0.9987977142
59,1358.041052,0.9988961305
60,1577.926478,0.9990179395
61,1140.807351,0.9991051062
62,1275.841789,0.9992035955
63,1068.09399,0.9992877304
64,919.2005775,0.9993579645
65,954.9471185,0.9994392045
66,665.000547,0.9994915872
67,491.5237519,0.9995326281
68,335.2417484,0.9995624684
69,276.2977875,0.9995851032
70,252.6911021,0.9996073965
71,245.9859867,0.9996281295
72,236.6416752,0.9996504981
73,202.7250679,0.9996690219
74,173.3549605,0.9996848621
75,160.6196797,0.9996999182
76,123.7912611,0.9997116196
77,137.1313057,0.9997250141
78,130.3155748,0.9997372295
79,124.667133,0.9997494065
80,114.337479,0.9997611149
81,106.112538,0.9997715632
82,84.9406414,0.9997805289
83,74.72479576,0.9997879455
84,61.36816421,0.9997944231
85,58.5943201,0.9998007464
86,55.68269382,0.9998067116
87,55.58701977,0.9998127541
88,49.28328591,0.9998178396
89,55.48134509,0.9998243951
90,49.41710117,0.999829767
91,52.14306763,0.9998356816
92,48.6114478,0.9998412339
93,47.29589055,0.9998466732
94,47.5788581,0.9998523699
95,43.91712412,0.999857386
96,35.74052571,0.999861609
97,31.23543084,0.9998654965
98,28.79616326,0.9998689443
99,26.97502628,0.9998723653
100,27.54352259,0.9998756631
101,26.38159386,0.9998791128
102,26.13090682,0.9998824268
103,24.85259909,0.9998854807
104,26.8695402,0.9998890365
105,23.58478833,0.9998920276
106,28.03129644,0.9998958696
107,24.89667296,0.9998991643
108,28.78015751,0.9999029276
109,29.12546083,0.9999068507
110,27.82724988,0.9999106209
111,28.4627306,0.9999146566
112,21.30748226,0.9999175938
113,18.04527011,0.999920124
114,14.67372465,0.9999222739
115,13.68868733,0.9999242148
116,14.60735491,0.9999262744
117,14.3336012,0.9999283519
118,16.20730776,0.999930752
119,17.35191113,0.9999333354
120,17.88018559,0.9999359832
121,18.33631582,0.9999386409
122,16.54015614,0.9999411554
123,15.93635342,0.9999437414
124,15.91363017,0.999946098
125,13.52343469,0.9999482499
126,12.74752044,0.9999501477
127,10.3580878,0.9999518121
128,8.570385415,0.9999532028
129,7.26913353,0.9999543309
130,6.81897684,0.9999554588
131,6.993756861,0.9999565717
132,6.926803938,0.9999577502
133,6.881334784,0.999958894
134,6.530669616,0.9999599228
135,6.545866387,0.9999610572
136,6.308436895,0.9999621156
137,6.559704731,0.9999632421
138,6.683674946,0.9999643793
139,6.572423928,0.999965482
140,6.673527172,0.9999666806
141,6.231966072,0.9999677507
142,6.239784055,0.9999688517
143,5.889661212,0.9999698956
144,6.236736049,0.9999710157
145,6.247966084,0.9999721673
146,5.818696835,0.9999732078
147,6.16526472,0.999974315
148,5.181607067,0.9999752864
149,5.277663517,0.9999762676
150,4.966247072,0.9999771947
151,4.865676732,0.9999780762
152,4.612601953,0.9999789628
153,4.427015193,0.9999797892
154,4.414506076,0.9999806586
155,4.275832874,0.9999814669
156,4.143634314,0.9999822633
157,4.292222853,0.9999831255
158,4.197592178,0.9999839191
159,4.423253189,0.9999847901
160,3.328201607,0.9999854252
161,2.282275538,0.9999858612
162,2.12041473,0.9999862395
163,1.919530855,0.9999865653
164,1.88619878,0.9999868937
165,1.779810996,0.9999871958
166,1.520382584,0.9999874641
167,1.562988626,0.9999877196
168,1.397626572,0.9999879419
169,1.478324127,0.9999881958
170,1.377900005,0.9999884216
171,1.510952976,0.9999886679
172,1.337699165,0.9999888781
173,1.42836768,0.9999891122
174,1.313134418,0.9999893247
175,1.20981418,0.9999895115
176,1.324400893,0.9999897228
