freq_radius,radial_mean_power,cumulative_energy_fraction
0,4502616996,0.6740110233
1,42283539.24,0.7246474804
2,26166606.16,0.7873188771
3,5817877.513,0.8047368079
4,11352598.34,0.845522563
5,2469949.344,0.8603119452
6,1337197.985,0.8675180439
7,1826540.559,0.8806422351
8,1400706.202,0.8923840998
9,715205.9006,0.8983795405
10,451888.8983,0.9029793789
11,337279.8925,0.9062106427
12,277466.0253,0.9095334243
13,226380.955,0.9126510912
14,189413.365,0.9151462333
15,185866.2011,0.9178172318
16,128824.164,0.9196685052
17,121061.2837,0.9217706627
18,119300.0381,0.9239136709
19,103553.5912,0.9257738227
20,93209.59346,0.9275039749
21,63806.82063,0.928879383
22,65721.35856,0.9302173563
23,70558.58061,0.9316960556
24,47421.28396,0.9327750492
25,61360.67688,0.9343181753
26,36757.57979,0.9352865905
27,31099.72344,0.9360500787
28,34769.25633,0.9369244717
29,37979.70337,0.9380160498
30,34381.49232,0.9389836246
31,44409.0612,0.9403663531
32,34877.069,0.9414105249
33,26154.76078,0.9422248843
34,26483.24173,0.9431287585
35,31352.54307,0.9441049569
36,32848.70079,0.9452457534
37,36953.88222,0.946506991
38,28709.73687,0.9476071898
39,18846.89351,0.9483068601
40,23101.48935,0.94912298
41,24960.55566,0.9501392876
42,24666.55178,0.951114085
43,17238.86963,0.9518572808
44,19009.53377,0.9526426657
45,18697.44495,0.953403961
46,18561.57959,0.9542264094
47,21347.7191,0.9551595268
48,21652.9875,0.9561708138
49,23380.64346,0.9572347903
50,18875.47867,0.9581841685
51,14894.9756,0.9589065836
52,15725.11064,0.9596410134
53,15630.72671,0.9604459091
54,13765.30809,0.9611135346
55,12657.60395,0.9618259632
56,13560.17656,0.962524237
57,13626.80868,0.9632585795
58,10413.83522,0.9638260119
59,11775.01084,0.9644746629
60,11796.00105,0.965166849
61,12998.46492,0.9659218122
62,9067.596487,0.9664538963
63,9968.028006,0.9670507545
64,9108.058352,0.9675797592
65,8632.005771,0.968137969
66,7280.359102,0.9685738971
67,7469.696423,0.969047998
68,8543.950732,0.9696260929
69,7877.182615,0.9701166237
70,7688.421147,0.9706322287
71,6876.270263,0.9710727823
72,7615.692559,0.9716199905
73,5608.576831,0.972009549
74,6707.464603,0.9724754336
75,7226.232384,0.9729903312
76,7135.914228,0.9735030661
77,6447.300528,0.973981764
78,5906.10021,0.974402597
79,6152.306866,0.9748593923
80,6022.241618,0.9753281663
81,6117.180848,0.9757860164
82,5886.876469,0.9762583532
83,6065.590281,0.9767159738
84,5430.896776,0.9771517247
85,4157.469798,0.9774927697
86,5541.133064,0.9779440013
87,4466.348792,0.9783130585
88,5146.709486,0.9787167624
89,4342.327168,0.9791067724
90,4960.840673,0.9795166898
91,4598.059336,0.9799131495
92,3905.468055,0.9802522302
93,4342.809662,0.9806318822
94,5121.637195,0.98109802
95,4198.518172,0.981462544
96,3936.03547,0.9818160625
97,4020.529482,0.9821964291
98,3624.325248,0.9825262914
99,3110.390346,0.9828261405
100,3549.257364,0.9831491707
101,3051.815875,0.9834525098
102,2989.026786,0.9837406592
103,3181.583717,0.9840378462
104,3020.744708,0.9843417145
105,3234.290022,0.9846535078
106,3150.934401,0.9849817925
107,3185.628162,0.9853022469
108,3190.037147,0.9856193247
109,2795.110062,0.9859055164
110,2546.669375,0.9861677951
111,2876.198096,0.9864777891
112,2841.073798,0.9867754916
113,2664.606972,0.9870594895
114,2298.52875,0.9873154807
115,2305.268373,0.9875639404
116,1990.652876,0.9877772992
117,2112.851905,0.9880100809
118,1965.326778,0.9882313163
119,2086.427124,0.9884674331
120,2038.036212,0.9886968534
121,2065.68702,0.9889244387
122,1976.13307,0.9891528069
123,1952.523381,0.9893936451
124,1806.008401,0.9895969461
125,1705.681254,0.9898032518
126,1736.633847,0.9899997833
127,1790.826359,0.9902185321
128,1645.977045,0.9904215587
129,1571.683916,0.9906069517
130,1664.020439,0.9908161894
131,1675.020057,0.9910187866
132,1591.100769,0.9912245714
133,1393.556146,0.9914006348
134,1784.86901,0.9916143809
135,1475.877705,0.9918087983
136,1468.470064,0.9919960849
137,1392.467581,0.9921778471
138,1361.051242,0.9923538785
139,1369.777449,0.992528578
140,1182.665907,0.9926900357
141,1322.127676,0.9928626163
142,1136.475697,0.9930150462
143,1230.353554,0.9931808042
144,1064.693926,0.9933261564
145,1170.517612,0.9934901609
146,1280.96909,0.993664272
147,1275.085727,0.9938383469
148,1099.074182,0.9939949737
149,958.1362314,0.9941303682
150,960.2269384,0.9942666332
151,957.4850187,0.9943984959
152,909.3319637,0.9945313498
153,1001.460715,0.9946734662
154,964.851323,0.9948178978
155,979.1384428,0.9949586054
156,893.5952489,0.9950891601
157,816.0360075,0.9952137582
158,818.9558129,0.9953314466
159,867.568208,0.9954613157
160,832.2073979,0.9955820296
161,828.3992359,0.9957023151
162,808.8406583,0.9958120117
163,802.1102694,0.9959155124
164,796.5300778,0.9960209163
165,882.4181361,0.9961347796
166,781.082353,0.9962395423
167,684.4666601,0.9963245841
168,682.883182,0.9964071802
169,736.8962957,0.9965033691
170,817.6872801,0.9966052077
171,691.1032171,0.9966908672
172,655.7013313,0.9967691941
173,697.7723479,0.9968560979
174,705.9682811,0.9969429658
175,730.1095034,0.997028651
176,695.9333555,0.997113034
177,670.2594391,0.9971906919
178,592.9397457,0.9972634743
179,574.8083325,0.9973314498
180,595.8319277,0.9973997708
181,610.7075808,0.997472723
182,627.3019,0.997546155
183,567.4152041,0.9976139357
184,580.8305905,0.9976784499
185,639.0731207,0.9977524945
186,570.4535568,0.9978202965
187,545.4825076,0.9978815378
188,477.7080536,0.9979371723
189,465.2088453,0.9979891227
190,545.4945315,0.9980506919
191,479.3551278,0.9981062312
192,491.9450457,0.9981598417
193,423.1755764,0.9982093787
194,483.0267899,0.9982621619
195,468.2981536,0.9983158593
196,493.1540178,0.9983716686
197,443.6836928,0.9984201526
198,392.7027501,0.9984649467
199,424.3158205,0.998510679
200,397.2361633,0.998556466
201,417.4477687,0.9986015831
202,414.231351,0.9986462286
203,403.6762237,0.9986925161
204,446.6329771,0.9987402526
205,408.2829247,0.9987867017
206,370.5627607,0.9988260859
207,386.6896975,0.9988686891
208,380.1184318,0.9989104545
209,327.901188,0.9989455009
210,358.6915011,0.9989848047
211,342.7830428,0.9990222626
212,374.6256076,0.9990633124
213,360.182526,0.9991022404
214,314.874908,0.9991359888
215,296.6777848,0.999167698
216,295.5724991,0.9991995545
217,304.5356014,0.9992331976
218,293.7746583,0.9992639809
219,299.9017353,0.9992966631
220,286.1404756,0.9993270748
221,278.2917376,0.9993567355
222,301.3245597,0.9993898435
223,252.9550476,0.999416198
224,255.848884,0.9994440029
225,266.2847518,0.9994719056
226,236.7941205,0.9994970726
227,236.9828332,0.9995220468
228,255.187338,0.9995495507
229,247.9316606,0.9995766437
