image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
101085,3.8284882756764194e-10,1.186837124049245e-10,0.999999998275733,0.9999999936645045,0.00042024370803001206,0.0002380982718971816,3.809641976600555e-09,1.8194990861834164e-12,3.1380371713519985e-14,1.181739924062365e-09,2.765151848328207e-13,2.95247962121604e-14,0.0,-1.0570279057529557,0.0,-0.4433647235256375
101087,3.035010716416061e-11,1.1487138630577969e-11,0.9999999997147876,0.9999999993473152,1.4537878602305883e-05,5.432948664319115e-06,3.021977355405971e-10,8.467868670490267e-14,4.62749996272646e-16,1.1445053431264629e-10,7.435087376250475e-15,4.111370406302083e-16,0.0,0.0,0.0,0.0
102061,7.251025878215049e-11,2.9697814179072476e-11,0.9999999994705085,0.999999997617122,9.65790014139887e-05,4.170553407809269e-05,7.212631169441742e-10,4.383952938259846e-13,4.034840257199894e-15,2.95780142948646e-10,5.1430157062813414e-14,3.3123160303869292e-15,0.0,0.0,0.0,0.0
103070,6.005798582400179e-11,1.794915561305742e-11,0.9999999997900829,0.999999998836557,4.955605596309297e-05,1.8570409365179094e-05,5.973445958657895e-10,3.8567443623986647e-13,1.226252809984907e-15,1.787787021281548e-10,2.903671137874455e-14,1.1475822845436473e-15,0.0,0.0,0.0,0.0
105025,1.2925952947054758e-11,4.834208341827109e-12,0.9999999999441096,0.9999999996930418,1.7692537839286036e-05,9.329928437412739e-06,1.2859777410512447e-10,7.091763687560938e-14,5.530129256579728e-16,4.813851284027084e-11,1.1227960741754166e-14,5.378246202320069e-16,0.0,0.0,0.0,0.0
106024,4.48935260273485e-12,5.115062103108843e-13,0.9999999999694092,0.999999999958583,1.6260043185196998e-06,4.112125023357389e-07,4.471113986552971e-11,9.129489251107144e-15,3.2444761273747896e-17,5.0953563764840486e-12,6.467892296533985e-16,2.1448741611414982e-17,0.0,0.0,0.0,0.0
108005,3.3954998443538044e-10,2.2755106466363654e-10,0.9999999993206005,0.9999999830861996,0.0005000754177937385,0.00015281107565752412,3.370877592092399e-09,4.284260881916614e-12,1.024847960439061e-14,2.2665436243352787e-09,3.562809839178672e-13,8.687722856504782e-15,0.0,-0.15390041869209165,0.0,-0.15390041869209165
108070,4.91313836669938e-10,1.029331162956175e-10,0.9999999992916943,0.9999999924697294,0.0015634548425362558,0.0009139997425277888,4.87678089619201e-09,6.280618286315646e-12,9.659564708800364e-14,1.0212127663574876e-09,1.339546830581692e-12,9.264843268635447e-14,0.0,-1.5036330389379007,0.0,-1.139782633338172
108082,8.928123075751881e-10,1.5669008144139504e-09,0.9999999941611069,0.999999869168058,0.00044770497702434044,0.00014847999402049563,8.879019106517974e-09,6.071604695080738e-12,1.7279593589052312e-14,1.5613730537955555e-08,3.8386416317271723e-13,1.600275778237692e-14,0.0,-1.021441194932999,0.0,-0.43533715034220055
109053,4.474409695189e-11,4.445019757470227e-12,0.9999999997719572,0.999999999536442,5.857444510932356e-05,2.520281978436003e-05,4.449655213704312e-10,3.077327392684382e-13,1.5764594948158074e-15,4.419278280942432e-11,3.17715762611446e-14,1.4876818459290865e-15,0.0,0.0,0.0,0.0
119082,6.536777321505676e-10,5.43428610341697e-10,0.9999999969231235,0.9999999617749254,0.0003509716449609717,6.837755624447145e-05,6.4975215178730364e-09,5.547300764415793e-12,1.2357015089353631e-14,5.414112778129247e-09,4.635689627921388e-13,7.368157869773149e-15,0.0,-2.8510929594668877,0.0,-0.7561935953152714
12084,7.101129905353492e-11,2.678090234338031e-12,0.9999999998802588,0.9999999997046752,0.00017626248929288418,5.1226667852142696e-05,7.034617032274807e-10,1.3950686680584722e-12,2.9363329954918808e-15,2.640995644184468e-11,8.764403724686438e-14,2.641298985971997e-15,0.0,0.0,0.0,0.0
123074,3.4553206803687335e-11,2.273416211431913e-11,0.9999999997345573,0.9999999983241922,2.1883148910153926e-05,7.437573981256483e-06,3.4375095401060523e-10,1.9600577319224928e-13,2.7089782208775847e-16,2.2649961935180714e-10,1.8833187113201127e-14,2.6395278626028263e-16,0.0,0.0,0.0,0.0
