freq_radius,radial_mean_power,cumulative_energy_fraction
0,8430784458,0.8183575126
1,111526979.2,0.9049629208
2,29250783.43,0.9503918576
3,2728673.72,0.9556891835
4,6375298.323,0.9705412485
5,1414763.688,0.9760343672
6,775938.1535,0.9787458365
7,716656.4076,0.9820849202
8,565498.836,0.9851588563
9,245331.476,0.986492428
10,243727.6245,0.9881011788
11,187820.6478,0.9892679841
12,143211.4321,0.9903800813
13,143323.0492,0.9916599899
14,71313.48902,0.9922691472
15,76306.78154,0.9929802124
16,49353.24833,0.993440111
17,51247.4207,0.9940171499
18,45932.92394,0.9945521827
19,40236.65733,0.9950208647
20,28355.23802,0.9953621598
21,26030.05622,0.9957260017
22,25969.27105,0.9960688277
23,19800.36528,0.9963379045
24,17599.23504,0.996597569
25,14737.03689,0.9968378915
26,13004.08222,0.9970600523
27,11316.67913,0.9972402039
28,12829.13434,0.9974494135
29,8965.143868,0.997616497
30,7131.649576,0.9977466406
31,7508.867151,0.9978982454
32,5005.100984,0.9979954122
33,5643.945465,0.998109364
34,5178.112936,0.9982239632
35,3292.494857,0.998290439
36,4446.038293,0.9983905625
37,3565.743028,0.9984694776
38,2828.182819,0.9985397561
39,2952.069731,0.9986108207
40,2995.369789,0.9986794387
41,2119.443771,0.9987353971
42,2497.59158,0.9987994001
43,1724.6418,0.9988476134
44,1509.826664,0.9988880627
45,1449.960688,0.9989263452
46,1512.490899,0.9989698022
47,1217.961879,0.9990043239
48,1274.919249,0.999042935
49,971.7405186,0.9990716097
50,964.6996949,0.9991030731
51,883.7777249,0.9991308679
52,841.0895552,0.9991563404
53,596.6610643,0.9991762637
54,729.8304891,0.9991992169
55,487.4793348,0.9992170086
56,553.2543031,0.9992354825
57,485.3200402,0.9992524418
58,469.0597478,0.9992690149
59,432.2940088,0.9992844568
60,384.0065227,0.9992990685
61,370.0525504,0.9993130055
62,368.7518687,0.9993270368
63,322.0459343,0.9993395409
64,340.29996,0.9993523573
65,263.0952259,0.9993633898
66,318.2887883,0.999375748
67,253.0326059,0.999386162
68,252.6702066,0.9993972478
69,266.7305796,0.9994080185
70,237.8498448,0.9994183617
71,235.3371026,0.9994281388
72,221.9829129,0.9994384815
73,195.5462939,0.9994472888
74,208.8616767,0.9994566958
75,195.932917,0.9994657488
76,180.1569276,0.9994741427
77,174.9354814,0.9994825651
78,182.0581206,0.999490977
79,160.560419,0.9994987073
80,157.6195789,0.9995066631
81,155.7962263,0.9995142245
82,141.7680575,0.9995216005
83,151.6454451,0.9995290193
84,139.847828,0.9995362954
85,130.8806501,0.9995432573
86,132.335077,0.9995502453
87,124.1029147,0.9995568949
88,130.6209481,0.9995635387
89,111.0040066,0.9995700037
90,118.0547342,0.9995763292
91,111.8325088,0.9995825819
92,109.9530277,0.9995887721
93,107.113796,0.9995948442
94,100.227669,0.9996007593
95,103.0894902,0.9996065632
96,98.06816318,0.9996122747
97,93.20921746,0.9996179928
98,92.95575373,0.9996234788
99,88.48799379,0.9996290104
100,91.12976461,0.9996343886
101,82.94183672,0.9996397344
102,85.01455339,0.9996450488
103,84.79898536,0.9996501851
104,77.2048762,0.9996552212
105,79.56046877,0.9996601946
106,71.84911331,0.9996650487
107,75.19161921,0.9996699534
108,75.50666867,0.99967482
109,70.97693257,0.9996795325
110,70.6449363,0.9996842504
111,63.38693071,0.9996886804
112,66.26767037,0.9996931831
113,68.22341881,0.9996978982
114,60.76978179,0.9997022869
115,58.04341955,0.9997063435
116,62.80893138,0.9997107087
117,56.08564399,0.9997147156
118,60.12908876,0.9997191047
119,54.89996305,0.9997231334
120,46.76979208,0.9997265474
121,50.57352523,0.9997301605
122,54.57091044,0.9997342498
123,47.01566165,0.9997380103
124,52.80680862,0.9997418649
125,47.49984429,0.9997455904
126,49.87656005,0.9997492505
127,46.58532265,0.9997529404
128,46.37193946,0.9997566494
129,45.99886734,0.9997601678
130,43.90110982,0.9997637474
131,44.11967447,0.9997672077
132,40.48439957,0.999770603
133,41.54314019,0.9997740064
134,42.26187065,0.9997772883
135,38.98380094,0.9997806182
136,38.57884733,0.9997838088
137,37.91764365,0.9997870182
138,37.66097982,0.9997901767
139,38.0343448,0.9997933223
140,35.55630161,0.9997964699
141,37.20178078,0.9997996188
142,35.6834513,0.9998027223
143,34.90672192,0.9998057717
144,34.61430246,0.999808836
145,33.39394553,0.99981187
146,34.22881594,0.9998148869
147,33.68233314,0.9998178686
148,31.84678237,0.9998208115
149,32.1308028,0.9998237558
150,32.41618326,0.9998267387
151,32.1481984,0.9998296096
152,30.48892435,0.9998324981
153,31.50614155,0.9998353973
154,28.92617366,0.9998382051
155,30.97290793,0.9998410913
156,29.62616175,0.999843898
157,28.19112455,0.9998466892
158,30.29301727,0.9998495121
159,28.89093592,0.9998523164
160,26.33564901,0.9998547935
161,23.68548238,0.9998570236
162,25.14056595,0.9998592346
163,25.72210458,0.9998613868
164,25.38514927,0.9998635651
165,25.56325428,0.999865704
166,24.54721947,0.999867839
167,26.61885542,0.9998699835
168,26.91901405,0.9998720948
169,24.94796214,0.9998742065
170,25.87327179,0.999876296
171,25.84776744,0.9998783735
172,26.33311152,0.9998804132
173,25.40285668,0.9998824648
174,25.69656788,0.9998845151
175,26.15727551,0.9998865057
176,25.50356857,0.9998885109
177,26.72750454,0.999890519
178,24.55984625,0.9998924738
179,25.36996982,0.9998944193
180,25.75878128,0.9998963345
181,24.88252511,0.9998982619
182,25.41713127,0.9999001913
183,24.61208388,0.9999020977
184,26.14394451,0.9999039807
185,25.14709137,0.99990587
186,24.53902809,0.9999077613
187,25.43148654,0.9999096127
