freq_radius,radial_mean_power,cumulative_energy_fraction
0,8.883123378e+10,0.7776002133
1,606451483.6,0.8200696721
2,317525720.2,0.8645419699
3,120186444.4,0.8855834439
4,48056608.98,0.8956795764
5,19982489.36,0.9026763893
6,16739491.81,0.907951547
7,13495631.93,0.9136220964
8,12112822.35,0.9195598757
9,11300659.49,0.9250995278
10,8414812.09,0.9301084469
11,5963826.051,0.9334495941
12,5176243.603,0.9370744886
13,5345901.524,0.9413797494
14,4056696.165,0.9445047192
15,3446677.796,0.9474011463
16,3171930.719,0.9500666887
17,3111127.017,0.9532258108
18,2369719.593,0.9557150629
19,2144064.18,0.9579672772
20,2098018.888,0.9602445851
21,1637019.365,0.962308097
22,1629954.675,0.9642485589
23,1543322.449,0.9661399241
24,1285932.117,0.9678509331
25,860571.8815,0.9691165059
26,812260.3463,0.9703679129
27,684151.5543,0.9713500833
28,599252.3427,0.9722313548
29,623920.7912,0.9732799825
30,611096.5242,0.9742856591
31,589439.702,0.9753588906
32,436915.5641,0.9761238144
33,556072.6073,0.9771362922
34,470811.2862,0.9780759558
35,358018.4965,0.9787278235
36,418748.18,0.9795782399
37,359286.7639,0.9802953184
38,303984.8189,0.9809765308
39,292504.9089,0.9816115334
40,255317.5282,0.9821389859
41,226604.0936,0.9826785305
42,243740.4824,0.9832418078
43,272115.2315,0.9839278266
44,212113.4946,0.9844402961
45,217471.7814,0.9849580967
46,173897.4041,0.9854086804
47,197870.4007,0.9859144519
48,162656.6057,0.9863586912
49,182177.5415,0.9868434873
50,179380.9022,0.9873710889
51,156177.5994,0.9878140386
52,185749.2593,0.9883213474
53,156701.3723,0.9887932169
54,151602.309,0.9892231902
55,126219.4664,0.9896386269
56,127959.5748,0.9900239473
57,120395.7367,0.9904033533
58,97671.35382,0.9907145674
59,92834.71635,0.9910136209
60,88505.15715,0.9913173213
61,72825.67688,0.9915646685
62,75731.04031,0.9918245352
63,85790.68268,0.9921249289
64,77508.60417,0.9923881813
65,83017.22001,0.9927021183
66,67356.78828,0.9929379663
67,70204.37579,0.993198534
68,68795.28481,0.9934707338
69,60051.35576,0.9936894127
70,59643.0916,0.993923312
71,57016.85109,0.9941369299
72,55452.05719,0.9943699265
73,57107.06638,0.9946018787
74,37354.37526,0.9947536012
75,48020.61,0.9949536912
76,47898.97352,0.9951549515
77,47727.3427,0.9953621753
78,38892.67402,0.9955242314
79,38868.07857,0.9956929898
80,35815.68537,0.9958560197
81,33216.01278,0.9960014009
82,32914.42061,0.9961558345
83,36443.14983,0.9963166163
84,34207.18509,0.9964771155
85,29574.10878,0.996618983
86,31857.42096,0.9967706881
87,27303.79463,0.9969026209
88,25806.10329,0.9970209917
89,24412.9506,0.9971492136
90,26233.89953,0.9972759766
91,23973.76835,0.9973968552
92,21570.44278,0.9975063712
93,19736.00749,0.9976072647
94,21192.69122,0.9977200572
95,17976.85583,0.9978113281
96,17359.99348,0.9979025064
97,15621.25677,0.9979889283
98,17026.71395,0.9980795485
99,16293.08368,0.9981713986
100,13275.96196,0.9982420565
101,12421.21684,0.9983142541
102,11938.51293,0.9983815559
103,12823.52077,0.9984516018
104,11233.37375,0.9985176818
105,10939.15295,0.9985793499
106,10254.17658,0.9986418241
107,10207.66225,0.9987018704
108,9633.583264,0.998757865
109,9157.088235,0.9988126932
110,8204.80024,0.9988621069
111,7213.137072,0.9989075688
112,7942.015791,0.9989562341
113,6702.251109,0.9989980067
114,7003.527799,0.9990436188
115,6165.281772,0.9990824764
116,6189.252839,0.9991212684
117,6124.840103,0.999160729
118,5429.743367,0.9991964717
119,5116.084368,0.9992303288
120,4188.314551,0.9992578995
121,4227.65026,0.9992851371
122,4255.039302,0.9993138919
123,4248.273186,0.9993445349
124,4191.212838,0.9993721246
125,3588.362911,0.999397505
126,3292.549887,0.9994192944
127,3364.541682,0.9994433274
128,3123.987439,0.9994658608
129,3054.149654,0.999486928
130,3128.783729,0.9995099342
131,2981.776802,0.9995310243
132,2877.732376,0.9995527891
133,3019.12667,0.9995750947
134,2946.426036,0.9995957284
135,3079.214567,0.9996194483
136,2321.979303,0.9996367659
137,2383.380831,0.9996549588
138,2233.976539,0.9996718547
139,1986.427292,0.9996866698
140,1958.835073,0.9997023078
141,1794.432426,0.9997160051
142,1400.986384,0.9997269935
143,1709.365983,0.9997404604
144,1330.035634,0.9997510785
145,1343.414887,0.9997620857
146,1349.509131,0.9997728121
147,1199.979398,0.999782392
148,1079.441146,0.9997913875
149,1135.490526,0.9998007706
150,862.7451389,0.9998079301
151,984.5064128,0.9998158587
152,868.5744696,0.9998232794
153,850.4068953,0.9998303365
154,877.3187401,0.9998380163
155,879.1866404,0.9998454046
156,754.3559891,0.9998518495
157,835.9509753,0.9998593135
158,804.7570275,0.9998660763
159,615.2149273,0.9998714617
160,594.8984766,0.99987669
161,583.6376886,0.9998820851
162,523.2408067,0.9998867753
163,427.5708537,0.9998905032
164,385.2574398,0.9998940105
165,354.1994462,0.9998972103
166,367.774234,0.9999006872
167,339.5006177,0.9999037423
168,357.4467876,0.9999069464
169,307.2590483,0.9999098942
170,287.0602828,0.999912598
171,258.4445959,0.9999150413
172,240.9796957,0.9999172858
173,234.8512596,0.9999195719
