freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.466436125e+11,0.8763526362
1,901443009.8,0.8945842016
2,306871196.5,0.9069970601
3,125034110.4,0.9133190558
4,129725956.1,0.9211901266
5,110867659.8,0.9324015452
6,72635403.55,0.9390122315
7,33473646.64,0.9430742319
8,23885625.81,0.9464558172
9,39534951.64,0.9520529412
10,23507662.57,0.9560941758
11,14863261.91,0.9584990358
12,14740878.65,0.9614803589
13,10368451.8,0.9638919154
14,10961107.63,0.9663304718
15,15201493.74,0.9700198502
16,10358996.42,0.9725339621
17,5661925.686,0.9741943817
18,6037311.477,0.9760259391
19,5650205.121,0.9777400588
20,3118308.526,0.9787176031
21,4690869.944,0.9804253031
22,3224702.672,0.9815340293
23,4105582.571,0.9829871394
24,2690138.361,0.9840208855
25,2623157.078,0.9851349986
26,2106625.232,0.9860723354
27,1449755.552,0.9866734182
28,1995709.477,0.9875210403
29,1273619.992,0.9881392514
30,1288248.718,0.9887515359
31,970110.85,0.9892616654
32,1263377.403,0.9899004564
33,1109591.123,0.990483931
34,838185.6789,0.9909670686
35,906098.1745,0.9914435372
36,696815.5505,0.9918522342
37,591799.3633,0.9921933526
38,531487.0422,0.9925373287
39,493269.3176,0.9928465942
40,487428.9225,0.9931374107
41,472414.71,0.9934622645
42,375350.1654,0.993712781
43,395342.4719,0.9940006279
44,327470.3469,0.994229123
45,287782.1127,0.994427015
46,265341.5613,0.9946255755
47,295382.4834,0.9948436291
48,237355.4475,0.9950308479
49,226534.835,0.9952049501
50,258918.1184,0.9954248866
51,206636.4706,0.995594144
52,232520.5409,0.9957775492
53,196488.08,0.9959484289
54,160971.5851,0.9960802819
55,164040.0767,0.9962362132
56,160157.566,0.9963754973
57,149157.4848,0.9965112484
58,123174.3629,0.9966245973
59,128339.1187,0.9967439969
60,125860.6587,0.9968687271
61,119380.4186,0.9969858281
62,127620.6054,0.9971123025
63,111052.5914,0.9972246037
64,102856.2821,0.997325496
65,120666.7907,0.9974572814
66,105015.8993,0.997563478
67,111076.426,0.9976825428
68,91191.80066,0.9977867482
69,84597.45451,0.9978757187
70,70760.03991,0.997955861
71,73524.4344,0.9980354167
72,68710.44197,0.9981187963
73,73536.28504,0.9982050574
74,67169.153,0.9982838497
75,58702.0705,0.9983544906
76,66085.86172,0.9984346852
77,47991.52422,0.9984948638
78,67231.65429,0.998575769
79,62054.20584,0.9986535814
80,54810.09177,0.9987256356
81,50632.66348,0.998789638
82,39943.78916,0.9988437645
83,40494.75617,0.9988953616
84,40623.55785,0.9989504092
85,34973.13095,0.9989988611
86,41024.28053,0.9990552814
87,35374.96647,0.9991046477
88,33946.84296,0.9991496181
89,29103.02207,0.9991937635
90,27582.07102,0.9992322547
91,26285.62462,0.9992705315
92,22068.71127,0.999302891
93,22756.96782,0.9993364897
94,22155.10381,0.9993705441
95,21500.38353,0.9994020702
96,19038.68686,0.9994309493
97,18778.74364,0.9994609533
98,18560.26249,0.9994894821
99,15813.28315,0.9995152277
100,14604.27537,0.9995376758
101,12258.99485,0.9995582545
102,12498.33467,0.9995786031
103,13635.8797,0.9996001142
104,11470.28023,0.999619601
105,11653.59022,0.9996385742
106,9670.046978,0.9996555893
107,10372.85429,0.9996732116
108,9163.83256,0.9996885946
109,8110.279919,0.9997026191
110,7906.5524,0.9997163713
111,6910.093014,0.9997289493
112,6760.927014,0.9997409139
113,5484.404915,0.9997507859
114,5690.869247,0.99976149
115,5362.306034,0.9997712506
116,5024.680168,0.9997803459
117,4573.263549,0.9997888553
118,4493.359182,0.9997973978
119,4171.839833,0.9998053713
120,4346.719763,0.999813635
121,3902.296129,0.9998208959
122,3380.495251,0.9998274936
123,2947.129059,0.999833633
124,3433.454492,0.9998401605
125,3013.657348,0.9998463165
126,2922.600408,0.9998519023
127,2669.742514,0.9998574098
128,2414.293838,0.9998624392
129,2537.822405,0.9998674949
130,2166.95543,0.9998720967
131,2074.083033,0.9998763334
132,1999.164821,0.9998807002
133,1791.190757,0.9998845221
134,2062.010726,0.9998886925
135,1674.38717,0.9998924175
136,1600.162702,0.9998958642
137,1401.501668,0.9998989538
138,1403.834938,0.9999020202
139,1400.812371,0.9999050375
140,1100.446527,0.9999075747
141,969.1895444,0.9999097113
142,942.0268507,0.9999118452
143,1035.038226,0.9999142002
144,971.6618852,0.9999164405
145,882.8807821,0.9999185297
146,952.1514311,0.9999207153
147,784.961494,0.9999225252
148,814.531226,0.9999244856
149,750.2612793,0.9999262761
150,643.3843284,0.9999278181
151,596.2932027,0.9999292049
152,607.5372098,0.999930704
153,607.9201365,0.999932161
154,548.3248161,0.9999335472
155,543.1098651,0.9999348653
156,507.4429193,0.9999361174
157,463.8259962,0.9999373135
158,547.0173964,0.9999386411
159,438.4780695,0.9999397496
160,461.0611735,0.9999409199
161,451.8855021,0.9999421262
162,392.816923,0.9999431432
163,390.8160014,0.9999441272
164,360.8244064,0.9999450759
165,331.8109249,0.9999459416
166,343.9613419,0.9999468808
167,324.1226372,0.9999477231
168,314.4460591,0.9999485372
169,264.0101838,0.9999492687
170,279.808028,0.9999500298
171,262.8461716,0.9999507475
172,255.2513084,0.9999514341
173,230.2833093,0.9999520815
174,213.5071941,0.9999526795
175,231.6015147,0.9999533119
176,227.8234566,0.9999539524
177,201.269561,0.9999545039
178,192.4406667,0.9999550644
179,178.7406758,0.9999555777
180,191.1674492,0.9999561132
181,180.6225079,0.9999566356
182,160.1993,0.9999571086
183,149.0747208,0.9999575518
184,152.4914003,0.9999579821
185,166.2546284,0.999958473
186,142.0557768,0.999958904
187,153.9349948,0.9999593601
188,137.7334707,0.9999597723
189,135.1291933,0.9999601714
190,123.3836058,0.9999605432
191,122.6906243,0.9999609241
192,108.8179086,0.9999612476
193,111.9453926,0.9999616008
194,110.0519846,0.9999619335
195,108.4730082,0.9999622758
196,91.91149475,0.9999625658
197,103.2422543,0.9999628852
198,98.77146725,0.9999631999
199,106.253672,0.9999635308
200,92.27123647,0.9999638331
201,96.99505493,0.9999641362
202,70.7433143,0.999964358
203,74.8347968,0.9999646092
204,79.83818592,0.9999648652
205,71.9032273,0.9999651051
206,68.91476049,0.9999653253
207,68.58567307,0.9999655514
208,64.11706377,0.999965766
209,68.36757883,0.9999659914
210,63.60167191,0.9999662024
211,72.44837082,0.9999664493
212,71.76213639,0.9999666917
213,71.98198438,0.9999669362
214,75.32886015,0.9999671922
215,73.35208148,0.9999674377
216,58.13134386,0.9999676411
217,62.93892977,0.9999678601
218,63.51345989,0.9999680778
219,63.69481892,0.9999683007
220,58.4568107,0.9999685052
221,73.06727646,0.9999687631
222,54.7161614,0.99996896
223,63.26086736,0.9999691801
224,63.0870324,0.9999694085
225,69.1996321,0.9999696527
226,59.00139532,0.9999698651
227,69.09921378,0.9999701125
228,57.8202593,0.9999703247
229,53.53163618,0.9999705272
230,55.26444536,0.9999707228
231,58.44505744,0.9999709356
232,57.1268549,0.9999711453
233,56.03756101,0.9999713538
234,55.2190175,0.9999715649
235,55.16497433,0.9999717663
236,53.50775056,0.9999719665
237,52.64061604,0.9999721687
238,53.11129228,0.9999723637
239,49.12530283,0.9999725545
240,52.02541221,0.999972747
241,47.78432277,0.9999729364
242,48.59091317,0.9999731266
243,47.54198683,0.9999733083
244,45.19999762,0.9999734857
245,49.41175869,0.9999736721
246,44.35361838,0.9999738533
247,46.18163776,0.9999740335
248,46.18645481,0.9999742119
249,43.95719277,0.9999743858
250,45.29781406,0.9999745635
251,42.9139425,0.9999747371
252,45.02162059,0.9999749169
253,43.6132157,0.9999750924
254,40.82715376,0.9999752592
255,41.4629963,0.9999754295
256,44.2086301,0.9999756078
257,42.15365967,0.9999757775
258,40.72028688,0.999975948
259,41.89019494,0.9999761195
260,41.03650707,0.9999762897
261,40.98353639,0.9999764596
262,40.21789587,0.9999766268
263,39.71557477,0.999976793
264,40.64816009,0.9999769616
265,38.92045006,0.9999771292
266,42.22974878,0.9999773073
267,41.70722617,0.9999774828
268,38.73856703,0.9999776504
269,41.00734359,0.9999778242
270,40.95609168,0.999977999
271,39.0343742,0.9999781695
272,37.80904603,0.9999783346
273,40.09728071,0.9999785078
274,40.94981044,0.9999786825
275,36.50025824,0.9999788457
276,37.93786783,0.999979011
277,39.56692322,0.9999791871
278,38.39632939,0.9999793556
279,38.40974238,0.9999795253
280,36.11177348,0.9999796882
281,35.11058999,0.999979843
282,35.41550389,0.999980002
283,38.35328629,0.9999801738
284,34.13831319,0.9999803306
285,35.80382675,0.9999804935
286,35.49222888,0.9999806518
287,36.02182353,0.9999808172
288,32.95723356,0.9999809678
289,33.00065845,0.9999811206
290,32.93856697,0.9999812755
291,33.01432661,0.9999814218
292,30.45976459,0.9999815684
293,32.27242384,0.9999817182
294,31.81287272,0.9999818668
295,32.05232601,0.9999820159
296,29.68759159,0.9999821576
297,31.40754378,0.9999823078
298,32.68192212,0.9999824592
299,30.29701129,0.9999826026
300,32.25074341,0.9999827562
301,32.17107,0.9999829097
302,31.15097919,0.9999830635
303,29.87183714,0.9999832045
304,31.15810863,0.9999833539
305,30.09040944,0.999983503
306,30.27313475,0.9999836481
307,31.20745406,0.9999838012
308,32.48057775,0.9999839568
309,28.19133469,0.9999841011
310,29.89450807,0.9999842465
311,30.65326097,0.9999843984
312,29.25033474,0.9999845416
313,29.70479251,0.9999846893
314,29.37663189,0.99998484
315,28.8546123,0.9999849841
316,28.03211249,0.9999851236
317,28.77232715,0.9999852688
318,27.56217335,0.9999854092
319,28.94093512,0.999985555
320,27.79690074,0.9999856947
321,25.7261333,0.9999858258
322,26.48708779,0.9999859635
323,27.13923368,0.9999861034
324,28.17909842,0.9999862456
325,26.71254633,0.999986385
326,26.54815809,0.9999865236
327,25.12597199,0.9999866559
328,24.98503284,0.9999867873
329,25.6947351,0.9999869193
330,25.26970278,0.9999870527
331,25.32977342,0.9999871841
332,24.84632221,0.9999873138
333,24.32422231,0.9999874466
334,25.21083066,0.9999875789
335,24.10547707,0.9999877081
336,24.45937365,0.9999878372
337,25.10026019,0.9999879687
338,23.75079905,0.999988101
339,23.92447164,0.9999882293
340,24.04523146,0.9999883615
341,24.06191393,0.9999884907
342,24.15047829,0.9999886197
343,22.73570686,0.9999887475
344,24.19534494,0.9999888765
345,22.86973863,0.9999890046
346,23.49362275,0.9999891324
347,22.37294228,0.9999892564
348,22.94135711,0.9999893828
349,22.72467667,0.9999895064
350,22.64921046,0.9999896338
351,22.29267301,0.9999897594
352,22.57853533,0.9999898863
353,22.48777654,0.9999900132
354,22.3106706,0.9999901364
355,22.00924672,0.999990263
356,22.28231972,0.999990387
357,21.59636021,0.9999905123
358,21.94507926,0.9999906359
359,22.3423769,0.9999907615
360,20.86260816,0.9999908835
361,21.81581986,0.9999910064
362,20.6070533,0.9999911264
363,22.05968748,0.9999912513
364,20.63499439,0.9999913732
365,21.31912288,0.9999914976
366,20.61912398,0.9999916177
367,21.81771205,0.9999917439
368,20.92721333,0.9999918664
369,20.86619118,0.9999919905
370,19.99741182,0.9999921078
371,20.43815136,0.9999922272
372,20.45415091,0.9999923478
373,20.29737966,0.9999924681
374,20.86208604,0.9999925947
375,20.77073685,0.9999927171
376,20.15290005,0.9999928366
377,19.5447392,0.9999929551
378,20.47777554,0.9999930771
379,19.56941947,0.9999931959
380,20.43781382,0.9999933166
381,19.29412858,0.9999934356
382,19.20372461,0.9999935531
383,20.03620709,0.9999936746
384,19.31341055,0.9999937926
385,19.17527765,0.9999939095
386,19.6657194,0.999994032
387,19.37481257,0.9999941496
388,19.88781788,0.9999942727
389,19.69207714,0.9999943951
390,19.79495353,0.9999945168
391,18.94221043,0.999994636
392,19.342525,0.9999947543
393,18.57308281,0.9999948711
394,18.54692727,0.9999949897
395,19.48806263,0.9999951099
396,19.4081983,0.9999952329
397,19.2874175,0.9999953519
398,19.02922724,0.9999954758
399,19.36763781,0.9999955983
400,18.89530577,0.9999957175
401,18.70382127,0.9999958385
402,19.20740088,0.9999959595
403,18.66427528,0.9999960807
404,19.32406476,0.9999962034
405,17.77285638,0.999996317
406,17.63123555,0.9999964331
407,18.39511508,0.9999965503
408,19.05993757,0.9999966756
409,18.87188123,0.999996796
410,18.80649086,0.9999969188
411,18.04159784,0.9999970382
412,11.46127859,0.9999971114
413,4.120979658,0.9999971369
414,3.905459695,0.9999971606
415,3.6627669,0.9999971835
416,3.43447982,0.9999972038
417,3.527664798,0.9999972246
418,3.468002084,0.9999972447
419,3.227818328,0.999997264
420,3.071968409,0.999997282
421,3.26113713,0.9999973008
422,3.174930771,0.9999973192
423,3.188702991,0.9999973374
424,3.188621822,0.9999973555
425,2.979624473,0.9999973725
426,3.000311877,0.9999973893
427,2.840116011,0.9999974054
428,2.98438113,0.9999974222
429,2.98930116,0.9999974388
430,2.98744926,0.999997455
431,2.953043808,0.9999974712
432,2.78571908,0.9999974871
433,2.992948799,0.9999975034
434,2.935458873,0.9999975197
435,3.03020798,0.999997536
436,2.898253563,0.9999975517
437,2.838992978,0.9999975674
438,2.903810547,0.9999975829
439,2.989530363,0.9999975993
