freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.018977313e+11,0.7336923673
1,1276681634,0.770807854
2,868575769.8,0.8213100491
3,358861553.4,0.847391965
4,184922478.7,0.8635200762
5,103749614.5,0.8786010382
6,124754308.9,0.8949218072
7,65930425.73,0.9064221207
8,40853105.3,0.9147358459
9,24055033.01,0.9196311147
10,13010830.11,0.9228462295
11,18193195.61,0.9270775071
12,20317769.62,0.932984257
13,16359995.79,0.9384538319
14,10860620.42,0.9419269526
15,9452448.071,0.9452245535
16,7532068.755,0.9478522069
17,4248518.79,0.9496431347
18,3133674.767,0.9510096602
19,3507556.357,0.9525392271
20,4136920.932,0.9544033797
21,3032344.063,0.9559901846
22,4053242.568,0.9579933834
23,2945820.332,0.9594920908
24,3888000.137,0.961639686
25,3065163.522,0.963510995
26,2437123.658,0.9650697318
27,2685131.932,0.9666699973
28,1784410.986,0.9677593957
29,1984560.641,0.9691440717
30,1898995.256,0.970441443
31,1846702.637,0.9718373062
32,1584871.739,0.9729891847
33,1531639.477,0.9741469018
34,1214305.886,0.9751530119
35,1301174.259,0.9761365278
36,1151121.45,0.9771070192
37,1066016.255,0.9779902643
38,1036125.685,0.9789541709
39,828930.5679,0.9797012256
40,778456.9636,0.9803688454
41,813983.3524,0.9811734212
42,673880.5725,0.9818199225
43,799916.7521,0.9826571045
44,684924.859,0.9833440694
45,730817.4017,0.9840664405
46,628858.9141,0.9847428777
47,486638.5666,0.9852592607
48,511165.7964,0.9858388214
49,544060.2938,0.9864398611
50,487066.1482,0.9870345774
51,447146.0668,0.9875610514
52,446417.8063,0.9880672008
53,388477.9779,0.9885528329
54,399557.1744,0.9890232753
55,307587.782,0.9894435561
56,321456.6899,0.9898454056
57,313077.6825,0.9902549841
58,268256.3934,0.9906098253
59,248762.5575,0.9909424967
60,256471.5998,0.9913078457
61,197555.7238,0.9915863961
62,239305.6962,0.991927292
63,192958.8869,0.9922077755
64,203255.7468,0.9924943629
65,216608.6273,0.9928344123
66,181873.7793,0.9930987826
67,170447.2963,0.9933614091
68,163027.7556,0.9936291918
69,151471.8092,0.9938581772
70,134416.2444,0.9940770099
71,144025.5834,0.9943010192
72,112592.2717,0.9944974151
73,130642.0221,0.9947176993
74,131205.4868,0.9949389337
75,111823.9172,0.9951323638
76,129919.5088,0.9953589838
77,119765.5483,0.9955748557
78,106114.9575,0.9957584107
79,113179.048,0.9959624107
80,86239.70239,0.9961253753
81,87796.80191,0.9962849012
82,73804.47946,0.9964286586
