freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.440394699e+11,0.8535375176
1,3674943511,0.9264757108
2,482421384.5,0.9456253625
3,75738310.11,0.9493833899
4,92401209.83,0.9548851703
5,24987343.03,0.9573648433
6,20638887.85,0.9592081735
7,21156667.06,0.9617276066
8,13993241.98,0.9636717161
9,8776175.383,0.9648910079
10,5949379.554,0.9658946871
11,5729041.995,0.9668043413
12,9437754.293,0.9686774932
13,8104373.894,0.9705272799
14,5978674.187,0.9718325545
15,6585133.908,0.9734009305
16,7014038.887,0.9750714585
17,4588360.02,0.9763919324
18,5860604.222,0.9781367016
19,4613084.644,0.9795100699
20,3785724.31,0.980674692
21,3308006.804,0.9818564899
22,2338310.174,0.9826454506
23,1942210.042,0.9833200386
24,1798836.149,0.9839983819
25,1856442.005,0.9847721396
26,1654142.032,0.98549441
27,1574158.191,0.9861348915
28,1691215.53,0.9868397835
29,1169981.125,0.9873970904
30,1259169.391,0.9879843855
31,1088804.189,0.9885462446
32,1153994.237,0.9891188402
33,858775.2462,0.9895619968
34,986470.4868,0.9901199956
35,820058.1796,0.9905431729
36,885004.2779,0.9910525597
37,871562.6745,0.9915455607
38,619057.2462,0.991938735
39,615860.3991,0.9923176557
40,633210.3246,0.9926883999
41,541423.1642,0.9930537591
42,571517.7548,0.9934280834
43,457675.9221,0.9937550963
44,485328.3254,0.9940874183
45,332103.056,0.9943115256
46,412346.4497,0.9946143343
47,383056.7568,0.9948918326
48,311692.5562,0.9951330982
49,324256.4594,0.9953776532
50,315985.6221,0.9956410563
51,330421.467,0.995906656
52,278984.0678,0.9961226036
53,220275.582,0.9963105955
54,226662.0663,0.9964927913
55,189221.6405,0.9966693027
56,188868.4317,0.9968304905
57,158942.2128,0.9969724473
58,141007.1475,0.997099785
59,127430.7616,0.997216127
60,124683.5288,0.9973373847
61,111906.8524,0.9974451063
62,129227.19,0.9975707829
63,102355.8233,0.9976723579
64,90065.88879,0.9977590553
65,87431.66766,0.9978527612
66,83607.34084,0.9979357308
67,72982.15771,0.9980125017
68,61877.66863,0.9980818901
69,58827.15012,0.9981426036
70,66574.06361,0.9982165978
71,62011.66821,0.9982824441
72,62089.7718,0.9983563835
73,58842.16294,0.9984241197
74,50116.31,0.9984818111
75,48542.30716,0.9985391358
76,42309.34502,0.9985895197
77,47025.7093,0.9986473868
78,37012.55799,0.9986910957
79,32273.64704,0.9987308098
80,38246.01767,0.9987801503
81,30319.86718,0.998817761
82,30404.9466,0.9988581929
83,27286.88344,0.9988923121
84,28613.21858,0.9989303613
85,26156.14101,0.9989659218
86,21930.32188,0.9989955196
87,24128.64482,0.9990285631
88,26307.27647,0.9990627627
89,23819.22409,0.999098219
90,21565.50054,0.9991277524
91,20981.05473,0.9991577346
92,18490.87344,0.9991843419
93,17898.45274,0.9992102743
94,17277.75089,0.9992363361
95,17631.00172,0.999261706
96,15174.83596,0.9992842947
97,13962.07729,0.9993061865
98,13598.73527,0.9993266988
99,12686.48891,0.9993469683
100,11580.39597,0.9993644362
101,10490.2223,0.9993817171
102,8921.818554,0.9993959717
103,10310.1674,0.9994119329
104,9114.923811,0.9994271291
105,9551.061163,0.999442389
106,8892.446025,0.9994577438
107,10351.39779,0.9994750015
108,8700.727366,0.9994893346
109,8530.548396,0.9995038105
110,8543.552898,0.9995183933
111,8514.879824,0.9995336032
112,6789.965255,0.999545395
113,6971.812776,0.9995577102
114,6937.83036,0.9995705161
115,7320.94027,0.9995835933
116,7341.053297,0.9995966335
117,5753.583776,0.9996071393
118,5733.343023,0.9996178358
119,5425.774688,0.9996280123
120,5411.033337,0.9996381074
121,4908.974233,0.999647071
122,4968.176413,0.9996565865
123,4518.97615,0.9996658245
124,3797.106701,0.9996729086
125,3339.148717,0.9996796023
126,3099.227475,0.9996854151
127,3274.098577,0.9996920433
128,3102.74323,0.9996983862
129,3061.619452,0.9997043716
130,2900.462245,0.9997104161
131,2806.876808,0.9997160428
132,2608.296365,0.9997216337
133,2450.345832,0.9997267645
134,2271.317493,0.9997312725
135,2047.986309,0.9997357437
136,1954.756936,0.9997398755
137,1738.92786,0.9997436375
138,1704.603425,0.9997472913
139,1627.996961,0.9997507325
140,1748.557059,0.9997546888
141,1745.215422,0.9997584644
142,1491.774078,0.9997617805
143,1218.112632,0.9997645003
144,1320.650692,0.9997674884
145,1266.049047,0.9997704284
146,1196.879576,0.9997731246
147,1230.18348,0.999775908
148,1074.485072,0.9997784457
149,935.0648901,0.9997806357
150,1051.025613,0.9997831076
151,1117.802028,0.9997856589
