freq_radius,radial_mean_power,cumulative_energy_fraction
0,7.043254713e+10,0.5516998731
1,2195903409,0.6893043961
2,581268994.2,0.7621539052
3,436052700.2,0.8304661356
4,153860220.5,0.859390717
5,100340089.1,0.8908293724
6,76371627.58,0.9123653225
7,50434670.89,0.9313280113
8,24743656.95,0.942181801
9,15680113.56,0.949059873
10,8214821.484,0.9534354621
11,5061042.473,0.9559726314
12,1694459.865,0.9570344511
13,1219456.698,0.9579132382
14,1374115.978,0.9588604249
15,1974678.453,0.9603453245
16,2600181.566,0.962300584
17,2834586.227,0.9648761765
18,2887485.09,0.9675903055
19,2944307.647,0.9703578456
20,2237421.19,0.9725310417
21,1756912.335,0.9745127607
22,1138520.59,0.9757256168
23,679501.9581,0.9764707746
24,360120.0776,0.9768995407
25,300941.2582,0.9772955638
26,307065.3809,0.9777188879
27,322733.1683,0.9781334761
28,511404.935,0.9788064585
29,407696.7732,0.9794196102
30,575378.8825,0.9802669182
31,647320.4935,0.9813215774
32,624943.5428,0.9823006171
33,500148.6424,0.9831154938
34,477872.2205,0.9839689399
35,268644.7086,0.9844066345
36,248886.1036,0.9848589257
37,271550.5847,0.9853438959
38,205115.0438,0.9857552037
39,189809.728,0.9861239262
40,196715.23,0.9864875728
41,202866.5587,0.9869197967
42,317919.5982,0.9875772286
43,279860.8062,0.9882085696
44,306049.4623,0.9888702225
45,325501.589,0.9895637306
46,185399.5625,0.9899935934
47,174714.8619,0.9903932088
48,135357.5513,0.9907240096
49,103728.5611,0.9909710121
50,96982.5788,0.9912262602
51,94747.955,0.9914667211
52,88644.57462,0.9916833599
53,137661.171,0.9920542962
54,158365.1563,0.9924562111
55,171195.6998,0.9929604197
56,187104.6488,0.9934645844
57,141870.8474,0.9938646445
58,126502.1894,0.9942253302
59,92939.13971,0.9944932322
60,91031.8706,0.9947727497
61,60774.06025,0.994957455
62,65987.85155,0.9951600737
63,61952.56448,0.9953541841
64,62409.20306,0.995543859
65,58433.61415,0.9957415906
66,110130.7652,0.9960866534
67,60726.21302,0.9962883374
68,69972.54385,0.9965360771
69,51213.11926,0.996702957
70,46352.07758,0.9968656155
71,48124.79493,0.9970269555
72,40221.90951,0.9971781839
73,36699.37473,0.9973115687
74,36781.41047,0.9974452516
75,27199.10394,0.997546664
76,26452.39794,0.9976461211
77,24503.37967,0.9977413211
78,23560.48257,0.9978291668
79,23813.36269,0.997921686
80,25157.47946,0.9980241568
81,20590.72442,0.9981048006
82,30080.69966,0.9982310945
83,20819.33456,0.998313286
84,19232.08064,0.9983940319
85,26715.21828,0.9985087069
86,14615.48978,0.9985709859
87,15109.99462,0.9986363189
88,11098.50951,0.9986818728
89,11798.88011,0.9987373254
90,12233.34072,0.9987902203
91,11183.29539,0.9988406773
92,17139.96408,0.9989185468
93,17420.24271,0.9989982355
94,16229.67156,0.9990755289
95,12718.6968,0.9991333119
96,10934.88116,0.9991847038
97,10694.00197,0.9992376442
98,10028.5868,0.9992854051
99,7260.757486,0.9993220318
100,9261.655169,0.9993661402
101,6927.543606,0.9994021713
102,6218.498257,0.9994335403
103,8087.926734,0.9994730725
104,5873.067486,0.9995039871
105,5936.06224,0.9995339314
106,5518.437689,0.9995640167
107,4497.629095,0.9995876913
108,4528.935867,0.9996112469
109,5109.289347,0.9996386214
110,3464.807868,0.9996572937
111,4339.670115,0.9996817684
112,3352.011633,0.9997001479
113,3342.363346,0.9997187886
114,2426.215359,0.9997329281
115,2365.942117,0.9997462715
116,2532.755659,0.9997604763
117,2360.124476,0.9997740827
118,1799.294312,0.9997846813
119,1917.749339,0.9997960377
120,2062.598761,0.9998081873
121,1463.195427,0.9998166228
122,1571.060242,0.9998261232
123,1495.637429,0.9998357766
124,1769.820996,0.9998462016
125,1351.78991,0.9998547572
126,1241.868884,0.9998621113
127,823.5139752,0.999867375
128,1087.103206,0.9998743916
129,870.6499995,0.9998797656
130,868.3575365,0.9998854792
131,819.8859534,0.9998906683
132,776.0379661,0.9998959203
133,864.8162292,0.9999016377
134,784.2551136,0.9999065522
135,594.849219,0.9999106525
136,746.0343684,0.9999156313
137,509.2235821,0.9999191095
138,478.8333462,0.9999223502
139,495.8309973,0.9999256592
140,465.5702134,0.9999289851
141,397.8474472,0.9999317026
142,367.7444942,0.9999342835
143,329.6697039,0.9999366076
144,380.8796525,0.9999393285
145,312.5220762,0.9999416198
146,451.9039141,0.9999448339
147,250.1163875,0.9999466207
148,321.2546454,0.9999490163
149,210.6304573,0.9999505738
150,244.8418477,0.9999523919
151,234.1807475,0.9999540795
152,246.6477274,0.9999559651
153,214.908283,0.999957561
154,187.4648892,0.9999590294
155,152.6750751,0.9999601775
156,227.4877581,0.9999619166
157,156.5842963,0.9999631677
158,195.3582595,0.9999646367
159,173.3440579,0.9999659945
160,136.7841771,0.9999670703
161,128.3332998,0.9999681318
162,128.4179991,0.9999691618
163,113.7938461,0.9999700496
164,125.1510085,0.9999710691
165,100.0007885,0.9999718775
166,103.7700592,0.9999727554
167,110.8512972,0.999973648
168,128.94845,0.9999746823
169,81.7363536,0.999975384
170,84.37625052,0.9999760951
171,74.24037536,0.9999767232
172,80.34794379,0.9999773928
173,62.25812436,0.9999779351
174,53.79809814,0.999978402
175,68.80091438,0.9999789841
176,62.26209403,0.9999795264
177,66.25215189,0.9999800889
178,54.60345477,0.9999805817
179,59.94478505,0.9999811151
180,48.35560659,0.9999815347
181,62.07395092,0.999982091
182,42.74784597,0.9999824821
183,58.84161058,0.9999830241
184,46.60319228,0.9999834315
185,43.75978562,0.9999838319
186,49.93293578,0.9999843012
187,49.28480505,0.9999847537
188,46.37779629,0.9999851838
189,46.87825998,0.9999856127
190,31.92948219,0.9999859108
191,28.44300835,0.9999861844
192,30.11879433,0.9999864618
193,20.70096054,0.9999866642
194,19.5833855,0.9999868477
195,17.9669806,0.9999870233
196,18.11102034,0.9999872003
197,20.1332534,0.9999873934
198,23.48856173,0.9999876252
199,25.60426917,0.9999878723
200,23.2201015,0.999988108
201,22.32661869,0.9999883242
202,18.32973233,0.9999885022
203,21.56759367,0.9999887266
204,18.41177947,0.9999889094
205,13.60206132,0.9999890501
206,6.742342211,0.9999891168
207,5.810631853,0.9999891762
208,6.067925019,0.9999892391
209,7.380609466,0.9999893145
210,7.500841709,0.9999893916
211,9.562108678,0.9999894925
212,10.82967698,0.9999896059
213,10.62762241,0.9999897178
214,9.282372004,0.9999898155
215,8.478621749,0.9999899034
216,7.863343222,0.9999899887
217,7.544724751,0.99999007
218,5.488223658,0.9999901283
219,4.871560063,0.9999901811
220,4.517017601,0.99999023
221,4.612845711,0.9999902805
222,4.728090096,0.9999903332
223,5.104246998,0.9999903882
224,5.462559053,0.9999904495
225,5.275674972,0.9999905072
226,6.810565696,0.9999905832
