freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.453433405e+11,0.846214258
1,1363357530,0.8729399526
2,545059459,0.8943093914
3,332167097.3,0.9105879467
4,116878407.8,0.9174613968
5,71387514.59,0.9244583908
6,70695459.69,0.9306946374
7,55200701.68,0.9371871842
8,56496915.6,0.9449396885
9,38787229.84,0.9502620706
10,16619913.55,0.9530313509
11,16009973.78,0.95554208
12,19817448.4,0.9594268649
13,12253255.2,0.9621891503
14,12477302.89,0.9648796482
15,9144988.434,0.9670308623
16,7210723.156,0.9687270711
17,7016399.122,0.9707214218
18,6480500.921,0.9726269662
19,6209812.188,0.9744529165
20,4675286.141,0.9758734751
21,4127627.057,0.9773299137
22,3657328.882,0.978548713
23,3636033.205,0.9797960538
24,2328026.955,0.9806631371
25,2481438.991,0.981684646
26,2224346.467,0.9826439237
27,1690542.951,0.9833232827
28,1832143.397,0.9840775026
29,1563090.181,0.9848128872
30,1398570.15,0.9854571623
31,1362293.422,0.986151488
32,880083.4187,0.9865827916
33,1081151.958,0.9871338268
34,1115495.758,0.9877570333
35,952229.7073,0.9882423602
36,934430.4614,0.9887735677
37,553139.4098,0.9890825963
38,609668.6983,0.9894650362
39,719222.1785,0.9899020991
40,701825.9586,0.9903079539
41,623315.032,0.9907233915
42,540465.5263,0.9910730154
43,532991.662,0.9914491491
44,519769.9914,0.9918006686
45,402312.8847,0.992068809
46,474087.2652,0.992412667
47,429572.415,0.9927200279
48,420008.7647,0.9930411293
49,334302.2803,0.9932901538
50,299391.9124,0.9935366491
51,268926.0661,0.9937501536
52,300429.7511,0.9939798356
53,243524.4708,0.9941851078
54,294570.0491,0.9944189716
55,223022.9201,0.9946244502
56,226292.6559,0.9948151973
57,242345.1723,0.9950289769
58,206244.1612,0.9952129322
59,196341.467,0.9953899794
60,194352.0302,0.9955766622
61,198748.7015,0.9957656202
62,159569.9516,0.9959188935
63,148965.7587,0.9960649012
64,137517.6597,0.9961956445
65,130363.2362,0.996333641
66,128169.1403,0.996459265
67,122575.521,0.996586615
68,133932.4188,0.9967349533
69,124625.9856,0.9968619906
70,105719.3727,0.9969780451
71,98307.13447,0.9970811449
72,88788.85829,0.9971855758
73,83527.58096,0.9972805438
74,94503.19875,0.9973879907
75,93199.49559,0.9974966957
76,72534.68903,0.9975820089
77,69283.76175,0.9976662148
78,73737.31254,0.9977522198
79,67853.8188,0.9978346877
80,67954.89253,0.9979212748
81,64994.57388,0.9980009048
82,57898.86355,0.9980769486
83,59766.23981,0.9981507587
84,53357.85538,0.9982208384
85,50093.25535,0.9982881034
86,52338.09228,0.9983578698
87,48018.62803,0.9984228196
88,48973.59973,0.9984857011
89,46039.65714,0.9985533892
90,42368.65501,0.9986106969
91,46924.71437,0.9986769267
92,38327.7839,0.9987313984
93,38275.84995,0.9987861715
94,33794.12289,0.9988365185
95,32018.32832,0.9988820232
96,34273.50135,0.9989324125
97,29113.56113,0.9989774985
98,30734.70771,0.9990232876
99,27459.04052,0.9990666188
100,26926.83924,0.9991067349
101,22866.60868,0.9991439397
102,23028.65818,0.9991802796
103,19668.59991,0.9992103533
104,21596.68094,0.9992459152
105,16461.1285,0.9992718914
106,15587.33062,0.9992984748
107,16401.07744,0.9993254814
