freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.867554519e+11,0.8798859066
1,1041791578,0.8949515043
2,466625706.1,0.9084474766
3,273505806.4,0.9183355592
4,135851494.9,0.9242293023
5,88109536.65,0.9306001679
6,55813735.37,0.934232279
7,48185748.54,0.938413233
8,52390098.54,0.9437166134
9,47235340.51,0.9484981844
10,24989023.73,0.9515698487
11,20679784.64,0.9539622912
12,12094207.19,0.9557112635
13,8525619.803,0.9571291104
14,11453000.67,0.9589509808
15,9025158.475,0.9605171606
16,18865206.18,0.9637909318
17,15886564.85,0.9671221534
18,16306477.4,0.9706593316
19,8293249.762,0.9724582917
20,5333469.389,0.9736537847
21,6494147.277,0.9753442262
22,5435322.049,0.9766804516
23,4942882.183,0.9779313552
24,4743388.304,0.9792346654
25,3052402.359,0.9801616374
26,2792135.878,0.9810499478
27,2857316.745,0.9818970148
28,3194744.485,0.9828672141
29,2178154.644,0.9836231857
30,1991340.301,0.9842999211
31,1718461.081,0.9849460491
32,1424826.146,0.9854611679
33,1247798.41,0.9859303304
34,1553755.792,0.9865707036
35,1065025.705,0.986971145
36,1523710.166,0.9876101524
37,1427859.786,0.9881986381
38,2438500.13,0.9893270777
39,2441541.301,0.9904216168
40,1215720.322,0.9909402511
41,1064160.016,0.9914634795
42,792998.4665,0.991841915
43,792959.0748,0.9922547332
44,588503.4513,0.992548345
45,550102.4808,0.9928188206
46,522755.5499,0.9930985293
47,518524.2218,0.9933722246
48,490927.6683,0.9936491021
49,469581.9965,0.9939071501
50,423279.3689,0.9941642382
51,443435.4997,0.9944239496
52,410090.5568,0.9946552359
53,315287.3264,0.9948512921
54,277166.2765,0.9950136229
55,293814.6894,0.9952133223
56,387592.4912,0.9954543402
57,411964.0408,0.9957224282
58,256163.8942,0.9958909806
59,231912.4376,0.9960452527
60,241295.8361,0.9962162351
61,215616.2432,0.9963674619
62,176862.5002,0.9964927868
63,179608.9792,0.9966226552
64,158797.3525,0.9967340309
65,149210.4677,0.9968505504
66,161996.6067,0.996967684
67,155752.1935,0.9970870596
68,135006.6978,0.9971973682
69,103717.894,0.9972753624
70,107745.329,0.9973626178
71,115127.2624,0.997451689
72,111838.0894,0.9975487281
73,115001.7879,0.997645186
74,151240.1783,0.997772039
75,106992.7385,0.9978641002
76,112648.2143,0.9979618422
77,85836.27482,0.9980388027
78,92484.18678,0.9981183802
79,84717.37081,0.9981943375
80,73630.48761,0.9982635487
81,73427.02253,0.9983299141
82,68721.5041,0.9983964986
83,60741.04192,0.9984518372
84,59211.86801,0.9985092078
85,58805.18363,0.9985674599
86,54007.56156,0.998620569
87,58041.48071,0.9986784843
88,59118.9332,0.9987344824
89,49322.17884,0.9987879769
90,46052.70845,0.9988339294
91,50155.96096,0.9988861523
92,40829.54406,0.9989289596
93,42237.12438,0.9989735481
94,39448.2707,0.9990169039
95,46381.35164,0.9990655319
96,34414.73182,0.9991028579
97,34030.17725,0.9991417353
98,32006.11771,0.9991769117
99,29444.14564,0.9992111885
100,32270.58298,0.9992466557
101,29938.99125,0.9992825909
102,27614.12507,0.9993147373
103,24932.28476,0.9993428604
104,28330.18751,0.9993772743
105,32720.66184,0.9994153654
106,27408.94593,0.9994498494
107,23567.68494,0.9994784781
108,21994.98122,0.9995048783
109,22247.78245,0.9995323862
110,23303.78359,0.9995613684
111,20759.77424,0.9995883875
112,17849.39518,0.9996109733
113,13884.29663,0.9996288431
114,15051.4234,0.9996490857
115,13074.78639,0.9996661027
116,13370.61557,0.999683408
117,10644.83321,0.9996975703
118,10696.39901,0.9997121105
119,9955.953039,0.9997257162
120,9689.992944,0.9997388883
121,8188.860152,0.9997497831
122,8305.59947,0.9997613736
123,7387.958832,0.999772378
124,8416.499546,0.9997838191
125,7496.089801,0.9997947677
126,7242.606397,0.9998046654
127,6629.955848,0.9998144449
128,6411.445948,0.9998239948
129,6005.930158,0.9998325498
130,5174.780726,0.9998404074
131,5309.59203,0.9998481625
132,4972.680263,0.9998559289
133,4582.082219,0.9998629196
134,4200.021269,0.9998689933
135,4039.111077,0.9998754185
136,3947.960454,0.9998814988
137,3458.059744,0.9998869497
138,3587.109545,0.9998925521
139,3160.192104,0.9998974192
140,2706.525727,0.9999018811
141,2546.192356,0.9999058946
142,2564.595878,0.9999100484
143,2466.554202,0.9999140612
144,1898.427165,0.9999171909
145,2159.838754,0.9999208453
146,1698.944247,0.9999236338
147,1869.747428,0.9999267163
148,1656.051558,0.9999295661
149,1866.832753,0.9999327517
150,1575.078459,0.9999354509
151,1530.404523,0.999937996
152,1222.060399,0.9999401521
153,1325.724666,0.9999424239
154,1292.538657,0.9999447604
155,1125.351821,0.9999467132
156,1172.065195,0.9999487811
157,1226.947788,0.9999510433
158,1033.26891,0.9999528364
159,987.8232211,0.9999546221
160,1107.991042,0.9999566329
161,886.3824302,0.9999583249
162,893.506855,0.9999599789
163,787.825976,0.9999613973
164,841.9873415,0.9999629802
165,658.4571822,0.9999642085
166,691.552378,0.9999655586
167,655.5029923,0.9999667767
168,665.9748332,0.9999680095
169,555.7061946,0.9999691104
170,563.4916531,0.9999702064
171,442.3385209,0.99997107
172,464.6912493,0.9999719638
173,407.0603111,0.999972782
174,419.2774963,0.9999736218
175,370.7570079,0.9999743456
176,409.4887141,0.9999751687
177,348.1272345,0.9999758509
178,338.3963644,0.9999765555
179,315.2830722,0.999977203
180,336.199146,0.9999778763
181,325.3527574,0.9999785492
182,331.0372226,0.9999792481
183,279.9240205,0.9999798432
184,252.3968239,0.9999803523
185,256.3641038,0.9999808936
186,288.8241688,0.9999815201
187,282.8278243,0.9999821193
188,250.1401717,0.9999826547
189,185.2469478,0.9999830458
190,171.6928717,0.9999834157
191,154.8596405,0.9999837595
192,149.2774685,0.9999840768
193,129.6989545,0.9999843694
194,116.0009311,0.9999846202
195,97.19762108,0.9999848395
196,87.76498742,0.9999850375
197,103.6722142,0.9999852669
198,99.70948173,0.999985494
199,78.84120192,0.9999856696
200,64.24307373,0.9999858201
201,70.20779851,0.9999859769
202,74.29221199,0.9999861434
