freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.994719754e+11,0.9150834351
1,595806116,0.9260020945
2,190881418.8,0.9329982268
3,231388135.1,0.9435991932
4,101593145.9,0.9491845385
5,49298281.27,0.9537017055
6,47478295.32,0.9576170682
7,32889052.95,0.9612333893
8,17959575.12,0.9635372619
9,6509744.675,0.9643723386
10,12492227.46,0.9663182505
11,7926517.083,0.9674803324
12,8327192.371,0.969006362
13,6240585.661,0.9703215491
14,6152400.777,0.9715617775
15,5501360.746,0.9727715835
16,4215252.581,0.9736985611
17,3653455.815,0.9746693755
18,3121468.354,0.9755274294
19,2782700.058,0.97629236
20,3245799.769,0.9772143321
21,2626625.11,0.978080765
22,2522625.641,0.9788666629
23,2174393.115,0.9795639963
24,1530966.011,0.9800970654
25,1281590.934,0.9805902768
26,1501023.838,0.9811954429
27,1603603.105,0.9817978847
28,1356540.883,0.9823199401
29,1220401.158,0.9828566977
30,1121998.703,0.9833398951
31,1298432.584,0.9839585623
32,1165747.136,0.9844926453
33,1032187.043,0.9849844539
34,796607.6778,0.9854005117
35,633236.0418,0.9857022312
36,662179.4707,0.9860541464
37,756992.0042,0.9864495135
38,618000.5286,0.986811926
39,666828.1162,0.9871907522
40,548730.3903,0.9874874029
41,504560.0499,0.9878017838
42,561892.0066,0.9881415899
43,464982.8486,0.9884483535
44,444319.4736,0.988729271
45,487635.7549,0.9890331067
46,432532.757,0.9893263885
47,421495.1259,0.989608324
48,443221.21,0.989925098
49,428810.865,0.9902237144
50,320589.8891,0.990470468
51,380767.5383,0.9907530727
52,355695.8641,0.9910072915
53,363357.8567,0.9912936219
54,345451.788,0.9915500153
55,345339.0226,0.9918474611
56,429971.2404,0.9921862836
57,444930.7433,0.9925532018
58,397363.6272,0.9928845342
59,328011.744,0.9931610447
60,406799.4659,0.9935263372
61,336778.9653,0.9938256678
62,320541.5525,0.9941135036
63,300260.8875,0.9943886305
64,221356.6462,0.9945853732
65,241429.1165,0.9948242906
66,202230.8257,0.9950095933
67,203794.9893,0.9952075334
68,194068.7187,0.9954084743
69,173295.5368,0.9955736154
70,167608.5662,0.9957456233
71,177605.9114,0.9959197541
72,181346.9318,0.9961191544
73,202342.8968,0.9963342247
74,207622.4089,0.9965549065
75,163678.8643,0.9967333801
76,132025.5204,0.996878549
77,147778.9844,0.9970464559
78,117195.7728,0.9971742449
79,112006.8258,0.9973015074
