freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.317833668e+11,0.8145695051
1,1460053759,0.8432464163
2,1227836840,0.8914782951
3,192670024.4,0.9009388734
4,141062133.6,0.9092506762
5,132722753.8,0.9222847121
6,134342883.1,0.9341585387
7,31566847.54,0.9378785648
8,44075125.9,0.9439383206
9,28043517.99,0.9477939392
10,22500301.71,0.9515503302
11,21919474.39,0.9549944928
12,18510515.99,0.9586301426
13,11626179.48,0.9612561648
14,10538530.17,0.9635330244
15,7399325.851,0.965276986
16,8299054.212,0.9672330064
17,5821893.474,0.9688910494
18,4575621.77,0.9702390959
19,4557024.545,0.9715816635
20,3969420.241,0.9727900958
21,3748484.686,0.9741153273
22,3040696.328,0.9751306065
23,2466009.739,0.9759782171
24,2271417.206,0.9768258622
25,1849076.718,0.9775885341
26,2172601.166,0.9785273192
27,1672883.739,0.9792008899
28,1527836.149,0.9798310626
29,1655792.332,0.9806115765
30,1405525.496,0.9812603156
31,1281412.97,0.9819146896
32,1337807.382,0.9825715863
33,1179076.095,0.9831737003
34,925712.0154,0.9836918846
35,977488.6742,0.9841910548
36,1084136.001,0.9848085666
37,904143.006,0.9853146773
38,864999.1361,0.9858583396
39,742166.6582,0.9863102232
40,737836.3765,0.9867377326
41,681719.6452,0.9871929808
42,522798.3407,0.987531834
43,574223.1366,0.9879378534
44,617918.7297,0.988356564
45,524907.4829,0.988707094
46,538954.5946,0.9890987614
47,487844.9319,0.9894484957
48,459660.2918,0.9898005949
49,388956.5342,0.9900908957
50,380948.8863,0.9904051488
51,332823.1911,0.9906698964
52,337099.5589,0.9909281143
53,274124.0924,0.9911596294
54,310484.3155,0.9914066073
55,301512.4757,0.9916849416
56,344999.9444,0.9919763157
57,270470.5386,0.9922153697
58,290090.4845,0.9924746135
59,310120.8845,0.9927548034
60,260307.6998,0.9930053258
61,266733.9383,0.9932594134
62,238661.4582,0.9934891033
63,228291.77,0.9937132972
64,233271.9704,0.9939355094
65,222026.5832,0.9941709939
66,184734.0125,0.9943524119
67,134536.3567,0.9944924606
68,162142.3902,0.9946723926
69,140562.0157,0.9948159531
70,161119.7799,0.994993168
71,139686.1094,0.9951399493
72,122832.9046,0.9952847029
73,138106.949,0.9954420313
74,131314.78,0.9955916222
75,145106.2211,0.995761199
76,130972.0761,0.9959155443
77,121162.1915,0.9960630886
78,146533.517,0.9962343334
79,125886.0918,0.9963876302
80,129473.3145,0.9965529242
81,120978.0395,0.9967014323
82,119048.171,0.9968580933
83,112365.3657,0.9969971323
84,95787.28874,0.9971231833
85,97935.0764,0.997254946
86,93056.95494,0.9973792317
87,79460.66417,0.9974869191
88,81156.16879,0.9975913253
89,62728.55257,0.9976837291
90,61755.6966,0.9977674222
91,73321.89091,0.9978711105
92,63098.32242,0.9979609608
93,61796.98243,0.9980495648
94,55176.22872,0.9981319273
95,52198.03859,0.9982062558
96,50779.96509,0.9982810585
97,52861.89228,0.9983630811
98,43332.93765,0.9984277648
99,46039.30867,0.9985005576
100,51540.76275,0.9985774933
101,42048.17239,0.9986460403
102,33214.68931,0.9986985561
103,34802.74565,0.9987518738
104,31338.16841,0.9988035769
105,33281.73103,0.9988561987
106,27584.08018,0.9989033334
107,25729.03986,0.9989457823
108,25834.97777,0.9989878986
109,26519.08067,0.9990324322
110,24026.6719,0.9990730163
111,24228.47196,0.9991158447
112,28755.42193,0.9991652634
113,22925.96558,0.9992053391
114,22451.98104,0.9992463502
115,19985.655,0.9992816786
116,22901.91151,0.9993219372
117,19858.39805,0.9993578207
118,22233.43172,0.9993988693
119,19912.74818,0.9994358288
120,17804.43048,0.9994687003
121,19821.94355,0.999504518
122,14578.85258,0.9995321501
123,12595.46605,0.999557631
124,14586.08474,0.9995845607
125,11728.96595,0.9996078279
126,11211.89829,0.999628638
127,10028.88695,0.9996487297
128,8711.566944,0.9996663534
129,9196.617215,0.9996841455
130,7986.256245,0.9997006156
131,8770.488146,0.999718014
132,7416.474101,0.999733746
133,6179.086564,0.9997465498
134,6791.692766,0.9997598894
135,5723.392386,0.9997722549
136,5234.887877,0.999783205
137,5208.206159,0.9997943551
138,4673.968747,0.9998042697
139,4070.238507,0.9998127836
140,4067.632552,0.9998218914
141,3862.719918,0.9998301609
142,3484.548601,0.9998378262
143,3376.733239,0.9998452875
144,3571.820976,0.9998532851
145,3310.433838,0.9998608924
146,3570.083969,0.9998688511
147,2772.808123,0.9998750596
148,2589.25601,0.9998811114
149,2502.848493,0.9998869121
150,2139.553327,0.9998918918
151,1859.178351,0.9998960912
152,1847.184813,0.9999005174
153,1597.38758,0.9999042352
154,1741.303037,0.9999085104
155,1712.587655,0.9999125468
156,1673.936909,0.9999165579
157,1605.996147,0.9999205797
158,1516.998559,0.9999241551
159,1280.003722,0.9999272977
160,1496.160347,0.9999309856
161,1419.582229,0.999934666
162,1285.541078,0.999937898
163,1171.662608,0.999940763
164,934.7651895,0.9999431498
165,1016.016113,0.9999457241
166,910.8938417,0.9999481393
167,893.2747106,0.9999503938
168,1037.673439,0.9999530026
169,874.6196984,0.999955356
170,811.5458211,0.9999574999
171,906.7835317,0.9999599043
172,801.7314617,0.9999619986
173,909.3687343,0.9999644813
174,761.2888907,0.9999665522
175,580.847447,0.9999680923
176,583.7869394,0.9999696861
177,426.2968718,0.9999708206
178,429.8993439,0.9999720365
179,372.313102,0.9999730749
180,463.6875567,0.9999743363
181,324.1984982,0.9999752468
182,295.7770016,0.999976095
183,323.4635716,0.9999770289
184,257.2430938,0.9999777337
185,235.6032534,0.9999784094
186,229.1594184,0.9999790845
187,208.3989706,0.9999796841
188,184.6862337,0.999980221
189,155.8644421,0.999980668
190,142.3028015,0.9999810844
191,131.6835534,0.9999814814
192,157.904221,0.9999819373
193,125.3999649,0.9999823215
194,112.7712465,0.9999826527
195,108.2069392,0.9999829842
196,94.42459485,0.9999832735
197,75.53981724,0.9999835005
198,71.19812034,0.9999837208
199,66.5018751,0.9999839219
200,60.72352211,0.9999841152
201,55.25632169,0.9999842828
202,50.14969022,0.9999844355
203,41.18802535,0.9999845698
204,42.01678789,0.9999847006
205,35.38986255,0.9999848153
206,33.58382527,0.9999849195
207,29.3033341,0.9999850133
208,31.71932218,0.9999851164
209,30.80650621,0.9999852151
210,30.12414134,0.9999853121
211,31.12050914,0.9999854151
212,32.18789499,0.9999855207
213,27.0442279,0.9999856099
214,28.49179658,0.9999857039
215,27.81094673,0.9999857943
216,25.63795995,0.9999858814
217,28.58078665,0.999985978
218,26.72412194,0.999986067
219,25.36866305,0.9999861532
220,26.35295797,0.9999862427
221,25.29809375,0.9999863294
222,27.22584827,0.9999864246
223,26.42114291,0.9999865138
224,24.46795791,0.9999865999
225,26.20944938,0.9999866897
226,23.99855493,0.9999867736
227,22.42044125,0.9999868515
228,22.4825382,0.9999869317
229,23.40914221,0.9999870177
230,26.4175917,0.9999871085
231,24.7091729,0.9999871958
232,24.44812214,0.999987283
233,24.50716518,0.9999873715
234,24.06758495,0.9999874609
235,22.15140908,0.9999875394
236,21.15762134,0.9999876163
237,19.85953112,0.9999876904
238,19.26182606,0.9999877591
239,19.81225873,0.9999878338
240,19.1155946,0.9999879025
241,14.75872304,0.9999879593
242,18.11398373,0.9999880282
243,18.94462303,0.9999880985
244,16.46033697,0.9999881612
245,17.30425998,0.9999882246
246,16.40236778,0.9999882897
247,15.93913985,0.9999883501
248,15.40752279,0.9999884079
249,16.09154379,0.9999884697
250,15.80846918,0.9999885299
251,14.77408341,0.9999885879
252,14.0940581,0.9999886426
253,14.0424575,0.9999886975
254,14.18926462,0.9999887538
255,14.28942148,0.9999888108
256,13.77957431,0.9999888648
257,13.8172934,0.9999889188
258,13.52706251,0.9999889738
259,13.4335078,0.9999890272
260,13.81972051,0.9999890828
261,12.82850632,0.9999891345
262,13.37954418,0.9999891885
263,14.58219543,0.9999892478
264,14.37142696,0.9999893056
265,14.55967026,0.9999893666
266,13.03758582,0.9999894199
267,14.62218423,0.9999894797
268,14.41195753,0.9999895403
269,13.7375831,0.9999895968
270,13.73374262,0.9999896537
271,13.8828377,0.9999897126
272,13.05139201,0.999989768
273,13.21524435,0.9999898234
274,12.77487141,0.9999898763
275,11.70359589,0.9999899271
276,13.34299541,0.9999899836
277,13.12261364,0.9999900403
278,13.08973512,0.9999900961
279,14.33839557,0.9999901576
280,13.73761875,0.9999902178
281,13.36319794,0.999990275
282,13.95622402,0.9999903359
