freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.260557808e+11,0.8871251833
1,911406992.3,0.9023068967
2,390275750.9,0.9153088918
3,187016891.1,0.9230969515
4,101266950.7,0.9281574981
5,67702120.04,0.9337962203
6,123766498.9,0.9430735727
7,90081873.54,0.9520767768
8,36616393.59,0.9563463261
9,41969161.41,0.9612400196
10,28348491.87,0.9652538343
11,15589907.45,0.9673313387
12,11577473.45,0.9692598502
13,16366483.24,0.9723950242
14,12045128.84,0.9746020762
15,8437318.822,0.9762886064
16,7012353.342,0.9776903013
17,5705650.46,0.979068404
18,4704890.722,0.980243976
19,4790297.651,0.9814408879
20,3279125.241,0.9822875267
21,2512848.935,0.9830409643
22,2480008.98,0.9837432448
23,4308338.033,0.9849991483
24,3097544.251,0.9859794946
25,997218.5891,0.9863283281
26,1114207.863,0.986736645
27,1383011.961,0.9872089126
28,979844.6594,0.9875516686
29,820748.9363,0.9878797865
30,1019331.61,0.9882788039
31,1060547.489,0.9887381202
32,851253.8248,0.9890926131
33,818431.7971,0.9894470707
34,654959.2887,0.9897580042
35,801449.4502,0.9901051069
36,924599.7389,0.9905517495
37,821998.8129,0.990941983
38,508597.8342,0.9912130851
39,629895.5632,0.9915383511
40,859174.6371,0.9919605449
41,549886.2246,0.9922719748
42,398057.3699,0.9924907852
43,326109.3923,0.9926863426
44,294599.6427,0.9928556437
45,285593.9853,0.9930173907
46,346677.2256,0.9932310568
47,389832.007,0.9934680734
48,362860.1745,0.993703802
49,304350.1234,0.9938964505
50,216618.6255,0.9940479996
51,176571.7314,0.9941671196
52,239500.4642,0.9943227088
53,264092.6889,0.9945118705
54,229103.6967,0.99466643
55,167607.3723,0.9947976498
56,215726.0788,0.9949521679
57,263729.3295,0.9951498555
58,164577.6917,0.9952745912
59,171286.329,0.9954058381
60,153264.4899,0.9955309349
61,125249.9423,0.9956321226
62,146255.8692,0.9957514988
63,173618.9745,0.9958961012
64,181026.9065,0.9960423503
65,145281.4791,0.9961730313
66,141530.0227,0.9962909078
67,142206.6386,0.9964164542
68,130012.7449,0.9965388151
69,149796.1642,0.9966685666
70,198679.9309,0.9968538986
71,116969.2094,0.9969581385
72,104826.4773,0.997062907
73,116527.8215,0.9971754882
74,101898.5491,0.9972739357
75,81087.73048,0.9973543032
76,103664.9633,0.9974579108
77,102354.7221,0.9975636188
78,89525.03258,0.9976523487
79,74568.92425,0.9977293606
80,76291.96328,0.9978119645
81,66807.31668,0.997881517
82,59798.56068,0.9979482551
83,56984.0193,0.9980080552
84,54238.1907,0.9980685877
85,46412.35551,0.9981215458
86,44853.25803,0.9981723514
87,39133.60913,0.9982173302
88,54881.84096,0.9982772097
89,59637.36173,0.9983517152
90,64319.98314,0.9984256422
91,46817.05444,0.9984817916
92,42026.26927,0.9985325453
93,50775.57418,0.998594288
94,47517.84984,0.998654444
95,39359.65479,0.9987019773
96,33591.23565,0.9987439431
97,30938.25589,0.9987846559
98,29775.55738,0.9988223508
99,30056.14139,0.9988626538
100,28991.73345,0.9988993563
101,33147.6887,0.9989451853
102,33717.82529,0.9989903983
103,30135.03458,0.9990295522
104,21040.67153,0.9990589929
105,26529.97292,0.9990945675
106,42933.97046,0.9991567874
107,44324.34534,0.9992188071
108,31388.216,0.9992622035
109,18710.17303,0.9992888507
110,17103.42138,0.9993133521
111,16131.32743,0.9993375357
112,14535.13502,0.999358721
113,15460.52374,0.9993816414
114,15011.93645,0.9994048971
115,13449.394,0.99942506
116,11273.92636,0.9994418676
117,10732.52389,0.9994583151
118,13911.79342,0.9994800981
119,18015.77767,0.9995084573
120,16775.64128,0.9995347246
121,9220.560643,0.999548855
122,6631.167922,0.9995595142
123,8516.977861,0.9995741269
124,9578.914469,0.9995891256
125,7038.490921,0.9996009672
126,6788.637389,0.9996116533
127,6158.266611,0.9996221166
128,5327.927375,0.9996312578
129,4827.246756,0.9996391782
130,7208.028027,0.9996517852
131,5933.97563,0.9996617686
132,4680.046818,0.999670188
133,3798.428828,0.9996768632
134,3249.218988,0.9996822756
135,4392.674015,0.9996903244
136,6589.976692,0.9997020151
137,5462.909454,0.9997119339
138,4083.868306,0.9997192808
139,3285.031118,0.9997251085
140,2642.123115,0.9997301258
141,2406.642999,0.9997344954
142,3352.880214,0.9997407506
143,4560.424529,0.9997492967
144,4004.451476,0.999756901
145,2377.117138,0.9997615338
146,1648.571844,0.9997646506
147,2178.709925,0.9997687879
148,3097.600471,0.999774928
149,3293.08553,0.9997814009
