freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.282384849e+11,0.8217067424
1,545081962.8,0.8326231351
2,906846117.9,0.86894607
3,373973314.8,0.887670041
4,194550785.5,0.8993588855
5,172708347.5,0.9166530933
6,84100383.1,0.9242323711
7,35041448.84,0.9284430356
8,30151994.23,0.9326700276
9,28183510.16,0.9366210588
10,22840980,0.9405092803
11,19446307.33,0.9436249002
12,14267304.75,0.9464822228
13,15265499.16,0.9499980392
14,10379262.85,0.9522845673
15,11047885.3,0.9549396481
16,9076875.692,0.9571210464
17,7764892.496,0.9593759126
18,7541787.483,0.9616415108
19,6251931.792,0.9635196286
20,5695536.274,0.9652876343
21,5268183.786,0.9671867471
22,4691446.98,0.9687839977
23,5521716.664,0.970719214
24,3100638.799,0.9718990513
25,3684762.073,0.9734487458
26,3158623.867,0.9748404211
27,2279196.924,0.9757761565
28,2708847.005,0.9769154119
29,2239345.69,0.9779917525
30,2012936.599,0.9789391131
31,1682471.104,0.979815182
32,1622246.826,0.9806274032
33,1359302.629,0.9813351971
34,1688715.48,0.9822990676
35,1607025.438,0.9831358517
36,949842.8115,0.9836875061
37,975040.6009,0.9842440314
38,882595.2623,0.9848096568
39,829178.7478,0.9853244434
40,829002.3267,0.9858142166
41,799182.0848,0.9863583959
42,863072.5661,0.9869287947
43,807475.818,0.9875109641
44,761322.9554,0.9880369878
45,680253.8417,0.9885001865
46,648194.5594,0.9889804996
47,580873.7315,0.9894051113
48,555681.7459,0.9898391296
49,447729.3803,0.9901798644
50,419971.3497,0.9905331178
51,371643.7179,0.9908345566
52,391885.8143,0.9911406412
53,434699.0571,0.9915149883
54,401225.7143,0.991840421
55,361529.0728,0.9921807182
56,392435.1513,0.9925186692
57,400496.0618,0.9928796034
58,261842.2859,0.9931182024
59,256243.1759,0.9933542651
60,273992.4077,0.9936231411
61,231835.6401,0.993848326
62,229312.5235,0.9940733564
63,239233.8037,0.9943129139
64,231195.7296,0.9945374773
65,192498.029,0.9947456565
66,200237.6152,0.9949461651
67,187831.4805,0.9951455359
68,197416.1264,0.9953689181
69,190489.6945,0.9955672954
70,179211.625,0.9957682841
71,174944.7773,0.9959557283
72,173281.5288,0.9961639476
73,134703.0869,0.9963204146
74,133944.5699,0.9964760006
75,131875.9251,0.9966331453
76,137384.3509,0.9967982297
77,109520.5414,0.9969342189
78,105132.7758,0.9970594962
79,99183.64114,0.9971826504
80,96832.02273,0.9973087024
81,86751.85488,0.9974172889
82,84860.1957,0.9975311555
83,85380.56783,0.9976388806
84,77646.30753,0.9977430675
85,71761.70673,0.9978415141
86,67570.47464,0.9979335343
87,61548.43801,0.9980185861
88,69976.55269,0.9981103794
89,57947.05403,0.9981974176
90,49523.89358,0.9982658531
91,48686.0799,0.9983360559
92,43265.60377,0.9983988759
93,39554.70695,0.998456704
94,43450.6461,0.9985228383
95,46031.86253,0.9985896749
96,36558.85766,0.9986445874
97,38347.37355,0.9987052582
98,37739.50018,0.9987626999
99,38704.56925,0.9988250986
100,29631.29514,0.9988701991
101,26966.5699,0.9989150242
102,29097.76519,0.998961935
103,25260.81212,0.9990013952
104,26299.45307,0.999045638
105,21809.74275,0.9990807992
106,22338.6811,0.9991197212
107,20114.71964,0.9991535596
108,22778.06656,0.9991914224
109,19556.54408,0.9992249093
110,18513.94597,0.9992567964
111,17805.50159,0.9992888897
112,13223.30729,0.9993120618
113,16080.3218,0.9993407235
114,12357.40647,0.9993637394
115,12756.76211,0.9993867326
116,12223.69858,0.9994086427
117,12433.1815,0.9994315507
118,11815.99496,0.9994537948
119,11484.51477,0.9994755299
120,10514.17123,0.9994953233
121,9955.740049,0.9995136667
122,8559.773778,0.9995302094
123,8077.707065,0.999546872
124,8144.039233,0.9995622035
125,8256.777819,0.9995789048
126,8033.740661,0.9995941091
127,6679.769714,0.9996077542
128,6044.84817,0.9996202235
129,6673.779639,0.9996333886
130,6351.977421,0.9996467458
131,5286.945001,0.9996574399
132,5068.376121,0.9996684024
133,4297.741595,0.9996774829
134,3848.446799,0.9996851902
135,3755.588751,0.9996934637
136,4036.717012,0.9997020736
137,3820.490788,0.9997104135
138,3538.271539,0.9997180665
139,3280.739287,0.9997250639
140,3279.181669,0.9997325506
141,2927.623977,0.9997389414
142,2878.682818,0.9997453984
143,2832.984666,0.9997517813
144,2528.089656,0.9997575531
145,2251.754505,0.9997628293
146,2161.280263,0.9997677421
147,1780.970634,0.9997718082
148,1832.691509,0.9997761759
149,1885.993233,0.9997806329
150,1945.517671,0.99978525
151,1738.257612,0.9997892534
152,1623.100905,0.9997932191
153,1469.642002,0.9997967069
154,1353.102297,0.9998000942
155,1487.708455,0.9998036695
156,1451.598469,0.9998072162
157,1253.784237,0.9998104177
158,1272.159605,0.999813475
159,1132.012832,0.9998163089
160,1290.135408,0.9998195515
161,1160.067033,0.9998226182
162,1299.787589,0.9998259502
163,1129.130049,0.9998287655
164,1063.330338,0.9998315339
165,926.9334938,0.9998339287
166,950.9240418,0.9998364996
167,955.1505757,0.9998389577
168,852.5606037,0.9998411432
169,851.6452404,0.9998434799
170,795.8506403,0.9998456236
171,801.7065872,0.9998477911
172,772.2630998,0.9998498481
173,790.1366924,0.9998520477
174,731.3344308,0.9998540762
175,699.2702111,0.9998559668
176,592.3505011,0.9998576158
177,605.1085639,0.9998592578
178,587.6113567,0.9998609525
179,614.8383888,0.999862701
180,500.0227124,0.9998640879
181,515.8198959,0.9998655651
182,475.5786744,0.9998669557
183,494.0629486,0.9998684102
184,426.4617896,0.9998696017
185,473.1242537,0.999870985
186,394.9223807,0.9998721714
187,408.6217905,0.9998733703
188,373.3703108,0.999874477
189,395.5859831,0.9998756336
190,377.5923871,0.9998767604
191,350.5098812,0.9998778379
192,346.3975911,0.9998788577
193,337.8426142,0.9998799132
194,330.8727656,0.9998809038
195,297.5528307,0.9998818335
196,295.6271487,0.9998827571
197,283.372958,0.9998836254
198,296.6653079,0.9998845611
199,267.9003287,0.9998853874
200,252.7441791,0.9998862074
201,264.4277213,0.9998870256
202,272.9097586,0.9998878727
203,220.0357228,0.9998886042
204,234.4655157,0.9998893485
205,226.705369,0.9998900976
206,228.9846378,0.9998908222
207,214.2051231,0.9998915215
208,212.3254204,0.9998922252
209,202.9450826,0.9998928877
210,209.0598035,0.9998935744
211,212.4284033,0.9998942912
212,202.4912731,0.9998949684
213,202.2838158,0.999895649
214,193.8596098,0.9998963013
215,197.5120529,0.9998969559
216,187.7285237,0.9998976064
217,184.3307781,0.9998982413
218,186.1155425,0.9998988731
219,188.2244017,0.9998995252
220,174.6631287,0.9999001304
221,177.5826061,0.999900751
222,173.6081122,0.9999013699
223,185.3703895,0.9999020084
224,171.3490967,0.9999026227
225,178.3063225,0.9999032458
226,168.4652658,0.9999038463
227,174.7494278,0.9999044658
228,161.2017039,0.9999050517
229,159.6512447,0.9999056497
230,169.4333149,0.9999062435
231,168.2661928,0.99990685
232,153.6299405,0.9999074085
233,151.4099246,0.9999079664
234,149.740616,0.9999085332
235,157.7961029,0.9999091036
236,150.6595453,0.9999096618
237,144.8178196,0.9999102129
238,147.5402867,0.9999107492
239,137.7958759,0.999911279
240,152.2267936,0.9999118369
241,132.9741792,0.9999123589
242,137.2768689,0.9999128909
243,135.0832963,0.9999134022
244,137.3274885,0.9999139357
245,136.8731731,0.999914447
246,127.5875355,0.9999149631
247,135.5335317,0.999915487
248,135.2155364,0.9999160042
249,128.266388,0.9999165064
250,129.3093646,0.9999170088
251,125.7139941,0.9999175123
252,127.0134353,0.9999180147
253,121.8526815,0.9999185003
254,118.2809568,0.9999189788
255,123.6845178,0.9999194817
256,125.1416685,0.9999199817
257,121.0991224,0.9999204643
