freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.973337334e+11,0.8468660414
1,2065371249,0.882082639
2,626621061.2,0.9034516415
3,330940642.7,0.9175587947
4,149582596.7,0.9252103829
5,79755598.74,0.9320099373
6,66212339.46,0.9370903701
7,43680225.2,0.9415591132
8,29774868.57,0.9451129474
9,23490166.6,0.9479166594
10,14731223.59,0.9500517043
11,16331668.18,0.9522794715
12,17216388.2,0.9552150339
13,18332141.77,0.9588097145
14,10631740.46,0.9608038117
15,7343346.496,0.9623063465
16,6792473.074,0.9636961661
17,6245928.301,0.9652404042
18,5385496.155,0.9666178238
19,5750501.898,0.9680885989
20,2814562.052,0.9688324599
21,4310201.899,0.9701553367
22,4179815.715,0.9713669257
23,2921232.621,0.9722385984
24,3564642.201,0.9733934304
25,3011297.057,0.9744716871
26,3801926.234,0.9758978714
27,2582322.061,0.9768005092
28,1983470.19,0.9775107314
29,2124114.722,0.9783799689
30,2064390.458,0.979207166
31,1540564.499,0.9798901373
32,1857315.296,0.9806818634
33,1300300.03,0.9812583194
34,1482462.399,0.9819787262
35,1310352.417,0.9825596387
36,1238512.058,0.9831720561
37,1026672.472,0.9836709705
38,1039087.874,0.9842379293
39,1214078.099,0.9848796671
40,1115362.214,0.9854406985
41,951503.2609,0.9859923166
42,935492.097,0.9865187014
43,914321.5719,0.9870799441
44,842292.4505,0.98757543
45,940597.4648,0.9881207256
46,885301.1521,0.9886792498
47,723130.2641,0.9891292976
48,732860.9718,0.9896166414
49,670697.4048,0.9900512112
50,645649.1495,0.990513587
51,646202.8241,0.9909598318
52,571116.591,0.9913396176
53,464353.8447,0.9916800781
54,500257.4648,0.9920255382
55,463197.686,0.9923967429
56,424052.5218,0.9927076548
57,359156.145,0.9929832332
58,347285.8139,0.9932526642
59,396832.2203,0.9935639176
60,332663.3453,0.9938418571
61,346781.145,0.9941286355
62,271268.222,0.9943552796
63,285104.4629,0.994598345
64,254915.6689,0.9948091533
65,208258.1817,0.9950009076
66,226236.7343,0.9951937854
67,218582.0919,0.9953913184
68,198144.8471,0.9955822073
69,195956.1111,0.9957559519
70,202455.1205,0.9959492671
71,185587.7319,0.9961185653
72,171592.8895,0.9962941149
73,157379.0005,0.9964497559
74,152887.0744,0.9966009546
75,153477.652,0.9967566628
76,140880.6937,0.996900792
77,121037.3145,0.9970287479
78,129398.8854,0.9971600273
79,127657.6733,0.997294982
80,110743.5192,0.9974177205
81,117031.6243,0.9975424395
82,85277.54559,0.9976398619
83,102801.4361,0.9977502924
84,97435.25085,0.9978616039
85,86048.56457,0.9979621079
86,83525.53632,0.998058953
87,76161.21225,0.998148558
88,69508.43315,0.9982261877
89,73666.82651,0.9983203945
90,58627.33305,0.9983893706
91,51685.5074,0.9984528234
92,57641.42843,0.9985240795
93,58986.33218,0.998597501
94,46078.76266,0.9986572133
95,45790.90492,0.9987138198
96,46756.28942,0.9987736129
97,43205.19693,0.9988318114
98,43554.54994,0.9988882527
99,38659.1211,0.9989413163
100,34547.22301,0.9989860852
101,29521.64418,0.9990278651
