freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.86133095e+11,0.9164292724
1,1431775377,0.9380220565
2,277138496.1,0.9463811773
3,216430145.7,0.9545412028
4,70384287.91,0.9577256256
5,46337366.53,0.9612197238
6,45707572.56,0.9643216711
7,38377308.34,0.9677943091
8,22025319.3,0.9701194753
9,17472990.17,0.9719640618
10,15838952.7,0.9739944503
11,14289241.3,0.975718433
12,7790308.735,0.9768932993
13,8187066.257,0.9783132063
14,6009170.316,0.9793100818
15,4815489.761,0.9801815579
16,3459621.125,0.9808076576
17,3929354.716,0.9816669145
18,3351158.107,0.982425003
19,2718122.877,0.9830398883
20,2588738.404,0.9836450252
21,2822755.076,0.984411291
22,2035646.765,0.9849331883
23,1996512.771,0.9854601074
24,1815189.993,0.9859802344
25,1779414.895,0.9865437816
26,1074510.156,0.9869002877
27,1217183.582,0.9872765959
28,1093828.807,0.9876230154
29,1111939.315,0.9880254786
30,838954.045,0.9883228093
31,780638.1307,0.9886289047
32,737023.1611,0.9889067832
33,593386.3829,0.9891394555
34,550774.3033,0.9893761849
35,586421.1175,0.9896061261
36,643885.359,0.989887731
37,689725.9685,0.9901841836
38,536947.3712,0.9904433123
39,548246.9587,0.9906996259
40,509096.0374,0.9909261192
41,456602.4998,0.9911602459
42,381336.2508,0.9913500283
43,381777.6077,0.9915573032
44,361568.7462,0.991745427
45,325689.6468,0.991912427
46,305590.4181,0.992082947
47,295556.9875,0.9922456396
48,271000.5403,0.9924050323
49,283589.5302,0.9925675526
50,254718.4195,0.9927288931
51,260391.4346,0.9928879364
52,233545.829,0.9930252997
53,243455.8927,0.993183178
54,275468.5249,0.9933514302
55,192227.5797,0.9934876836
56,203082.9627,0.9936193805
57,207148.4677,0.993759962
58,197090.3236,0.9938952036
59,169383.4108,0.9940127103
60,199494.2148,0.9941601315
61,205482.3655,0.9943104284
62,204075.362,0.994461235
63,198662.0765,0.9946110374
64,214958.2486,0.9947682653
65,201196.2594,0.9949321157
66,210637.6208,0.9950909483
67,204411.3903,0.9952543343
68,207373.0367,0.9954310334
69,183890.3994,0.9955752437
70,172432.727,0.9957208705
71,243233.6019,0.9959171212
72,262218.6973,0.9961543944
73,193200.9135,0.9963233882
74,137888.6706,0.9964440002
75,132001.2586,0.9965624485
76,135673.2448,0.9966852148
77,120394.8607,0.9967977876
78,96929.7683,0.9968847653
79,103842.5524,0.9969818611
80,95323.88033,0.9970753046
81,90408.89359,0.9971605213
82,96170.56482,0.9972576955
83,99064.97449,0.9973518182
84,111766.3262,0.9974647508
85,119088.6431,0.9975877762
86,119642.7357,0.9977104718
87,134343.6858,0.9978502695
88,124006.6375,0.997972765
89,107526.5822,0.9980943866
90,112129.9274,0.9982110688
91,122044.8997,0.9983435901
92,108790.3753,0.9984625395
93,89503.53399,0.9985610759
94,78222.38143,0.9986507317
95,84967.83989,0.998743634
96,68045.13831,0.9988205988
97,65480.74172,0.9988986131
98,57306.38085,0.9989642957
99,47220.40468,0.9990216228
100,45933.19961,0.9990742698
101,36906.74404,0.9991204672
102,32030.76887,0.9991593535
103,27321.87826,0.999191493
104,28159.80913,0.9992271663
105,28270.3641,0.9992614874
106,26501.3599,0.9992962587
107,23718.21208,0.9993263053
108,23389.01216,0.9993555821
109,20238.00674,0.9993816777
110,22608.34592,0.9994110002
111,20198.1044,0.9994384151
112,18620.54262,0.9994629867
113,17615.34857,0.9994866304
114,17713.78037,0.9995114748
115,15518.5838,0.9995325382
116,15330.29073,0.9995532304
117,14743.92245,0.9995736871
118,14958.23749,0.9995948922
119,14850.06034,0.999616056
120,11233.58048,0.9996319811
121,11916.65225,0.999648515
122,11762.75279,0.9996656337
123,12182.18561,0.9996845569
124,12053.79779,0.9997016447
125,9082.451722,0.999715479
126,10043.54437,0.9997297928
127,9879.850194,0.9997449907
128,8113.197485,0.9997575934
129,8603.281752,0.9997703735
130,7736.311327,0.999782624
131,6482.467617,0.9997924981
132,5792.387418,0.9998019325
133,5352.627779,0.9998104489
134,5284.626626,0.9998184187
135,4287.218198,0.9998255308
136,4394.109271,0.9998325884
137,4157.555416,0.9998394228
138,3692.916083,0.9998454376
139,3955.897519,0.9998517914
140,3408.982577,0.9998576523
141,3321.243024,0.9998631119
142,3126.52037,0.9998683928
143,2653.745455,0.9998728952
144,2388.325442,0.9998770014
145,2080.834287,0.999880673
146,2556.702942,0.9998850493
147,1947.192224,0.999888397
148,1979.0701,0.9998919488
149,1980.725145,0.9998954736
150,1933.108944,0.9998989283
151,1726.176844,0.999901922
152,1638.641819,0.999904937
153,1697.952299,0.9999079714
154,1423.526104,0.999910655
155,1265.885412,0.9999129459
156,1394.037311,0.9999155108
157,1232.883915,0.9999178814
158,1105.52619,0.9999198821
159,1159.655273,0.9999220682
160,1147.328354,0.9999242398
161,985.7460372,0.9999262021
162,976.4842833,0.9999280871
163,978.7616319,0.9999299248
164,939.3911896,0.9999317665
165,911.6461101,0.9999335401
166,912.0102577,0.9999353969
167,960.3886886,0.9999372581
168,885.2496268,0.9999389669
169,870.2701323,0.999940765
170,781.4837987,0.9999423502
171,678.5252202,0.9999437316
172,609.9802565,0.9999449551
173,599.1694261,0.9999462111
174,616.41358,0.9999474987
175,541.3865512,0.9999486009
176,497.2548338,0.9999496433
177,459.0122109,0.9999505813
178,420.9918977,0.9999514955
179,411.1413977,0.999952376
180,400.3290909,0.9999532122
181,410.9080672,0.9999540984
182,358.4731681,0.9999548877
183,314.2297576,0.9999555843
184,308.7196404,0.9999562338
185,285.2224456,0.9999568618
186,263.9067172,0.9999574588
187,255.0714669,0.9999580223
188,242.9662728,0.9999585646
189,224.1690197,0.9999590582
190,241.6160587,0.9999596012
191,192.7763006,0.9999600474
192,223.3570527,0.9999605426
193,180.0238236,0.9999609661
194,188.3697716,0.9999613908
195,179.1046947,0.9999618122
196,164.3810618,0.9999621989
197,169.1477828,0.9999625892
198,149.8734644,0.9999629452
199,145.9448882,0.9999632842
200,130.4552832,0.9999636029
201,122.8203261,0.9999638891
202,115.3390137,0.9999641587
203,114.2509379,0.9999644447
204,102.8568827,0.9999646906
205,98.14336779,0.9999649348
206,101.8352591,0.9999651774
207,87.99567707,0.9999653938
208,88.00896877,0.9999656134
209,86.16479417,0.9999658252
210,83.33057271,0.9999660313
211,79.07070331,0.9999662323
212,81.0630937,0.9999664364
213,78.41211487,0.9999666351
214,75.0916581,0.9999668253
215,76.33530603,0.9999670159
216,76.45935969,0.9999672154
217,73.14079111,0.9999674051
218,75.15323619,0.9999675972
219,72.64408134,0.9999677867
220,72.32419243,0.9999679754
221,71.60009374,0.9999681639
222,67.45297512,0.9999683449
223,69.42574534,0.999968525
224,67.48288862,0.9999687072
225,65.63584616,0.9999688799
226,69.89008281,0.9999690675
227,66.06145316,0.9999692439
228,65.42955793,0.999969423
229,60.40418912,0.9999695933
230,65.63042269,0.9999697665
231,65.29855129,0.9999699438
232,66.51658382,0.9999701259
233,60.38506563,0.9999702934
234,60.52113567,0.9999704659
235,59.23319888,0.9999706272
236,60.0597769,0.9999707947
237,56.90019239,0.9999709578
238,59.69139411,0.9999711212
239,53.88267169,0.9999712772
240,59.85691314,0.9999714424
241,53.17739467,0.9999715996
242,52.91154012,0.999971754
243,51.7012619,0.9999719013
244,54.28158697,0.9999720602
245,52.41902542,0.9999722076
246,47.94258271,0.9999723536
247,51.33873515,0.9999725031
248,48.99814526,0.9999726442
249,51.12777635,0.999972795
250,48.33275385,0.9999729364
251,47.2224506,0.9999730788
252,45.86303784,0.9999732154
253,47.36179724,0.9999733575
254,46.60221561,0.9999734995
255,45.55836588,0.999973639
256,46.42284367,0.9999737787
257,46.11389369,0.9999739171
258,42.44835257,0.9999740496
259,46.16655713,0.9999741906
260,42.76670371,0.9999743228
261,42.71376282,0.9999744548
262,45.56434946,0.999974596
263,41.06766714,0.9999747242
264,42.8307768,0.9999748567
265,42.6567877,0.9999749937
266,45.40391339,0.9999751365
267,44.29671817,0.9999752754
268,41.41577306,0.9999754091
269,43.47013711,0.9999755464
270,40.62948287,0.9999756757
271,41.32231297,0.9999758103
272,36.66020716,0.9999759297
273,41.14192028,0.9999760622
274,38.33706326,0.9999761842
275,41.46018303,0.9999763224
276,37.53491781,0.9999764444
277,38.94641519,0.9999765736
278,34.85797921,0.9999766877
279,42.55869806,0.9999768279
280,33.11784952,0.9999769393
281,41.53036996,0.9999770758
282,33.2542475,0.9999771872
283,34.79175706,0.9999773034
284,37.11473342,0.9999774304
285,37.27960517,0.9999775569
286,37.80291223,0.9999776826
287,34.63211751,0.9999778012
288,33.54126877,0.9999779155
289,38.13595091,0.9999780472
290,33.82917892,0.9999781659
291,37.88769227,0.999978291
292,30.90612506,0.9999784019
293,30.44901828,0.9999785073
294,36.54943179,0.9999786346
295,38.40709469,0.9999787679
296,29.02797319,0.9999788712
297,32.81021666,0.9999789882
298,32.26271954,0.9999790996
299,31.52719977,0.9999792109
300,33.8796426,0.9999793312
301,27.89247418,0.9999794305
302,27.62827392,0.9999795321
303,35.11925066,0.9999796558
304,27.87761987,0.9999797555
305,31.69448718,0.9999798726
306,27.93362611,0.9999799724
307,27.9878581,0.9999800748
308,29.45384641,0.99998018
309,30.14622593,0.9999802951
310,29.70259836,0.9999804028
311,28.30632899,0.9999805074
312,28.49690221,0.9999806114
313,29.51672212,0.9999807209
314,27.50965664,0.9999808261
315,27.99807713,0.9999809303
316,27.52024298,0.9999810324
317,28.57444103,0.99998114
318,27.13892718,0.9999812431
319,28.27861276,0.9999813493
320,27.41256716,0.999981452
321,25.86169881,0.9999815503
322,26.73099264,0.9999816539
323,26.20019772,0.9999817547
324,28.309136,0.9999818612
325,25.39388121,0.99998196
326,26.27451165,0.9999820622
327,24.73365294,0.9999821594
328,24.39002173,0.999982255
329,25.69468318,0.9999823535
330,25.48358134,0.9999824538
331,24.43701084,0.9999825483
332,24.70213087,0.9999826444
333,23.42843982,0.9999827398
334,24.15725752,0.9999828344
335,22.53821784,0.9999829244
336,24.59299562,0.9999830212
337,23.18562853,0.9999831118
338,22.92633099,0.9999832071
339,23.48301586,0.9999833009
340,21.82500688,0.9999833904
341,22.89410762,0.9999834821
342,23.26575033,0.9999835747
343,21.41435951,0.9999836645
344,22.65677981,0.9999837545
345,21.77395146,0.9999838455
346,21.84519579,0.9999839341
347,21.53557206,0.9999840231
348,21.39927669,0.9999841111
349,21.58152996,0.9999841986
350,21.15014639,0.9999842873
351,21.42330789,0.9999843773
352,21.23304977,0.9999844663
353,21.07979699,0.999984555
354,21.71081995,0.9999846444
355,20.28455601,0.9999847314
356,20.62499719,0.9999848169
357,20.38356023,0.9999849052
358,20.28355111,0.9999849904
359,20.58108276,0.9999850766
360,19.57864291,0.999985162
361,20.70268299,0.9999852489
362,19.73522582,0.9999853347
363,20.2885058,0.9999854203
364,18.96028072,0.9999855038
365,19.38494563,0.9999855882
366,18.85997587,0.9999856701
367,19.60027569,0.9999857546
368,18.54061741,0.9999858356
369,18.91835037,0.9999859194
370,19.0545286,0.9999860028
371,19.17208816,0.9999860863
372,19.68421084,0.9999861729
373,18.81447607,0.999986256
374,18.04827216,0.9999863377
375,18.31026117,0.9999864182
