freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.441723835e+11,0.8673871435
1,618683374.9,0.8770525442
2,643766068.4,0.8971670558
3,378322750.5,0.9119429538
4,165934028,0.9197198826
5,111568669.4,0.928434808
6,92470465.72,0.9349356105
7,47994107.01,0.9394343473
8,32469686.96,0.9429851583
9,19517749.66,0.9451195749
10,23011810.46,0.9481753482
11,21830050.65,0.9509036735
12,18715108.19,0.9538274472
13,13682138.79,0.9562855681
14,11202256.79,0.9582106519
15,9642200.975,0.9600182789
16,8813301.151,0.9616705119
17,7857766.298,0.9634505058
18,6122684.831,0.9648852834
19,6894690.04,0.9665009711
20,5866270.338,0.967921484
21,3929262.996,0.9690264146
22,4564857.63,0.9702387634
23,4393750.426,0.9714399897
24,3924001.023,0.9726047435
25,3003375.191,0.9735900703
26,3025964.989,0.9746300815
27,2571410.87,0.9754536064
28,3205740.643,0.9765053239
29,2484290.643,0.9774367857
30,2067663.93,0.9781958861
31,2197017.917,0.9790882837
32,1812180.732,0.9797960549
33,2105780.758,0.9806513932
34,1546039.259,0.9813397551
35,1742372.753,0.9820474822
36,1710929.695,0.9828226248
37,1297264.629,0.9834002216
38,1208175.998,0.9840042142
39,1268334.871,0.9846184669
40,1196849.572,0.9851700526
41,1022078.617,0.9857129461
42,958803.0002,0.9862072508
43,959036.0683,0.9867466233
44,909970.5243,0.9872370768
45,899342.9387,0.9877147773
46,851542.9071,0.9882069978
47,846433.0542,0.9886896529
48,669129.7427,0.9890973394
49,655792.0826,0.9894866544
50,590644.9833,0.989874204
51,617460.162,0.9902648788
52,650346.8164,0.9906611212
53,600233.9352,0.9910643397
54,457063.3396,0.9913535294
55,398672.5281,0.9916462583
56,487989.8219,0.9919740747
57,406791.0719,0.9922600545
58,392772.7111,0.9925392472
59,418966.8027,0.992840332
60,402891.5226,0.9931487471
61,409715.9339,0.9934591859
62,340247.6491,0.9937196469
63,345888.0183,0.9939898292
64,317727.8227,0.9942305693
65,318065.8762,0.994498895
66,324073.2075,0.9947520372
67,264167.3246,0.9949707662
68,265612.862,0.9952052155
69,287154.8836,0.995438492
70,248156.885,0.9956555949
71,201494.7831,0.9958240054
72,220101.9359,0.9960303184
73,169990.1421,0.9961843476
74,191035.6149,0.9963574463
75,176171.1468,0.9965212045
76,171341.9048,0.9966818122
77,147480.8075,0.9968246616
78,147331.9961,0.9969616127
79,143358.4423,0.9971004693
80,130651.5051,0.9972331412
81,111316.4515,0.9973418315
82,116181.1503,0.9974634395
83,107808.9362,0.9975695471
84,113898.3578,0.9976887656
85,93034.00361,0.9977883253
86,89347.34028,0.9978832419
87,83055.9154,0.9979727724
88,82079.76005,0.9980567626
89,80994.85582,0.9981516635
90,77834.0357,0.9982355651
91,69758.22526,0.9983140307
92,66774.71999,0.998389662
93,67563.47127,0.9984667144
94,59541.1544,0.9985374083
95,58880.30505,0.9986040981
96,57408.57046,0.9986713632
97,50561.45653,0.9987337651
98,55007.07658,0.9987990757
99,48137.21853,0.9988596137
100,44222.41109,0.9989121195
101,42476.26988,0.9989671972
102,40902.4773,0.9990186368
103,42236.22533,0.999070104
104,35668.9908,0.9991169122
105,33799.89541,0.9991594194
106,30699.99304,0.9992011456
107,27190.78154,0.9992368279
108,28869.35779,0.9992742619
109,27340.4165,0.9993107812
110,23997.66825,0.999343023
111,23942.80285,0.9993766873
112,24432.11036,0.9994100853
113,19999.0236,0.999437892
