freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.824574411e+11,0.93305431
1,2734966455,0.9629682309
2,281648740.8,0.9691293435
3,284558963,0.9769103112
4,51805788.35,0.9786102014
5,35766272.49,0.9805661842
6,26500364.29,0.9818705088
7,24821714.84,0.9834994461
8,15060571.97,0.9846525299
9,11561133.4,0.9855376858
10,7345840.357,0.9862206245
11,5805718.478,0.9867286287
12,6110657.959,0.987396987
13,4378319.977,0.9879477017
14,3366199.984,0.9883527007
15,2696264.572,0.9887065881
16,3085582.373,0.9891115738
17,3216759.258,0.9896217356
18,2052646.323,0.9899585004
19,1744611.931,0.9902447279
20,1784495.576,0.990547258
21,1746279.073,0.9908910593
22,1320697.005,0.9911366282
23,1833739.01,0.99148762
24,1572503.963,0.9918144084
25,1304816.152,0.9921141106
26,1483736.01,0.9924711373
27,1336980.396,0.9927709156
28,1302934.359,0.9930701856
29,1186401.513,0.9933816183
30,1231830.972,0.9936982398
31,1043408.043,0.9939949612
32,1099205.828,0.9942955275
33,809759.5381,0.9945258046
34,799172.8227,0.9947749237
35,735236.569,0.9949840081
36,677439.6947,0.9951988852
37,701471.2382,0.9954175485
38,659492.9075,0.9956483728
39,544872.4762,0.99583312
40,642667.6961,0.9960404823
41,414515.2381,0.9961946313
42,460457.7291,0.9963608291
43,375099.223,0.9965085255
44,297860.1367,0.996620922
45,360328.1935,0.9967549201
46,329420.5939,0.9968882335
47,268525.6897,0.9969954348
48,307514.0506,0.9971266097
49,260654.4186,0.997234945
50,247927.271,0.9973488375
51,228533.4177,0.9974500714
52,213179.1515,0.9975410063
53,218899.4974,0.9976439582
54,245274.8662,0.9977526082
55,174648.1767,0.9978423889
56,174919.1426,0.9979246562
57,156139.7289,0.9980015068
58,160487.5614,0.998081375
59,148126.2107,0.9981559016
60,130882.5593,0.998226047
61,130962.5789,0.9982955191
62,132448.1374,0.9983665035
63,124379.5574,0.9984345241
64,118260.9298,0.9984972583
65,104860.6561,0.9985591921
66,98457.44972,0.9986130364
67,95335.22621,0.9986683015
68,96496.41963,0.9987279337
69,89991.00474,0.9987791165
70,77921.27025,0.9988268436
71,78206.34884,0.9988726069
72,88504.46717,0.9989306884
73,84493.80703,0.9989842896
74,67269.91588,0.9990269642
75,69063.8941,0.9990719101
76,64499.0551,0.9991142379
77,79315.86396,0.9991680244
78,45490.27536,0.9991976288
79,50861.81965,0.9992321197
80,49625.05536,0.9992674003
81,46325.30629,0.9992990682
82,51261.03847,0.9993366332
83,43170.1743,0.9993663804
84,51914.70383,0.9994044244
85,64246.8559,0.9994525598
86,38701.59233,0.9994813443
87,34420.84389,0.9995073215
88,25715.85028,0.9995257446
89,25592.09207,0.9995467383
90,30303.38222,0.999569608
91,23284.21176,0.9995879445
92,46628.39912,0.9996249196
93,37554.48254,0.9996549048
94,26970.70748,0.9996773243
95,22728.65047,0.9996953476
96,19069.68364,0.9997109908
97,19963.58376,0.9997282407
98,21983.25003,0.9997465144
99,13614.05257,0.9997585013
100,19044.13254,0.9997743318
101,13769.03524,0.9997868316
102,13264.16331,0.9997985104
103,14210.45358,0.9998106338
104,12350.74264,0.9998219811
105,16787.99729,0.9998367625
106,9419.994135,0.9998457263
107,8253.039403,0.9998533088
108,7663.678001,0.9998602661
109,7007.217072,0.9998668189
110,8318.491959,0.9998746436
111,6661.716642,0.9998812013
112,6626.420912,0.999887543
113,8264.931473,0.9998955885
114,5610.57753,0.9999012955
115,5156.976767,0.999906372
116,4376.391449,0.9999106561
117,5224.191256,0.9999159129
118,6264.133431,0.9999223533
119,3770.857008,0.9999262509
120,3358.07205,0.9999297034
121,3321.010944,0.9999330452
122,3248.156309,0.9999364736
123,3346.914682,0.9999402441
124,3185.635972,0.9999435193
125,3638.727032,0.999947539
126,3119.094139,0.9999507629
127,2512.382362,0.9999535658
128,2199.539051,0.9999560438
129,2153.678592,0.999958364
130,2226.904875,0.9999609215
131,2082.981419,0.9999632226
132,1768.838826,0.999965312
133,1554.912522,0.9999671063
134,1710.919498,0.9999689776
135,1471.618537,0.9999707482
136,1211.290056,0.9999721591
137,1245.630408,0.9999736442
138,1151.029508,0.9999750038
139,1306.780123,0.999976526
140,1266.73726,0.9999781055
141,1025.705368,0.9999793284
142,935.0403511,0.9999804738
143,700.3825183,0.9999813356
144,698.1492507,0.9999822061
145,607.4846582,0.9999829835
146,639.0359343,0.9999837768
147,541.6230753,0.9999844522
148,611.9855914,0.9999852487
149,496.1322295,0.999985889
150,511.4122982,0.9999865519
151,464.0609571,0.9999871356
152,483.8324888,0.9999877812
153,514.3544392,0.9999884479
154,352.6244107,0.99998893
155,351.1740756,0.9999893909
156,297.6099808,0.999989788
157,296.0958266,0.9999902009
158,331.3313328,0.9999906358
159,240.7645433,0.999990965
160,241.659397,0.9999912967
161,242.8078701,0.9999916472
162,220.0515552,0.9999919553
163,194.418028,0.9999922201
164,188.2820376,0.9999924878
165,196.3495627,0.9999927648
166,207.734301,0.9999930716
167,232.6514395,0.9999933985
168,173.35388,0.9999936412
169,164.3510763,0.9999938875
170,181.7135507,0.9999941548
171,130.4488356,0.9999943474
172,130.3590277,0.9999945371
173,121.1088588,0.9999947212
174,179.8855624,0.9999949937
175,107.7032818,0.9999951527
176,100.9475295,0.9999953062
177,114.9327391,0.9999954765
178,94.1979123,0.9999956249
179,121.6594059,0.9999958139
180,91.70344724,0.9999959528
181,78.26318888,0.9999960752
182,67.01989664,0.9999961822
183,60.70381391,0.9999962798
184,61.12986959,0.9999963731
185,55.34081982,0.9999964615
186,47.00961976,0.9999965386
187,95.76918813,0.999996692
188,58.35567971,0.9999967865
189,55.28255318,0.9999968748
190,42.8140434,0.9999969446
191,39.33681967,0.9999970106
192,59.03573657,0.9999971055
193,30.20257634,0.9999971571
194,37.66479794,0.9999972186
195,39.29791438,0.9999972857
196,28.08316263,0.9999973336
197,36.27846634,0.9999973943
198,28.81931671,0.999997444
199,35.56053431,0.9999975039
200,39.57986268,0.999997574
201,21.39216945,0.9999976101
202,25.18505822,0.9999976528
203,20.96255889,0.9999976909
204,21.17515162,0.9999977276
205,25.26762743,0.9999977732
206,30.00288094,0.9999978251
207,20.11035074,0.9999978609
208,21.71883845,0.9999979002
209,20.94085953,0.9999979376
210,16.6589204,0.9999979674
211,12.87194504,0.9999979912
212,11.03869502,0.9999980113
213,10.17889405,0.99999803
214,9.177398454,0.9999980469
215,8.121471176,0.9999980616
216,8.188663616,0.9999980771
217,7.865669051,0.9999980919
218,8.160247836,0.999998107
219,8.171802171,0.9999981225
220,8.122478878,0.9999981379
221,8.084366471,0.9999981533
222,8.511114712,0.9999981699
223,7.1296127,0.9999981833
224,6.132614892,0.9999981953
225,6.604102278,0.9999982079
226,7.080617408,0.9999982217
227,6.062779412,0.9999982334
228,5.946120141,0.9999982452
229,6.360636249,0.9999982582
230,5.176199672,0.9999982681
231,5.830017734,0.9999982796
232,5.768730252,0.9999982911
233,5.653634451,0.9999983024
234,4.642050931,0.999998312
235,4.58276569,0.9999983211
236,4.1598149,0.9999983295
237,4.42051872,0.9999983387
238,4.513191984,0.9999983476
239,4.111388322,0.9999983563
240,4.802487761,0.9999983659
241,4.491543631,0.9999983755
242,4.142266587,0.9999983843
243,3.951447129,0.9999983924
244,4.447810318,0.9999984019
245,4.836656368,0.9999984117
246,4.319625867,0.9999984213
247,4.225715106,0.9999984302
248,4.058719405,0.9999984387
249,4.280491601,0.9999984478
250,3.928564947,0.9999984562
251,3.880887168,0.9999984647
252,4.072686615,0.9999984735
253,4.399149941,0.999998483
254,3.909251476,0.9999984917
255,3.677874927,0.9999984998
256,3.710156725,0.9999985079
257,3.561703107,0.9999985157
258,3.390826566,0.9999985234
259,3.628304011,0.9999985314
260,4.149713156,0.9999985407
261,3.428028562,0.9999985484
262,3.256800823,0.9999985557
263,3.386859052,0.9999985634
264,3.478649632,0.9999985712
265,3.953922364,0.9999985804
266,3.775557627,0.999998589
267,3.501769197,0.999998597
268,3.745861003,0.9999986057
269,3.554463205,0.9999986139
270,3.411309192,0.9999986218
271,3.676622697,0.9999986304
272,3.432248005,0.9999986386
273,4.394660758,0.9999986488
274,4.160988092,0.9999986584
275,3.976469514,0.999998668
276,3.710665274,0.9999986768
277,3.800883254,0.9999986859
278,3.946471135,0.9999986953
279,3.455274757,0.9999987035
280,4.168248737,0.9999987137
281,4.046596863,0.9999987234
282,3.63693029,0.9999987322
283,3.968195001,0.9999987418
284,5.234452697,0.9999987548
285,5.186077887,0.9999987676
286,3.714960846,0.9999987765
287,3.828818513,0.999998786
288,3.432642575,0.9999987945
289,3.942848379,0.9999988044
290,2.893447692,0.9999988118
291,3.970354615,0.9999988213
292,9.598415873,0.9999988462
293,3.70328389,0.9999988555
294,3.250104777,0.9999988638
295,3.603687554,0.9999988728
296,3.035577461,0.9999988807
297,3.610716433,0.99999889
