freq_radius,radial_mean_power,cumulative_energy_fraction
0,7.136086578e+11,0.9386865656
1,1212297513,0.9514438928
2,309930073.6,0.9579668449
3,175976057.4,0.9625964514
4,130276559.7,0.9667092554
5,82381081.38,0.9710438448
6,40122365.65,0.972943827
7,26872632.28,0.9746405539
8,21205053.06,0.9762025785
9,13563289.98,0.9772016891
10,20505754.82,0.9790358827
11,16263997.4,0.9804050854
12,7772237.595,0.9812229785
13,11262530.82,0.9825859423
14,8274436.871,0.9835437573
15,6926390.746,0.9844184162
16,5555266.609,0.9851199306
17,4729123.839,0.985841535
18,4240625.255,0.9865109133
19,3819497.45,0.987113817
20,3288631.233,0.9876502276
21,3001229.184,0.9882187167
22,3601813.912,0.988863065
23,2485063.953,0.9893207073
24,2665904.35,0.9898537336
25,2583847.483,0.9904247343
26,2286385.686,0.9909540596
27,2104541.309,0.9914080658
28,1770704.192,0.9917993711
29,1551544.391,0.9921912266
30,1424929.223,0.9925436069
31,1273017.686,0.9928919108
32,989845.0064,0.9931523208
33,1056788.022,0.9934414631
34,836601.4127,0.9936923708
35,1107085.982,0.9939952749
36,763859.7326,0.9942283856
37,665144.2073,0.994427871
38,727069.1336,0.9946727075
39,684898.1761,0.9948961358
40,732506.4538,0.9951235324
41,451001.1625,0.9952848965
42,623766.1011,0.9955015104
43,516648.7042,0.9956972363
44,490208.9301,0.9958752079
45,502295.653,0.9960549248
46,510673.1187,0.9962537608
47,506492.737,0.9964483043
48,439838.8255,0.9966288173
49,413103.6599,0.9967940109
50,337267.087,0.9969430752
51,242005.0364,0.9970462159
52,269151.7163,0.9971566777
53,205008.1055,0.997249444
54,218647.8982,0.99734263
55,187366.3423,0.9974353002
56,174280.8687,0.9975141623
57,186989.4619,0.9976027106
58,191503.4536,0.9976944041
59,168644.8807,0.99777604
60,177426.9994,0.9978675285
61,157163.7441,0.9979477414
62,122027.1573,0.9980106635
63,127204.9156,0.9980775941
64,130326.473,0.9981441099
65,104135.3789,0.9982032855
66,101703.43,0.9982567981
67,110029.5026,0.9983181652
68,92152.30768,0.9983729556
69,85440.34618,0.9984197094
70,86841.83582,0.9984708856
71,90911.0032,0.998522068
72,78928.81013,0.9985719033
73,76330.21423,0.9986184914
74,85598.25022,0.9986707362
75,95679.78271,0.9987306446
76,60831.31693,0.9987690533
77,55989.47043,0.9988055832
78,61712.72033,0.9988442236
79,48997.14603,0.9988761914
80,61897.39539,0.99891853
81,55933.92445,0.998955318
82,54267.39237,0.9989935797
83,57528.53697,0.9990317191
84,55491.65159,0.999070844
85,52952.07324,0.9991090141
86,44402.94718,0.9991407881
87,49010.47358,0.9991763748
88,42044.45406,0.999205355
89,39433.28828,0.9992364775
90,38401.80932,0.9992643613
91,36704.25996,0.9992921712
92,39032.73846,0.9993219507
93,33262.08689,0.9993475025
94,32937.70173,0.9993738451
95,32399.30712,0.9993985637
96,34681.20685,0.9994259357
97,30088.04535,0.999450949
98,27445.54692,0.9994728991
99,25815.56562,0.999494768
100,26254.02462,0.9995157651
101,25365.14352,0.9995379198
102,24428.46695,0.9995586138
103,23574.09735,0.9995779637
104,19253.88081,0.9995949833
105,23726.52553,0.9996150825
106,18194.88845,0.9996317404
107,17484.83616,0.9996471962
108,16923.20332,0.9996619774
109,17435.16968,0.9996776646
110,14746.33421,0.99969101
111,14042.07242,0.9997043092
112,16460.51293,0.9997194658
113,14358.01901,0.9997329131
114,15617.27861,0.9997481971
115,12886.19303,0.9997604015
116,11114.16418,0.9997708692
117,11013.49386,0.9997815318
118,10047.12784,0.9997914703
119,10159.32355,0.9998015732
120,8555.862767,0.9998100366
121,7968.800846,0.9998177515
122,8170.599487,0.9998260487
123,7548.379318,0.9998342304
124,7268.24012,0.99984142
125,5666.521745,0.9998474427
126,5454.148155,0.9998528665
127,5223.06304,0.9998584728
128,5531.857488,0.9998644688
129,5201.317258,0.9998698602
130,4940.798845,0.9998753195
131,4245.572132,0.9998798319
132,4105.662199,0.999884498
133,3882.262405,0.9998888081
134,3585.25766,0.999892581
135,3569.89405,0.9998967134
136,3423.966691,0.9999005507
137,3069.134025,0.9999040711
138,2832.683262,0.9999072905
139,2834.689625,0.9999104674
140,2457.561041,0.9999134156
141,2449.80989,0.9999162256
142,2516.451583,0.9999191915
143,2479.133069,0.9999221265
144,2275.430883,0.9999248562
145,2242.766662,0.9999276176
146,1795.57367,0.9999297622
147,2057.029828,0.9999322299
148,1770.410093,0.9999344469
149,1645.397309,0.9999364901
150,1544.621123,0.9999384162
151,1639.782533,0.9999404007
152,1461.088615,0.9999422765
153,1206.850686,0.9999437814
154,1171.699235,0.9999453227
155,1084.204438,0.9999466918
156,1180.568215,0.9999482075
157,1015.985034,0.9999495706
158,900.8636486,0.9999507082
159,912.5148993,0.9999519086
160,963.4758929,0.999953181
161,851.8197486,0.9999543642
162,825.4181786,0.9999554761
163,862.1279042,0.9999566056
164,724.7133605,0.999957597
165,714.5911316,0.9999585671
166,588.5733563,0.9999594032
167,575.5702583,0.9999601815
168,626.3922626,0.9999610253
169,637.7329389,0.9999619447
170,569.1864175,0.9999627503
171,496.5955203,0.9999634558
172,477.7883235,0.9999641245
173,504.7651824,0.9999648628
174,478.0570434,0.9999655596
175,491.5442862,0.9999662579
176,419.4981782,0.9999668715
177,456.194383,0.999967522
178,395.2553934,0.9999681209
179,390.3180025,0.9999687042
180,368.8325566,0.9999692417
181,291.4072011,0.9999696803
182,294.4937357,0.9999701327
183,288.6591117,0.9999705793
184,269.7937175,0.9999709753
185,244.8559076,0.9999713515
186,259.9864785,0.9999717619
187,257.7748963,0.9999721593
188,202.6501201,0.9999724749
189,217.2499861,0.9999728087
190,202.865922,0.9999731268
191,183.0113696,0.9999734224
192,181.1836485,0.9999737027
193,166.6448402,0.9999739762
194,152.8051823,0.9999742166
195,138.0244429,0.9999744432
196,153.0040563,0.9999746944
197,138.3415108,0.9999749171
198,125.0094017,0.9999751243
199,130.4905448,0.9999753358
200,126.2670936,0.9999755511
201,121.7299023,0.999975749
202,117.2075006,0.9999759402
203,115.6956048,0.9999761423
204,107.7534015,0.999976322
205,104.8497639,0.999976504
206,112.8879585,0.9999766917
207,106.3327246,0.9999768741
208,98.51644715,0.9999770457
209,108.1996075,0.9999772313
210,99.34565766,0.9999774027
211,98.84143567,0.999977578
212,93.76025677,0.9999777428
213,102.8070955,0.9999779245
214,93.95475034,0.9999780906
215,91.44688188,0.9999782499
216,99.81667135,0.9999784316
217,86.99467253,0.9999785891
218,97.380082,0.9999787628
219,90.97815114,0.9999789284
220,95.15442507,0.9999791016
221,87.46048129,0.9999792622
222,85.87058211,0.9999794231
223,99.29641115,0.9999796028
224,81.83355187,0.999979757
225,88.46695836,0.9999799194
226,86.5643508,0.9999800816
227,86.03492877,0.9999802418
228,79.54469958,0.9999803937
229,77.92634062,0.9999805471
230,84.81101649,0.9999807033
231,77.5355274,0.9999808501
232,76.08309434,0.9999809955
233,75.82564745,0.9999811423
234,71.34815344,0.9999812842
235,71.19822537,0.9999814194
236,70.31831442,0.9999815563
237,66.72712096,0.9999816897
238,68.74653445,0.999981821
239,63.19067175,0.9999819487
240,65.47402644,0.9999820748
241,61.2858116,0.9999822012
242,61.80971978,0.9999823271
243,62.18639307,0.9999824507
244,60.16570161,0.9999825736
245,63.61091287,0.9999826984
246,56.94176747,0.9999828195
247,61.26970174,0.9999829439
248,61.49179732,0.9999830675
249,62.24381509,0.9999831955
250,60.38090727,0.9999833188
251,60.09435321,0.9999834453
252,61.29059308,0.9999835727
253,61.23955475,0.9999837009
254,62.4749751,0.9999838337
255,61.21985992,0.9999839645
256,62.41631299,0.9999840955
257,63.4626932,0.9999842284
258,60.09367626,0.9999843593
259,61.8033193,0.999984491
260,62.1458419,0.9999846251
261,61.65849504,0.9999847581
262,62.0265644,0.9999848923
263,61.00062776,0.9999850251
264,61.48511059,0.9999851578
265,60.490179,0.9999852934
266,60.01462447,0.999985425
267,61.11603084,0.9999855588
268,57.3251703,0.9999856879
269,59.4930936,0.9999858191
270,56.04132529,0.9999859435
271,56.82322339,0.9999860727
272,56.43795792,0.9999862009
273,55.38679811,0.9999863254
274,55.27837721,0.9999864481
275,53.58656805,0.9999865727
276,52.57865194,0.999986692
277,53.56563115,0.999986816
278,53.48591321,0.9999869381
279,52.5568503,0.999987059
280,50.1029815,0.9999871765
281,48.88888659,0.9999872887
282,49.34718021,0.999987404
283,48.57621637,0.9999875172
284,48.72528263,0.9999876336
285,48.85751794,0.9999877493
286,46.68446619,0.9999878576
287,48.3899006,0.9999879732
288,44.56333527,0.9999880792
289,43.55748224,0.9999881842
290,42.60953537,0.9999882884
291,44.38798624,0.9999883907
292,43.08751824,0.9999884986
293,43.60897032,0.9999886039
294,41.71732817,0.9999887053
295,41.18847966,0.999988805
296,41.32132284,0.9999889077
297,39.50780262,0.999989006
298,42.32530145,0.999989108
299,40.4540304,0.9999892076
300,39.73258645,0.9999893061
301,40.28741091,0.9999894061
302,40.77810544,0.9999895108
303,42.77971273,0.9999896159
304,40.02205617,0.9999897158
305,41.6634261,0.9999898232
306,39.97395244,0.9999899229
307,40.22977683,0.9999900255
308,42.68845592,0.999990132
309,39.46599558,0.9999902371
310,40.41247138,0.9999903393
311,39.36595483,0.9999904408
312,39.36602434,0.9999905411
313,39.05071491,0.9999906422
314,38.59208392,0.9999907451
315,39.43071582,0.9999908476
316,38.37201611,0.999990947
317,37.6158805,0.9999910457
318,37.47567754,0.9999911451
319,38.33090077,0.9999912455
320,37.74208907,0.9999913442
321,37.59781252,0.9999914439
322,36.75116977,0.9999915433
323,37.5840678,0.9999916442
324,36.77936186,0.9999917408
325,36.6453222,0.9999918402
326,36.58880556,0.9999919396
327,35.54747158,0.999992037
328,35.9403303,0.9999921354
329,37.49910428,0.9999922356
330,35.21653565,0.9999923323
331,35.88883671,0.9999924292
332,36.36687185,0.9999925279
333,34.42326933,0.9999926257
334,35.27994333,0.9999927221
335,35.54756731,0.9999928212
336,33.81369507,0.9999929141
337,35.68844492,0.9999930113
338,32.66859228,0.9999931061
339,33.84726224,0.9999932004
340,32.22450143,0.9999932927
341,33.26073229,0.9999933856
342,32.7722957,0.9999934767
343,31.32022028,0.9999935683
344,32.78437476,0.9999936592
345,31.4304874,0.9999937508
346,31.25085816,0.9999938393
347,30.55125113,0.9999939274
348,30.94629495,0.9999940161
349,31.33348136,0.9999941048
350,29.66947953,0.9999941916
351,30.152041,0.99999428
352,29.56860902,0.9999943665
353,29.6795381,0.9999944536
354,30.37671829,0.9999945409
355,28.91270481,0.9999946274
356,29.72338714,0.9999947135
357,28.75674658,0.9999948003
358,29.6775399,0.9999948873
359,30.05770913,0.9999949752
360,28.34329678,0.9999950614
361,29.85701038,0.9999951489
362,28.44256767,0.9999952351
363,29.54452321,0.9999953222
364,27.89529241,0.9999954079
365,29.24340328,0.9999954967
366,27.72973383,0.9999955807
367,28.98676632,0.9999956679
368,28.18633387,0.9999957538
369,28.10449647,0.9999958408
370,28.54638698,0.9999959279
371,28.1541629,0.9999960135
372,29.29866274,0.9999961034
373,27.75776081,0.999996189
374,28.21476762,0.999996278
375,29.21619422,0.9999963677
376,28.22604529,0.9999964547
377,29.29430086,0.9999965472
378,28.44497222,0.9999966353
379,29.04965104,0.999996727
380,29.498946,0.9999968177
381,28.64551682,0.9999969096
382,28.93362786,0.9999970017
383,29.3368091,0.9999970943
384,28.96143947,0.9999971864
385,28.89675911,0.9999972781
386,28.55708802,0.9999973706
387,28.85578011,0.9999974617
388,29.18592999,0.9999975557
389,27.70946185,0.9999976454
390,28.017752,0.999997735
391,27.83470563,0.9999978261
392,27.66875589,0.9999979142
393,27.34519315,0.9999980037
394,26.25064056,0.999998091
395,27.49224003,0.9999981792
396,25.62999147,0.9999982638
397,27.79781061,0.999998353
398,24.59554054,0.9999984363
399,26.0989329,0.9999985221
400,25.82711139,0.9999986069
401,25.70126206,0.9999986935
402,25.91300946,0.9999987784
403,25.45621339,0.9999988644
404,25.4035275,0.9999989484
405,26.24073558,0.9999990356
406,24.83618331,0.9999991207
407,26.28199132,0.9999992078
408,24.92976949,0.9999992931
409,25.84230326,0.9999993789
410,25.1509692,0.9999994644
411,25.40934169,0.9999995518
412,13.56090398,0.9999995969
413,1.078096503,0.9999996003
414,1.008238159,0.9999996035
415,0.9621080071,0.9999996067
416,0.9158779402,0.9999996095
417,0.9378414396,0.9999996124
418,0.9223150635,0.9999996151
419,0.8301042641,0.9999996177
420,0.914021855,0.9999996205
421,0.8887641664,0.9999996232
422,0.8650439577,0.9999996258
423,0.8488629677,0.9999996283
424,0.8716729661,0.9999996309
425,0.8438057375,0.9999996334
426,0.8743595283,0.9999996359
427,0.8223244801,0.9999996384
428,0.8534317489,0.9999996408
429,0.8658980542,0.9999996433
430,0.8310107775,0.9999996457
431,0.8303386695,0.9999996481
432,0.7928850974,0.9999996504
433,0.8433952779,0.9999996528
434,0.7602365576,0.999999655
435,0.7783976395,0.9999996572
436,0.8152775843,0.9999996595
437,0.7926105656,0.9999996618
438,0.8181208468,0.999999664
439,0.8490781121,0.9999996665
440,0.8735710012,0.9999996689
441,0.8511998766,0.9999996713
442,0.8983784413,0.9999996738
443,0.8473525453,0.9999996761
444,0.8028312495,0.9999996784
445,0.897558487,0.9999996808
446,0.830986898,0.9999996832
447,0.787006502,0.9999996853
448,0.8568955133,0.9999996876
449,0.7760299556,0.9999996898
450,0.8288921445,0.9999996921
451,0.8161821239,0.9999996943
452,0.7912333437,0.9999996964
453,0.775395264,0.9999996985
454,0.825128302,0.9999997008
455,0.7677577384,0.9999997028
