freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.826224043e+11,0.6389425585
1,1372302818,0.6773528588
2,812008970.6,0.7228085818
3,187217160,0.7359089472
4,128800219.9,0.7467241734
5,67591986.32,0.7561835597
6,96957532.56,0.7683957008
7,87878306.64,0.7831538086
8,60696730.7,0.795045978
9,42345538.07,0.8033426408
10,40142887.07,0.8128931225
11,53799304.89,0.82493972
12,57270006.34,0.8409694046
13,71233723.75,0.8638981998
14,61350457.73,0.8827871682
15,22773404.98,0.8904362088
16,21601921.14,0.897691776
17,21966342.63,0.9066068202
18,14515200.66,0.9127009549
19,11468318.5,0.9175158713
20,6655302.694,0.9204032069
21,8068625.037,0.9244682933
22,6155565.876,0.9273972615
23,6670359.209,0.9306645315
24,6809799.747,0.9342860081
25,7435049.811,0.9386562042
26,5447514.075,0.9420106346
27,5586030.586,0.945215833
28,3372723.31,0.9471982626
29,2872518.726,0.9491278828
30,2597854.373,0.9508366403
31,3245726.344,0.9531986571
32,2519872.876,0.9549619173
33,5490852.582,0.9589577829
34,3138142.821,0.9614610968
35,2929193.992,0.9635927632
36,2142668.146,0.9653319677
37,1579098.904,0.9665916237
38,1740899.741,0.9681508942
39,1668568.609,0.9695986774
40,1455754.948,0.9708006872
41,1133420.983,0.9718793059
42,1190370.065,0.9729788019
43,959547.8762,0.9739456693
44,1068692.823,0.9749776456
45,1018848.255,0.9759472313
46,822217.3159,0.9767987341
47,893883.0054,0.9777119454
48,905074.866,0.9786999225
49,897980.3294,0.979655021
50,779603.4028,0.9805714963
51,665816.5781,0.9813262537
52,627794.8113,0.9820115526
53,634411.1206,0.9827751018
54,560292.5034,0.983410239
55,1186655.192,0.984971301
56,573559.6522,0.985661612
57,486193.4747,0.9862739897
58,461141.1737,0.9868612668
59,411488.3179,0.9873910682
60,323367.0839,0.9878345641
61,319922.561,0.9882688586
62,341528.1847,0.9887372624
63,272090.0488,0.9891180479
64,295743.2003,0.989519519
65,272751.1804,0.9899317666
66,316384.895,0.990374542
67,245717.6614,0.9907390524
68,296606.8309,0.9912081113
69,256234.5724,0.9915810512
70,204856.5374,0.9919021477
71,218247.8953,0.9922289624
72,177659.5911,0.9925273204
73,193599.8967,0.9928416106
74,141706.0876,0.9930716564
75,149692.3028,0.9933209517
76,158580.764,0.9935872691
77,236637.7493,0.9939979206
78,150555.7902,0.994248654
79,113476.678,0.9944455769
80,106091.3433,0.9946385919
81,116230.3844,0.99484192
82,112867.8388,0.9950535819
83,91755.44206,0.9952153788
84,100240.3592,0.9954033603
85,90393.60933,0.9955766713
86,86859.21575,0.9957419902
87,87328.82253,0.9959106472
88,123025.4319,0.9961361926
89,79943.82892,0.9963040127
90,71257.86936,0.9964416321
91,65458.23989,0.9965735472
92,61074.34477,0.9966974824
93,61238.89325,0.9968226085
94,55450.16036,0.9969405629
95,75960.19276,0.9970947052
96,71828.33334,0.997245489
97,83663.14472,0.9974304836
98,72647.90516,0.9975850213
99,79130.19342,0.997763315
100,57056.58181,0.9978846866
101,98240.48524,0.9981129132
102,55852.34336,0.9982387579
103,38958.27987,0.9983238114
104,42236.75547,0.9984231156
105,39734.54609,0.9985126442
106,28612.40942,0.9985823183
107,25986.3355,0.9986434156
108,22859.12258,0.9986965206
109,23368.55004,0.9987524443
110,30412.2989,0.9988256501
111,24637.48991,0.9988877137
112,17992.94077,0.9989317801
113,16712.16372,0.9989734114
114,15206.41707,0.9990129943
115,14422.52052,0.9990493257
116,13097.43382,0.9990821357
117,13110.12165,0.999115895
118,12446.75546,0.9991486427
119,10499.37031,0.9991764138
120,10785.26549,0.9992047902
121,17144.6919,0.9992489386
122,11822.86901,0.9992808722
123,9271.179455,0.9993076004
124,9402.384091,0.9993323383
125,8655.590642,0.9993568073
126,7509.405808,0.9993766699
127,6597.011212,0.999395504
128,6922.324124,0.9994154606
129,6643.482046,0.9994337766
130,5857.240608,0.9994509905
131,5711.762305,0.9994671374
132,7555.134953,0.9994899757
133,5090.984685,0.9995050089
134,5017.898495,0.9995190539
135,4526.853908,0.9995329914
136,5035.310349,0.9995480012
137,3897.462101,0.9995598918
138,4152.604202,0.9995724447
139,3600.497604,0.9995831774
140,3157.474978,0.9995932523
141,2979.079936,0.9996023411
142,3080.509825,0.9996119981
143,2895.805195,0.9996211165
144,2509.168925,0.9996291228
145,2378.077436,0.9996369105
146,2031.196312,0.9996433633
147,2114.80284,0.9996501112
148,1938.052472,0.9996565664
149,2043.694655,0.9996633163
150,1959.684794,0.9996698161
151,1871.894221,0.9996758414
152,1633.711064,0.9996814201
153,1768.81184,0.9996872869
154,1800.395593,0.9996935859
155,1589.34707,0.9996989242
156,1706.371874,0.999704751
157,1578.850374,0.9997103854
158,1521.982362,0.9997154974
159,1375.866544,0.9997203111
160,1809.000106,0.9997266656
161,1268.072308,0.9997313507
162,1199.380958,0.9997356477
163,1211.487229,0.9997398693
164,1082.831171,0.9997438094
165,1007.310496,0.9997474465
166,936.379626,0.9997509847
167,956.8317979,0.9997544261
168,980.7826361,0.9997579399
169,870.3866775,0.9997612775
170,984.3209654,0.9997649831
171,1173.206585,0.9997694161
172,858.0260287,0.9997726103
173,743.3459361,0.9997755023
174,727.2162553,0.9997783214
175,767.6200181,0.9997812219
176,698.458867,0.9997839393
177,670.0704216,0.9997864806
178,612.5716217,0.9997889496
179,607.6485014,0.9997913647
180,627.8252431,0.9997937985
