freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.269487846e+11,0.8866346701
1,561057750.8,0.8988066867
2,235455021.1,0.9090229698
3,181993445.3,0.9188937328
4,115737113.6,0.9264264016
5,45741279.77,0.9313881334
6,50735071.45,0.9363412182
7,57340036.25,0.9438050901
8,18808256.54,0.9466613752
9,22671241.04,0.9501043061
10,12841771.57,0.9524723995
11,17971854.96,0.955591561
12,14850647.1,0.9588133742
13,7643192.462,0.9607202728
14,7239940.607,0.9624480298
15,8415491.175,0.9646388951
16,7328025.745,0.9665466527
17,7885225.794,0.9690271406
18,4526358.093,0.9705001148
19,4271199.145,0.9718900548
20,3429664.08,0.9730433441
21,3422574.84,0.9743798793
22,3024023.929,0.9754951727
23,2960668.823,0.9766192155
24,2723159.742,0.9777417034
25,2106734.293,0.9787015107
26,1786547.171,0.9795542026
27,2392524.74,0.9806182605
28,2033669.667,0.9815447803
29,1544526.906,0.9823489758
30,1381300.078,0.9830531999
31,1405042.599,0.9838457338
32,1797964.623,0.9848208943
33,1076094.562,0.9854278804
34,890379.3902,0.9859784027
35,972688.5811,0.9865270612
36,980992.1081,0.9871442507
37,761570.9687,0.9876151306
38,618356.9519,0.9880444141
39,663286.8248,0.9884904996
40,751649.8702,0.9889715522
41,601519.9014,0.9894152465
42,567148.9673,0.9898212839
43,491403.6645,0.9902050759
44,361044.6644,0.9904753068
45,394997.0078,0.9907666653
46,465862.6273,0.9911406162
47,286584.2575,0.9913675505
48,390901.093,0.9916982903
49,335862.8812,0.991975176
50,374960.8364,0.9923168329
51,327035.6236,0.9926041788
52,291174.8241,0.9928505406
53,307014.4377,0.9931369467
54,323636.2161,0.9934213058
55,352037.7069,0.9937802624
56,313177.6364,0.994072418
57,301502.0151,0.9943667637
58,241948.2595,0.9946055937
59,210321.5499,0.994815486
60,238305.0322,0.9950688147
61,186203.6479,0.9952647374
62,203828.0185,0.9954814155
63,143007.0822,0.9956365407
64,167170.3228,0.9958124367
65,156520.1827,0.9959958028
66,168092.8247,0.9961781395
67,139387.8234,0.9963384108
68,125222.0364,0.9964919023
69,126965.4332,0.9966351355
70,101199.7493,0.9967580838
71,94611.13537,0.9968678961
72,106606.9605,0.9970066649
73,102028.5695,0.997135047
74,102114.3012,0.9972635371
75,85214.74828,0.9973735356
76,73153.18858,0.9974687581
77,77322.88914,0.9975727632
78,72453.99049,0.9976662896
79,64935.01227,0.9977536321
80,74705.90946,0.9978589794
81,64390.71874,0.9979462882
82,60918.072,0.9980348356
83,54798.29424,0.9981097323
84,49308.81547,0.9981814051
85,52181.01855,0.9982589509
86,43469.79458,0.9983230794
87,45412.55921,0.9983910592
88,42790.96689,0.9984518655
89,43037.13684,0.9985218916
90,38180.82359,0.9985790459
91,36655.07045,0.998636302
92,38711.03414,0.9986971894
93,31186.46661,0.99874658
94,38475.9865,0.9988100193
95,36397.3246,0.9988672676
96,29498.98018,0.9989152656
97,23863.70694,0.9989561653
98,27276.17016,0.9990011383
99,23247.03656,0.9990417376
100,25247.88287,0.9990833663
101,24135.32462,0.999126826
102,20825.31214,0.9991631959
103,20298.99199,0.9991975457
104,16474.22784,0.9992275677
105,18072.0639,0.9992591292
106,20003.50309,0.9992968847
107,17786.43179,0.999329298
108,12916.44563,0.9993525562
109,16605.29156,0.9993833574
110,16290.10627,0.9994137507
111,15596.43142,0.9994442032
112,13231.80843,0.999469321
113,12106.31262,0.9994926963
114,11557.50711,0.9995160149
115,10650.13222,0.9995368096
116,9729.980896,0.9995557021
117,9019.813595,0.9995737049
118,8478.688438,0.9995909956
119,7839.496626,0.9996070677
120,8242.349908,0.9996238764
121,7453.478478,0.999638753
122,8008.457145,0.999655519
123,6771.895898,0.9996706513
124,7516.32637,0.9996859794
125,6323.219211,0.9996998346
126,5858.581881,0.9997118456
127,4759.204145,0.9997223771
128,4889.724632,0.9997333035
129,4429.735514,0.9997427695
130,3703.082868,0.999751205
131,3704.008749,0.9997593211
132,3622.26343,0.9997678082
133,3857.759327,0.9997766378
134,3641.605862,0.9997845382
135,3410.968182,0.9997926782
136,3288.154459,0.9998002755
137,3052.592898,0.999807494
138,2823.890027,0.9998141105
139,2631.345946,0.9998201902
140,2639.588232,0.9998267184
141,2208.346395,0.9998319406
142,2419.954267,0.9998378206
143,1933.818127,0.9998425404
144,1935.225811,0.9998473266
145,1997.435496,0.9998523967
146,1595.195341,0.9998563246
147,1546.012697,0.9998601482
148,1456.899929,0.9998639095
149,1448.501729,0.9998676176
150,1457.417797,0.9998713644
151,1288.592855,0.9998745793
152,1347.900656,0.9998781469
153,1227.69726,0.9998813031
154,1167.231999,0.9998844684
155,1071.934577,0.9998872591
156,1157.904068,0.9998903238
157,1061.20417,0.9998932591
158,1049.813124,0.9998959922
159,867.5968334,0.999898345
160,841.5961866,0.9999006364
161,734.9839659,0.9999027412
162,676.7768413,0.9999046205
163,688.2528554,0.9999064795
164,660.3109703,0.9999083418
165,611.0222541,0.9999100518
166,656.3865173,0.9999119742
167,656.5917164,0.9999138047
168,694.9054055,0.9999157344
169,575.4799005,0.9999174448
170,642.6470098,0.99991932
171,499.6936572,0.9999207835
172,548.64839,0.9999223666
173,467.0421109,0.999923775
174,462.9423085,0.999925166
175,397.1194599,0.9999263291
176,381.4017372,0.9999274792
177,433.7707993,0.9999287544
178,348.96903,0.9999298445
179,332.2443043,0.9999308681
180,329.9928206,0.9999318596
181,329.0004022,0.9999328803
182,327.2324768,0.9999339168
183,275.4098523,0.9999347951
184,249.2131816,0.9999355493
185,222.4972067,0.9999362541
186,208.1145841,0.9999369313
187,215.1122364,0.999937615
188,179.621712,0.9999381917
189,192.4397921,0.9999388013
190,205.4718825,0.9999394655
191,178.944781,0.9999400614
192,174.4657825,0.9999406178
193,151.1988307,0.9999411295
194,158.7719069,0.9999416444
195,166.7498443,0.9999422088
196,152.0105464,0.9999427233
197,158.8895274,0.9999432507
198,148.5462301,0.9999437582
199,134.8216351,0.9999442087
200,138.0654778,0.9999446939
201,129.0064831,0.9999451263
202,116.2224081,0.9999455171
203,114.7471046,0.9999459304
204,119.0184879,0.9999463396
205,97.50514114,0.9999466887
206,104.4488937,0.9999470467
207,106.1344342,0.999947422
208,102.0941214,0.9999477886
209,96.68201319,0.9999481305
210,102.3245184,0.9999484945
211,96.63317721,0.9999488478
212,102.4598937,0.999949219
213,93.18569369,0.9999495586
214,96.80879998,0.9999499115
215,100.5522336,0.9999502725
216,94.42197096,0.9999506269
217,94.92666843,0.9999509811
218,95.41197078,0.999951332
219,92.65468351,0.9999516797
220,85.05329615,0.9999519989
221,82.78363708,0.9999523123
222,81.17222781,0.9999526258
223,85.25646323,0.9999529439
224,83.21388886,0.9999532671
225,87.08133711,0.9999535967
226,79.02105265,0.9999539019
227,82.28473432,0.9999542179
228,77.62661757,0.9999545235
229,77.53629106,0.9999548381
230,82.35558393,0.9999551508
231,77.80550269,0.9999554546
232,73.700444,0.9999557448
233,73.04246474,0.9999560364
234,68.22416718,0.9999563161
235,69.8122259,0.9999565895
236,66.76507057,0.9999568575
237,65.98187733,0.9999571294
238,70.00017721,0.9999574051
239,66.64864721,0.9999576827
240,67.38634526,0.9999579502
241,63.9048308,0.999958222
242,63.8365972,0.9999584899
243,68.44819185,0.9999587706
244,65.78547848,0.9999590475
245,67.60485861,0.999959321
246,64.37701821,0.9999596031
247,64.91754627,0.9999598749
248,64.87360659,0.9999601438
249,62.75776844,0.9999604099
250,62.3515125,0.9999606724
251,61.16966033,0.9999609378
252,60.95428078,0.9999611989
253,60.51433696,0.9999614602
254,58.08243703,0.9999617147
255,59.37855518,0.9999619762
256,59.8741462,0.9999622354
257,57.10671622,0.9999624819
258,55.74076557,0.9999627322
259,58.06499561,0.9999629873
260,55.90969664,0.999963236
261,56.52591318,0.9999634874
262,54.16896327,0.9999637289
263,54.98821467,0.9999639758
264,58.96999309,0.9999642381
265,54.76050605,0.9999644911
266,54.41945119,0.9999647373
267,53.49833757,0.9999649787
268,55.26574704,0.9999652353
269,55.06434547,0.9999654856
270,54.39223925,0.9999657345
271,50.06575352,0.9999659692
272,47.32134578,0.9999661909
273,51.75840341,0.9999664306
274,51.89168057,0.9999666682
275,50.34136586,0.9999669096
276,50.02718044,0.9999671434
277,49.58299716,0.9999673801
278,50.5283045,0.999967618
279,47.37866153,0.9999678426
280,47.16010821,0.9999680707
281,49.69316831,0.9999683057
282,44.35138822,0.9999685193
283,44.1811422,0.9999687317
284,46.79269831,0.9999689621
285,47.33627569,0.9999691932
286,44.97249982,0.9999694083
287,44.38817851,0.9999696269
288,46.33662975,0.9999698541
289,46.6300381,0.9999700857
290,45.00041807,0.9999703127
291,46.30013731,0.9999705327
292,41.78199368,0.9999707484
293,41.91003371,0.9999709571
294,39.67551549,0.9999711559
295,40.8426638,0.9999713597
296,39.04705257,0.9999715597
297,38.8559707,0.999971759
298,40.06913647,0.9999719581
299,40.45908283,0.9999721635
300,40.8785026,0.9999723723
301,38.28185277,0.9999725683
302,36.83353778,0.9999727633
303,42.30310491,0.9999729776
304,42.18873933,0.9999731945
305,37.44718416,0.9999733936
306,40.62090843,0.9999736024
307,39.19392305,0.9999738086
308,38.24740551,0.9999740053
309,38.20665569,0.999974215
310,38.65257,0.9999744167
311,37.54856712,0.9999746162
312,36.03405954,0.9999748054
313,36.38909907,0.9999749996
314,38.24483231,0.99997521
