freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.349607158e+11,0.8571676122
1,2718566852,0.8920152919
2,359109507.2,0.9012217111
3,118323729.6,0.9050135136
4,62471318.01,0.9074158608
5,50149006.98,0.9106300112
6,30726375.91,0.9124023947
7,64790397.13,0.9173854504
8,24167577.9,0.9195539783
9,22157701.43,0.9215421624
10,37574514.55,0.9256361465
11,25195952.54,0.928219921
12,27972173.22,0.9318055063
13,27025793.16,0.935789422
14,26150930.65,0.9394767662
15,14006245.73,0.9416312183
16,21076982.99,0.9448732969
17,14587137.16,0.9475845616
18,8238622.628,0.9491686511
19,7060231.224,0.9505261642
20,7459588.39,0.9520082741
21,5297585.17,0.9532305924
22,8939415.74,0.9551786056
23,7231182.567,0.9568007191
24,5799800.275,0.9582132582
25,6349852.529,0.9599225523
26,5279524.982,0.9614114037
27,4904948.579,0.9627003125
28,4157120.928,0.963819353
29,3149106.569,0.9647881492
30,3610010.754,0.9658756015
31,3356574.441,0.9669942753
32,3642479.85,0.9681615445
33,2973762.124,0.9691526353
34,2575452.333,0.9700935109
35,3553871.56,0.9712779396
36,3477030.542,0.9725704688
37,3373169.339,0.9738027699
38,2949626.341,0.9750126737
39,2516144.676,0.9760125152
40,2905817.151,0.9771113291
41,2238944.354,0.9780871184
42,1796722.809,0.9788471451
43,1892895.089,0.9797206451
44,1719042.776,0.9804808657
45,2608278.353,0.9816176203
46,2355689.287,0.9827348785
47,1284042.274,0.9833356455
48,1539825.869,0.9841054316
49,1971506.663,0.985065751
50,1582039.509,0.9859174781
51,1160220.823,0.9865198012
52,1388391.039,0.9872138823
53,1532731.065,0.9880587103
54,1026355.103,0.9885915376
55,1014061.656,0.9892024741
56,1191769.768,0.9898593672
57,1112628.996,0.9905011628
58,870987.5895,0.9910091552
59,709861.0169,0.9914277222
60,897534.578,0.9919914651
61,724634.9408,0.9924419652
62,677187.5514,0.9928673078
63,573027.3272,0.9932345725
64,539156.5969,0.9935697621
65,494094.2113,0.993911771
66,460239.8702,0.9942067479
67,552440.3305,0.9945820622
68,422543.041,0.9948880846
69,403290.6935,0.9951569008
70,324251.7607,0.9953896586
71,321228.8823,0.9956099524
72,374029.7427,0.9958976202
73,345390.2478,0.9961544065
74,252295.0566,0.9963419796
75,284550.8776,0.9965590051
76,272729.901,0.9967687628
77,232398.3654,0.9969534592
78,262212.0944,0.9971534471
79,242168.2294,0.997345908
80,211921.0051,0.9975224798
81,146851.0889,0.9976401295
82,151545.3619,0.9977702817
83,139584.2043,0.9978830042
84,121027.1778,0.9979869463
85,115797.6208,0.9980886236
86,116357.8094,0.9981900471
87,112409.1765,0.9982894696
88,101762.5843,0.99837491
89,79406.68212,0.99845125
90,83034.52375,0.9985246915
91,82782.98589,0.998601094
92,66510.09114,0.9986629041
93,65044.70289,0.9987237692
94,63276.02102,0.9987854126
95,54158.98251,0.9988357444
96,48597.09781,0.9988824647
97,46151.26982,0.9989291999
98,49222.44287,0.9989771523
99,47396.53633,0.9990260599
100,35128.05582,0.9990602816
101,41892.21407,0.9991048519
102,43519.68978,0.9991497591
103,32696.77001,0.9991824504
104,30219.38517,0.999214989
105,27529.72651,0.9992433965
106,27903.56694,0.9992745145
107,32528.58766,0.9993095395
108,33936.08174,0.9993456451
109,32769.27129,0.9993815593
110,28520.16001,0.9994129994
111,26428.4635,0.9994434888
112,23687.28831,0.9994700567
113,16343.82611,0.9994887024
114,14166.70686,0.9995055906
115,13565.65508,0.9995212407
116,18437.60679,0.9995423932
117,21792.92468,0.9995680935
118,19141.97184,0.9995911582
119,14307.54528,0.9996084895
120,14435.99847,0.9996258839
121,12544.45965,0.9996406774
122,8985.661657,0.9996517925
123,9458.676981,0.9996642807
124,10006.68871,0.9996763381
125,8118.549565,0.9996868488
126,9488.843022,0.999698343
127,8967.990747,0.9997100685
128,8186.397857,0.9997208769
129,8275.047062,0.9997313251
130,8003.943914,0.9997420979
131,8897.842314,0.9997536176
132,8101.192315,0.9997648327
133,6558.356841,0.9997737019
134,6120.325874,0.9997815472
135,5339.496689,0.999789076
136,5571.449525,0.9997966819
137,5047.79742,0.9998037347
138,5025.642703,0.9998106921
139,6375.898295,0.9998193963
140,5906.938373,0.9998280281
141,6543.820953,0.9998371711
142,5178.735089,0.999844606
143,4073.621943,0.9998504805
144,4973.248803,0.9998577479
145,3645.118996,0.9998632147
146,3199.535136,0.9998678696
147,3591.145951,0.9998731174
148,3945.047355,0.9998791351
149,3384.142712,0.9998842538
150,3425.542861,0.9998894572
151,4218.017541,0.999895675
152,3338.324436,0.9999008956
153,2653.187554,0.9999049258
154,2479.01194,0.9999088979
155,2031.882156,0.9999120234
156,2072.894387,0.9999152651
157,1788.35563,0.9999181878
158,1863.162355,0.9999210538
159,1761.99075,0.999923877
160,1854.696094,0.9999268607
161,1762.183183,0.9999298423
162,1665.846355,0.9999325756
163,1444.02204,0.9999348801
164,1401.535692,0.9999372156
165,1361.561735,0.999939467
166,1048.259737,0.999941281
167,945.3340342,0.9999428382
168,1013.820448,0.9999445016
169,766.7017133,0.999945848
170,744.5068121,0.9999471316
171,801.4385237,0.9999485185
172,961.6971941,0.999950158
173,709.0513756,0.9999514214
174,780.8057784,0.9999528076
175,809.5723013,0.9999542085
176,618.8943772,0.9999553113
177,555.6337975,0.9999562763
178,487.1815276,0.9999571756
179,489.7774242,0.9999580671
180,527.6270044,0.9999590038
181,503.5771936,0.9999599269
182,479.1210937,0.9999608236
183,449.2405982,0.9999616701
184,401.7671152,0.9999623885
185,350.5834891,0.9999630446
186,303.4063799,0.999963628
187,289.4738008,0.9999641716
188,241.7952242,0.9999646303
189,286.1650629,0.9999651659
190,296.9531182,0.999965733
191,256.486025,0.9999662377
192,231.1872965,0.9999666733
193,216.6703608,0.9999671066
194,197.2632617,0.9999674846
195,209.8615565,0.9999679043
196,180.8471461,0.9999682659
197,145.5418205,0.9999685513
198,157.5604594,0.9999688694
199,185.553585,0.9999692357
200,140.4566749,0.9999695274
201,140.4950512,0.9999698056
202,140.2637305,0.9999700843
203,115.0068725,0.999970329
204,134.9244672,0.9999706032
205,151.3805033,0.9999709233
206,163.2313895,0.9999712539
207,105.3157602,0.999971474
208,106.8452958,0.9999717006
209,106.0486638,0.9999719222
210,100.1364149,0.9999721327
211,97.1959122,0.9999723427
212,94.02255288,0.9999725439
213,101.4096931,0.9999727623
214,96.60308323,0.9999729704
215,96.52314445,0.9999731751
216,96.09380165,0.9999733882
217,101.534091,0.9999736121
218,80.35779349,0.9999737867
219,92.86922089,0.9999739926
220,97.36282306,0.9999742085
221,89.1400894,0.9999744079
222,92.08879841,0.999974618
223,91.63566788,0.9999748201
224,85.81329289,0.999975017
225,91.54438653,0.9999752217
226,97.22728562,0.9999754436
227,88.37125956,0.9999756441
228,84.97322179,0.9999758418
229,77.51295493,0.9999760276
230,78.17070912,0.9999762029
231,88.89708402,0.999976408
232,81.0349233,0.9999765966
233,70.99549154,0.999976764
234,68.42143736,0.9999769298
235,74.13226168,0.9999771013
236,77.56832423,0.9999772853
237,70.44042868,0.9999774568
238,74.36216607,0.9999776298
239,70.17401883,0.9999778025
240,67.8539503,0.9999779617
241,69.28939454,0.9999781358
242,71.89147011,0.9999783141
243,65.27715605,0.9999784722
244,61.40961529,0.9999786249
245,69.908474,0.9999787921
246,65.55723826,0.9999789618
247,62.97886009,0.9999791176
248,68.73163664,0.9999792859
249,69.6427839,0.9999794604
250,62.3795154,0.9999796156
251,64.27064967,0.9999797803
252,65.17956579,0.9999799453
253,63.31786401,0.9999801069
254,57.75889589,0.9999802564
255,59.70698258,0.9999804118
256,60.77570357,0.9999805672
257,63.14627783,0.9999807283
258,59.23786342,0.9999808855
