freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.465157541e+11,0.7995650173
1,1265922762,0.8229333645
2,788579419,0.8520469853
3,419238413.1,0.8713943521
4,294573101.4,0.8877074006
5,214626612.6,0.9075169394
6,64326106,0.9128603748
7,59732259.14,0.9194761536
8,47330229.83,0.9255920123
9,45195191.68,0.9314319882
10,27831288.64,0.935798886
11,29887200.6,0.9402125169
12,14595944.82,0.9429068607
13,23969335.79,0.9479951831
14,11671822.86,0.950365204
15,9622226.046,0.9524966659
16,10142056.42,0.9547432778
17,9119759.694,0.9571843026
18,7239944.969,0.959188993
19,7103602.659,0.9611559312
20,7227803.645,0.9632239707
21,3580910.475,0.9644138057
22,3456147.032,0.9654983865
23,5230822.803,0.9671881614
24,4200499.947,0.9686614077
25,4111694.795,0.9702553073
26,3987285.55,0.971874583
27,3715187.257,0.973280486
28,2738593.411,0.9743421025
29,3421779.889,0.9758580498
30,2376147.08,0.9768888202
31,2096191.302,0.9778948829
32,2062172.972,0.9788465519
33,1621638.983,0.9796248542
34,1830076.307,0.9805876514
35,1891689.595,0.9814955639
36,1494390.524,0.9822955509
37,1412344.009,0.9830385805
38,1345975.731,0.9838336553
39,1036949.674,0.9844270452
40,1259096.932,0.9851126944
41,1278633.739,0.985915196
42,968628.1333,0.98650525
43,857850.9022,0.9870753291
44,776049.9419,0.9875695596
45,700331.5378,0.9880091046
46,636606.0903,0.9884439084
47,698593.1005,0.9889146016
48,531425.07,0.9892971862
49,661845.5294,0.9897614459
50,501485.7391,0.9901502481
51,479021.4482,0.9905083699
52,553640.8215,0.9909069481
53,556848.9648,0.9913489525
54,537081.4998,0.9917504807
55,436379.8727,0.9921290831
56,382334.5531,0.992432565
57,389640.2729,0.992756231
58,337669.1001,0.9930398423
59,406882.0859,0.9933853416
60,291529.3215,0.9936490349
61,374821.0119,0.9939846075
62,260110.1455,0.9942198816
63,287074.4276,0.9944848447
64,255875.0201,0.9947139264
65,268137.229,0.9949812096
66,223916.6721,0.9951878795
67,240134.4826,0.9954228163
68,190702.3416,0.995621712
69,211609.9107,0.9958248355
70,178666.4205,0.996009529
71,179706.1524,0.9961870042
72,176096.7674,0.996382044
73,164474.4755,0.9965581391
74,128030.1396,0.996695215
75,146223.5268,0.9968558185
76,134713.9417,0.9970050239
77,116561.6451,0.9971384277
78,113387.106,0.9972629656
79,104841.3366,0.9973829556
80,94745.77733,0.9974966382
81,104355.496,0.9976170353
82,87009.63434,0.9977246478
83,77717.13848,0.9978150291
84,70330.23933,0.9979020127
85,65839.76467,0.9979852657
86,69311.59658,0.9980722689
87,66778.82867,0.9981573257
88,64065.35283,0.9982347871
89,50569.9558,0.9983047994
90,61946.2642,0.9983837009
91,48948.26749,0.9984487573
92,45431.41256,0.998509559
93,52424.10512,0.9985802029
94,45636.49736,0.9986442274
95,40119.22128,0.9986979196
96,41475.7663,0.9987553414
97,35331.43727,0.9988068653
98,36895.64697,0.9988586272
99,30535.30284,0.9989040024
100,32211.05151,0.9989491921
101,28492.30926,0.9989928463
102,30338.90879,0.9990379297
103,26713.22764,0.9990763926
104,29796.30152,0.9991225948
105,23241.86217,0.999157132
106,20985.32949,0.999190834
107,19783.61042,0.9992215105
108,22988.82523,0.9992567326
109,21337.52376,0.9992904095
110,18078.36905,0.9993191092
111,18658.1378,0.9993501071
112,16648.5885,0.999376998
113,16371.51194,0.9994038948
114,13757.61046,0.999427513
115,13711.97945,0.9994502935
116,13289.36723,0.9994722492
