freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.411410823e+11,0.8755300791
1,507187553.5,0.8859435528
2,346944295.2,0.9001903348
3,354241205.5,0.9183733592
4,146550998.3,0.9274002268
5,77496749.28,0.9353559658
6,41968353.73,0.9392335521
7,45667914.18,0.9448594192
8,43733800.88,0.9511449549
9,39226671.52,0.9567827142
10,18314640.36,0.9599789908
11,14618031.96,0.9623800669
12,9525845.53,0.9643358945
13,5090760.911,0.9655379031
14,4028636.295,0.9664477699
15,4368520.504,0.967524093
16,5376667.532,0.9688488049
17,4019633.507,0.9700454945
18,2593668.277,0.9708442847
19,2821365.147,0.9717132003
20,2352110.702,0.9724617428
21,1726887.051,0.9730999526
22,2318304.148,0.9739091349
23,2138237.251,0.9746774175
24,1829302.476,0.9753910361
25,1595621.813,0.9760790168
26,2195515.581,0.9770707304
27,1715282.562,0.9777926961
28,1676174.334,0.9785154085
29,1633108.671,0.9793201444
30,1582895.811,0.9800838873
31,1423527.468,0.9808438045
32,1063649.794,0.9813897706
33,985026.3028,0.981915604
34,944725.5876,0.9824684162
35,971967.2113,0.9829872783
36,1071293.66,0.9836251504
37,955497.306,0.9841842657
38,816990.0143,0.9847210425
39,1139336.431,0.985446214
40,826321.2742,0.985946707
41,640781.0414,0.9863940242
42,652831.2479,0.9868363496
43,862635.2326,0.987473962
44,631530.5702,0.9879213048
45,585569.5432,0.9883300799
46,501318.906,0.9887109202
47,392319.6797,0.9890049287
48,454993.7263,0.9893692605
49,405051.7252,0.9896852853
50,370722.441,0.9900049724
51,507424.2982,0.990426915
52,406794.1558,0.9907526514
53,329484.5898,0.9910435426
54,314379.9226,0.9913049615
55,298048.1311,0.9915925763
56,311573.5735,0.9918676545
57,259537.9765,0.9921074497
58,262085.9567,0.9923522895
59,324172.0459,0.992658458
60,282443.8183,0.9929426129
61,212902.6318,0.9931546197
62,234944.2902,0.9933909874
63,204045.9117,0.9936004589
64,208474.3499,0.993808056
65,198265.4552,0.9940278763
66,198350.4956,0.994231501
67,172047.6503,0.9944187207
68,158713.9511,0.9946028363
69,183988.5949,0.9947992724
70,151265.5972,0.9949731947
71,202308.3189,0.9951954205
72,144710.1943,0.9953736902
73,163041.8318,0.9955678476
74,151271.9264,0.995747989
75,128253.8757,0.9959046693
76,135535.9259,0.9960716371
77,123419.8925,0.9962287471
78,115392.3541,0.9963697153
79,106200.106,0.996504905
80,109583.7927,0.9966511519
81,110416.9036,0.996792843
82,115204.3845,0.9969513217
83,99442.34323,0.9970799507
84,87131.8436,0.997199812
85,85723.43837,0.9973203758
86,96395.70942,0.9974549599
87,89836.40624,0.9975822306
88,70258.26173,0.9976767163
89,74487.58306,0.9977914186
90,70278.71032,0.997890982
91,71303.66039,0.9979963895
92,60779.92329,0.9980868638
93,56553.66803,0.9981716276
94,59278.42427,0.9982641267
95,53288.19071,0.9983434491
96,48000.92661,0.998417365
97,45111.92026,0.9984905371
98,53352.28143,0.9985737889
99,44842.64736,0.9986479053
100,40733.64061,0.9987114667
101,35101.48468,0.9987712845
102,44354.8706,0.9988445947
103,46236.31727,0.9989186413
104,40569.13636,0.9989886097
105,32695.25724,0.9990426487
106,25568.6584,0.9990883212
107,26314.62567,0.9991337053
108,23258.5747,0.9991733411
109,26653.69879,0.9992201309
110,24561.9171,0.9992635007
111,19839.16559,0.9993001607
112,15926.32349,0.9993287729
113,17279.60259,0.9993603484
114,15872.94802,0.9993906571
115,14647.0876,0.9994177229
116,14636.98368,0.9994446198
117,13246.69236,0.9994696418
118,11591.90648,0.9994920141
119,11269.8586,0.9995138805
120,9963.490723,0.9995331099
121,9159.422747,0.9995504114
122,8106.296269,0.9995664725
123,8921.767351,0.9995853401
124,7329.565885,0.9995994861
125,6950.906224,0.9996139002
126,6490.059395,0.9996264926
127,5415.05629,0.9996378331
128,5458.045137,0.9996493756
129,5684.858421,0.9996608725
130,5194.801517,0.9996720717
131,4640.426989,0.9996816946
132,3650.560259,0.9996897895
133,4134.022316,0.9996987442
134,3634.091556,0.9997062057
135,3882.804739,0.999714975
136,3705.108147,0.9997230767
137,4000.109025,0.9997320288
138,3569.858177,0.9997399447
139,3136.76676,0.9997468037
140,3184.905734,0.9997542584
141,2852.608849,0.9997606424
142,2320.74737,0.9997659791
143,2331.15932,0.9997713637
144,2283.317525,0.9997767081
145,2130.143267,0.9997818252
146,1972.250795,0.9997864212
147,1839.304086,0.9997907263
148,1814.701488,0.9997951602
149,1586.348528,0.9997990035
150,1455.584911,0.999802545
151,1605.989599,0.9998063369
152,1691.023559,0.9998105728
153,1557.090405,0.9998143612
154,1539.376792,0.999818312
155,1474.887156,0.9998219458
156,1244.794118,0.9998250639
157,1107.021302,0.9998279618
158,1073.406269,0.9998306065
159,1149.95103,0.9998335578
160,1052.071015,0.9998362687
161,995.7802117,0.9998389675
162,933.8665321,0.9998414218
163,856.8368809,0.999843612
164,854.0207091,0.9998458915
165,840.4124726,0.9998481174
166,788.4340626,0.9998503028
167,762.0023682,0.9998523132
168,690.5448707,0.999854128
169,704.374673,0.9998561093
170,656.9368347,0.9998579235
171,678.3096089,0.9998598036
172,676.4519394,0.9998616508
173,668.514946,0.9998635587
174,625.6744659,0.9998653379
175,636.9743421,0.9998671035
176,578.084568,0.9998687533
177,602.0955967,0.9998704284
178,575.983579,0.9998721313
179,556.6026658,0.9998737541
180,546.4827931,0.9998753081
181,507.8384477,0.9998767991
182,533.2795468,0.9998783977
183,509.7635646,0.9998799363
184,468.7952467,0.999881279
185,448.0827155,0.9998826222
186,427.1123921,0.9998839376
187,417.9790863,0.9998851948
188,435.258881,0.9998865174
189,445.5731286,0.9998878531
190,411.5896847,0.9998891123
191,351.1917006,0.9998902191
192,333.5161332,0.9998912257
193,310.1188916,0.999892219
194,343.4109917,0.9998932731
195,316.9626998,0.9998942883
196,329.1458873,0.9998953426
197,332.2854493,0.9998963864
198,294.3476819,0.9998973382
199,245.9573221,0.9998981159
200,230.934267,0.9998988841
201,246.8122011,0.999899667
202,257.2464337,0.9999004857
203,229.8063504,0.9999012689
204,229.2716378,0.999902015
205,210.831196,0.9999027293
206,202.664113,0.9999033867
207,199.7643391,0.9999040553
208,201.8203768,0.999904741
209,209.2707589,0.9999054414
210,213.0692108,0.9999061589
211,196.2912846,0.9999068379
212,182.4438508,0.9999074635
213,184.6311709,0.9999081004
214,211.3982298,0.9999088296
215,235.7421009,0.9999096306
216,218.6830974,0.9999104074
217,213.1265767,0.99991116
218,199.4259155,0.9999118541
219,172.2069279,0.9999124657
220,170.2114328,0.9999130703
221,180.0560702,0.9999137154
222,186.9073302,0.9999143985
223,193.7589054,0.9999150828
224,183.8725896,0.9999157585
225,177.5052108,0.9999163945
226,173.3578097,0.9999170281
227,174.6255812,0.9999176627
228,171.9337202,0.9999183034
229,170.3151445,0.9999189573
230,180.6857171,0.9999196065
231,163.7790517,0.9999202118
232,159.0308993,0.9999208044
233,157.8160846,0.9999214006
234,154.1985849,0.999921999
235,168.475059,0.9999226234
236,169.0268861,0.9999232654
237,162.673485,0.9999239
238,164.0735384,0.9999245114
239,153.4443089,0.9999251163
240,156.783338,0.9999257054
241,149.0617498,0.9999263053
242,149.7520313,0.9999269002
243,154.3290141,0.9999274991
244,145.7406587,0.9999280796
245,149.3726128,0.9999286516
246,137.7346706,0.9999292228
247,141.7434416,0.9999297845
248,140.7628925,0.9999303365
249,138.2858255,0.9999308916
250,135.6643095,0.999931432
251,130.7807342,0.999931969
252,131.5243679,0.9999325023
253,130.4218532,0.9999330352
254,127.5512813,0.9999335642
255,127.1394038,0.9999340941
256,127.7502903,0.9999346174
257,129.4427762,0.9999351463
258,122.8509642,0.9999356684
259,123.8291977,0.9999361833
260,122.2587053,0.9999366978
261,120.5543283,0.9999372053
262,120.7584041,0.9999377148
263,118.6131116,0.9999382189
264,119.8019594,0.9999387231
265,116.1202551,0.999939231
266,116.2212085,0.9999397285
267,115.3373522,0.9999402211
268,113.0157961,0.9999407176
269,112.8658179,0.9999412031
270,112.5829738,0.9999416908
271,110.337804,0.9999421802
272,110.0352296,0.9999426682
273,111.0449292,0.9999431549
274,112.2193858,0.9999436411
275,105.4772758,0.9999441197
276,107.4037135,0.9999445949
277,105.0101773,0.9999450692
278,105.8345216,0.9999455408
279,104.8788898,0.9999460113
280,103.1037486,0.9999464834
281,106.457725,0.9999469599
282,103.1102967,0.9999474298
283,102.7436873,0.9999478971
