freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.318441894e+11,0.9016548559
1,381601885.4,0.9135274223
2,155850104.9,0.923225177
3,99128627.66,0.9309355111
4,33658391.24,0.9340770953
5,39027691.33,0.9401483292
6,26502182.92,0.9438587935
7,29672161.04,0.9493978338
8,16222143.07,0.9529308072
9,14565762.67,0.9561030423
10,8193218.561,0.9582697861
11,7347088.538,0.960098473
12,6305964.442,0.9620604125
13,5201529.012,0.9639214836
14,5952042.25,0.9659584918
15,5579385.512,0.9680415515
16,3876169.097,0.9694887166
17,3820820.728,0.971212405
18,3232661.384,0.9727210448
19,2519638.263,0.9738969263
20,2144540.194,0.9749311154
21,1602318.197,0.975828452
22,1446594.627,0.9765935726
23,1402156.655,0.9773570016
24,1712759.599,0.9783694762
25,1498660.144,0.9793486427
26,1351727.206,0.9802738644
27,1054168.525,0.9809462184
28,1147197.969,0.9816957532
29,881361.3103,0.9823538644
30,851745.8811,0.9829766119
31,880313.6327,0.9836887183
32,842913.7708,0.9843443459
33,660214.9124,0.9848784093
34,745849.8619,0.9855397578
35,538459.9404,0.9859753307
36,532834.715,0.9864560866
37,587739.1364,0.9869772375
38,511270.1213,0.9874862571
39,435155.9663,0.9879059588
40,440323.977,0.9883100957
41,393667.4458,0.9887265262
42,393852.9665,0.9891308992
43,349121.331,0.9895219318
44,353004.1087,0.9899008391
45,340043.0115,0.9902605444
46,320247.7014,0.9906292008
47,297909.3508,0.9909675079
48,269583.4922,0.9912946166
49,273136.1059,0.9916175379
50,265428.185,0.9919643789
51,250247.7855,0.9922797046
52,244486.6923,0.9925763612
53,214437.3222,0.9928632429
54,180855.1044,0.9930911301
55,215450.5491,0.9934061802
56,176374.9944,0.9936421408
57,187525.1603,0.9939046873
58,156740.6162,0.9941265718
59,151087.9964,0.9943428048
60,130710.2933,0.9945420739
61,152471.4685,0.9947721462
62,136523.6607,0.9949802778
63,124283.848,0.9951736165
64,120868.8931,0.9953560021
65,105145.7578,0.9955326545
66,97950.76597,0.9956850289
67,115572.1584,0.9958756027
68,113930.4886,0.9960758757
69,93211.26437,0.9962266773
70,92636.58098,0.9963880777
71,89119.43676,0.9965364184
72,84425.52783,0.9966940195
73,82697.90892,0.9968432496
74,69212.00328,0.9969681442
75,72093.01296,0.9971016021
76,59507.98585,0.9972126884
77,67372.74041,0.9973426485
78,56683.71399,0.9974475808
79,64241.40432,0.9975715006
80,56021.60039,0.9976847936
81,54749.16317,0.9977912549
82,48190.16656,0.9978917089
83,54731.56644,0.9979989874
84,55195.17875,0.9981140436
85,42074.76647,0.9982037134
86,46808.71074,0.9983027441
87,35791.69077,0.9983795802
88,38864.75038,0.9984587813
89,30023.65796,0.9985288395
90,34099.23185,0.9986020423
91,34611.22052,0.9986795748
92,30965.90976,0.9987494231
93,26258.92798,0.9988090626
94,24424.27279,0.9988668149
95,24676.95677,0.9989224775
96,22753.83752,0.9989755721
97,20179.63412,0.9990251712
98,20177.0059,0.9990728807
99,16960.00793,0.9991153579
100,15838.47368,0.9991528087
101,12791.80351,0.9991858414
102,13608.68469,0.999219925
103,12961.31174,0.9992513792
104,12085.53786,0.9992829641
105,12459.83858,0.9993141704
106,10714.45618,0.9993431721
107,12091.37512,0.9993747722
108,10641.09936,0.9994022511
109,9929.747238,0.9994286653
110,11328.80901,0.9994589775
111,9850.973395,0.9994865614
112,9183.310366,0.9995115615
113,8948.928258,0.9995363411
114,8642.084283,0.9995613466
115,8210.685777,0.9995843375
116,7009.524549,0.999603856
117,6614.578201,0.9996227892
118,5786.15045,0.9996397112
119,6320.803183,0.9996582951
120,5973.790456,0.9996757659
121,5446.438504,0.9996913555
122,4841.559829,0.9997058916
123,4553.709075,0.9997204843
124,4137.095186,0.9997325835
125,3812.214513,0.9997445628
126,3463.227572,0.9997547452
127,3275.057834,0.9997651385
128,2970.92155,0.999774659
129,2864.992465,0.999783439
130,2901.154105,0.9997929165
131,2910.06135,0.999802061
132,2720.526792,0.9998112023
133,2443.46701,0.9998192227
134,2269.978207,0.9998262851
135,2269.413407,0.9998340519
136,1799.606957,0.9998400149
137,1927.281754,0.9998465508
