freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.813439055e+11,0.8423933802
1,1554601226,0.8698664461
2,514104853.8,0.8880370693
3,335209078,0.9028466889
4,234126113.8,0.9152591881
5,54337149.35,0.9200604453
6,77345235.73,0.9262112821
7,43174416.43,0.9307891774
8,57987014.74,0.937962443
9,35181090.54,0.9423145089
10,30579714.43,0.9469079745
11,46078169.52,0.9534223581
12,14331358.75,0.9559550099
13,14591472.82,0.9589204223
14,16519055.59,0.9621316124
15,7613133.39,0.9637460929
16,7295262.656,0.9652931641
17,5558618.332,0.9667175347
18,6178922.396,0.9683554526
19,4377709.037,0.9695159021
20,5887657.79,0.9711286348
21,5635596.44,0.9729213055
22,3980456.027,0.9741171366
23,4717329.728,0.9755760262
24,3236367.323,0.9766627008
25,2855648.743,0.9777224722
26,2941639.393,0.9788661409
27,1671091.592,0.9794715407
28,1853799.324,0.9801595117
29,2593806.587,0.9812596238
30,1679518.898,0.9819571185
31,1381031.032,0.9825916671
32,1407854.503,0.9832136607
33,1455219.977,0.9838822972
34,1122008.135,0.984447402
35,1137773.091,0.9849701798
36,1034088.118,0.9855001405
37,1053703.096,0.9860308431
38,843726.1053,0.9865079763
39,659881.9279,0.9868694827
40,659714.4515,0.9872134096
41,659570.7654,0.9876097136
42,822529.786,0.9880893959
43,736599.9541,0.9885580175
44,584981.9694,0.9889146736
45,522796.1047,0.9892287964
46,587316.8276,0.9896128239
47,667591.3615,0.9900434414
48,467928.7895,0.9903659434
49,441616.4919,0.9906625065
50,454084.4718,0.9909995407
51,409351.2978,0.9912925216
52,429111.9663,0.9915882707
53,374724.6324,0.991873024
54,314822.2626,0.9920983486
55,304052.1329,0.9923508909
56,273245.2444,0.99255853
57,264157.9065,0.9927686001
58,317648.9563,0.9930240154
59,301778.8883,0.9932693365
60,242191.6714,0.9934790582
61,234614.5419,0.9936801455
62,191609.7948,0.9938460668
63,176849.1702,0.9940023315
64,187395.9947,0.9941629481
65,165848.2848,0.994321216
66,179598.8906,0.9944799104
67,136919.4501,0.9946081521
68,122105.0083,0.9947300707
69,154291.8911,0.9948718571
