freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.109104728e+11,0.9642662487
1,457390746.5,0.9700418441
2,185556047.5,0.9747279758
3,28416630.88,0.9756250368
4,30747857.15,0.976789821
5,23566575.93,0.9782777283
6,24006170.54,0.9796418238
7,16339421.03,0.9808797573
8,9338605.959,0.9817052048
9,8056013.378,0.9824172829
10,7007480.298,0.9831694082
11,5950457.281,0.9837705123
12,5496717.366,0.9844645975
13,5575099.92,0.9852741777
14,4353687.6,0.9858789047
15,2946442.454,0.9863253709
16,2824280.079,0.9867533262
17,2905979.98,0.9872853977
18,3063680.125,0.9878656863
19,2958517.544,0.9884260562
20,2537899.445,0.9889227806
21,1583275.332,0.9892826445
22,2185700.308,0.9897518347
23,1759463.004,0.9901406359
24,1679499.674,0.9905435782
25,1634284.516,0.9909769457
26,1424336.617,0.9913726263
27,1496661.776,0.9917600506
28,1429916.621,0.9921392254
29,1456630.579,0.9925806637
30,1333486.352,0.9929763635
31,1034474.767,0.9933159908
32,966600.9177,0.993621129
33,1053143.221,0.9939668854
34,717293.8491,0.994225023
35,740050.5642,0.9944679883
36,705491.8143,0.9947263328
37,738360.2851,0.9949920518
38,578905.5083,0.9952259717
39,543041.1424,0.9954385426
40,481072.7319,0.9956177443
41,620415.9819,0.9958841057
42,575736.2291,0.9961240148
43,432299.004,0.99632053
44,413073.7097,0.9965004818
45,441354.8488,0.9966899674
46,400462.9472,0.9968770672
47,302542.4357,0.9970165076
48,288550.4861,0.9971586081
49,262960.3543,0.997284786
50,225257.8999,0.9974042505
51,228612.685,0.997521164
52,181321.9569,0.9976104584
53,189299.3088,0.9977132428
54,147266.3593,0.9977885554
55,149460.5457,0.9978772575
56,154561.4887,0.9979611801
57,158735.6418,0.998051378
58,110517.0962,0.9981148746
59,120273.5749,0.998184736
60,104728.2221,0.9982495351
61,86543.36399,0.9983025362
62,95359.94247,0.9983615389
63,109204.0281,0.9984304863
64,115122.4241,0.9985009899
65,98491.71993,0.9985681487
66,72783.51175,0.9986141015
67,85166.81122,0.998671099
68,63216.90938,0.9987162005
69,73977.55679,0.9987647755
70,66563.5967,0.9988118444
71,79510.15825,0.9988655582
72,57944.77558,0.9989094592
73,49019.45258,0.9989453602
74,73174.54406,0.9989989519
75,54199.43667,0.9990396731
76,67512.45782,0.999090823
77,47076.12548,0.9991276784
78,42083.81462,0.999159297
79,42401.67796,0.9991924928
80,54014.17952,0.9992368262
81,52867.54326,0.9992785495
82,62604.76245,0.9993315148
83,40091.01223,0.9993634079
84,39080.53038,0.9993964711
85,27876.39299,0.9994205833
86,31211.75091,0.9994473834
87,28552.60606,0.9994722607
88,39443.33794,0.9995048837
89,28105.4273,0.9995315009
90,26214.30883,0.9995543409
91,23189.55967,0.999575424
92,19825.67877,0.9995935739
93,21950.47012,0.9996138077
94,17265.8199,0.9996303772
95,16244.09905,0.9996452483
96,16733.55285,0.9996610957
97,17746.18871,0.9996787985
98,14751.23166,0.9996929549
99,14414.78155,0.9997076074
100,12830.41578,0.9997199204
101,10114.53421,0.9997305211
102,11860.0271,0.9997425767
103,11177.96899,0.9997535862
104,10089.99667,0.9997642886
105,9759.80009,0.9997742094
106,10271.02392,0.9997854928
107,8771.805101,0.999794797
108,9277.815623,0.9998045207
109,7680.484533,0.9998128128
110,7896.15041,0.9998213876
111,6736.452803,0.9998290433
112,7455.42081,0.9998372807
113,6889.061697,0.9998450228
114,6924.890785,0.9998531549
115,5918.601576,0.9998598812
116,5607.37947,0.9998662183
117,5822.675205,0.9998729825
118,5157.365687,0.9998791041
119,5832.69716,0.9998860642
120,4192.74884,0.9998910408
121,5281.62876,0.9998971765
122,4367.381431,0.9999024983
123,5291.223703,0.9999093801
124,3597.623553,0.9999136504
125,3638.988978,0.9999182914
126,3011.793368,0.9999218853
127,2912.914664,0.999925637
128,2392.888044,0.9999287493
129,2667.851796,0.9999320675
130,2364.236599,0.9999352021
131,2105.765081,0.9999378877
132,2010.606985,0.9999406297
