freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.535150192e+11,0.8265482287
1,737532059,0.8457851423
2,379378141.3,0.8655756435
3,418840866.7,0.8928870176
4,52015474.73,0.896957148
5,52050289.28,0.9037452388
6,23069327.3,0.9064529475
7,27534514.13,0.9107620136
8,17943334.52,0.9140381026
9,18064078.03,0.9173362368
10,11655491.04,0.9199203052
11,10552163.1,0.9221221463
12,12098533.65,0.9252777847
13,8825674.737,0.9279250669
14,8179421.378,0.9302718328
15,3170950.05,0.9312643205
16,8766333.898,0.9340081287
17,6978960.315,0.9366475774
18,3461583.149,0.938001895
19,5929882.437,0.9403219155
20,6741460.494,0.9430473779
21,4491011.728,0.9451558661
22,3853314.727,0.9468644563
23,4846406.697,0.9490765952
24,3925838.423,0.9510221368
25,2231853.73,0.9522446104
26,2164635.635,0.9534867259
27,3196240.883,0.9551957487
28,2335165.722,0.9564748104
29,2627346.158,0.9581194966
30,2461788.614,0.9596284405
31,2240494.653,0.9611478392
32,1760244.592,0.9622956427
33,1853111.55,0.9635523363
34,1615957.119,0.9647535746
35,1757680.336,0.9659455512
36,1234830.163,0.9668795789
37,1534310.69,0.9680201245
38,1161066.865,0.9689892091
39,1179923.343,0.9699432566
40,1045269.068,0.9707475316
41,1209511.197,0.9718201452
42,1205032.623,0.9728573565
43,1620611.171,0.9743790803
44,1253499.235,0.9755070506
45,1031667.25,0.9764219494
46,860791.8567,0.9772526688
47,739125.5382,0.9779563332
48,874782.2768,0.9788461878
49,1088698.312,0.9799252479
50,669355.6685,0.9806585126
51,815079.0504,0.9815195247
52,678827.5093,0.9822100483
53,683328.733,0.9829764432
54,626376.5987,0.9836381187
55,539973.6539,0.9843000683
56,647639.1368,0.9850264352
57,573091.9885,0.9856990886
58,522259.8091,0.9863188899
59,472047.9263,0.9868852575
60,380394.5447,0.9873714238
61,390802.0186,0.9878657949
62,291149.8715,0.9882379013
63,293508.7622,0.9886206781
64,371329.5667,0.9890904161
65,306866.3917,0.9895226289
66,269316.8139,0.9898738559
67,278303.3373,0.9902585795
68,267823.3285,0.9906532651
69,219331.4748,0.9909507458
70,229163.3898,0.9912854705
71,243793.115,0.9916256669
72,241573.9651,0.9920037227
73,218661.3619,0.9923345144
74,183251.1915,0.9926117374
75,238676.289,0.9929821457
76,206065.9721,0.9933046326
77,234116.839,0.993683231
78,259536.9819,0.9940860136
79,169047.517,0.9943593862
80,124819.8098,0.9945710036
81,185859.7088,0.9948739877
82,171882.8882,0.9951743614
83,124192.9694,0.9953784374
84,138193.2811,0.9956199369
85,141923.0152,0.995873507
86,130032.9676,0.9961041375
87,112934.308,0.996307387
88,116316.4879,0.996506105
89,94086.30665,0.9966901577
90,83360.54671,0.9968401828
91,85408.99073,0.9970005777
92,76598.08215,0.997145425
93,63940.43558,0.9972671705
94,57199.5968,0.997380557
95,58921.01968,0.9974919769
96,62251.93768,0.9976137548
97,55200.43469,0.9977274976
98,67087.03658,0.9978604839
99,47767.92193,0.9979607806
100,57590.75817,0.9980749424
101,60996.68481,0.9982069925
102,45090.8227,0.9983016682
103,54316.60791,0.9984121732
104,44118.75624,0.9985088355
105,47097.62344,0.9986077248
106,29612.08731,0.9986749207
107,38823.95781,0.9987599823
108,29313.02258,0.9988234413
109,26979.26693,0.9988836072
110,25928.58494,0.9989417682
111,26885.27063,0.9990048801
112,22154.70616,0.9990554426
113,18479.87643,0.9990983413
114,21474.67378,0.9991504325
115,18290.89577,0.9991933695
116,17722.66287,0.9992347415
117,15939.99198,0.9992729914
118,13698.52666,0.9993065772
119,16706.3655,0.9993477555
120,18062.45327,0.9993920408
121,19453.51431,0.9994387218
122,12985.05248,0.9994714051
123,10956.70276,0.9995008406
124,12259.22295,0.9995308975
125,13016.92426,0.9995651889
126,9548.056065,0.9995887232
127,8724.560898,0.9996119344
128,8425.359141,0.9996345694
129,7890.340122,0.9996548409
130,8519.522161,0.9996781733
131,6274.132367,0.9996947016
132,5591.340591,0.9997104521
133,6112.954745,0.9997272734
134,5645.275053,0.9997419979
135,4281.135186,0.9997542809
136,4509.79036,0.9997668083
137,4027.488375,0.9997782585
