freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.534099187e+11,0.9039352356
1,372809862.4,0.9115636796
2,211994618.8,0.9202393571
3,111443828.8,0.9259402726
4,84553380.89,0.9311306722
5,55382146.46,0.936796826
6,45882890.41,0.9410216814
7,35146215.35,0.9453366574
8,35152491.76,0.9503716951
9,26835046.38,0.9542153904
10,20129823.7,0.9577165142
11,10878526.76,0.9594972875
12,9511573.959,0.961443548
13,9825068.624,0.963755517
14,9578986.818,0.9659115769
15,6162265.363,0.9674246859
16,5857735.314,0.9688630193
17,4673262.342,0.9702495731
18,3395807.19,0.9712918493
19,3739984.039,0.9724397639
20,3007788.803,0.9733937183
21,2539889.969,0.9743292015
22,2280361.215,0.9751224351
23,2831620.708,0.9761363972
24,1570082.707,0.9767468115
25,1394833.568,0.9773461749
26,1654802.09,0.9780911081
27,1758903.873,0.9788289181
28,1458477.751,0.9794556296
29,1423630.687,0.9801547583
30,1785712.781,0.9810134318
31,1240257.519,0.9816732644
32,1400459.895,0.9823896705
33,1106388.835,0.9829782833
34,1040450.038,0.9835850401
35,1051990.058,0.9841447121
36,1194604.081,0.9848535885
37,874903.3882,0.9853638039
38,656510.716,0.9857936771
39,669160.9208,0.986218141
40,779421.7058,0.9866886231
41,623161.8798,0.9871221623
42,577230.4114,0.9875119353
43,508855.5282,0.987886775
44,521675.99,0.9882550468
45,605224.7954,0.988676107
46,614849.8679,0.9891416067
47,527430.5231,0.9895355255
48,603391.8896,0.9900170436
49,564755.2654,0.9904561729
50,545291.2353,0.9909247989
51,451230.8795,0.9912987393
52,401881.5574,0.9916194484
53,452862.8583,0.9920179075
54,350074.2038,0.9923080182
55,320933.7128,0.992616665
56,294419.1037,0.9928757146
57,284650.3883,0.9931378181
58,299564.6937,0.9934167195
59,353184.4003,0.9937491554
60,220756.6442,0.9939704946
61,231756.5161,0.9942004917
62,178224.4529,0.9943791865
63,199652.3769,0.9945834511
64,209357.3849,0.994791219
65,208622.727,0.9950217365
66,206280.5064,0.9952327824
67,211490.4507,0.9954621411
68,162339.3274,0.9956498223
69,144316.2453,0.9958033784
70,167719.2773,0.9959955634
71,177182.4442,0.9961895283
72,144579.0164,0.996367031
73,141596.2102,0.996535077
74,127394.4574,0.9966862684
75,114671.6308,0.99682588
76,138042.6734,0.996995358
