freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.062719252e+11,0.8614997817
1,1553193415,0.8826437673
2,435248809.7,0.8944940552
3,173308317.2,0.9003922719
4,262614845.9,0.9111173841
5,125294423.4,0.9196456957
6,133207355.5,0.9278059188
7,77242952.01,0.9341150772
8,59093437.78,0.9397462468
9,36648878.77,0.9432386152
10,27052133.21,0.9463688849
11,34958160.66,0.9501760339
12,28754615.67,0.954090467
13,15871499.13,0.956575185
14,9128539.839,0.9579421435
15,9982182.953,0.959572821
16,11561613.59,0.9614615124
17,8760386.478,0.9631907417
18,6766172.162,0.964572384
19,9170351.488,0.9664449561
20,6191435.465,0.9677513808
21,4875814.186,0.9689461416
22,5858509.854,0.9703019471
23,5488615.601,0.9716095088
24,4345150.256,0.9727333882
25,4149564.918,0.9739196571
26,4215972.074,0.9751823035
27,3506589.929,0.9761608921
28,3941265.732,0.9772876129
29,3724665.451,0.9785045268
30,3826790.558,0.9797287592
31,2785617.94,0.9807147122
32,3846250.277,0.9820237098
33,2540133.313,0.982922775
34,1929940.71,0.9836715479
35,1711569.418,0.9842773478
36,1643656.157,0.9849262366
37,1455862.075,0.9854910778
38,1394236.488,0.98609844
39,1091111.249,0.9865589001
40,1706779.236,0.9872443263
41,1478747.53,0.9879287645
42,1267250.572,0.98849806
43,1159022.106,0.9890660695
44,1312889.134,0.9896826765
45,1027465.388,0.9901582388
46,700076.5412,0.9905108601
47,863197.4073,0.9909397683
48,888602.3381,0.9914115416
49,916520.058,0.9918856601
50,802192.2106,0.9923443181
51,678341.0714,0.992718312
52,628697.5505,0.9930520977
53,740770.7574,0.9934857219
54,875458.7754,0.9939683939
55,735531.5133,0.9944390031
56,588216.5947,0.9947833269
57,515200.6431,0.9950989365
58,431615.3405,0.99536628
59,332779.0705,0.9955746692
60,329418.9148,0.9957944076
61,351567.726,0.9960265273
62,328824.3015,0.996245869
63,293738.2186,0.9964458054
64,223818.377,0.9965935796
65,212624.673,0.9967498832
66,190935.432,0.9968798456
67,212430.791,0.9970331147
68,181261.997,0.997172532
69,145517.2969,0.9972755419
70,142090.5138,0.9973838634
71,153742.7331,0.9974958354
72,135439.6643,0.9976064618
73,133888.9624,0.9977121761
74,132540.4005,0.9978168257
75,124584.7408,0.9979177378
76,129357.4288,0.9980233962
77,149601.295,0.9981496628
78,151477.4687,0.9982723576
79,132460.5103,0.998384157
80,125452.2246,0.9984951647
81,93898.73929,0.9985750563
82,78325.28087,0.9986464957
83,71093.27651,0.9987074677
84,64992.33212,0.9987667463
85,76034.10323,0.9988376486
86,64501.52385,0.9988973577
87,52199.97613,0.9989463898
88,48780.45935,0.9989898857
89,47635.97709,0.9990385217
90,58787.28097,0.9990937414
91,43491.08293,0.9991363693
92,33354.69928,0.999169289
93,33724.84656,0.9992028036
94,32655.90751,0.9992365896
95,30866.36922,0.9992670535
96,34791.01253,0.9993025749
97,28429.51046,0.9993331492
98,23883.34058,0.9993578591
99,28363.11023,0.9993889412
100,27795.20594,0.9994176983
101,26929.13589,0.9994481255
102,26343.57776,0.9994769945
103,24268.07237,0.9995027631
104,20652.22091,0.9995263792
105,19076.79253,0.9995472848
106,18208.91191,0.9995688505
107,15382.54983,0.9995864407
108,12948.46214,0.9996010711
109,14118.59771,0.9996175042
110,13353.31343,0.9996331374
111,14343.57812,0.9996507111
112,13392.51212,0.9996666636
113,11420.75734,0.9996805008
114,10313.97141,0.9996935586
115,10363.79254,0.9997062562
116,9750.108387,0.9997181356
117,7701.366903,0.9997277809
118,7619.54922,0.9997375312
119,7821.367661,0.999747593
120,7197.730502,0.9997568036
121,7070.162595,0.9997656584
122,5842.57718,0.9997733336
123,6063.296643,0.9997818354
124,6325.0363,0.9997899292
125,5300.057301,0.9997972164
126,5657.306736,0.9998044942
127,5120.613258,0.9998116045
128,4176.861164,0.9998174611
129,4218.661573,0.9998231179
130,3831.428666,0.9998285945
131,4184.85316,0.9998343484
132,3872.537542,0.999840042
133,3359.867245,0.9998448674
134,3728.975901,0.9998499437
135,3252.079523,0.9998548136
136,3027.984358,0.9998592036
137,3175.660199,0.9998639158
138,2621.057277,0.9998677693
139,2822.012307,0.9998718607
140,2672.046431,0.9998760075
141,2097.791952,0.9998791203
142,1967.49442,0.9998821201
143,2002.734854,0.9998851872
144,1999.366711,0.9998882901
145,1745.486818,0.9998910702
146,1449.480289,0.9998933098
147,1484.10318,0.999895613
148,1548.61023,0.9998981217
149,1404.493175,0.9999003778
150,1285.953556,0.9999024523
151,1234.701759,0.9999043852
152,1250.922719,0.9999064628
153,1249.457352,0.9999084783
154,1142.845335,0.9999104231
155,1198.075509,0.9999123802
156,1050.672442,0.9999141252
157,945.818083,0.9999157669
158,1091.563958,0.99991755
159,888.7496952,0.9999190624
160,867.984913,0.9999205453
161,855.1240636,0.9999220819
162,757.3298686,0.9999234015
163,796.5136377,0.9999247515
164,697.6508333,0.9999259862
165,712.3225756,0.9999272371
166,678.3759715,0.9999284838
167,646.068874,0.9999296139
168,628.2711712,0.9999307087
169,535.8121291,0.999931708
170,500.6032492,0.9999326246
171,550.3530644,0.999933636
172,473.6835239,0.9999344937
173,456.979074,0.9999353584
174,434.427638,0.9999361775
175,418.8914515,0.9999369473
176,455.7630607,0.9999378097
177,432.338448,0.9999386072
178,395.6007367,0.9999393827
179,402.8416681,0.9999401614
180,428.0519899,0.9999409685
181,371.5861996,0.9999416918
182,336.7170858,0.9999423611
183,301.7168008,0.9999429649
184,307.2933721,0.9999435484
185,298.8533193,0.9999441424
186,295.70985,0.9999447462
187,305.3892732,0.9999453553
188,243.4852397,0.9999458459
189,291.4166406,0.9999464251
190,256.6075415,0.9999469455
191,247.5620135,0.9999474629
192,255.3554636,0.9999479739
193,225.3070575,0.9999484523
194,229.2543059,0.9999489189
195,216.5346455,0.9999493788
196,201.1036297,0.9999498058
197,231.4341919,0.9999502879
198,192.9192381,0.9999507015
199,194.4759297,0.9999511092
200,179.6116394,0.9999515053
201,193.4066904,0.9999519121
202,194.7815502,0.9999523231
203,168.3117994,0.9999527035
204,167.2632286,0.9999530644
205,160.6523977,0.9999534252
206,160.0685533,0.9999537695
207,133.9445347,0.9999540667
208,141.8210749,0.9999543862
209,146.8860143,0.9999547122
210,142.8653422,0.9999550311
211,128.7386039,0.9999553264
212,141.9223894,0.9999556491
213,163.3712319,0.9999560227
214,139.2532822,0.9999563412
215,148.2105569,0.9999566751
216,138.8108066,0.999957002
217,152.3060102,0.9999573586
218,141.6787387,0.9999576856
219,136.800799,0.9999580077
220,142.4920194,0.9999583433
221,135.8735305,0.9999586661
222,123.1308793,0.9999589645
223,124.8514417,0.9999592568
224,128.1463743,0.9999595691
225,129.8380925,0.9999598775
226,121.3456685,0.9999601715
227,124.920063,0.9999604725
228,120.6789574,0.9999607707
229,119.1912531,0.9999610741
230,120.4405319,0.999961361
231,119.9753149,0.999961655
232,109.727975,0.9999619261
233,106.9903042,0.9999621941
234,110.5827386,0.9999624787
235,113.1449566,0.9999627567
236,109.189367,0.9999630317
237,110.0605253,0.9999633163
238,114.4810855,0.9999635992
239,109.0853714,0.9999638843
240,114.2518164,0.9999641689
241,103.018817,0.9999644438
242,104.3391475,0.9999647187
243,101.1692795,0.999964979
244,96.62536064,0.9999652342
245,100.6500024,0.9999654897
246,92.29840946,0.9999657435
247,92.70207016,0.9999659871
248,96.50434246,0.999966238
249,94.18708055,0.9999664887
250,94.91080626,0.9999667393
251,89.94497886,0.9999669842
252,92.16717806,0.999967232
253,91.24621244,0.9999674792
254,88.29829804,0.999967722
255,87.65028708,0.9999679642
256,87.93874127,0.999968203
257,85.64761084,0.9999684351
258,82.70703246,0.9999686681
259,86.58038249,0.9999689068
260,85.31185146,0.9999691449
261,87.33804676,0.9999693886
262,84.24207549,0.9999696243
263,84.21868578,0.9999698616
264,83.4562831,0.9999700945
265,78.03929651,0.9999703208
266,83.08021973,0.9999705566
267,83.80351148,0.9999707939
268,81.0524585,0.99997103
269,79.90341491,0.9999712579
270,78.79364225,0.9999714842
271,79.26723,0.9999717173
272,77.71502783,0.9999719458
273,77.79637933,0.9999721719
274,79.31495831,0.9999723998
275,80.85329477,0.999972643
276,78.85621429,0.9999728744
277,76.26146579,0.9999731028
278,75.14406564,0.9999733247
279,74.33888929,0.9999735459
280,76.73265903,0.9999737788
281,76.9018614,0.999974007
282,75.75042716,0.9999742359
283,75.05763839,0.9999744623
284,73.15751033,0.9999746883
285,72.71558454,0.9999749111
286,76.80377503,0.9999751416
287,68.62547366,0.9999753537
288,73.14470436,0.9999755787
289,65.90465561,0.9999757842
290,66.05351551,0.9999759932
291,68.21406196,0.9999761966
292,73.01628181,0.9999764332
293,65.41682927,0.9999766375
294,63.98098454,0.9999768387
295,65.93575981,0.9999770452
296,64.8119574,0.9999772534
297,63.18927769,0.9999774569
298,69.25640908,0.9999776728
299,65.20001086,0.9999778804
300,63.00267693,0.9999780824
301,62.11731771,0.999978282
302,60.04080654,0.9999784814
303,64.93968685,0.9999786879
304,64.74959573,0.9999788968
305,62.24579041,0.9999791044
306,64.0773507,0.9999793111
307,64.40691877,0.9999795237
308,64.32599405,0.9999797313
309,59.10969361,0.9999799348
310,61.17026822,0.9999801351
311,58.17548388,0.9999803291
312,61.28904472,0.999980531
313,58.20656901,0.999980726
314,60.708562,0.9999809355
315,57.40586227,0.9999811285
316,55.52815827,0.9999813145
317,57.06408714,0.9999815083
318,55.745679,0.9999816995
319,56.1199005,0.9999818897
320,55.67024488,0.9999820781
321,56.83266289,0.999982273
322,52.09410668,0.9999824553
323,52.89131381,0.9999826389
324,56.11833881,0.9999828295
325,52.3050554,0.9999830132
326,52.02588782,0.9999831959
327,53.54478418,0.9999833858
328,52.31234792,0.999983571
329,51.5855925,0.9999837493
330,51.73041159,0.9999839331
331,50.40605815,0.9999841092
332,51.23047963,0.9999842891
333,48.48474668,0.9999844673
334,49.9357412,0.9999846437
335,48.4902091,0.9999848186
336,50.06218229,0.9999849965
337,49.62475812,0.9999851715
338,46.15053479,0.9999853446
339,48.48607616,0.9999855195
340,48.10922201,0.9999856976
341,48.04362422,0.9999858713
342,47.67318324,0.9999860426
343,46.12578892,0.9999862171
344,48.22088843,0.9999863901
345,45.71346169,0.9999865625
346,48.1117511,0.9999867387
347,45.59712178,0.9999869088
348,46.18318908,0.9999870801
349,48.40928786,0.9999872574
350,45.49211883,0.9999874295
351,44.66253948,0.9999875988
352,45.15395597,0.9999877697
353,45.24676244,0.9999879416
354,44.73182233,0.9999881078
355,43.40392791,0.9999882759
356,45.56136542,0.9999884465
357,41.95686699,0.9999886104
358,44.14984265,0.9999887778
359,44.66153647,0.9999889468
360,42.6667979,0.9999891147
361,43.62947257,0.9999892801
362,43.23861535,0.9999894496
363,44.48176253,0.9999896192
364,42.29501322,0.9999897873
365,42.51536229,0.9999899543
366,41.77610753,0.9999901181
367,42.93951692,0.9999902852
368,41.43417965,0.9999904485
369,41.39346344,0.9999906142
370,41.78769293,0.9999907792
371,41.71748641,0.9999909433
372,41.41514299,0.9999911076
373,41.44086697,0.9999912729
374,40.33069013,0.9999914376
375,40.77490018,0.9999915995
376,39.80317518,0.9999917582
377,40.81610288,0.9999919249
378,40.42590909,0.999992087
379,40.87587951,0.9999922539
380,40.85886271,0.9999924163
381,38.82363489,0.9999925775
382,38.94917769,0.9999927379
383,39.49738554,0.9999928992
384,40.27558536,0.9999930648
385,39.76482233,0.999993228
