freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.915524503e+11,0.9240666884
1,460233640.2,0.9357362614
2,349055143.6,0.9534373772
3,82273109.79,0.95865262
4,69965471.59,0.9639747028
5,49418828.18,0.9702399621
6,31948795.51,0.9738853489
7,23303466.38,0.9774306113
8,10001437.35,0.9792057695
9,9292192.195,0.9808550435
10,7715034.799,0.9825178183
11,4241420.254,0.9833781737
12,3089979.422,0.9841616614
13,3094580.326,0.9850640139
14,1848929.669,0.985579705
15,3306179.701,0.9865856734
16,1754726.64,0.9871195825
17,2057064.524,0.9878758797
18,1866746.271,0.9885858712
19,1546552.552,0.9891740814
20,974320.821,0.9895570034
21,1030618.075,0.9900273812
22,826291.6661,0.9903835525
23,797125.8248,0.9907372578
24,578424.9732,0.9910159195
25,588898.7329,0.9913294909
26,720041.9975,0.9917311496
27,542786.146,0.992013286
28,454806.3319,0.9922554572
29,397169.9877,0.9924971503
30,489117.0001,0.9927885957
31,396269.609,0.9930498363
32,354444.7231,0.9932745167
33,313051.1711,0.9934808956
34,261947.8524,0.9936701894
35,227321.9288,0.9938200513
36,230850.1142,0.9939897993
37,271534.8027,0.994186021
38,221403.0557,0.9943656639
39,240639.305,0.9945548133
40,172407.9491,0.9946837735
41,184156.7805,0.9948425343
42,187106.2605,0.9949990936
43,199721.1305,0.9951814005
44,136951.2582,0.9953012019
45,132000.8363,0.9954149993
46,116331.6029,0.9955241373
47,151541.2503,0.9956643864
48,132425.8747,0.995795339
49,133380.0953,0.9959238533
50,126406.3096,0.9960584686
51,187860.2932,0.9962513839
52,134272.3116,0.9963841624
53,111597.0947,0.9965058364
54,105228.3031,0.9966138962
55,108068.6506,0.9967426839
56,88592.81423,0.9968392764
57,81267.43404,0.9969320033
58,81001.52683,0.9970254537
59,84932.49474,0.997124516
60,69604.63977,0.997210995
61,67312.57395,0.997293773
62,72466.76347,0.997383808
63,65175.14429,0.9974664363
64,67928.72151,0.9975499719
65,60434.05213,0.9976327189
66,57254.08477,0.9977053049
67,49334.22589,0.997771603
68,53437.99081,0.9978481582
69,49979.32164,0.9979140559
70,47651.00045,0.9979817167
71,47099.94259,0.9980456093
72,48938.83558,0.9981200622
73,44675.34879,0.9981857633
74,45816.7389,0.9982531429
75,44532.57103,0.9983203278
76,42323.78306,0.9983847169
77,37268.22783,0.9984433046
78,37936.80187,0.9985005387
79,35598.58479,0.9985565017
80,36612.68257,0.9986168439
81,32378.14123,0.9986681547
82,33284.59439,0.9987246998
83,33047.67755,0.9987774905
84,30117.8718,0.9988286559
85,27268.1027,0.998876017
86,29653.03717,0.9989271445
87,23676.63707,0.9989685679
88,24105.49824,0.9990086024
89,22529.17132,0.9990514457
90,21263.62783,0.9990886474
91,21667.96337,0.9991282048
92,17438.42302,0.9991602617
93,17374.58995,0.9991924215
94,17035.6989,0.99922525
95,17495.29999,0.9992574114
96,15486.43344,0.9992868617
97,14682.50415,0.9993162723
98,14428.8813,0.9993440773
99,13221.07671,0.9993710634
100,12556.71369,0.9993952606
101,9510.115737,0.9994152749
102,11632.89136,0.9994390193
103,9068.196631,0.9994569539
104,9480.277168,0.9994771458
105,8841.888337,0.9994951933
106,10702.73517,0.999518803
107,7674.70241,0.9995351492
108,6755.960432,0.9995493673
109,7626.956379,0.9995659019
110,8037.751494,0.999583429
111,7152.08941,0.9995997502
112,6264.719215,0.9996136493
113,5411.456292,0.9996258611
114,5429.236173,0.9996386637
115,4791.227334,0.9996495974
116,5238.462834,0.9996614853
117,5176.037501,0.9996735596
118,4524.263136,0.9996843429
119,4278.716271,0.9996945952
120,3941.910622,0.9997039905
121,3646.602088,0.999712497
122,3379.452421,0.999720766
123,2826.423356,0.9997281476
124,2815.74562,0.9997348588
125,2807.192482,0.9997420478
126,2766.512206,0.9997486767
127,2672.082406,0.9997555875
128,2728.165193,0.9997627125
129,2339.671262,0.9997685559
130,2248.945151,0.9997745434
131,2421.747833,0.9997807453
132,2354.400978,0.9997871926
133,1844.966308,0.999792128
134,1753.84671,0.999796575
135,1777.188198,0.9998015318
136,1549.270106,0.9998057154
137,1504.773422,0.9998098743
138,1369.900346,0.9998136257
139,1354.142639,0.9998172824
140,1330.813477,0.9998211292
141,1391.899938,0.9998249761
142,1268.160783,0.9998285775
143,1197.961291,0.9998319947
144,974.7119827,0.9998348121
145,895.8073099,0.9998374697
146,769.2538766,0.9998396835
147,826.6358995,0.9998420729
148,865.3198307,0.9998446839
149,909.0456565,0.9998474037
150,880.4783576,0.9998500493
151,878.1510902,0.9998526099
152,806.4929267,0.9998551047
153,716.6356302,0.9998572579
154,672.9850023,0.9998593909
155,579.4079452,0.9998611539
156,583.7345212,0.9998629596
157,591.3728011,0.9998648714
158,545.9766762,0.9998665327
159,572.7932372,0.9998683481
160,674.4337667,0.9998704943
161,603.7742295,0.9998725151
162,489.7284735,0.9998741045
163,451.1057608,0.9998755286
164,477.0245808,0.9998771009
165,441.9950999,0.9998785467
166,386.5828333,0.9998798699
167,408.1924705,0.9998811999
168,382.2416295,0.9998824405
169,316.1506372,0.9998835387
170,365.7912489,0.9998847862
171,365.9506786,0.9998860389
172,356.288836,0.9998872404
173,316.3095771,0.9998883552
174,326.1491402,0.9998895006
175,334.9808665,0.9998906472
176,282.0667206,0.9998916413
177,256.0493041,0.9998925211
178,252.9754701,0.9998934447
179,259.1048874,0.9998943776
180,247.2826233,0.999895246
181,256.8981851,0.9998961775
182,265.900113,0.9998971619
183,237.036835,0.9998980454
184,204.9690346,0.9998987704
185,194.7411478,0.9998994913
186,230.9256938,0.9999003696
187,219.9222303,0.9999011865
188,199.2802802,0.9999019343
189,193.2212802,0.9999026496
190,202.4215952,0.9999034144
191,181.9049417,0.9999041224
192,186.9549236,0.9999048192
193,181.8041358,0.9999055383
194,176.551408,0.9999062076
195,145.8599553,0.9999067845
196,157.813262,0.9999074088
197,171.3646235,0.9999080736
198,169.8846631,0.999908752
199,163.5686513,0.9999093907
200,157.6246223,0.9999100382
201,160.2886563,0.9999106661
202,147.245338,0.9999112448
203,133.508359,0.9999118067
204,131.6450422,0.9999123358
205,132.5195085,0.9999128902
206,134.6058474,0.9999134295
207,130.0019813,0.9999139668
208,120.80283,0.9999144737
209,129.6207158,0.9999150094
210,128.144952,0.9999155423
211,127.2309097,0.9999160859
212,126.3652073,0.999916621
213,121.6677808,0.9999171393
214,125.2993054,0.999917673
215,121.3212852,0.9999181821
216,114.461093,0.9999186842
217,109.2006621,0.9999191604
218,111.0659043,0.9999196378
219,104.8703381,0.9999200978
220,108.0744437,0.9999205719
221,108.7678014,0.9999210531
222,108.144228,0.9999215412
223,110.7405805,0.9999220242
224,107.3912544,0.9999225116
225,110.1746355,0.9999229991
226,110.1727483,0.9999234963
227,107.7209346,0.9999239798
228,99.31671533,0.9999244368
229,95.66019118,0.9999248904
230,97.87963199,0.9999253247
231,98.03963215,0.9999257722
232,94.29135499,0.9999262061
233,93.35791729,0.9999266417
234,90.48281126,0.9999270753
235,99.20266212,0.9999275293
236,95.582833,0.9999279777
237,89.74590281,0.99992841
238,93.16474674,0.9999288388
239,88.81048781,0.9999292711
240,88.36938135,0.9999296812
241,79.45821477,0.9999300761
242,86.92038342,0.9999305025
243,89.81884564,0.999930933
244,84.06427598,0.9999313465
245,85.28838294,0.9999317498
246,78.9417683,0.9999321541
247,84.82792324,0.9999325692
248,83.44248713,0.9999329733
249,80.24260273,0.9999333711
250,79.38532806,0.9999337616
251,76.37709252,0.9999341489
252,76.48240969,0.9999345319
253,78.71407071,0.9999349291
254,76.8678933,0.9999353228
255,77.72858581,0.9999357229
256,76.35259709,0.9999361091
257,76.24875863,0.9999364939
258,72.78470464,0.9999368759
259,73.28548239,0.9999372522
260,72.61426552,0.9999376296
261,71.7000058,0.9999380023
262,72.05555499,0.9999383778
263,72.59898448,0.9999387588
264,70.63824938,0.999939126
265,68.06458021,0.9999394936
266,70.88160689,0.9999398683
267,67.85932088,0.9999402262
268,64.06154425,0.9999405738
269,67.10471754,0.9999409303
270,67.06520329,0.9999412891
271,64.15689643,0.9999416404
272,64.00158694,0.999941991
273,66.17586711,0.9999423492
274,69.05848396,0.9999427187
275,63.69921325,0.9999430756
276,62.78211899,0.9999434187
277,65.22375067,0.9999437825
278,61.10396008,0.9999441187
279,59.64662388,0.9999444492
280,56.83866408,0.9999447706
281,60.28568875,0.9999451038
282,59.53873256,0.9999454389
283,58.40516598,0.999945767
284,56.65057123,0.999946093
285,60.34494446,0.9999464373
286,62.98987098,0.9999467895
287,60.74607092,0.9999471391
