freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.824424742e+11,0.9025500812
1,591651410.5,0.9114049405
2,639142748.8,0.9305362026
3,360897179.7,0.9440394821
4,260581148.4,0.9557393245
5,96470442.92,0.9629583743
6,52399449.12,0.9664874014
7,20349383.8,0.9683147368
8,11252799.25,0.9694936298
9,9912627.93,0.9705321204
10,7849230.487,0.9715306519
11,16119568.2,0.9734606601
12,9836147.866,0.974932772
13,8705317.515,0.97643107
14,5314948.381,0.9773060689
15,4196776.01,0.9780597937
16,3262299.402,0.9786456901
17,2363273.768,0.9791585489
18,2178961.789,0.9796477153
19,3313117.628,0.9803914942
20,3544509.766,0.9812137438
21,3504286.845,0.9821577784
22,2640242.934,0.9828295298
23,2077074.42,0.9833735385
24,1740720.631,0.9838685308
25,1546511.543,0.9843545889
26,1615538.957,0.9848865206
27,1743818.098,0.9854215416
28,1789278.793,0.9859838998
29,1955430.437,0.9866862754
30,1459157.797,0.9871994745
31,1384106.954,0.9877380651
32,1036590.523,0.9881259143
33,954336.381,0.9884972705
34,1031627.542,0.9889373017
35,1061897.563,0.9893505126
36,967020.3853,0.9897702227
37,1104034.748,0.9902411386
38,888891.5929,0.9906668493
39,857311.4385,0.9910646047
40,748418.3498,0.9913950367
41,623022.6415,0.9917120654
42,583285.7121,0.992000144
43,701471.9072,0.992378089
44,552209.7062,0.9926632163
45,638231.0217,0.9929879838
46,530545.8003,0.9932817761
47,445549.4336,0.9935251671
48,382219.475,0.9937482638
49,327777.3599,0.9939346777
50,360786.34,0.9941614632
51,272601.0027,0.9943266967
52,312300.2704,0.9945089825
53,288651.9147,0.9946947452
54,325474.0686,0.9948920271
55,278063.7499,0.9950876222
56,199103.7481,0.995215756
57,184230.3938,0.9953398325
58,172225.2728,0.9954571125
59,224943.0772,0.995611975
60,198915.6881,0.99575785
61,212526.4391,0.9959121161
62,199984.0417,0.9960587746
63,200085.0302,0.9962085017
64,192075.6209,0.9963479231
65,129132.2665,0.9964522856
66,130177.1154,0.9965496994
67,129460.1502,0.9966523893
68,107515.2821,0.9967433041
69,167618.8186,0.9968737534
70,125525.5373,0.9969789583
71,128658.2298,0.9970819748
72,123932.0908,0.9971932635
73,106836.9789,0.9972860031
74,102196.9448,0.997374715
75,95813.02994,0.9974600362
76,97450.41547,0.9975475448
77,79542.11292,0.997621353
78,112387.4012,0.9977214337
79,93107.30242,0.9978078292
80,117658.21,0.9979222886
81,74827.00152,0.9979922815
82,71377.07904,0.9980638545
83,75274.01411,0.9981348289
84,62219.54488,0.9981972192
85,59987.38067,0.998258718
86,54015.1211,0.9983136898
87,59302.09615,0.9983749297
88,63659.09736,0.9984373345
89,46996.88142,0.9984900873
90,35740.55278,0.9985269958
91,42558.9616,0.9985728564
92,37217.51804,0.9986132396
93,37064.43186,0.9986537341
94,38532.8534,0.998697563
95,33111.4293,0.9987334909
96,35342.14432,0.9987731616
97,34142.2586,0.9988135294
98,28734.27016,0.998846213
99,33523.95957,0.9988866023
100,36915.50508,0.9989285916
101,33265.54509,0.9989699143
102,34711.7637,0.9990117347
103,27297.30156,0.9990436009
104,38666.95598,0.9990922119
105,20410.16664,0.9991168019
106,16431.31079,0.9991381966
107,23745.03421,0.9991680483
108,14889.04428,0.9991865435
109,17614.16667,0.999209083
110,21911.65261,0.9992372856
111,17603.94632,0.9992609976
112,25480.14848,0.9992943653
113,31021.53658,0.9993356861
114,12372.48835,0.999352907
115,18360.21413,0.9993776377
116,19694.21157,0.9994040179
117,14620.06519,0.9994241483
118,13080.49142,0.9994425504
119,16199.43032,0.9994654616
120,12097.00214,0.9994824801
121,13580.63535,0.9995011793
122,11230.36781,0.9995173988
123,7703.58566,0.9995292741
124,16242.03075,0.999552124
125,6872.253523,0.9995625121
126,8060.9571,0.9995739129
127,6309.708206,0.9995835451
128,7499.770473,0.9995951062
129,6586.841162,0.9996048164
130,5132.322149,0.9996128817
131,4471.136199,0.9996196403
132,3783.724208,0.9996257562
133,6078.433161,0.9996353537
134,4820.354476,0.999642568
135,4727.819938,0.9996503514
136,4400.767541,0.9996573659
137,4925.125821,0.9996654004
138,4084.227004,0.999672002
139,3919.283796,0.999678249
140,3835.387654,0.9996847928
141,3217.778112,0.9996900421
142,3572.888321,0.999696031
143,4149.226506,0.9997030171
144,2949.476328,0.9997080494
145,2851.416977,0.9997130424
146,2624.829251,0.9997175012
147,2536.390335,0.9997218287
148,2432.741088,0.9997261614
149,3099.902606,0.9997316359
150,2353.748259,0.9997358103
151,2204.424817,0.9997396044
152,2291.275602,0.999743788
153,2090.370089,0.9997474953
154,1878.502702,0.9997510096
155,2155.182819,0.9997548802
156,1723.368619,0.9997580269
157,1715.168831,0.9997612998
158,1706.474956,0.9997643646
159,1816.183691,0.9997677623
160,1338.920923,0.9997702772
161,1402.438206,0.9997730478
162,1366.244769,0.9997756651
163,1464.897015,0.9997783946
164,1442.01933,0.9997812003
165,1307.165927,0.9997837239
166,1295.448097,0.9997863413
167,1157.671481,0.9997885677
168,1828.778251,0.9997920711
169,1118.200825,0.9997943639
170,1275.885298,0.9997969322
171,1297.980703,0.9997995547
172,1213.555321,0.9998019703
173,1281.673087,0.9998046366
174,1129.133787,0.9998069771
175,1080.683184,0.9998091606
176,1119.328009,0.9998114892
177,1063.82086,0.9998136465
178,829.1264418,0.9998154334
179,1142.072318,0.9998178606
180,983.6540623,0.9998198995
181,817.3276301,0.9998216488
182,821.068939,0.9998234429
183,739.9617005,0.9998250708
184,744.0454164,0.9998266242
185,774.3160859,0.9998283162
186,670.6355552,0.9998298217
187,682.7470431,0.9998313187
188,709.8544714,0.9998328911
189,632.3961043,0.9998342729
190,629.0745971,0.9998356757
191,604.4551772,0.9998370644
192,628.6730187,0.9998384475
193,622.849674,0.9998399017
194,619.4766553,0.9998412877
195,594.9868407,0.9998426769
196,527.0543642,0.9998439074
197,500.292356,0.999845053
198,472.5444205,0.9998461669
199,473.0458298,0.9998472572
200,491.9904186,0.99984845
201,533.3705003,0.9998496833
202,548.2343039,0.9998509551
203,482.3938016,0.9998521536
204,470.4335318,0.9998532695
205,415.9631376,0.9998542967
206,416.0622877,0.9998552806
207,406.660036,0.9998562726
208,443.6249523,0.9998573715
209,464.4930063,0.9998585046
210,488.6852037,0.9998597041
211,450.6096081,0.9998608404
212,426.169918,0.9998619056
213,381.6023856,0.9998628651
214,371.4265736,0.999863799
215,372.5947884,0.9998647219
216,382.1297508,0.9998657113
217,429.7875837,0.9998668176
218,428.3145702,0.9998679042
219,418.2179544,0.999868987
220,388.1457359,0.999869992
221,368.1298356,0.9998709534
222,343.5514758,0.9998718686
223,357.9420036,0.9998727901
224,344.4282861,0.9998737128
225,389.7270122,0.9998747306
226,374.9990958,0.9998757296
227,385.4159753,0.9998767506
228,355.8466069,0.9998777172
229,332.7426622,0.9998786484
230,336.5105621,0.9998795298
231,332.6333151,0.9998804259
232,331.0504301,0.9998813252
233,343.7270059,0.9998822717
234,327.5025674,0.9998831981
235,348.0123672,0.9998841382
236,331.3902288,0.9998850558
237,314.7386423,0.9998859508
238,317.1132614,0.9998868122
239,301.1247381,0.9998876775
240,306.9622735,0.9998885182
241,295.7977596,0.9998893859
242,302.276319,0.9998902613
243,306.961977,0.9998911296
244,295.147563,0.9998919865
245,301.2112793,0.9998928273
246,275.5863624,0.9998936604
247,286.6282345,0.9998944883
248,288.2128805,0.9998953122
249,284.7462913,0.9998961454
250,283.1430592,0.9998969675
251,271.3353947,0.9998977796
252,273.2235613,0.9998985872
253,270.6638237,0.9998993934
254,265.0034996,0.9999001945
255,261.4705199,0.9999009889
256,263.5345406,0.9999017758
257,265.5256616,0.9999025666
258,253.0499985,0.9999033505
259,257.3466473,0.9999041305
260,254.1909581,0.9999049104
