freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.465457455e+11,0.7334069258
1,3984556537,0.8282307519
2,584351665.5,0.856043363
3,190621253.7,0.8673842967
4,223896024.8,0.8833690198
5,92838251.8,0.8944157677
6,83671634.36,0.9033761852
7,69141934.83,0.9132487561
8,59546010.79,0.9231682198
9,36225443.32,0.9292028301
10,35397755.25,0.9363631451
11,22633317.02,0.940672137
12,17543228.2,0.9448470458
13,16206575.87,0.9492823824
14,14005365.39,0.9529486538
15,13672471.95,0.9568531569
16,9674059.131,0.959615817
17,8796738.006,0.9626512954
18,6138596.986,0.9648425753
19,4750169.561,0.9665382317
20,4542260.479,0.9682137193
21,3907295.921,0.9698874527
22,3673796.709,0.9713737358
23,2339805.231,0.9723481761
24,2269130.649,0.9733741837
25,2343084.308,0.9745451508
26,2189529.718,0.9756914844
27,2337339.996,0.9768317689
28,2174927.959,0.9779186991
29,2489962.59,0.9793408364
30,1836858.599,0.9803680981
31,1619523.127,0.9813701679
32,1530248.037,0.9822805827
33,1283162.065,0.9830745312
34,1241228.523,0.98391638
35,1108726.759,0.9846023978
36,1060552.965,0.9853343249
37,894157.8338,0.985940777
38,707564.878,0.9864796095
39,671355.5143,0.9869748905
40,520799.6626,0.9873405108
41,417999.6368,0.9876787253
42,498787.1371,0.9880704371
43,437570.7674,0.9884453137
44,304921.51,0.988695662
45,300451.9104,0.9889387656
46,377102.1469,0.9892708115
47,366681.6484,0.9895893189
48,400890.5444,0.9899613917
49,438424.5589,0.9903578668
50,511636.7132,0.9908692524
51,590839.6993,0.991438711
52,399560.8738,0.9918095497
53,350341.8105,0.992168057
54,420180.2749,0.9925730319
55,362588.1319,0.9929785861
56,254927.281,0.993239455
57,242464.5302,0.9934991109
58,219227.3581,0.9937364906
59,221010.5818,0.993978431
60,196461.7002,0.9942075238
61,187839.8774,0.9944243277
62,180328.8037,0.994634608
63,195623.5892,0.9948673789
64,178915.99,0.9950738829
65,179960.6968,0.9953051474
66,168696.9255,0.9955058785
67,186180.8479,0.9957407056
68,127716.1836,0.99591243
69,112555.072,0.9960517155
70,106619.5647,0.9961938051
71,133031.4459,0.9963631787
72,99170.78256,0.9965047817
73,89803.13544,0.9966287346
74,79311.56016,0.9967382064
75,72215.47808,0.9968404614
76,72540.46331,0.9969440398
77,78039.02302,0.9970591837
78,69322.62307,0.9971573425
79,64847.68177,0.9972530231
80,74924.42769,0.9973689206
81,85272.94785,0.9974957526
82,54506.01881,0.99758266
83,54883.25608,0.9976649445
84,54320.17584,0.9977515556
85,51488.67028,0.9978354899
86,50709.88283,0.9979175513
87,50717.84825,0.9980008326
88,36669.69868,0.9980579918
