freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.57513128e+11,0.7102606228
1,903560956.6,0.7428554307
2,342907991.8,0.7675953667
3,140701194.5,0.7802844065
4,195792732.5,0.801473325
5,73342220.57,0.8147019599
6,79645197.91,0.8276309046
7,57114215.56,0.839992839
8,39756538.79,0.8500320036
9,23828362.29,0.8560490478
10,20200434.89,0.8622430395
11,21928333.21,0.8685713324
12,17641719.49,0.8749353575
13,11911600.95,0.8798768592
14,14808802.48,0.8857531542
15,11193477.71,0.8905986392
16,11543578.75,0.8955956776
17,9647265.494,0.900641863
18,8051285.012,0.9049984604
19,6363081.417,0.9084415609
20,4578239.475,0.9110014502
21,3952603.245,0.9135679823
22,4783013.732,0.9165011812
23,4307384.498,0.9192203906
24,4063691.969,0.9220056481
25,3782670.247,0.9248712031
26,2629733.943,0.9269582176
27,3711690.115,0.9297030544
28,3710436.804,0.9325138891
29,3241919.09,0.9353206433
30,2254874.13,0.9372321734
31,2120741.513,0.9392212525
32,2118302.131,0.9411316286
33,2221100.852,0.9432148364
34,1541569.241,0.9447997255
35,1409912.417,0.946122106
36,1407019.74,0.9475940428
37,1491359.831,0.9491273115
38,1424190.603,0.9507713389
39,1326734.148,0.9522550064
40,1416730.679,0.9537626555
41,1430300.51,0.9555169285
42,1230874.328,0.9569822018
43,1312925.258,0.9586872375
44,1027545.301,0.9599660623
45,932402.5325,0.9611096601
46,1150852.507,0.9626457349
47,700309.7567,0.9635678264
48,769183.6374,0.9646499718
49,810158.3509,0.965760538
50,880043.7145,0.9670938891
51,627907.4725,0.968011253
52,794497.813,0.9691290122
53,692908.8211,0.9702038317
54,638323.1643,0.9711364128
55,657158.3969,0.9722506018
56,596594.7116,0.9731760217
57,539302.061,0.9740514802
58,518663.8149,0.9749027913
59,519343.6004,0.9757645856
60,511224.83,0.9766682329
61,598132.2606,0.9777147105
62,454568.9162,0.9785182122
63,466195.3401,0.9793590823
64,407443.0614,0.9800719347
65,406796.7284,0.980864367
66,306467.6577,0.9814171385
67,314944.1342,0.9820192825
68,328176.2483,0.98268816
69,348557.5547,0.9833419959
70,364270.6856,0.9840778695
71,297391.3754,0.9846518183
72,275088.3272,0.9852472259
73,241136.0976,0.9857517491
74,232611.0827,0.9862384357
75,209262.5699,0.9866875941
76,226892.6188,0.9871786858
77,218427.8056,0.987667215
78,222266.0951,0.988144284
79,230444.2504,0.9886596889
80,203517.362,0.9891368948
81,212587.0972,0.9896161953
82,161811.7624,0.9900072845
83,130839.8797,0.990304637
84,122750.1205,0.9906013167
85,119221.9592,0.9908959201
86,150995.3061,0.9912663136
87,175805.8883,0.9917039097
88,183659.4172,0.9921378655
89,172696.8289,0.9926051018
90,143488.6156,0.9929622574
91,118999.2816,0.9932713352
92,83604.16982,0.993489989
93,97293.47607,0.9937461998
94,108852.0408,0.9940446289
95,104060.0046,0.9943167817
96,102447.1807,0.9945939555
97,77234.93712,0.9948140615
98,86221.40417,0.9950504464
99,82625.57652,0.9952903857
100,67527.3884,0.995475519
101,48136.8672,0.9956196465
102,52145.6371,0.995771074
103,62300.28544,0.9959463714
104,69913.4979,0.9961582228
105,73464.7859,0.9963715598
106,56914.50878,0.9965501811
107,54925.72619,0.9967166166
108,51197.96304,0.9968699094
109,42108.89443,0.996999786
110,48562.08503,0.9971504421
111,35370.61221,0.9972652776
112,36602.04081,0.9973808101
113,38637.18541,0.9975048572
114,33854.87951,0.9976184354
115,38169.65223,0.9977423583
116,33921.94534,0.9978518787
117,31554.71339,0.9979566019
118,23461.14856,0.998036157
119,22477.06311,0.9981127806
120,20258.6775,0.9981814763
121,21685.00916,0.9982534442
122,25178.94999,0.998341095
