freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.789917967e+11,0.8382942017
1,1293457350,0.8532760761
2,901290772.2,0.8741550408
3,580671896.6,0.8909695755
4,394412099.9,0.9046747801
5,130663632.3,0.9122420421
6,81472569,0.9164886089
7,169973636.7,0.9283012459
8,70395566.04,0.9340088965
9,62433100.05,0.9390709529
10,73307087.7,0.9462883222
11,38820838.96,0.9498855583
12,32569324.12,0.9536580022
13,27568275.67,0.9573301612
14,20134767.57,0.9598955509
15,27672486.8,0.9637418537
16,15887082.86,0.965950059
17,23161295.41,0.9698400168
18,13902302.51,0.9722554333
19,8904053.692,0.9738024431
20,12088035.41,0.9759726516
21,7363829.111,0.977507941
22,6696173.326,0.9788264699
23,6261128.411,0.9800955958
24,4850730.697,0.9811631128
25,4146097.837,0.9821716058
26,3401639.865,0.983038418
27,3019398.748,0.9837553672
28,2695302.026,0.98441097
29,2456226.942,0.9850937704
30,2195865.089,0.9856914763
31,1554525.599,0.9861596265
32,2265061.086,0.986815521
33,2011196.092,0.987421199
34,1931066.635,0.9880586637
35,1551973.824,0.9885260455
36,1459171.981,0.9890161837
37,1357560.99,0.9894643284
38,1507973.607,0.9900232588
39,1353434.789,0.9905092328
40,841304.4701,0.9907967007
41,1217673.012,0.9912762393
42,1042818.993,0.991674839
43,895632.4762,0.9920483009
44,1061624.002,0.9924725334
45,1023283.228,0.9928755183
46,843365.5674,0.9932369545
47,905798.5748,0.9936199014
48,755802.0475,0.9939613196
49,704728.4934,0.9942715037
50,613594.5882,0.994570004
51,625528.2276,0.9948634418
52,452101.0893,0.9950676692
53,376179.0232,0.9952550293
54,463292.5146,0.9954723617
55,339211.8246,0.9956570259
56,342069.0218,0.9958273972
57,289396.7479,0.9959782384
58,305261.2938,0.9961391166
59,298124.295,0.99629796
60,212155.2348,0.9964183704
61,233769.0937,0.996549694
62,223661.2437,0.9966766347
63,229982.4501,0.9968098269
64,235976.9264,0.9969423908
65,174323.9085,0.9970514255
66,194240.3158,0.997163918
67,174986.5298,0.9972713403
68,204119.0291,0.9974049217
69,196568.5582,0.9975233162
70,162103.8628,0.9976284628
71,187166.9608,0.9977444465
72,191029.7887,0.9978772063
73,144157.4733,0.9979740517
74,106535.8283,0.9980456228
75,108522.0797,0.9981204138
76,135342.4011,0.9982144725
77,100918.3488,0.9982869455
78,101444.4518,0.9983568587
79,99517.45199,0.9984283256
80,120455.8605,0.9985190147
81,82021.37409,0.9985783921
82,81882.78119,0.9986419371
83,69784.04629,0.9986928598
84,57660.66537,0.9987376072
85,65060.34273,0.9987892276
86,79811.96234,0.99885209
87,54600.97951,0.9988957279
88,70281.64655,0.9989490487
89,60372.06562,0.9990014946
90,53376.60428,0.9990441539
91,47504.03682,0.9990837705
92,47649.13821,0.9991237841
93,49993.56096,0.9991660559
94,45206.94922,0.9992058513
95,35355.99928,0.9992355416
96,32870.39548,0.9992640965
97,37918.39102,0.9992987934
98,42578.81137,0.9993362753
99,31440.69292,0.9993655911
100,29185.91825,0.9993912833
101,34346.0617,0.9994243027
102,36167.86025,0.9994580262
103,22809.20622,0.9994786334
104,21882.96467,0.9994999246
105,20957.62484,0.9995194658
106,24441.31565,0.9995440954
107,27487.59379,0.9995708396
108,23219.56585,0.9995931623
109,26638.22367,0.999619543
