freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.34676604e+11,0.8543875332
1,310665092.6,0.8701543924
2,168219996.7,0.8872293781
3,76933545.95,0.8969906968
4,83983911.51,0.9097777386
5,57490188.74,0.9243664345
6,32710108.4,0.9318368926
7,22853273.89,0.9387959819
8,20864530.5,0.9462083911
9,10731284.82,0.9500208265
10,12205419.11,0.9552861415
11,6570416.539,0.9579538331
12,4395288.047,0.9601845275
13,5015069.136,0.9631115597
14,3445393.489,0.9650350245
15,3241782.319,0.9670093458
16,2988260.975,0.9688292666
17,2490504.629,0.9706620371
18,2764932.267,0.9727669227
19,1648633.597,0.9740219933
20,1843252.552,0.9754719975
21,1423978.539,0.9767728519
22,1052736.123,0.9776811349
23,1360853.3,0.9788897891
24,876394.5415,0.979734885
25,1005005.313,0.9808060106
26,797724.9008,0.9816967047
27,600042.7851,0.9823209982
28,554951.1179,0.9829124601
29,624141.3199,0.9836726934
30,584419.2258,0.9843697132
31,545050.5148,0.9850889349
32,452688.3067,0.9856633053
33,481658.2744,0.9862988778
34,326731.6652,0.9867714725
35,322002.1244,0.9871963706
36,304710.4963,0.9876448455
37,364890.8234,0.9881726348
38,362795.9583,0.988761838
39,305275.3803,0.989242131
40,259464.8544,0.9896305972
41,237372.7273,0.9900401996
42,205142.1599,0.9903837746
43,195418.6642,0.9907408183
44,194978.5803,0.9910822145
45,195160.0896,0.9914189762
46,181969.1731,0.9917606819
47,162521.8355,0.9920617449
48,156897.9947,0.9923722971
49,149687.9488,0.9926609815
50,116336.3097,0.9929089618
51,148898.0117,0.9932150148
52,108191.6935,0.9934291615
53,123803.2817,0.9936993416
54,112018.3536,0.9939295901
55,127806.6658,0.9942344527
56,90229.94294,0.9944313646
57,96497.08532,0.9946517482
58,85980.6034,0.9948502958
59,90566.43606,0.9950617313
60,78890.78718,0.9952579205
61,80742.22828,0.995456665
62,71800.46913,0.9956352217
63,65111.32454,0.995800448
64,74972.83226,0.9959849914
65,56371.47697,0.9961394834
66,58830.65219,0.9962887719
67,58547.60017,0.9964462563
68,58068.28383,0.9966127663
69,52271.77162,0.9967507168
70,50678.14085,0.9968947496
71,44169.80724,0.9970146808
72,42248.28323,0.9971433317
73,37745.57734,0.9972544401
74,38647.90056,0.9973682046
75,36361.735,0.9974780076
76,34037.91115,0.997581657
77,27967.88448,0.9976696613
78,34574.75365,0.9977740681
79,30851.99829,0.9978711477
80,27617.004,0.9979622528
81,28333.69563,0.9980521272
82,30169.15733,0.9981547138
83,24324.30678,0.9982324877
84,26950.99596,0.9983241313
85,21562.77441,0.9983990945
86,22613.45695,0.9984771365
87,20421.45101,0.9985486501
88,17833.62002,0.9986079335
89,15518.24075,0.9986670021
90,17176.48898,0.9987271522
91,13501.56732,0.9987764888
92,12405.79231,0.9988221361
93,13332.70558,0.9988715324
94,11974.07454,0.9989177181
95,11858.06467,0.9989613501
96,11951.88213,0.9990068437
97,10394.79493,0.9990485206
98,10555.64358,0.9990892353
99,10557.01912,0.9991323663
100,8669.005423,0.999165804
101,8371.314413,0.9992010674
102,9272.308324,0.9992389497
103,8506.46571,0.9992726239
104,8041.973307,0.9993069081
105,7094.762258,0.999335894
106,6757.242965,0.99936573
107,6060.439655,0.9993915667
108,5843.576068,0.9994161822
109,5222.16345,0.9994388427
110,4745.1442,0.9994595537
111,5624.105998,0.9994852428
112,4772.491542,0.9995064365
113,4673.653896,0.999527547
114,4569.884454,0.9995491165
115,4508.733062,0.999569711
116,4326.279152,0.9995893622
117,3962.439086,0.9996078636
118,3346.633644,0.9996238293
119,3668.408476,0.9996414232
120,2984.497975,0.9996556613
121,2782.980619,0.9996686555
122,2899.402106,0.9996828555
123,2581.572126,0.9996963506
124,2306.262478,0.999707353
125,2350.100564,0.9997193995
126,2075.8068,0.9997293552
127,2029.905625,0.9997398634
128,2192.034327,0.9997513222
129,1753.771475,0.9997600894
130,1823.441024,0.9997698064
131,1771.654308,0.9997788878
132,1660.716988,0.9997879906
133,1493.223457,0.9997959858
134,1685.180343,0.9998045384
135,1295.205172,0.9998117692
136,1291.953533,0.9998187523
137,1224.222745,0.9998255246
138,1075.19137,0.999831418
139,1128.943277,0.99983752
140,923.509006,0.9998428632
141,994.2403221,0.9998483633
142,779.7836202,0.9998527957
143,811.9055474,0.9998574314
144,857.2733381,0.9998623913
145,715.0754224,0.9998666374
146,657.0217334,0.9998704221
147,609.8365761,0.9998739505
148,711.5331859,0.9998782478
149,576.0683891,0.9998816977
150,537.5030837,0.9998849303
151,571.0752905,0.9998882633
152,458.8807612,0.9998911046
153,513.3096822,0.9998941917
154,418.8363143,0.9998968488
155,445.7372689,0.9998995634
156,376.3358138,0.9999018936
157,427.4076114,0.9999046593
158,401.2293004,0.9999071029
159,354.5237658,0.999909352
160,383.9729508,0.9999117977
161,309.4362552,0.9999138707
162,314.663178,0.9999159148
163,274.5746582,0.9999176497
164,281.0444346,0.999919504
165,240.209468,0.9999210766
166,241.8924649,0.999922734
167,223.3231079,0.9999241904
168,210.5467026,0.9999255582
169,219.6065044,0.9999270851
170,204.1933576,0.9999284789
171,179.7019263,0.9999297102
172,175.1290971,0.9999308923
173,184.7765482,0.9999321958
174,154.5424736,0.9999332821
175,170.8291318,0.9999344525
176,158.5329467,0.9999355709
177,155.7020451,0.9999366417
178,124.7085353,0.9999375531
179,143.9485299,0.9999385905
180,124.1102721,0.9999394629
181,126.7254517,0.9999403826
182,106.8389272,0.9999411742
183,100.1324564,0.9999419213
184,105.5681503,0.9999426687
185,96.35274281,0.9999433826
186,83.57245944,0.9999440188
187,83.84470827,0.9999446422
188,71.79076774,0.9999451815
189,78.46027806,0.9999457629
190,75.37398807,0.9999463328
191,64.43596773,0.9999468348
192,59.49597779,0.9999472787
193,62.81453756,0.999947776
194,60.01842604,0.9999482314
195,59.56264471,0.999948703
196,49.33606667,0.9999490936
197,53.40574132,0.9999495083
198,49.39632867,0.9999499031
199,50.58481284,0.9999502985
200,43.47843166,0.999950656
201,46.05925672,0.9999510171
202,46.49686665,0.9999513829
203,38.49024803,0.9999517072
204,37.80600377,0.9999520113
205,35.23810994,0.9999523064
206,35.5166366,0.9999525912
207,34.06115609,0.9999528729
208,31.95861016,0.9999531414
209,33.57820235,0.9999534192
210,36.12187075,0.9999537198
211,33.13337501,0.9999540032
212,30.25764816,0.9999542596
213,32.89099883,0.9999545401
214,33.64270144,0.9999548269
215,29.65621421,0.999955076
216,31.66631168,0.999955354
217,31.80321125,0.9999556316
218,29.54724393,0.9999558858
219,30.5167813,0.9999561538
220,31.36002093,0.9999564291
221,32.43421959,0.9999567164
222,26.86267047,0.999956959
223,33.91465828,0.9999572551
224,27.62900208,0.9999575061
225,31.57672164,0.9999577857
226,26.89253506,0.9999580287
227,30.22741057,0.9999583002
228,25.43428723,0.9999585345
229,28.42361013,0.9999588043
230,26.93564919,0.9999590435
231,26.5099035,0.9999592857
232,27.72678048,0.9999595411
233,25.42601544,0.9999597785
234,24.38480562,0.9999600124
235,23.75073194,0.99996023
236,28.34366693,0.9999604961
237,23.3762153,0.9999607215
238,25.78743865,0.9999609591
239,24.72179639,0.9999612
240,23.10189593,0.9999614145
241,25.68937774,0.9999616701
242,21.94299151,0.9999618855
243,23.87051926,0.9999621145
244,21.7225181,0.9999623284
245,23.28571529,0.9999625488
246,22.63377268,0.9999627808
247,19.83260513,0.9999629751
248,23.96924008,0.9999632075
249,20.47206824,0.9999634106
250,22.06777906,0.9999636279
251,19.87519109,0.9999638296
252,21.04891431,0.9999640406
253,19.82315515,0.9999642408
254,20.24029292,0.9999644483
255,19.26674423,0.9999646468
256,20.25660992,0.9999648519
257,19.44485965,0.9999650483
258,18.15812927,0.999965239
259,18.39770468,0.9999654281
260,18.83187088,0.999965624
261,18.83719006,0.99996582
262,18.68723466,0.9999660149
263,18.06411418,0.9999662047
264,18.40053709,0.9999663961
265,18.13372436,0.9999665922
266,17.30567619,0.9999667753
267,19.0751622,0.9999669767
268,16.74866453,0.9999671586
269,18.03552653,0.9999673503
270,17.87793437,0.9999675418
271,17.61359393,0.9999677349
272,17.22567633,0.9999679237
273,17.15672316,0.9999681096
274,18.71887727,0.9999683101
275,16.99459019,0.9999685007
276,18.32162511,0.9999687011
277,17.45697814,0.999968896
278,19.86993241,0.9999691148
279,18.86403984,0.999969324
280,17.08169074,0.9999695173
281,19.23077546,0.9999697301
282,19.28258245,0.9999699473
283,17.37724972,0.9999701427
284,17.07845421,0.9999703394
285,18.11934993,0.9999705463
286,16.96766501,0.9999707362
287,17.88246516,0.9999709422
288,16.23771174,0.9999711285
289,15.75689015,0.9999713116
290,13.31015381,0.9999714687
291,13.93245515,0.9999716235
292,13.73583631,0.9999717895
293,12.88826553,0.9999719396
294,12.78474166,0.9999720895
295,15.04328357,0.9999722651
296,14.81697476,0.9999724425
297,16.71255405,0.9999726431
298,14.30800773,0.9999728094
299,15.56758292,0.9999729943
300,15.00057877,0.9999731736
301,15.19870037,0.9999733556
302,15.56647348,0.9999735484
303,16.50280716,0.999973744
304,14.33032819,0.9999739163
305,15.20291819,0.9999741054
306,16.3468217,0.999974302
307,13.81919217,0.9999744721
308,14.80763521,0.9999746502
309,13.15689606,0.9999748191
310,14.18658081,0.9999749923
311,12.60176043,0.999975149
312,12.74230795,0.9999753055
313,13.05025423,0.9999754684
314,12.62523225,0.9999756308
315,13.29942053,0.9999757975
316,12.08989699,0.9999759485
317,13.21912285,0.9999761159
318,11.18383436,0.9999762589
319,12.38675534,0.9999764154
320,11.98594854,0.9999765666
321,12.4952791,0.9999767264
322,11.30568667,0.9999768739
323,11.33521403,0.9999770206
324,11.78738171,0.9999771698
325,11.88328696,0.9999773254
326,11.85005531,0.9999774806
327,11.49314696,0.9999776325
328,11.27367059,0.9999777813
329,12.74661365,0.9999779456
330,10.86080951,0.9999780895
331,11.80489892,0.9999782432
332,10.75377525,0.999978384
333,11.70083622,0.9999785443
334,11.41538094,0.9999786947
335,11.76195904,0.9999788528
336,10.62097278,0.9999789935
337,11.91939669,0.9999791502
338,10.38706768,0.9999792954
339,10.9781227,0.9999794431
340,10.95066215,0.9999795943
341,10.11305149,0.9999797305
342,11.03638497,0.9999798784
343,10.22391566,0.9999800227
344,10.9857467,0.9999801696
345,10.36695254,0.9999803153
346,10.54733031,0.9999804593
347,10.35994695,0.9999806034
348,9.869272299,0.9999807399
349,10.97283594,0.9999808897
350,10.43265584,0.9999810369
351,9.747620562,0.9999811746
352,9.780247004,0.9999813126
353,9.763449716,0.9999814509
354,10.08046265,0.9999815905
355,9.736944434,0.9999817311
356,9.811905111,0.9999818681
357,9.521188134,0.9999820068
358,10.37879538,0.9999821535
359,9.942748454,0.9999822937
360,9.552507265,0.9999824339
361,9.81133024,0.9999825725
362,9.693747692,0.9999827142
363,9.365124799,0.9999828473
364,9.512745361,0.9999829883
365,9.38196378,0.9999831256
366,8.986838683,0.999983257
367,9.584442983,0.9999833961
368,8.973461344,0.999983528
369,8.91482045,0.999983661
370,9.182592645,0.9999837961
371,9.190817302,0.9999839309
372,8.939109745,0.9999840632
373,9.149998891,0.9999841992
374,8.969475769,0.9999843358
375,8.751094591,0.9999844653
376,9.224070826,0.9999846024
377,8.651697063,0.9999847342
378,8.920327155,0.9999848675
379,8.700491843,0.999985
380,9.035467957,0.9999851339
381,8.794065089,0.99998527
382,8.483654393,0.9999854002
383,8.526296741,0.9999855301
384,9.008763569,0.9999856681
385,8.799656041,0.9999858028
386,8.595928578,0.9999859372
387,8.573007748,0.9999860677
388,8.53667757,0.9999862003
389,8.68390372,0.9999863358
390,8.390167634,0.9999864652
391,8.325419007,0.9999865966
392,8.674913355,0.9999867298
393,8.223817231,0.9999868596
394,8.346881842,0.9999869935
395,8.396871133,0.9999871235
396,8.534799307,0.9999872593
397,8.395179053,0.9999873892
398,7.768737544,0.9999875162
399,8.608408244,0.9999876527
400,8.361219582,0.9999877851
401,7.96648109,0.9999879145
402,8.475457529,0.9999880485
403,7.983539688,0.9999881785
404,8.179941211,0.9999883089
405,8.079169999,0.9999884385
406,8.168079932,0.9999885734
407,8.294695122,0.999988706
408,7.921169233,0.9999888367
409,8.1600808,0.9999889673
410,7.871328434,0.9999890963
411,7.876468206,0.9999892271
412,6.728387403,0.9999893349
413,5.047435214,0.9999894134
414,5.055221108,0.9999894905
415,4.90633174,0.9999895672
416,5.017646459,0.9999896418
417,4.944925037,0.9999897149
418,4.820487259,0.9999897851
419,4.767326093,0.9999898565
420,4.727156543,0.999989926
421,4.809475315,0.9999899957
422,4.738819701,0.9999900647
423,5.048721217,0.9999901367
424,4.736476564,0.9999902044
425,4.657805876,0.999990271
426,4.6997997,0.9999903369
427,4.791724432,0.9999904054
428,4.724014663,0.9999904719
429,4.685469974,0.9999905371
430,4.983365035,0.9999906052
431,4.776449946,0.9999906707
432,4.568780075,0.9999907364
433,4.538202133,0.9999907982
434,4.586198984,0.9999908622
435,4.862080685,0.9999909276
436,4.943690568,0.9999909952
437,4.603983583,0.9999910588
438,4.726614808,0.9999911223
439,4.760249036,0.9999911878
440,4.50988133,0.9999912486
441,4.797684435,0.9999913134
442,4.385108786,0.9999913722
443,4.509100809,0.9999914307
444,4.55513884,0.9999914935
445,4.564735371,0.9999915542
446,4.690895926,0.9999916172
447,4.894644662,0.9999916819
448,4.695421758,0.9999917416
449,4.758851198,0.9999918071
450,4.717681362,0.9999918695
451,4.629414519,0.9999919309
452,4.787916011,0.9999919931
453,4.939815437,0.9999920577
454,4.659454332,0.9999921193
455,4.665234616,0.9999921789
456,4.706733747,0.9999922413
457,4.60812539,0.9999923017
458,4.612187359,0.9999923614
459,4.78720115,0.9999924235
460,4.679092151,0.9999924827
461,4.807687865,0.999992546
462,4.759103431,0.9999926066
463,4.490941231,0.999992665
464,4.859002095,0.9999927276
465,4.74334664,0.9999927883
466,4.839987617,0.9999928511
467,4.721350689,0.9999929102
468,4.523038648,0.9999929683
469,4.632282828,0.9999930276
470,4.738289922,0.9999930885
471,4.304944426,0.9999931434
472,4.874866645,0.9999932041
473,4.698298934,0.9999932639
474,4.700943798,0.999993324
475,4.612096429,0.9999933829
476,4.72613758,0.9999934417
477,4.780509992,0.9999935008
478,4.59365925,0.9999935601
479,4.718307996,0.9999936187
480,4.58227731,0.9999936769
481,4.717690525,0.9999937358
482,4.740681091,0.9999937957
483,4.802673173,0.9999938561
484,4.894359157,0.9999939157
485,4.861967909,0.9999939777
486,5.110674165,0.9999940398
487,4.492978291,0.9999940977
488,4.385879917,0.9999941526
489,4.74156242,0.9999942099
490,4.710608995,0.9999942688
491,4.731272448,0.9999943267
492,4.570010848,0.9999943839
493,4.567350472,0.9999944407
494,4.368743604,0.9999944939
495,4.799597925,0.9999945545
496,4.74505345,0.9999946117
497,4.685206998,0.9999946704
498,4.776375124,0.9999947288
499,4.915789002,0.9999947891
500,4.523545748,0.9999948451
501,4.752922101,0.9999949023
502,4.787848431,0.9999949614
503,4.840580515,0.99999502
504,4.759914071,0.9999950789
505,4.638938578,0.9999951359
506,4.854518321,0.9999951945
507,4.41572217,0.9999952495
508,4.666285106,0.9999953057
509,4.484172154,0.9999953605
510,4.713979587,0.9999954171
511,4.641001753,0.9999954741
512,4.476190329,0.999995529
513,4.678920479,0.9999955852
514,4.600461875,0.9999956416
515,4.87543316,0.9999956997
516,4.679754824,0.9999957569
517,4.65826269,0.9999958133
518,4.364001745,0.9999958653
519,4.530372778,0.9999959209
520,4.816148313,0.9999959783
521,4.724891076,0.9999960361
522,4.788467509,0.9999960931
523,4.619733287,0.999996149
524,4.768671055,0.9999962063
525,4.665717632,0.9999962624
526,4.638147286,0.999996318
527,4.777773426,0.9999963748
528,4.960218577,0.9999964347
529,4.30637721,0.9999964863
530,4.77684497,0.9999965431
531,4.526375088,0.9999965984
532,4.693412647,0.999996653
533,4.595852032,0.9999967091
534,4.557420593,0.9999967631
535,4.885930361,0.9999968209
536,4.590352727,0.9999968767
537,4.872971933,0.999996933
538,4.408310084,0.9999969873
539,4.835781998,0.9999970438
540,4.831339461,0.9999971013
541,4.827450308,0.9999971579
542,4.808614591,0.9999972149
543,4.198743175,0.9999972657
544,4.682873931,0.9999973202
545,4.399968018,0.9999973731
546,4.655743479,0.9999974288
547,4.764492852,0.9999974837
548,4.448486691,0.9999975377
549,4.797943325,0.9999975933
550,4.590731028,0.9999976485
551,4.674946658,0.9999977035
552,4.685708916,0.999997758
553,4.759441163,0.9999978151
554,4.923253413,0.9999978714
555,4.443955039,0.9999979255
556,4.718332254,0.9999979805
557,4.650976262,0.9999980353
558,4.458444871,0.9999980873
559,4.560014233,0.9999981399
560,4.58193766,0.9999981955
561,4.489311313,0.9999982472
562,4.397355098,0.9999982991
563,4.796335589,0.999998356
564,4.477013353,0.9999984077
565,4.380182545,0.9999984596
566,4.957657755,0.9999985166
567,4.241074904,0.9999985668
568,4.489765549,0.9999986193
569,4.621920771,0.999998674
570,4.616948055,0.9999987272
571,4.502168663,0.9999987795
572,4.583607102,0.9999988332
573,4.367777613,0.9999988839
574,4.368672158,0.9999989348
575,4.569670584,0.9999989875
576,4.586952091,0.9999990413
577,4.532112134,0.9999990944
578,4.743055628,0.9999991495
579,4.236300077,0.9999991992
580,4.568994488,0.9999992526
581,4.617038511,0.9999993065
582,4.766139131,0.9999993615
583,4.604737402,0.9999994142
584,3.019597498,0.9999994482
585,1.19538252,0.9999994608
586,1.208324072,0.9999994733
587,1.217353454,0.9999994853
588,1.12769902,0.9999994963
589,1.066981549,0.9999995065
590,1.115375698,0.9999995168
591,1.074383217,0.9999995266
592,1.146835062,0.999999537
593,0.9816018454,0.9999995458
594,1.101597926,0.9999995554
595,1.041688694,0.9999995642
596,1.009595245,0.9999995726
597,1.014706909,0.9999995813
598,0.9598309715,0.9999995891
599,1.032779952,0.9999995973
600,1.062234557,0.9999996057
601,1.017812689,0.9999996138
602,1.004031142,0.9999996216
603,1.064287108,0.9999996295
604,1.058890944,0.9999996376
605,0.9642342734,0.9999996447
606,1.019115493,0.9999996522
607,1.026372568,0.9999996596
608,0.9148218172,0.9999996659
609,0.9841459983,0.9999996727
610,0.9456804648,0.9999996794
611,1.070979045,0.9999996867
612,0.9770040031,0.9999996933
613,0.9806976797,0.9999996996
614,0.9869614408,0.9999997061
615,0.9918342474,0.9999997125
616,0.8982124678,0.9999997182
617,0.976361424,0.9999997244
618,1.083622792,0.9999997311
619,1.078571428,0.9999997377
620,0.8960865197,0.999999743
621,1.026594245,0.999999749
622,0.944589085,0.9999997546
623,1.015466471,0.9999997604
624,1.034114217,0.9999997663
625,0.9646229685,0.9999997717
626,1.037999648,0.9999997775
627,1.037111204,0.9999997831
628,1.031005808,0.9999997886
629,0.9836591632,0.9999997938
630,1.0022806,0.999999799
631,0.9808555883,0.9999998041
632,0.9989963573,0.9999998092
633,1.07737651,0.9999998144
634,1.074140241,0.9999998197
635,1.027965299,0.9999998248
636,0.9484768937,0.9999998293
637,0.989463247,0.9999998339
638,0.939593047,0.9999998381
639,1.012473522,0.9999998429
640,1.125594249,0.999999848
641,0.9471834061,0.9999998521
642,1.003847893,0.9999998564
643,1.038216255,0.9999998608
644,1.027778867,0.9999998652
645,0.967365532,0.9999998693
646,0.977639246,0.9999998731
647,0.9588349011,0.999999877
648,0.9595440409,0.9999998808
649,1.004831825,0.9999998846
650,1.026355843,0.9999998885
651,0.9847490265,0.9999998921
652,0.9568175818,0.9999998958
653,0.9716190734,0.9999998992
654,1.080288986,0.9999999031
655,1.020314178,0.9999999066
656,1.01094411,0.9999999099
657,0.8472858948,0.9999999128
658,1.059312049,0.9999999162
659,0.9804782577,0.9999999194
660,0.9575967245,0.9999999225
661,0.893484166,0.9999999251
662,0.9738383016,0.9999999281
663,0.9318726428,0.9999999309
664,0.9533416927,0.9999999336
665,1.015428992,0.9999999365
666,0.9432562814,0.9999999391
667,0.9648518369,0.9999999417
668,0.937196776,0.9999999442
669,0.8755192398,0.9999999464
670,1.021405961,0.9999999491
671,0.9333662276,0.9999999513
672,0.8991984245,0.9999999535
673,1.013728582,0.9999999559
