freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.344020841e+11,0.600763413
1,1881807368,0.6680552872
2,1293046319,0.7605318199
3,255340879.6,0.7833587663
4,214322185.5,0.8063507183
5,129696483.6,0.8295399129
6,143853485.6,0.8526882801
7,66151606.43,0.8668814403
8,59657721.85,0.8818146157
9,40801647.54,0.8920278477
10,27121847.41,0.9002716137
11,25919892.46,0.9076866049
12,13261659.87,0.9124288648
13,9454515.211,0.9163168496
14,10741831.58,0.9205421587
15,13650363.82,0.9263996673
16,11241254.18,0.9312234026
17,8334172.238,0.9355447376
18,7276201.81,0.939447602
19,4857276.757,0.9420529849
20,6180896.562,0.945478853
21,5213052.716,0.9488343131
22,4500286.839,0.9515700642
23,4447731.192,0.9543533899
24,3576648.867,0.956783452
25,2754886.145,0.9588522134
26,1985688.612,0.9604143582
27,2019225.109,0.9618945775
28,2194330.651,0.9635423939
29,2088382.556,0.9653346859
30,1837001.843,0.966878393
31,1241367.033,0.9680325397
32,1454516.155,0.9693328471
33,1314005.433,0.9705545285
34,1071916.434,0.9716469576
35,1000878.72,0.972577513
36,1230985.049,0.9738540642
37,1071781.692,0.974946356
38,897445.056,0.9759732965
39,851008.443,0.9769166686
40,922587.2425,0.9778899018
41,730753.6343,0.9787783608
42,780984.1061,0.9796999632
43,738987.3994,0.980651284
44,876847.8959,0.9817330437
45,721059.267,0.9826097161
46,653522.3476,0.9834743846
47,482836.1024,0.984104587
48,408928.2347,0.9846748815
49,379742.1521,0.9851908936
50,355072.4548,0.9857241717
51,361869.5612,0.986248248
52,327281.992,0.986704678
53,347356.8629,0.9872387893
54,316477.4959,0.9876971267
55,317638.5373,0.9882309758
56,298265.7653,0.9886896025
57,285670.2986,0.9891492925
58,273794.7583,0.9895947682
59,259526.0836,0.9900216683
60,230052.2219,0.9904247657
61,212408.8452,0.9907931506
62,207525.9071,0.9911567774
63,197272.2076,0.9915094919
64,164530.7774,0.9917948409
65,178528.4257,0.9921395785
66,163035.7343,0.9924310796
67,128367.1725,0.9926743657
68,134924.0851,0.9929469654
69,133801.8883,0.993195767
70,117188.0168,0.9934304376
71,125178.3872,0.9936699183
72,123683.4834,0.9939352874
73,129395.6855,0.9942036582
74,106855.5665,0.9944252801
75,94219.01605,0.9946257471
76,96191.09246,0.99483213
77,79248.42146,0.9950078292
78,70182.76581,0.995157155
79,79606.90088,0.995333649
80,73479.90967,0.9955044417
81,86855.47076,0.9956985592
82,77555.70277,0.9958843722
83,75698.17441,0.9960549071
84,59949.05576,0.9961985369
85,57694.86268,0.9963398607
86,56151.47793,0.9964763999
87,53230.12037,0.996607739
88,55205.40576,0.9967370426
89,50264.69562,0.9968718494
90,59756.65722,0.9970192919
91,51549.69864,0.9971520149
92,39266.5889,0.9972538151
93,41085.10571,0.9973610644
94,35296.51587,0.9974569897
95,38544.34842,0.9975569175
96,38950.86006,0.9976613812
97,34812.11721,0.9977597246
98,35768.32052,0.997856932
99,29961.4036,0.9979431793
100,24559.88369,0.9980099257
101,24734.90733,0.9980833392
102,22792.30878,0.9981489494
103,22652.30351,0.9982121316
104,17991.44276,0.9982661737
105,19001.64702,0.9983208721
106,19732.93856,0.9983822622
107,17566.67044,0.9984350285
108,18306.91074,0.9984893636
109,18013.46497,0.9985444381
110,15981.06023,0.9985935845
111,15265.66127,0.9986427144
112,15278.24393,0.9986905189
113,13856.55607,0.9987346183
114,14398.77529,0.9987825029
115,14422.53049,0.9988289193
116,14234.05579,0.9988744746
117,13249.87664,0.9989180647
118,14213.0406,0.9989658398
119,9877.221614,0.9989992174
120,9059.341336,0.9990296691
121,9346.527217,0.9990604177
122,7343.430379,0.9990857581
123,7349.063946,0.9991128262
124,7956.079167,0.9991395694
125,6915.189135,0.9991645448
126,6199.019885,0.9991854928
127,5326.139966,0.9992049196
128,5010.299098,0.9992233735
129,4622.388433,0.9992396548
130,4405.617809,0.9992561967
131,4302.234319,0.9992717349
132,3859.69537,0.999286641
