freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.478892345e+11,0.8378425259
1,887911539.3,0.8618509924
2,227311285,0.874143648
3,218695469.8,0.8889270544
4,91236245.19,0.8963279347
5,58301591.47,0.9042100926
6,41021936.67,0.9092015044
7,36060499.78,0.9150517986
8,26034900.69,0.9199795489
9,23612531.2,0.9244488056
10,25192199.15,0.9302388211
11,20374993.58,0.9346462183
12,16545021.01,0.9391198687
13,12442140.79,0.9429887702
14,10272132.13,0.946044029
15,7642034.1,0.9485236479
16,8011561.752,0.9511231678
17,6076384.278,0.9535055309
18,5801668.086,0.9558586227
19,5666398.3,0.9581568505
20,5164712.792,0.9603214253
21,4165218.235,0.9623486644
22,3568579.675,0.9639890239
23,3555324.949,0.9656713573
24,2747700.611,0.9670829771
25,2847326.441,0.9686997584
26,2402170.353,0.9701287221
27,2776392.796,0.9716676898
28,1711026.293,0.9726392522
29,1798399.209,0.9738063092
30,1462149.847,0.9747353921
31,1365591.633,0.9756954312
32,1357043.567,0.9766127673
33,1164240.221,0.9774312522
34,1042608.503,0.9782347059
35,1335438.789,0.9791735469
36,1092888.345,0.9800305226
37,1051829.918,0.9808410825
38,804490.426,0.9815371728
39,824857.4589,0.9822285823
40,740260.0925,0.9828190567
41,744943.5414,0.9835039091
42,591196.8661,0.9840314313
43,602136.0521,0.9846175585
44,607792.6188,0.9851845405
45,587374.091,0.9857245338
46,494856.4051,0.9862196141
47,395852.8824,0.9866102943
48,479012.7815,0.9871154281
49,449786.9218,0.9875775804
50,433451.3228,0.9880698289
51,367011.8527,0.9884717398
52,356833.0603,0.9888480313
53,342614.4441,0.989246385
54,285851.7239,0.9895594183
55,324678.1719,0.9899720339
56,305543.5785,0.9903272858
57,327892.9377,0.9907262549
58,291805.5915,0.9910852593
59,269050.6248,0.991419906
60,255501.8557,0.9917584264
61,247891.0722,0.9920835117
62,260771.3008,0.9924290137
63,242787.9266,0.992757254
64,219351.4828,0.9930449124
65,181627.3233,0.99331011
66,203825.9579,0.9935856751
67,189156.9278,0.9938567522
68,164017.0572,0.994107324
69,136036.78,0.9942985973
70,133664.0179,0.9945009912
71,137903.1246,0.9947004818
72,125443.4698,0.9949039957
73,135562.507,0.9951165952
74,130976.7004,0.995322003
75,121002.5282,0.9955166761
76,116871.597,0.9957062834
77,107245.0601,0.9958860726
78,110734.7642,0.9960642267
79,108199.1398,0.9962456154
80,89344.93341,0.9964026437
81,95369.48164,0.9965638137
82,86896.74091,0.9967212384
83,77753.65426,0.9968536897
84,78879.05687,0.9969965894
85,78211.87504,0.9971414525
86,53976.04891,0.9972406966
87,59636.28435,0.9973519606
88,61183.20987,0.9974603204
89,59916.83352,0.9975818284
90,51584.84144,0.9976780707
91,53560.14076,0.997782343
92,54898.45591,0.9978899629
93,50300.37931,0.9979892491
94,48436.84692,0.998088786
95,40830.52359,0.998168828
96,40340.07284,0.9982506354
97,36711.15991,0.9983290541
98,36133.71723,0.9984033083
99,34530.35662,0.9984784692
100,34905.39917,0.9985501992
101,33946.00511,0.9986263828
102,31095.87764,0.9986940679
103,28121.267,0.9987533774
104,27699.85742,0.9988162921
105,29229.18451,0.9988799141
106,23204.14242,0.9989344998
107,24110.40122,0.9989892617
108,20248.26086,0.999034704
109,18715.9327,0.9990779726
110,16452.29097,0.9991162304
111,17492.68152,0.9991587994
112,14371.03319,0.9991928003
113,14880.94269,0.9992286112
114,13643.95933,0.999262921
115,11627.54594,0.999291217
116,13232.81499,0.9993232406
117,11657.21388,0.9993522392
118,11798.71054,0.9993822279
119,11218.71615,0.999410894
120,9329.001701,0.9994346055
121,8968.107645,0.9994569146
122,8634.234743,0.9994794438
123,8635.072064,0.9995034929
124,8246.135129,0.999524452
125,7766.695974,0.9995456626
126,8020.772484,0.9995661573
127,6329.931813,0.9995836153
128,6559.000518,0.9996018824
129,5188.047556,0.9996157001
130,5933.638757,0.9996325464
131,5342.233658,0.9996471359
132,5061.23433,0.9996619159
133,5022.029694,0.9996762419
134,4845.895665,0.9996893449
135,4263.781182,0.9997020267
136,3840.236408,0.9997130854
137,4206.541498,0.9997254832
138,3846.838475,0.9997367169
139,3913.145872,0.9997479855
140,3775.341054,0.9997596229
141,3264.722735,0.999769245
142,2881.382224,0.9997779709
143,2859.354475,0.9997866688
144,2659.505737,0.9997948667
145,2352.537816,0.9998023092
146,2140.460335,0.9998088782
147,2103.142301,0.999815361
148,2179.661557,0.9998223745
149,2003.798536,0.9998287679
150,1838.738117,0.9998346595
151,1648.365381,0.9998397851
152,1704.671933,0.9998454084
153,1619.514181,0.9998505976
154,1422.738584,0.9998554063
155,1434.908879,0.9998600622
156,1182.829876,0.9998639641
157,1228.877487,0.9998682006
158,1083.371339,0.9998717159
159,1035.063055,0.9998752143
160,1018.721102,0.9998786712
161,962.3455316,0.999882106
162,924.6145311,0.9998853061
163,831.7859986,0.9998881063
164,910.2010466,0.9998913057
165,802.6161361,0.9998941053
166,753.3707529,0.9998968553
167,720.9007359,0.9998993601
168,701.1710882,0.9999017869
169,663.581245,0.999904245
170,682.334158,0.9999067265
171,573.2776024,0.9999088192
172,543.8674282,0.999910775
173,488.1656395,0.9999126098
174,480.3001287,0.9999144085
175,488.2709185,0.9999161908
176,417.5062311,0.99991776
177,411.9517252,0.9999192693
178,374.6732611,0.9999207282
179,370.5351083,0.9999221509
180,330.0800335,0.999923387
181,324.9841591,0.9999246436
182,322.100615,0.9999259151
183,274.6096747,0.9999270067
184,271.8671754,0.9999280321
185,248.440812,0.9999290129
186,257.7952934,0.9999300585
187,238.4764587,0.9999310032
188,234.9857336,0.9999319435
189,227.8559578,0.999932843
190,214.6114509,0.9999337077
191,207.9312182,0.9999345707
192,203.5868759,0.9999353799
193,183.098736,0.9999361523
194,173.3584957,0.999936853
195,161.7591801,0.9999375354
196,153.2731389,0.9999381819
197,149.1075528,0.9999387987
198,134.6625172,0.9999393722
199,141.4855239,0.9999399614
200,117.718488,0.999940477
201,120.0731728,0.9999409786
202,115.1891517,0.9999414614
203,98.93243651,0.9999419055
204,98.78966481,0.9999423288
205,92.2750096,0.9999427405
206,92.85551924,0.9999431372
207,88.37842324,0.9999435267
208,83.59011433,0.9999439008
209,82.56566786,0.9999442647
210,88.80742535,0.9999446585
211,87.40863791,0.9999450568
212,81.39022297,0.9999454243
213,91.5106264,0.99994584
214,84.09004734,0.999946222
215,84.2534018,0.999946599
216,86.75075952,0.9999470048
217,87.21929994,0.9999474104
218,87.19634995,0.9999478101
219,85.28049336,0.999948209
220,85.72614931,0.99994861
221,85.28694574,0.9999490124
222,78.69624108,0.9999493912
223,82.2542378,0.9999497737
224,78.7131963,0.9999501547
225,75.29053569,0.99995051
226,77.42442353,0.9999508826
227,76.42159804,0.9999512483
228,75.69662465,0.9999516198
229,71.16301627,0.9999519797
230,77.3850511,0.9999523458
231,70.40372881,0.9999526885
232,70.95178907,0.9999530367
233,71.22122837,0.999953391
234,68.70882214,0.9999537422
235,72.83893133,0.9999540977
236,68.61147261,0.9999544409
237,64.02742677,0.9999547698
238,66.6353499,0.9999550968
239,61.52212136,0.9999554162
240,63.29938466,0.9999557295
241,60.51743044,0.9999560502
242,61.08998352,0.9999563698
243,62.94012028,0.9999566915
244,57.99803486,0.9999569957
245,59.49114269,0.9999572957
246,56.09586465,0.9999576021
247,59.28132186,0.9999579115
248,57.97895911,0.9999582109
249,54.75851114,0.9999585003
250,55.61432538,0.9999587921
251,53.01821776,0.9999590788
252,52.55235897,0.9999593594
253,52.28717064,0.9999596408
254,51.23141113,0.9999599206
255,51.52007964,0.9999602034
256,50.49877615,0.9999604758
257,48.98931834,0.9999607394
258,48.17807449,0.9999610091
259,49.22740283,0.9999612786
260,49.06209591,0.9999615506
261,47.49917581,0.9999618139
262,49.89600464,0.9999620911
263,49.30484032,0.9999623671
264,48.4929196,0.9999626359
265,45.84432282,0.9999628999
266,46.56400254,0.9999631624
267,49.9172393,0.9999634432
268,46.68919669,0.9999637133
269,47.18855175,0.9999639806
270,47.67613051,0.9999642526
271,46.43233506,0.9999645238
272,47.43379854,0.9999648009
273,46.2537709,0.9999650679
274,45.5531143,0.9999653278
275,44.01358521,0.9999655908
276,45.07512715,0.9999658534
277,44.57001849,0.9999661186
278,41.41523406,0.9999663616
279,44.55560479,0.9999666248
280,43.2652045,0.9999668857
281,45.82882629,0.9999671558
282,42.83476729,0.9999674129
283,44.40061604,0.9999676789
284,42.02693837,0.9999679368
285,41.9635748,0.9999681921
286,40.25973712,0.9999684322
287,39.90934746,0.9999686771
288,39.36396311,0.9999689177
289,40.67759266,0.9999691695
290,37.70180188,0.9999694066
291,41.31073512,0.9999696512
292,35.99969057,0.9999698829
293,37.85649538,0.9999701178
294,38.08284573,0.9999703556
295,38.55948301,0.9999705954
296,36.11118911,0.9999708259
297,36.59886936,0.9999710599
298,37.7345844,0.9999712936
299,38.52644762,0.9999715373
300,37.76261813,0.9999717778
301,38.45539604,0.9999720232
302,35.84622876,0.9999722597
303,40.47335557,0.9999725152
304,37.83497385,0.9999727577
305,36.38839005,0.9999729988
306,34.31238935,0.9999732186
307,37.82291175,0.9999734666
308,37.53097443,0.9999737071
309,35.12646032,0.9999739474
310,35.4392825,0.9999741779
311,36.10751707,0.9999744171
312,35.82704154,0.9999746515
313,34.70571583,0.9999748824
314,34.14780639,0.9999751165
315,35.03014019,0.9999753504
316,33.98119089,0.9999755764
317,35.34673668,0.9999758149
318,34.19351221,0.9999760479
319,31.67068055,0.9999762611
320,34.01379805,0.9999764897
321,33.87336925,0.9999767205
322,33.04055793,0.9999769501
323,32.28202799,0.9999771727
324,33.61907494,0.9999773995
325,31.36139284,0.9999776183
326,31.82276947,0.9999778403
327,30.95573554,0.9999780583
328,30.66047234,0.9999782738
329,31.45708686,0.9999784899
330,29.65398565,0.9999786992
331,31.22096567,0.9999789157
332,30.10479749,0.9999791257
333,29.85986882,0.9999793437
334,30.14842092,0.9999795553
335,29.66276003,0.9999797678
336,29.72501249,0.9999799776
337,29.32473224,0.9999801829
338,28.46754919,0.999980395
339,28.87768362,0.9999806019
340,28.2125508,0.9999808094
341,28.38009179,0.9999810132
342,29.55341203,0.9999812241
343,27.57979057,0.9999814314
344,28.11990339,0.9999816318
345,27.54428313,0.9999818381
346,28.27544017,0.9999820438
347,27.55099037,0.9999822479
348,27.95586869,0.9999824539
349,27.34479585,0.9999826528
350,26.53673086,0.9999828522
351,26.92334847,0.999983055
352,26.306048,0.9999832527
353,27.04236686,0.9999834567
354,27.05846464,0.9999836565
355,26.23864423,0.9999838583
356,26.14158927,0.9999840527
357,25.21698839,0.9999842484
358,26.3252845,0.9999844466
359,26.69497538,0.9999846473
360,25.16022898,0.9999848439
361,25.81791455,0.9999850383
362,25.15738093,0.9999852342
363,26.2536301,0.999985433
364,25.40033214,0.9999856335
365,25.04609575,0.9999858289
366,25.371227,0.9999860265
367,24.91321096,0.9999862191
368,25.49016728,0.9999864187
369,24.8150114,0.9999866159
370,25.02184823,0.9999868122
371,24.5926742,0.9999870043
372,24.48046661,0.9999871973
373,24.27862351,0.9999873896
374,23.90916071,0.9999875836
375,24.76917353,0.9999877788
376,23.19513701,0.9999879626
377,23.72467699,0.999988155
378,24.2382405,0.999988348
379,23.75528943,0.9999885407
380,24.16350404,0.9999887315
381,22.93053365,0.9999889206
382,23.1511664,0.99998911
383,24.0984593,0.9999893055
384,23.28066553,0.9999894956
385,23.14769612,0.9999896843
386,22.95821696,0.9999898755
387,23.11658604,0.999990063
388,22.73146996,0.9999902511
389,21.99682894,0.999990434
390,23.35828981,0.999990626
391,22.23159188,0.9999908129
392,23.05038994,0.9999910015
393,22.77960497,0.999991193
394,21.98407532,0.9999913809
395,22.37202921,0.9999915654
396,22.2771218,0.9999917542
397,22.4263126,0.9999919391
398,21.75667558,0.9999921286
399,22.63265922,0.9999923198
400,21.99380764,0.9999925054
401,21.51916361,0.9999926915
402,22.84463871,0.999992884
403,21.7819963,0.999993073
404,22.94922235,0.9999932679
405,20.69408777,0.9999934447
406,21.47976863,0.9999936337
407,22.28404305,0.9999938235
408,21.69586523,0.9999940142
409,22.70255284,0.9999942079
410,22.71142411,0.9999944062
411,21.45160033,0.9999945959
412,14.35393634,0.9999947185
413,5.887870627,0.9999947672
414,5.626328121,0.999994813
415,5.034263495,0.9999948549
416,5.013620422,0.9999948946
417,4.90834664,0.9999949333
418,5.104361894,0.9999949729
419,4.739375366,0.9999950107
420,4.75228005,0.9999950479
421,4.681662763,0.9999950841
422,4.429615841,0.9999951184
423,4.46465692,0.9999951524
424,4.350635604,0.9999951855
