freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.983436707e+11,0.9172287057
1,1327181927,0.9416765271
2,134000322.4,0.9466133272
3,140545440.9,0.9530857439
4,28655950.37,0.954669345
5,29417027.44,0.9573787785
6,34696579.62,0.9602549109
7,11649028.84,0.9615424211
8,13403848.64,0.9632707932
9,17718261.71,0.9655554915
10,12235399.03,0.9674712765
11,10062303.52,0.9689541261
12,10977672.2,0.9709763068
13,8964295.232,0.9728753013
14,6982053.072,0.9742900703
15,4612722.723,0.9753097137
16,4290575.592,0.9762581463
17,3736615.712,0.9772562052
18,3243007.25,0.9781522895
19,2493637.209,0.9788413133
20,2247700.772,0.979483084
21,2644371.611,0.9803598924
22,2295990.19,0.981078892
23,1571923.984,0.9815856251
24,2029969.219,0.9822961066
25,1929287.699,0.9830424282
26,1282254.311,0.9835620729
27,1322566.967,0.9840615105
28,1440667.397,0.9846188153
29,1205810.07,0.9851519044
30,1247319.544,0.9856918566
31,1324091.15,0.9863260197
32,1222889.35,0.9868891862
33,1023607.8,0.9873794352
34,1053011.048,0.9879322599
35,824164.4596,0.988326987
36,829991.3769,0.9887703723
37,650039.8141,0.9891116395
38,564762.0024,0.9894445482
39,628571.7056,0.9898034918
40,945851.3573,0.9903174817
41,587677.1952,0.9906855492
42,558603.0932,0.9910251174
43,466282.4189,0.9913343329
44,450215.7288,0.9916204537
45,477698.1821,0.9919196404
46,390658.6117,0.9921859021
47,365199.6115,0.9924314481
48,364961.7817,0.9926936415
49,385887.3004,0.9929637597
50,338278.752,0.9932254777
51,297085.6026,0.9934471168
52,315881.6428,0.9936740504
53,246566.9904,0.9938693552
54,342049.4264,0.9941245393
55,288640.973,0.9943744389
56,238275.6339,0.9945631762
57,273603.5415,0.9947899767
58,315059.758,0.9950540436
59,232887.9244,0.9952513834
60,202512.8942,0.9954341759
61,236432.364,0.9956454073
62,227635.7902,0.9958508763
63,167504.0577,0.9960051546
64,177310.24,0.9961635656
65,170674.9407,0.9963333404
66,168476.931,0.9964885148
67,132066.9091,0.9966174524
68,134136.3348,0.9967570586
69,130796.5359,0.9968823465
70,127612.2819,0.9970139872
71,110587.5409,0.997122973
72,95154.37275,0.9972281425
73,99970.79684,0.9973349522
74,90234.60268,0.9974313597
75,85264.02887,0.9975248125
76,90263.79433,0.9976245767
77,92775.3195,0.9977305347
78,74487.14897,0.9978121757
79,67323.65951,0.9978890655
80,75544.83378,0.9979795195
81,78612.77768,0.9980700267
82,61532.56886,0.99814597
83,60391.81876,0.9982160555
84,57812.76431,0.9982874079
85,62128.98187,0.998365804
86,55144.4073,0.9984348789
87,55499.38939,0.9985054207
88,48991.34131,0.998564532
89,46200.37882,0.9986283608
90,48730.53124,0.9986902992
91,44380.53719,0.9987491611
92,37419.05102,0.9987991347
93,40597.43327,0.998853727
94,34672.23872,0.9989022676
95,31243.84975,0.9989439941
96,34022.85512,0.9989909989
97,31342.42938,0.9990366099
98,28299.57892,0.9990762288
99,26488.88309,0.9991155086
100,23077.73497,0.9991478171
101,22099.76964,0.9991816061
102,27895.28087,0.9992229714
103,22119.28426,0.999254753
104,21475.0126,0.9992879824
105,18382.88588,0.999315242
106,19503.88173,0.9993464992
107,18251.5457,0.9993747408
108,17330.5956,0.999401238
109,14222.75769,0.9994236386
110,18754.96719,0.9994533501
111,14928.93329,0.9994781005
112,12752.81711,0.9994986558
113,13100.29688,0.9995201331
114,13423.39614,0.9995431293
115,10254.70131,0.9995601303
116,10442.58155,0.9995773466
117,9337.018959,0.9995931702
118,9370.358995,0.9996093956
119,9895.594509,0.9996266215
120,9248.788118,0.9996426364
121,7500.332155,0.9996553473
122,9210.427989,0.9996717199
123,7205.120974,0.9996853905
124,7033.05581,0.9996975687
125,7384.551277,0.9997113077
126,6574.743694,0.9997227528
127,5582.897903,0.9997332426
128,5877.319518,0.999744394
