freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.845792134e+11,0.7968175928
1,2946778295,0.8456615179
2,1101066984,0.8821626917
3,584642196.2,0.9063893358
4,266357919.7,0.9196342748
5,152333281.9,0.9322591734
6,86985596.2,0.9387473543
7,53760707.2,0.9440939743
8,44728628.84,0.9492837277
9,57176423.42,0.9559177682
10,25235120.78,0.9594731595
11,20479871.91,0.9621888503
12,11231418.26,0.9640504988
13,8842153.881,0.965735961
14,9382649.706,0.9674466903
15,10533729.19,0.9695418951
16,9338877.813,0.9713994388
17,4590686.241,0.9725027771
18,6129148.108,0.9740266701
19,7766908.041,0.9759577601
20,4917555.423,0.9772211694
21,3453841.199,0.9782516456
22,3744265.56,0.9793067092
23,4665656.549,0.980660071
24,2618387.41,0.9814846848
25,2367606.136,0.9823088074
26,1416273.084,0.9828252628
27,3675884.274,0.9840743098
28,3337706.802,0.9852361077
29,2585776.74,0.9862647523
30,1643009.479,0.9869047391
31,1364987.809,0.9874929935
32,1460656.568,0.9880982664
33,1100056.162,0.9885723461
34,909938.139,0.9890021989
35,1381373.777,0.989597515
36,1086776.652,0.9901199129
37,902118.1006,0.9905460716
38,795445.234,0.990967985
39,665701.8287,0.9913100468
40,584850.724,0.9915960232
41,1021490.954,0.9921716971
42,884621.5551,0.9926555736
43,435819.26,0.9929156327
44,510667.9434,0.9932076582
45,497185.0131,0.993487853
46,528563.8831,0.9938120151
47,625676.7687,0.9941905501
48,523374.7197,0.99452888
49,319991.3761,0.994730431
50,229591.206,0.9948902644
51,354330.5065,0.9951281273
52,322738.453,0.9953367581
53,296574.9932,0.9955481392
54,235503.5719,0.9957062333
55,316806.7364,0.9959530391
56,212437.9288,0.9961044522
57,285262.0297,0.9963172267
58,307490.1252,0.9965491293
59,225246.3316,0.9967208722
60,171094.66,0.996859834
61,147040.5372,0.9969780407
62,117052.9202,0.9970731102
63,99438.17274,0.9971555214
64,244041.467,0.9973517076
65,215789.4734,0.9975448543
66,123232.1947,0.9976469852
67,96726.02618,0.9977319585
68,92038.70821,0.9978181535
69,85805.97938,0.9978921113
70,79789.86666,0.9979661738
71,118750.0288,0.9980714792
72,85160.99599,0.9981561737
73,65474.19297,0.9982191187
74,71532.07858,0.9982878876
75,58250.32767,0.998345336
76,59972.87953,0.9984049804
77,68266.14767,0.9984751356
78,70098.92983,0.9985442696
79,62060.46984,0.9986080474
80,57498.87847,0.9986699967
81,53049.37719,0.9987249537
82,52944.87964,0.9987837516
83,46837.54003,0.9988326616
84,39250.04102,0.9988762507
85,37086.22311,0.9989183589
86,38811.75403,0.9989621046
87,30588.70371,0.9989970889
88,28802.30387,0.9990283592
89,28094.8913,0.9990632854
90,26359.42826,0.9990934327
91,24533.44074,0.9991227115
92,27385.14855,0.9991556206
93,20358.70486,0.9991802547
94,21022.92099,0.9992067379
95,22434.40817,0.9992336976
96,18002.0848,0.9992560769
97,17408.5378,0.9992788726
98,19480.9983,0.9993034134
99,16468.39291,0.9993253874
100,15121.8999,0.9993444369
101,15156.98328,0.9993652892
102,14934.56609,0.9993852166
103,12782.6949,0.9994017431
104,17322.27382,0.9994258615
105,11876.71292,0.9994417087
106,10362.66098,0.9994566523
107,12762.1176,0.9994744214
108,10546.44175,0.9994889307
109,9111.796819,0.9995018439
110,9418.806271,0.9995152702
111,9541.340013,0.9995295038
112,8210.568082,0.999541412
113,9640.703787,0.999555634
114,7914.415993,0.9995678342
115,6661.12762,0.9995777711
116,6438.411938,0.9995873225
117,6994.462965,0.9995979886
118,6076.163201,0.9996074557
119,5061.211882,0.9996153835
120,5752.597657,0.9996243465
121,5259.945025,0.9996323676
122,5023.625185,0.999640403
123,4456.165651,0.9996480108
124,5018.835312,0.9996558306
125,4307.883445,0.9996630425
126,4484.826883,0.9996700674
