freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.804264942e+11,0.9047647197
1,393852133.7,0.9149304786
2,98828056.07,0.9200322013
3,69734814.61,0.9245320329
4,68281452.88,0.9298192922
5,28121435.48,0.9334485188
6,45264431.83,0.9387059814
7,21124522.68,0.9419774651
8,19932400.05,0.945578806
9,11445295.73,0.9476467161
10,7422397.086,0.9492751485
11,10377172.62,0.9514179188
12,10526014.43,0.9541347995
13,9155636.107,0.956852446
14,7022162.604,0.9588461935
15,5497594.546,0.9605489814
16,5065371.762,0.9621178956
17,4720784.104,0.9638847011
18,3638049.437,0.9652932322
19,3318073.273,0.9665778793
20,4457921.242,0.9683613693
21,2775027.822,0.969650647
22,3238111.106,0.9710714938
23,2218938.241,0.9720737757
24,2229531.315,0.9731671624
25,1789280.729,0.9741370119
26,1752068.458,0.975131914
27,1645624.71,0.9760026596
28,1267761.781,0.9766898286
29,1201114.075,0.9774338785
30,1238465.153,0.9781850832
31,1075750.002,0.9789070069
32,1307569.244,0.9797507521
33,879687.5421,0.9803411005
34,951560.202,0.9810410839
35,827586.7916,0.981596468
36,755348.5462,0.9821618631
37,628459.4412,0.9826241682
38,601970.4766,0.983121369
39,637466.8203,0.9836314344
40,541297.9441,0.9840435936
41,512171.2364,0.9844930636
42,533196.4698,0.9849472224
43,612912.1367,0.9855167403
44,615592.6562,0.9860649151
45,477429.2251,0.9864838963
46,525238.2113,0.9869855045
47,431659.371,0.9873921731
48,390720.2167,0.987785485
49,424867.8259,0.9882022048
50,350540.9932,0.9885822145
51,333112.563,0.9889304336
52,387268.2493,0.9893202707
53,323038.2538,0.9896788036
54,310427.5986,0.990003309
55,330610.4362,0.9904043797
56,278692.4457,0.9907136942
57,262682.5969,0.9910188
58,245710.9342,0.9913073642
59,248639.7762,0.9916025769
60,180494.1395,0.9918308558
61,224162.7329,0.9921114714
62,222628.2637,0.9923930392
63,206841.3715,0.9926599794
64,210530.0674,0.9929235291
65,217675.7764,0.9932269255
66,167579.6141,0.9934431963
67,155064.1988,0.9936553223
68,147814.7559,0.9938708846
69,151744.0009,0.994074552
70,156147.2949,0.9943002507
71,162750.5318,0.994524992
72,147513.4013,0.994753441
73,121676.5407,0.9949355962
74,103657.5563,0.9950907761
75,122970.2877,0.995279629
76,101900.0976,0.9954374383
77,95772.33642,0.9955907017
78,96275.11423,0.9957385572
79,90313.00425,0.9958830841
80,89765.11523,0.996033685
81,85305.87422,0.9961712999
82,90022.89511,0.9963269804
83,78624.82331,0.9964548322
84,83781.16483,0.9965997187
85,71047.59486,0.9967253352
86,82275.59521,0.9968697416
87,68548.44269,0.9969918241
88,69679.66777,0.9971096264
89,60807.75802,0.9972273401
90,59746.4802,0.9973337465
91,53013.8969,0.9974322675
92,56495.14694,0.9975379872
93,50956.4062,0.9976339998
94,44404.64631,0.9977211059
95,46236.60423,0.9978076287
96,46492.44106,0.9978976303
97,42018.46707,0.9979833092
98,41778.38237,0.9980652635
99,37402.25069,0.9981429777
100,40874.94925,0.9982231598
101,36148.9727,0.9983006025
102,40270.83924,0.998384277
103,32092.46389,0.9984488877
104,27712.1489,0.9985089713
105,30428.73293,0.998572196
106,29434.16155,0.9986382923
107,23418.88874,0.9986890676
108,26439.66237,0.9987457098
109,24504.12239,0.9987997868
110,22872.22612,0.9988505575
111,23317.83307,0.9989047248
112,20144.15765,0.9989502198
113,23397.05803,0.9990039673
114,18330.14033,0.9990479675
115,20112.28988,0.9990946884
116,15939.86423,0.999131511
117,16594.5775,0.9991709168
118,15204.29215,0.9992078061
119,13355.88009,0.9992403831
120,11697.21489,0.9992687634
121,11388.1098,0.9992958059
122,12556.99192,0.9993270825
123,12628.38791,0.9993606556
124,10667.37623,0.9993865372
125,9960.826011,0.9994125043
126,10727.65288,0.9994386707
127,9042.882083,0.9994624782
128,8045.638657,0.9994838679
129,8840.796222,0.9995063446
130,8168.450488,0.9995284825
131,7897.677274,0.9995490711
132,6976.826775,0.9995685197
133,6561.598641,0.9995863874
134,6868.551208,0.9996041159
135,5800.307556,0.9996205843
136,6290.691334,0.9996378766
137,5299.269919,0.9996527857
138,5138.86218,0.9996671108
139,5263.35703,0.9996815791
140,4906.657636,0.9996960168
141,4202.106992,0.999707839
142,3665.569552,0.9997184356
143,4078.955829,0.9997302799
144,3699.382919,0.9997411652
145,3620.883094,0.9997520999
146,2955.46512,0.9997607581
147,3213.613222,0.9997702141
148,3053.730198,0.9997795937
149,2836.547714,0.999788233
150,2491.958795,0.9997958549
151,2116.958326,0.9998021386
152,2149.304786,0.9998089067
153,2465.476425,0.9998164476
154,2351.016317,0.9998240329
155,1902.447662,0.9998299254
156,1797.870135,0.9998355868
157,1446.881128,0.9998403484
158,1656.807486,0.9998454801
159,1602.239521,0.9998506495
160,1299.601262,0.9998548593
161,1398.897858,0.9998596255
162,1465.701282,0.9998644679
163,1243.540934,0.999868464
164,1079.671545,0.9998720868
165,1076.052562,0.9998756696
166,1047.42924,0.9998793194
167,949.0325966,0.9998824671
168,789.7917652,0.9998850764
169,905.8924096,0.9998882797
170,832.994692,0.9998911716
171,694.239543,0.9998935906
172,643.0493648,0.9998957982
173,563.255346,0.999897819
174,630.5013751,0.9999000729
175,618.054811,0.9999022265
176,478.8499503,0.9999039445
177,546.0307138,0.9999058542
178,528.0243689,0.9999078168
179,500.3028529,0.9999096505
180,494.2109328,0.9999114172
181,423.805526,0.9999129814
182,370.6254549,0.9999143781
183,421.8555522,0.9999159787
184,378.7505296,0.9999173425
185,283.4939401,0.9999184108
186,334.0646941,0.9999197042
187,296.6405736,0.9999208259
188,241.3341196,0.9999217478
189,239.4038608,0.99992265
190,218.7013405,0.9999234911
191,234.0681906,0.9999244184
192,233.3001074,0.9999253036
193,194.9145025,0.9999260885
194,195.775757,0.9999268439
195,173.6341049,0.9999275431
196,179.0822098,0.9999282641
197,153.7934918,0.9999288715
198,148.6558878,0.9999294758
199,143.4878872,0.9999300462
200,130.4392619,0.9999305916
201,139.6315938,0.9999311484
202,135.1935345,0.9999316893
203,117.7360133,0.9999321937
204,119.7953187,0.9999326838
205,110.4889864,0.9999331544
206,107.1414909,0.9999335913
207,105.1660641,0.9999340338
208,99.16297892,0.9999344574
209,101.6101841,0.9999348849
210,102.8505666,0.9999353202
211,98.12251851,0.999935747
212,92.12564074,0.9999361441
213,94.6694668,0.9999365546
214,102.7753649,0.9999370003
215,93.61473306,0.9999374002
216,95.45020519,0.9999378264
217,86.17886639,0.999938209
218,98.46802031,0.9999386398
219,90.53936549,0.9999390441
220,90.55552898,0.9999394484
221,87.40348884,0.9999398421
222,86.92418629,0.9999402414
223,88.19000314,0.999940633
224,88.64035516,0.9999410425
225,90.05626552,0.9999414481
226,88.55501854,0.999941855
227,85.80447521,0.999942247
228,87.81840399,0.9999426584
229,82.24773364,0.9999430554
230,86.99335952,0.9999434483
231,85.00560854,0.9999438432
232,80.43951609,0.9999442201
233,77.86311781,0.9999445899
234,76.67133453,0.9999449639
235,78.65422862,0.9999453303
236,80.29466879,0.9999457138
237,76.40520648,0.9999460884
238,76.61560956,0.9999464474
239,71.9802866,0.9999468041
240,74.11553578,0.9999471542
241,70.50616811,0.9999475109
242,69.83878508,0.9999478597
243,67.82562147,0.9999481905
244,67.92851389,0.9999485307
245,66.76831512,0.9999488521
246,64.83936909,0.9999491901
247,65.17640951,0.9999495148
248,66.81107371,0.9999498442
249,62.59504619,0.9999501601
