freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.496653548e+11,0.9360508518
1,454783099.8,0.9412929366
2,292202464.6,0.9480291152
3,298038595.3,0.9566175147
4,88474686.57,0.9596769411
5,56242429.33,0.9629183498
6,57244571.82,0.9658875983
7,28803292.65,0.9678796157
8,26122389.67,0.9699873247
9,22329909.69,0.9717890341
10,12334970.66,0.9729975622
11,20415485.4,0.9748801248
12,13392880.74,0.9764238632
13,12848471.3,0.978126998
14,8271006.906,0.9791756969
15,7586864.417,0.9802251023
16,7212611.648,0.9812227415
17,4759060.373,0.9820181476
18,6435222.599,0.9831307874
19,5678948.306,0.9841126684
20,3908786.198,0.9848110188
21,4776051.88,0.9858019449
22,4085555.998,0.9866025158
23,3720933.225,0.9873530831
24,3523329.682,0.9881247087
25,2483036.457,0.9887257469
26,2596913.538,0.9893842835
27,1795356.895,0.9898085164
28,1821796.686,0.9902494964
29,2040650.427,0.9908140168
30,1470069.694,0.9912122207
31,1403603.181,0.9916328673
32,1369069.12,0.9920273837
33,853140.1496,0.9922830618
34,854617.4496,0.9925638096
35,978404.7527,0.9928570282
36,783379.3023,0.9931188886
37,790044.0178,0.9933784236
38,827263.7109,0.9936835597
39,703715.6578,0.9939350138
40,639998.0924,0.9941526346
41,527176.8166,0.9943592368
42,514315.3168,0.9945548703
43,471836.5119,0.9947506617
44,474562.5523,0.9949393793
45,475629.3427,0.9951257799
46,606109.2507,0.995384275
47,459999.4757,0.9955778057
48,428050.6216,0.9957702298
49,477539.4767,0.9959793965
50,365746.6177,0.9961564602
51,338629.2456,0.996314541
52,351540.1661,0.9964725709
53,310926.5683,0.9966266792
54,350501.6211,0.9967903023
55,354669.8207,0.9969824441
56,318629.8766,0.9971403705
57,234754.6539,0.9972621366
58,227277.5638,0.9973813343
59,243162.7803,0.9975102645
60,209227.8001,0.9976284366
61,234440.1891,0.9977594976
62,188765.3568,0.9978661126
63,169985.2314,0.9979640798
64,155439.6024,0.9980509765
65,137170.7259,0.9981363563
66,110752.563,0.9982001861
67,129617.3134,0.9982793703
68,141798.0761,0.9983717164
69,118388.8432,0.9984426764
70,118290.0756,0.9985190312
71,93997.71889,0.9985769968
72,97217.67874,0.998644232
73,90474.14266,0.9987047176
74,89295.67642,0.9987644154
75,95999.8743,0.998830255
76,79660.20284,0.9988853475
77,65512.18983,0.9989321655
78,68792.56804,0.9989793456
79,67622.98033,0.9990276721
80,67407.86908,0.9990781759
81,79198.68579,0.9991352314
82,58252.44315,0.9991802186
83,56032.43482,0.9992209078
84,54370.77913,0.9992628973
85,57245.01224,0.9993080962
86,43704.29319,0.9993423519
87,43056.14748,0.9993765958
88,32677.28518,0.9994012668
89,33002.99874,0.9994297977
90,34700.51105,0.9994573961
91,30904.97246,0.9994830445
92,30904.69718,0.9995088708
93,29303.59656,0.999533528
94,24926.08405,0.9995553637
95,22690.06211,0.9995743253
96,21534.15351,0.9995929414
97,23916.52211,0.9996147197
98,21216.90203,0.9996333061
99,19432.211,0.999651337
100,20099.18517,0.9996689443
101,18381.21154,0.9996865297
102,16063.74108,0.999701435
103,17553.26711,0.9997172167
104,16262.80118,0.9997329628
105,14846.63709,0.9997467388
106,15459.96889,0.9997622423
107,13690.34759,0.9997754977
108,14299.35101,0.9997891779
109,12421.19502,0.9998014193
110,11025.93959,0.9998123491
111,11619.61808,0.9998244032
112,10622.85102,0.9998351171
113,9437.920207,0.9998447992
114,8450.658104,0.999853858
115,7821.991537,0.9998619725
116,6913.799348,0.9998691049
117,6457.117041,0.9998759523
118,6353.766061,0.9998828366
119,6069.873948,0.9998894483
