freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.731237747e+11,0.8391044009
1,2192937208,0.8785573307
2,813443025,0.9078264867
3,386637090,0.9252163667
4,140047792.1,0.9327751272
5,114357330.1,0.9430620878
6,74382618.62,0.9490840363
7,37278300.04,0.953108059
8,24119423.14,0.9561455711
9,17116850.22,0.9583012047
10,15811687.09,0.9607191708
11,12655017.62,0.9625405728
12,8553467.222,0.9640794191
13,10931721.64,0.9663411424
14,8131890.394,0.9679504433
15,8092996.136,0.9696976474
16,5794984.62,0.9709487318
17,3673543.363,0.9719070423
18,4027308.507,0.9729938663
19,4257827.833,0.9741428991
20,3366079.409,0.9750815608
21,3111097.154,0.9760890471
22,2739515.422,0.9769269154
23,2267094.031,0.9776406892
24,1960796.878,0.978310943
25,1907934.236,0.9790317778
26,2059896.012,0.9798470846
27,1650810.149,0.9804559258
28,1650083.34,0.9810793422
29,1259292.962,0.981623082
30,1602259.668,0.9823004955
31,1721224.854,0.9831056218
32,1587262.919,0.9838195293
33,1431602.379,0.9844891807
34,1383521.895,0.9851985689
35,1208197.443,0.9857637197
36,1200571.304,0.9863901013
37,1041210.382,0.9869239724
38,1054639.646,0.987531138
39,931087.4442,0.9880504224
40,887928.0486,0.988521674
41,851656.7584,0.9890426246
42,679896.2779,0.989446279
43,710126.0941,0.9899062082
44,550623.3197,0.9902479726
45,454122.0425,0.9905257549
46,418244.1068,0.9908041648
47,380577.7317,0.991054078
48,401702.5934,0.9913359308
49,397361.889,0.991607589
50,374978.7989,0.9918909298
51,387254.563,0.9921730958
52,392748.6319,0.992448666
53,354431.1932,0.9927228572
54,367309.3723,0.9929904905
55,310398.7229,0.9932529551
56,291448.6701,0.9934784224
57,284908.1077,0.9937090814
58,251835.8804,0.9939152308
59,284056.019,0.9941503104
60,236063.931,0.9943584136
61,200932.36,0.9945337389
62,221052.9023,0.9947286091
63,227725.8569,0.9949334589
64,202615.8981,0.9951102532
65,187777.0587,0.9952926803
66,162609.4411,0.9954389548
67,162867.5236,0.995594252
68,155634.749,0.9957524526
69,156100.0293,0.9958984884
70,142662.6767,0.9960422197
71,133537.8648,0.9961707517
72,114788.5938,0.9962946608
73,112532.538,0.9964120854
74,106411.2212,0.9965231226
75,92803.08832,0.9966224645
76,102601.3227,0.9967332179
77,107441.393,0.996853062
78,106368.4606,0.996966925
79,90700.82663,0.997068096
80,76068.90042,0.9971570517
81,68285.69055,0.9972338343
82,82402.08906,0.997333161
83,73283.97664,0.997416223
84,70161.4687,0.997500795
85,57467.3943,0.9975716165
86,48474.46427,0.9976309193
87,51048.71013,0.9976942898
88,47120.6177,0.9977498169
89,41704.11522,0.997806089
90,36642.81931,0.9978515764
91,35927.45371,0.9978981149
92,35127.25532,0.9979439328
93,36020.62591,0.99799124
94,29612.27641,0.9980317291
95,34102.13418,0.9980762099
96,31838.87827,0.9981191707
97,29021.50377,0.9981604184
98,31702.96598,0.9982037662
99,27249.25755,0.9982432304
100,25019.67643,0.99827744
101,24405.68104,0.9983138837
102,32200.92,0.9983605193
103,32227.81365,0.9984057443
104,31090.55774,0.9984527294
105,28511.46307,0.9984940217
106,25005.29908,0.9985331602
107,24264.79122,0.99856983
108,20541.76414,0.9986005039
109,19071.37594,0.9986298399
110,15451.06791,0.9986537461
111,13880.94785,0.9986762219
112,10803.2119,0.9986932283
113,10825.96426,0.9987105628
114,10552.59127,0.9987282189
115,10210.7122,0.9987447519
116,10893.14722,0.9987622919
117,10866.61031,0.9987802779
118,9895.892804,0.9987970133
119,10976.28217,0.9988156745
120,10113.91507,0.9988327786
121,10168.65847,0.9988496094
122,10626.61405,0.9988680585
123,11152.14846,0.9988887242
124,14183.43469,0.9989127104
125,13872.81494,0.9989379184
126,16076.46924,0.9989652507
127,15604.59925,0.9989938863
128,18084.84143,0.9990273986
129,21327.02302,0.9990651923
130,20885.23813,0.9991046455
131,21209.62423,0.9991431851
132,19918.59933,0.9991818873
133,20875.59757,0.9992215101
134,23444.67761,0.9992636892
135,21236.69317,0.9993057166
136,20530.28374,0.9993450532
137,19487.97793,0.9993832693
138,18137.40968,0.9994185107
139,15392.69679,0.9994480035
140,13221.40512,0.9994751202
141,12100.65846,0.9994988497
142,10746.13351,0.9995205029
143,9464.932257,0.9995396597
144,8745.197988,0.9995575958
145,7680.875841,0.9995737636
146,7567.57249,0.9995892163
147,7112.355047,0.9996038035
148,6780.982892,0.999618321
149,6812.467867,0.9996327834
150,6722.173088,0.9996471145
151,7077.160027,0.9996617569
152,6965.9777,0.9996770464
153,7274.698933,0.9996925555
154,7655.510034,0.9997097717
155,7885.562831,0.9997267959
156,7569.419474,0.99974341
157,7178.969984,0.9997598774
158,7248.022325,0.9997755252
159,6123.463418,0.999789296
160,5536.286525,0.9998017962
161,4928.868768,0.9998135013
162,4740.567378,0.999824418
163,4336.964402,0.9998341322
164,3393.69989,0.9998420695
165,2706.408584,0.9998483506
166,2350.312464,0.999854059
167,2063.956885,0.9998588305
