freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.561748497e+11,0.9322576529
1,172629903.7,0.9350800014
2,516629567.5,0.9519728877
3,133569941,0.9574322681
4,91805684.81,0.9619350969
5,54785660.31,0.9664135859
6,30661194.11,0.968669363
7,23511749.92,0.9709757427
8,19070010.38,0.973158189
9,16337679.4,0.9750279368
10,13036888.46,0.9768396418
11,10762561.83,0.9782473098
12,9758829.989,0.9798427935
13,7911379.413,0.9813302513
14,7619302.403,0.9827005098
15,5106683.233,0.9837023876
16,3956567.203,0.9844786247
17,2684044.28,0.9851149106
18,3527522.982,0.9859799895
19,2558493.141,0.9866074265
20,1901893.59,0.9870893882
21,2195881.26,0.9877356016
22,1552792.985,0.9881671774
23,1500131.597,0.9885963797
24,1452043.545,0.989047433
25,1265000.505,0.9894817477
26,987422.9498,0.9898369048
27,1005355.902,0.990173857
28,1208789.659,0.9905888728
29,854955.7705,0.9909243396
30,997470.3827,0.9913075722
31,689330.6035,0.9916005911
32,746150.8644,0.991905564
33,679259.3046,0.9921943017
34,662676.3049,0.9925030758
35,675546.2084,0.9927902352
36,550915.6153,0.9930514379
37,557125.5979,0.9933110307
38,437070.9608,0.993539694
39,445720.1236,0.9937655952
40,397877.2022,0.9939574911
41,403764.3945,0.9941819318
42,348120.003,0.9943697499
43,300948.5762,0.9945468788
44,280142.0623,0.9947048915
45,305813.672,0.9948748843
46,323824.6024,0.9950707715
47,261118.5194,0.9952265922
48,273924.0382,0.9954012506
49,253374.7272,0.9955586639
50,235886.4232,0.9957206385
51,211981.8173,0.9958610001
52,184735.3388,0.9959787903
53,161101.5264,0.9960920467
54,178521.587,0.9962102529
55,188384.1694,0.996355009
56,169745.3342,0.9964743421
57,163340.9473,0.9965945138
58,156212.7014,0.9967107181
59,149952.6463,0.9968234915
60,132758.0905,0.996929845
61,126067.0118,0.9970298076
62,116902.3398,0.9971234589
63,106477.9122,0.9972105
64,113746.5913,0.9973006934
65,102135.9387,0.9973908644
66,103920.4821,0.9974758149
67,100326.4035,0.9975627481
68,84244.78521,0.9976405672
69,96389.40489,0.9977225131
70,91125.43166,0.9978059431
71,74930.16932,0.9978714829
72,79259.83634,0.9979492326
73,68827.39668,0.9980144982
74,76958.24782,0.9980874738
75,77792.07685,0.9981631478
76,76034.0456,0.9982377332
77,74248.50695,0.9983129949
78,65056.21429,0.9983762799
79,53354.3901,0.9984303623
80,52211.82278,0.9984858475
81,53992.77852,0.9985410184
82,48544.57323,0.9985941937
83,45923.68112,0.9986414949
84,41578.57758,0.9986870397
85,44334.67529,0.9987366908
86,38124.91807,0.9987790758
87,35730.59849,0.9988193832
88,30540.40096,0.9988520879
89,34243.47975,0.9988940767
90,33030.40761,0.998931338
91,31726.3225,0.9989686842
92,29122.26453,0.9990032032
93,30462.1698,0.9990395594
94,25578.40951,0.9990713414
95,25787.22397,0.9991019073
96,26860.69283,0.9991348435
97,19957.82635,0.9991606206
98,21494.19511,0.9991873279
99,20731.00959,0.9992146121
100,19137.58247,0.9992383912
101,19359.54466,0.9992646617
102,17786.96185,0.9992880712
103,19179.48723,0.9993125295
104,20510.14929,0.9993406966
105,17568.05478,0.999363818
106,15094.42957,0.9993852879
107,14698.23067,0.9994054734
108,15374.75081,0.9994263366
109,15177.15143,0.999447552
110,14706.41865,0.9994682296
111,14986.56419,0.9994902811
112,13515.49187,0.9995096157
113,12666.25376,0.999528046
114,11561.6761,0.9995456252
115,11873.72517,0.9995630964
116,9600.422605,0.9995771442
117,8831.702207,0.9995904282
118,8484.384993,0.9996034671
119,7096.903721,0.9996144318
120,7351.461705,0.9996257296
121,7001.823983,0.9996362612
122,7491.484452,0.9996480805
123,6177.285759,0.9996584828
124,6228.981861,0.9996680556
125,6610.530028,0.9996789713
126,6062.45499,0.9996883378
127,4751.825534,0.999696262
128,5564.903851,0.999705633
