freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.495936053e+11,0.8467702997
1,1070470466,0.8675130726
2,440707931.8,0.8845924875
3,243364147.3,0.8963818068
4,226874178.3,0.9095703992
5,145565272.6,0.923673672
6,134297380.5,0.9353840841
7,80843184.58,0.9447831953
8,37642637.8,0.9498890707
9,22620326.18,0.9529573086
10,14445732.27,0.9553366163
11,17626714.27,0.9580690742
12,9301891.333,0.9598715248
13,9063774.126,0.9618912814
14,7034322.448,0.9633906454
15,8385286.472,0.9653404509
16,5577129.404,0.966637284
17,8062313.299,0.9689025531
18,6733254.575,0.9708596323
19,5875188.324,0.9725673072
20,3532165.251,0.9736281837
21,2609842.206,0.9745384718
22,2417740.604,0.9753349076
23,2783374.148,0.9762787549
24,2210340.648,0.977092531
25,1933919.272,0.9778794858
26,2190537.608,0.9788133108
27,1776953.23,0.9795191764
28,1671973.76,0.9801995397
29,1823580.91,0.9810476032
30,2043407.959,0.9819781004
31,1537428.403,0.9827526699
32,1240232.865,0.9833534774
33,1004683.204,0.9838596453
34,899213.6211,0.9843562375
35,980400.8184,0.9848501717
36,886046.1139,0.9853480767
37,813508.3446,0.985797338
38,827325.9731,0.9863103396
39,717676.2493,0.986741444
40,818964.1015,0.9872095875
41,718724.7537,0.9876831024
42,628152.6598,0.9880847741
43,517260.6343,0.9884456053
44,536858.9045,0.9888045035
45,439365.7054,0.9890939693
46,514001.354,0.9894624868
47,471606.9622,0.9897960401
48,461299.9837,0.9901446503
49,449547.7546,0.9904756683
50,426093.1461,0.9908224418
51,384268.0426,0.9911240072
52,346262.4221,0.9913856821
53,309430.1076,0.991643506
54,324861.8449,0.9918984506
55,305003.3963,0.9921762265
56,302160.8493,0.9924279935
57,306690.2643,0.9926954201
58,302155.5005,0.99296182
59,305789.684,0.9932343867
60,282253.3176,0.9935023821
61,218840.3851,0.9937080475
62,195644.714,0.9938938093
63,209267.5603,0.9940965608
64,223299.3978,0.9943064168
65,199733.4679,0.9945154122
66,202479.6701,0.9947115871
67,183592.1324,0.9949001352
68,184054.7165,0.995101641
69,166943.9764,0.9952698565
70,178116.1822,0.995463135
71,148368.4175,0.995616946
72,146198.2723,0.9957869212
73,128076.9945,0.9959308645
74,131817.8871,0.996079012
75,122228.036,0.9962199344
76,109732.3886,0.9963475131
77,124379.2132,0.996496941
78,123676.0963,0.9966395329
79,104582.9344,0.9967651777
80,92289.51326,0.9968814183
81,109254.8164,0.9970137344
82,104033.1184,0.9971487981
83,83977.75244,0.9972513153
84,94881.94506,0.9973744983
85,78431.15654,0.9974786032
86,88488.51649,0.9975952003
87,75448.36395,0.9976960771
88,60457.64046,0.9977728105
89,70358.71394,0.9978750624
90,66937.92205,0.9979645604
91,70218.93899,0.9980625272
92,67117.38657,0.9981568171
93,58233.33139,0.9982391904
94,59387.00892,0.998326648
95,60379.5561,0.9984114722
96,50879.11397,0.9984854145
97,46865.70471,0.9985571566
98,43243.38545,0.9986208399
99,40147.1838,0.9986834643
100,34209.46105,0.9987338435
101,33827.01419,0.9987882479
102,36077.07329,0.9988445234
103,34474.33512,0.9988966288
104,36437.00075,0.9989559369
105,37648.31736,0.9990146633
106,30176.22892,0.999065535
107,26609.88285,0.9991088476
108,28168.12491,0.9991541508
109,27663.14701,0.9991999818
110,27195.28962,0.9992453012
111,26113.0479,0.9992908411
112,25877.23607,0.9993347162
113,23237.67392,0.9993747914
114,22511.09611,0.9994153582
115,20245.56275,0.9994506655
116,18466.91734,0.9994826921
117,17006.72273,0.9995130101
118,13958.11386,0.9995384342
119,12974.72824,0.9995621929
120,10946.84111,0.9995821321
121,10363.07914,0.9996006065
122,9752.631475,0.999618843
123,8359.460161,0.9996355272
124,8943.621929,0.9996518177
125,8644.306837,0.9996687355
126,7694.2031,0.9996828247
127,7561.706544,0.9996977703
128,6978.998902,0.9997116994
129,6627.919276,0.9997243498
130,6517.392393,0.9997376102
131,6528.887191,0.9997503879
132,6324.987852,0.9997636245
133,6283.804283,0.9997764704
134,6822.133096,0.9997896898
135,5705.814735,0.9998018518
136,5028.500083,0.999812229
137,4275.216481,0.9998212587
138,4036.487809,0.9998297061
139,3534.568704,0.9998370003
140,3207.896636,0.9998440866
141,3146.871814,0.9998507331
142,2913.414404,0.999857056
143,2390.791347,0.9998622678
144,2338.417261,0.9998674333
145,2350.014351,0.9998727611
146,2008.32848,0.9998771781
147,1846.992246,0.9998812581
148,1811.368429,0.9998854349
149,1706.525816,0.9998893369
150,1852.289049,0.9998935902
151,1561.242291,0.9998970692
152,1415.073768,0.9999004145
153,1500.987598,0.999903861
154,1677.768629,0.9999079249
155,1459.624771,0.9999113189
156,1670.082565,0.999915267
157,1576.330686,0.9999191615
158,1521.386945,0.9999226991
159,1197.31633,0.9999255992
160,1202.631923,0.9999285238
161,1055.700859,0.9999312241
162,989.3033059,0.9999336778
163,812.096131,0.999935637
164,775.1833584,0.9999375897
165,695.0922284,0.9999393272
166,770.0897669,0.9999413417
167,762.7957261,0.9999432411
168,633.0529624,0.9999448112
169,482.9466814,0.9999460933
170,543.4037061,0.9999475095
171,483.642564,0.9999487747
172,416.6272108,0.9999498484
173,467.7686835,0.9999511083
174,506.9628174,0.9999524689
175,551.5570477,0.9999539117
176,473.187177,0.9999551862
177,532.3114789,0.9999565839
178,469.12375,0.9999578929
179,450.9371316,0.9999591337
180,468.9924701,0.9999603923
181,409.0634615,0.9999615258
182,353.6614806,0.9999625263
183,293.1512376,0.9999633614
184,263.967872,0.9999640749
185,231.2111478,0.999964729
186,260.2522557,0.9999654855
187,289.5693662,0.9999663075
188,248.2030287,0.9999670193
189,201.9960744,0.9999675908
190,163.6978642,0.9999680634
191,125.319808,0.9999684361
192,142.5928769,0.9999688423
193,133.6121896,0.9999692462
194,127.7027565,0.9999696161
195,121.0010584,0.9999699819
196,106.7827058,0.9999703047
197,93.70332849,0.9999705825
198,77.93954905,0.9999708204
199,97.19508377,0.9999711104
200,103.927659,0.9999714367
201,104.1034657,0.9999717483
202,76.33039813,0.9999719776
203,63.55916194,0.999972182
204,60.0056452,0.9999723663
205,66.97811848,0.9999725805
206,71.72401014,0.9999728001
207,53.56624108,0.9999729692
208,50.99060326,0.9999731328
209,49.42238594,0.9999732889
210,48.23490892,0.9999734421
211,51.95977699,0.9999736118
212,58.55725155,0.9999738013
213,59.26965812,0.9999739942
214,54.1705407,0.9999741706
215,47.3948176,0.9999743226
216,47.22013357,0.9999744809
217,47.64448358,0.9999746397
218,48.05578527,0.9999747975
219,45.02660866,0.9999749484
220,45.90311104,0.9999751023
221,43.31544855,0.9999752488
222,42.29046666,0.9999753946
223,47.41798287,0.9999755527
224,46.32587742,0.9999757134
225,44.60057568,0.9999758642
226,41.78275997,0.9999760083
227,39.56439079,0.999976144
228,44.03711409,0.9999762989
229,38.97637292,0.9999764401
230,42.69120961,0.9999765849
231,37.05996975,0.9999767141
232,38.14099932,0.9999768483
233,36.05888534,0.9999769768
234,32.50726026,0.9999770959
235,34.15680476,0.9999772154
236,30.2709458,0.9999773239
237,35.56555669,0.9999774548
238,33.18968151,0.9999775715
239,35.49939282,0.9999777036
240,35.69989646,0.9999778302
241,32.38409175,0.9999779532
242,34.37185556,0.9999780821
243,34.33836997,0.9999782078
244,32.29318435,0.9999783292
245,31.13712709,0.9999784418
246,28.88631228,0.9999785548
247,30.3739306,0.9999786684
248,31.07071297,0.9999787834
249,30.89592042,0.9999789004
250,30.27084303,0.9999790142
251,28.37178839,0.9999791242
252,29.07595152,0.9999792355
253,29.55609628,0.9999793494
254,30.6855106,0.9999794695
255,29.52181629,0.9999795857
256,28.73458341,0.9999796968
257,28.89976118,0.9999798082
258,27.00936254,0.9999799165
259,27.89708403,0.999980026
260,28.67929226,0.9999801399
261,27.91050697,0.9999802508
262,28.71718866,0.9999803651
263,28.440676,0.9999804792
264,26.01282035,0.9999805826
265,25.57622077,0.9999806881
266,28.03497532,0.9999808014
267,26.07171611,0.9999809065
268,24.96188867,0.99998101
269,27.24348817,0.9999811206
270,26.00267247,0.9999812269
271,21.74874455,0.9999813179
272,25.93810035,0.9999814265
273,25.192049,0.9999815307
274,26.63473697,0.9999816396
275,27.31597675,0.9999817566
276,25.07465359,0.9999818613
277,23.1704923,0.9999819601
278,25.99514049,0.9999820694
279,28.03793083,0.9999821881
280,22.42232051,0.999982285
281,22.77607582,0.9999823812
282,25.74582221,0.9999824919
283,25.45946178,0.9999826012
284,22.70871303,0.9999827011
285,19.17568671,0.9999827847
286,18.73421258,0.9999828647
287,19.47077312,0.9999829504
288,18.76932887,0.9999830326
289,19.72958057,0.9999831201
290,17.38754671,0.9999831985
291,18.64428683,0.9999832776
292,18.74747223,0.999983364
293,16.60962107,0.9999834379
294,17.61729557,0.9999835168
295,20.04504121,0.9999836061
296,16.27164091,0.9999836805
297,16.66532456,0.9999837569
298,17.20699582,0.9999838332
299,16.47742487,0.9999839079
