freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.265832671e+11,0.8433676897
1,1029924625,0.8646450848
2,511105556.6,0.8857631251
3,468314849.6,0.9099506235
4,168585423.6,0.9203991318
5,118573840.5,0.9326473216
6,50952865.45,0.9373842208
7,28336507.53,0.9408966744
8,31523347.35,0.9454553992
9,22141084.09,0.9486573153
10,17613593.16,0.9517503151
11,18160790.02,0.9547518109
12,11332769.17,0.9570930678
13,10154735.38,0.9595056352
14,10004132.05,0.9617790837
15,7178564.226,0.9635587225
16,7562692.863,0.9654335906
17,6423776.297,0.9673578846
18,4463400.766,0.9687410374
19,3936268.317,0.9699608384
20,4833388.901,0.9715085728
21,2960093.317,0.9726093285
22,1914369.948,0.9732816667
23,2756284.645,0.9742781617
24,2463908.22,0.9752453057
25,2580366.678,0.976364779
26,2250843.87,0.9773877918
27,2063960.174,0.9782619061
28,1757351.122,0.97902432
29,1807219.76,0.9799203762
30,2242585.973,0.9810091307
31,1684784.451,0.9819140935
32,1342259.459,0.9826073429
33,1125679.882,0.983211989
34,983892.7561,0.9837912918
35,1134822.131,0.9844008486
36,1043452.726,0.985025998
37,942152.5253,0.9855807247
38,803866.7412,0.9861121559
39,664830.8856,0.9865379365
40,760425.9576,0.9870013749
41,605227.6265,0.987426494
42,745917.7099,0.9879350255
43,648644.8932,0.9884174425
44,662571.2173,0.9888896845
45,508796.0645,0.989247069
46,550024.985,0.9896675023
47,560002.5719,0.9900897779
48,395243.6186,0.9904082288
49,441439.4781,0.9907547803
50,411254.5405,0.9911116198
51,396463.0991,0.9914433392
52,442033.0389,0.9917994887
53,360528.7776,0.9921197625
54,264758.6769,0.9923412852
55,299298.7104,0.9926318987
56,359838.3423,0.9929515591
57,288203.7695,0.9932194915
58,298733.2166,0.9935002985
59,260468.232,0.9937478272
60,276288.2261,0.9940275137
61,204520.606,0.9942324372
62,222648.7628,0.9944578245
63,221159.675,0.9946862733
64,214666.9167,0.9949013632
65,200472.1664,0.995125009
66,183341.4707,0.9953143932
67,166634.6262,0.9954968475
68,151396.7082,0.9956735644
69,155118.7084,0.9958402048
70,139743.3645,0.9960018759
71,129406.0786,0.996144904
72,135859.4677,0.9963133087
73,112773.1412,0.9964484371
74,118498.3248,0.9965904256
75,104101.5964,0.9967183895
76,104669.6051,0.9968481328
77,92802.38197,0.9969670005
78,96246.38999,0.9970853086
