freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.844331648e+11,0.8515454202
1,712647485.4,0.8686138012
2,621679595.5,0.8983930803
3,220826933.3,0.9116154599
4,154708330.3,0.9227315619
5,71331778.45,0.9312737795
6,45685174.68,0.9361976358
7,23523290.78,0.9395780265
8,19026531.4,0.942767913
9,16312877.54,0.9455028429
10,12426180.64,0.9480325728
11,11355095.44,0.9502082695
12,8365345.591,0.9522118253
13,9817139.32,0.954915786
14,7070350.078,0.9567785214
15,7028811.562,0.9587986579
16,6648614.839,0.9607095229
17,4463129.385,0.9622594991
18,4579469.911,0.9639047194
19,3749569.123,0.9652517894
20,4120745.267,0.9667815556
21,3254687.337,0.9681846902
22,2537090.461,0.9692176953
23,2951265.659,0.9704546788
24,1953278.247,0.9713435428
25,1936313.886,0.9723174389
26,2479804.167,0.9736240839
27,2057373.384,0.9746342309
28,1892204.071,0.9755859413
29,1780327.622,0.976609302
30,1819283.623,0.9776332688
31,1232352.101,0.9784006757
32,1172823.21,0.9791029231
33,1412574.813,0.9799825578
34,1306366.276,0.9808742756
35,1102078.483,0.9815605589
36,1001374.321,0.9822560827
37,697291.3923,0.9827320496
38,878148.489,0.9834050813
39,851791.4449,0.9840375114
40,937902.7825,0.9847001815
41,798325.799,0.9853502763
42,628996.5896,0.9858474175
43,655108.4138,0.9864122677
44,560537.4013,0.9868754386
45,631546.7748,0.9873897214
46,501825.3231,0.9878344262
47,518512.8986,0.9882877098
48,532868.2538,0.9887854492
49,489293.8105,0.9892307679
50,455110.2132,0.989688576
51,419789.5574,0.9900957726
52,452199.8332,0.9905181616
53,385808.6769,0.9909154977
54,357510.545,0.9912622836
55,326855.8146,0.9916302191
56,305585.8026,0.9919449354
57,290706.5435,0.992258253
58,316346.9422,0.9926029938
59,266105.6212,0.9928961705
60,258572.8201,0.993199627
61,227953.7981,0.9934644198
62,252919.3479,0.9937612415
63,213080.698,0.9940164128
64,210729.0458,0.9942611971
65,198831.6905,0.9945183533
66,184517.2985,0.9947393189
67,163413.8569,0.994946754
68,178279.1377,0.9951880036
69,162673.0913,0.9953906023
70,169964.5145,0.995618565
71,140531.2557,0.9957986362
72,144745.5613,0.9960066414
73,121624.1407,0.9961755942
74,106322.13,0.9963232903
75,119359.0791,0.9964933847
76,112195.0792,0.9966546135
77,109283.8014,0.9968168936
78,115655.432,0.99698171
79,95058.86052,0.9971228668
80,91453.406,0.9972652409
81,87704.89467,0.9973965278
82,79047.02773,0.9975233741
83,86572.82323,0.9976540031
84,76814.61754,0.9977772671
85,73576.10644,0.9978979776
86,68177.51383,0.9980090146
87,51736.23927,0.9980945137
88,54660.30226,0.9981802631
89,54929.59668,0.9982789331
90,51079.99116,0.9983633477
91,41413.65643,0.9984347633
92,46310.92829,0.9985151787
93,38026.50746,0.9985816642
94,37563.27,0.9986500388
95,35582.41542,0.9987118249
96,34553.8142,0.9987738939
97,33875.30221,0.9988379895
98,28682.80008,0.9988901993
99,29046.17407,0.9989462012
100,26331.32745,0.9989941308
101,23861.57349,0.9990415653
102,23564.12113,0.9990869976
103,24480.6466,0.9991327312
104,20526.96368,0.9991740285
105,20560.92721,0.9992136706
106,19295.88536,0.9992538775
107,20609.21731,0.9992953403
108,17837.09705,0.9993307988
109,15924.19064,0.999363408
110,16806.73018,0.9993980258
111,16903.67317,0.9994344627
112,12675.69079,0.9994610269
113,13437.17458,0.9994896697
114,10811.55303,0.9995137515
115,11266.12009,0.9995380363
116,9482.084917,0.999558362
117,9290.085802,0.9995788323
118,7987.784171,0.9995968157
119,7974.690579,0.9996148651
120,6628.592421,0.9996297885
121,6771.497338,0.9996447092
122,6782.125448,0.9996603843
123,6145.380379,0.9996755445
124,6426.9835,0.999690014
125,5939.062219,0.9997043807
126,5922.592096,0.9997177855
127,4892.116184,0.9997297368
128,5182.46448,0.9997425215
129,4127.213644,0.9997522582
130,3675.507881,0.9997615014
131,4334.879493,0.9997719875
132,3420.845878,0.9997808361
133,3532.401734,0.9997897618
134,3154.992628,0.9997973182
135,2839.291983,0.9998047985
136,2960.762879,0.9998123507
137,2333.046493,0.9998184414
138,2438.140796,0.9998247481
139,2258.921359,0.99983051
140,1942.922238,0.9998358149
141,1848.347065,0.9998406402
142,1667.98842,0.9998451146
143,1457.571929,0.9998490419
144,1472.627368,0.9998530628
145,1558.952609,0.9998574313
146,1468.816426,0.9998614241
147,1358.052768,0.9998651321
148,1145.999246,0.9998683984
149,1099.270185,0.9998715051
150,1034.248823,0.9998744405
151,1042.94523,0.9998773131
152,1014.361383,0.999880277
153,929.5563047,0.9998829152
154,996.6778937,0.9998858991
155,759.7807038,0.9998880828
156,884.8850327,0.9998906684
157,680.3934016,0.9998927461
158,700.1268904,0.9998947584
159,746.2931974,0.9998969926
160,689.801787,0.9998990661
161,733.2108819,0.9999013841
162,592.992671,0.999903202
163,505.9033164,0.9999047106
164,666.3111416,0.9999067852
165,497.5108408,0.9999083223
166,549.2871008,0.9999100983
167,449.2607757,0.999911481
168,490.7479427,0.9999129855
169,497.3233113,0.9999146173
170,502.3040371,0.9999162354
171,452.7065212,0.9999176992
172,358.4427727,0.999918841
173,370.697287,0.9999200751
174,345.3608532,0.9999212207
175,368.3133973,0.9999224116
176,365.3021544,0.9999236277
177,350.7877532,0.9999247661
178,296.4645487,0.9999257886
179,309.1568814,0.9999268401
180,321.4410371,0.9999279063
181,301.5029549,0.999928939
182,280.4903033,0.9999299198
183,244.8605195,0.9999307819
184,265.9398558,0.9999316704
185,260.6058654,0.9999325817
186,211.3207867,0.9999333409
187,206.8315118,0.9999340666
188,205.1779025,0.9999347939
189,192.7686839,0.999935468
190,188.0104384,0.9999361389
191,167.3366042,0.9999367541
192,178.9887107,0.9999373843
193,167.0834801,0.9999380086
194,159.9926435,0.9999385814
195,148.1440235,0.999939135
196,125.6534899,0.9999396044
197,146.628958,0.9999401417
198,125.0123378,0.9999406133
199,129.5564867,0.9999410912
200,115.2548246,0.9999415384
201,113.7148387,0.9999419592
202,121.1714848,0.999942409
203,103.0498419,0.9999428187
204,112.4504873,0.9999432456
205,96.88034407,0.9999436284
206,97.3067827,0.9999439967
207,96.47879985,0.9999443733
208,97.75671764,0.9999447608
209,86.11715394,0.999945097
210,96.58355644,0.9999454764
211,86.98329396,0.9999458274
212,86.2999669,0.9999461726
213,95.39495403,0.9999465564
214,87.53198401,0.9999469086
215,95.59485249,0.9999472876
216,80.74680683,0.9999476221
217,87.00648444,0.9999479806
218,81.66242711,0.9999483121
219,88.85710956,0.9999486803
220,87.73035955,0.9999490438
221,88.77401911,0.9999494148
222,83.35986796,0.9999497702
223,85.75774249,0.9999501234
224,78.30164843,0.9999504591
225,82.49176922,0.9999508039
226,74.18934833,0.9999511202
227,82.25239395,0.9999514689
228,79.8745239,0.9999518161
229,79.66852827,0.9999521729
230,80.30701144,0.9999525095
231,73.30614593,0.9999528255
232,81.38085357,0.9999531793
233,75.15438218,0.9999535105
234,69.4891441,0.9999538251
235,74.13948724,0.9999541456
236,71.11658816,0.9999544607
237,69.01112449,0.9999547747
238,67.03138089,0.9999550661
239,63.89219744,0.9999553599
240,69.7819373,0.9999556658
241,60.8607076,0.9999559515
242,65.84890804,0.9999562566
243,62.59068461,0.99995654
244,63.91487702,0.999956837
245,64.23007853,0.9999571239
246,57.70816039,0.999957403
247,61.50280671,0.9999576873
248,60.0024211,0.9999579618
249,59.06387888,0.9999582384
250,60.84459718,0.9999585211
251,54.54263454,0.9999587824
252,59.92394325,0.9999590658
253,54.2762132,0.9999593245
254,56.16255259,0.9999595962
255,54.58001796,0.9999598616
256,54.23967527,0.9999601208
257,59.12577859,0.9999604026
258,48.77396239,0.9999606444
259,56.38425847,0.9999609178
260,50.9244824,0.9999611679
261,53.15406873,0.9999614289
262,52.21378915,0.9999616858
263,49.68415293,0.9999619322
264,56.62176568,0.9999622102
265,47.41040461,0.999962452
266,52.03915436,0.9999627119
267,50.73653026,0.9999629647
268,47.8371834,0.9999632098
269,53.43035567,0.9999634779
270,46.62859279,0.9999637136
271,48.92338527,0.9999639667
272,48.81378518,0.9999642192
273,46.96606374,0.9999644594
274,48.65599816,0.9999647053
275,46.51246272,0.9999649515
276,47.87595393,0.9999651986
277,50.93587043,0.9999654669
278,44.18621024,0.9999656966
279,50.32712986,0.99996596
280,46.12314327,0.9999662063
281,46.24863736,0.9999664478
282,48.21100506,0.9999667041
283,41.09802507,0.9999669222
284,47.29768634,0.9999671793
285,43.49736362,0.9999674137
286,46.10133084,0.9999676572
287,44.27422315,0.9999678979
288,37.81369743,0.9999681026
289,47.84403542,0.999968365
290,43.7956088,0.9999686089
291,41.42351855,0.9999688261
292,38.70787646,0.9999690468
293,38.75820144,0.9999692598
294,44.79854388,0.9999695077
295,40.61549144,0.9999697314
296,39.52149412,0.9999699548
297,37.06530301,0.9999701647
298,42.99635236,0.9999704006
299,41.66003284,0.999970634
300,38.0964486,0.9999708489
301,37.19916338,0.9999710592
302,38.06902832,0.9999712817
303,42.29952886,0.9999715182
304,38.96197695,0.9999717394
305,39.00216194,0.9999719682
306,37.52358706,0.9999721812
307,38.79988073,0.9999724066
308,39.49637841,0.9999726308
309,35.04634102,0.9999728431
310,38.24177642,0.9999730634
311,34.35747046,0.999973265
312,38.42467254,0.9999734877
313,36.00538209,0.9999736999
314,34.98102296,0.9999739123
315,37.72945691,0.9999741355
316,35.38359591,0.9999743439
317,37.16477645,0.999974566
318,34.19812925,0.9999747724
319,36.73884549,0.9999749915
320,34.42061074,0.9999751964
321,33.30467711,0.9999753974
322,34.75622118,0.9999756113
323,31.35407104,0.9999758028
324,34.26020814,0.9999760076
325,32.39059189,0.9999762077
326,32.06142015,0.9999764058
327,31.60996134,0.9999766031
328,31.62791788,0.9999768
329,32.58084246,0.9999769982
330,30.77003896,0.9999771906
331,32.27375052,0.9999773888
332,30.50691088,0.9999775773
333,30.0394111,0.9999777716
334,31.42333753,0.9999779669
335,29.02211949,0.9999781511
336,30.77943727,0.9999783435
337,31.42144791,0.9999785384
338,29.75683326,0.9999787348
339,29.38580948,0.9999789213
340,28.55960306,0.9999791073
341,30.22211945,0.9999792995
342,28.58558615,0.9999794803
343,28.57077389,0.9999796705
344,29.27167029,0.9999798552
345,27.92982453,0.9999800405
346,29.28456215,0.9999802292
347,28.09264544,0.9999804135
348,28.20940241,0.9999805977
