freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.345618251e+11,0.898186657
1,1381946720,0.9210371888
2,327878839.2,0.9318801624
3,341649665.7,0.9460031319
4,129363408.5,0.9524202158
5,75395417.47,0.9586535437
6,65181825.58,0.9635035695
7,42866420.82,0.967756355
8,31125395.2,0.9713589707
9,18879171.85,0.9735441445
10,15196505.9,0.9756799794
11,15903701.84,0.9777837251
12,9548264.476,0.9793625336
13,7266562.498,0.9807442912
14,6942596.731,0.9820070477
15,3836245.63,0.982768237
16,3455185.177,0.9834538162
17,3291475.028,0.9842429735
18,3736971.121,0.9851698375
19,3414008.607,0.9860165985
20,2684606.522,0.9867046443
21,2838219.331,0.9875493852
22,1736468.793,0.9880374988
23,1506079.232,0.9884733024
24,1360730.13,0.988900797
25,1527173.131,0.989431086
26,1356827.649,0.9899246601
27,1759944.778,0.9905212253
28,1657978.506,0.9910969345
29,1524234.212,0.9917018128
30,1284119.856,0.9922007874
31,1126345.532,0.9926850155
32,1011903.795,0.993103312
33,641274.8053,0.993379003
34,614190.6034,0.9936684393
35,405952.7421,0.9938429628
36,431674.6912,0.9940499577
37,462735.9265,0.9942680212
38,402418.3009,0.9944809492
39,417906.6862,0.9946951623
40,415864.9159,0.9948980143
41,389160.9389,0.9951167971
42,462464.3726,0.9953691436
43,378360.3019,0.9955943667
44,330565.0613,0.9957829404
45,277319.097,0.9959388467
46,228709.9966,0.9960787706
47,242692.1368,0.9962252423
48,215657.1077,0.9963643123
49,194225.2441,0.99648635
50,145595.9169,0.9965874622
51,153230.8243,0.9966900761
52,187269.753,0.99681084
53,151255.1215,0.9969183834
54,153479.7758,0.997021164
55,126017.6129,0.9971190981
56,121915.1379,0.9972057806
57,141210.0624,0.9973108517
58,113144.9016,0.9973959755
59,102543.15,0.997473971
60,98711.30875,0.9975539486
61,104607.1206,0.9976378381
62,95805.45762,0.9977154613
63,81809.48472,0.9977830974
64,84256.30023,0.9978506667
65,74481.32973,0.9979171704
66,99377.53944,0.997999331
67,112883.9692,0.9980982576
68,138188.7009,0.9982273575
69,101498.4999,0.9983146281
70,83976.24841,0.9983923869
71,68882.46067,0.998453322
72,58742.43031,0.9985116005
73,65285.58621,0.9985742114
74,67129.48245,0.9986385907
75,58438.8638,0.9986960849
76,64598.0038,0.9987601727
77,58882.91422,0.9988205378
78,49888.5715,0.9988696199
79,48632.20341,0.9989194763
80,35364.593,0.9989574853
81,37321.90324,0.9989960552
82,28174.60647,0.9990272684
83,25696.83593,0.999054037
84,24636.88083,0.9990813309
85,23352.68339,0.9991077813
86,24320.00518,0.9991351263
87,23407.41522,0.9991618322
88,25924.53955,0.9991899096
89,21989.63165,0.9992171796
90,21833.66359,0.99924209
91,21307.9563,0.9992674575
92,20616.71835,0.9992921727
93,18516.10019,0.9993145227
94,16372.23505,0.999335097
95,21859.6916,0.9993613022
96,19702.51745,0.9993857358
97,18442.68611,0.9994098269
98,16343.95857,0.9994303657
99,16163.82627,0.9994518809
100,12944.12036,0.9994681473
101,13849.66271,0.9994871547
102,12584.70361,0.9995039058
103,9774.742328,0.9995165126
104,9920.528068,0.9995302917
105,12070.34906,0.9995463581
106,10206.066,0.9995610401
107,7757.761663,0.9995718151
108,9335.658544,0.9995846275
109,8814.456289,0.9995970889
110,9022.9462,0.9996099196
111,7874.701398,0.9996216384
112,6500.228495,0.999631043
113,5900.962456,0.999639727
114,5170.905664,0.9996476786
115,4641.16716,0.9996545853
116,3598.727733,0.999659911
117,3833.917705,0.9996657433
118,3710.077617,0.9996715098
119,3070.292327,0.9996763073
120,3204.587936,0.9996812882
121,3705.308466,0.9996869248
122,3197.031969,0.9996920261
123,3169.019955,0.9996974233
124,3940.466915,0.9997035479
125,3522.420509,0.9997094305
126,3385.586331,0.9997147207
127,3182.206064,0.9997200877
128,3626.101177,0.9997262633
129,3421.350902,0.9997318357
130,3309.178582,0.999737581
131,3030.047551,0.9997426413
132,2686.445612,0.9997474387
133,2360.115509,0.9997515558
134,2071.856529,0.9997549816
135,1867.519792,0.9997583784
136,1894.740726,0.999761715
137,1460.822937,0.9997643479
138,1428.755915,0.9997668993
139,1291.099533,0.9997691729
140,1225.513817,0.999771483
141,1500.849194,0.999774188
142,1307.365285,0.9997766091
143,1361.037817,0.9997791409
144,1316.412502,0.9997816224
145,1381.89314,0.9997842958
146,1276.176183,0.9997866908
147,1326.85434,0.9997891919
148,1135.154122,0.9997914255
149,1107.448343,0.9997935863
150,1013.068722,0.9997955713
151,1065.196261,0.9997975968
152,824.354813,0.9997992598
153,797.2002957,0.9998008218
154,771.7640822,0.9998024169
155,797.1966574,0.9998039987
156,886.1056767,0.9998057863
157,822.2568025,0.9998075197
158,910.8569945,0.9998093271
159,927.5693468,0.9998112442
160,1024.832525,0.9998133709
161,964.8965526,0.9998154769
162,995.023844,0.9998175829
163,983.0943144,0.9998196067
164,948.5138559,0.9998216456
165,818.7741269,0.999823392
166,720.656246,0.9998250007
167,726.7826318,0.9998265449
168,749.3698766,0.999828131
169,531.9812633,0.9998293361
170,522.2543119,0.9998304975
171,501.0285928,0.9998316159
172,492.6287615,0.9998326993
173,428.3439695,0.9998336838
174,413.8005628,0.9998346315
175,404.5185057,0.9998355344
176,452.7816968,0.9998365751
177,452.3925228,0.9998375887
178,476.4320978,0.9998387231
179,494.9145543,0.9998398851
180,497.7821762,0.9998410251
181,499.0832514,0.9998422052
182,520.8583376,0.9998434626
183,499.9505803,0.9998446778
184,516.7328341,0.9998458697
185,436.6397999,0.9998469238
186,449.8318514,0.9998480395
187,478.2213888,0.999849198
188,425.556126,0.9998502394
189,385.1524369,0.9998511692
190,425.3119449,0.999852217
191,434.7074872,0.9998533204
192,415.2925695,0.9998543298
193,408.1684038,0.9998553826
194,404.2841488,0.999856382
195,400.1088023,0.9998574141
