freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.35056642e+11,0.9196201131
1,411272340.2,0.9265748731
2,230040270.4,0.9343549969
3,104127511.3,0.9387570791
4,115058266.7,0.9445941064
5,57995096.42,0.9494976938
6,63138538.15,0.9543023209
7,21289838.72,0.9564624329
8,19370647.24,0.9587553841
9,13619600.45,0.9603675697
10,8267019.79,0.9615558546
11,12760137.29,0.9632820819
12,5590490.059,0.9642274534
13,4566271.086,0.9651154518
14,2896059.748,0.9656541591
15,11020112.33,0.9678904068
16,15863759.7,0.9711095479
17,12801447.96,0.9742484642
18,4403092.517,0.9753653319
19,5071134.634,0.976651652
20,4652400.289,0.9778710947
21,3000076.195,0.9787842769
22,2472600.066,0.97949509
23,4182001.199,0.9807326745
24,3939952.956,0.9819985683
25,2220411.673,0.9827870751
26,1600445.86,0.9833824854
27,1892929.114,0.9840386924
28,1643388.512,0.9846222882
29,1310984.493,0.9851543492
30,1208119.131,0.9856344477
31,1334188.01,0.986221049
32,1098638.202,0.9866855079
33,1409817.757,0.9873053613
34,957205.6475,0.9877666818
35,803022.7541,0.9881197461
36,1164898.496,0.9886910126
37,1762758.106,0.9895405651
38,1504703.209,0.990354807
39,636640.1256,0.9906885471
40,685007.518,0.9910302668
41,804301.4707,0.9914927015
42,613096.3352,0.9918348348
43,379843.425,0.9920660731
44,288591.022,0.9922344391
45,431190.1445,0.9924823527
46,366639.9053,0.9927117531
47,353126.3987,0.9929297126
48,375320.0067,0.9931772375
49,339629.6095,0.9933954812
50,374599.7157,0.993661535
51,312330.6367,0.9938754406
52,260302.7516,0.9940471113
53,233669.9345,0.9942170232
54,422831.5191,0.9945066075
55,435535.3415,0.9948527652
56,350767.1214,0.9951078238
57,160223.0734,0.995229748
58,163601.7346,0.9953556267
59,278240.347,0.9955720632
60,212504.2733,0.9957481458
61,172994.3734,0.9958900275
62,166023.7603,0.996027596
63,186368.3158,0.9961851736
64,206860.6808,0.9963548309
65,162270.6403,0.9965030098
66,125631.6131,0.9966092335
67,156061.0392,0.996749103
68,162487.4518,0.9969043492
69,141525.1282,0.9970287976
70,92514.83728,0.9971164073
71,127573.5353,0.9972318236
72,136144.2098,0.9973699584
73,108419.2832,0.997476296
74,78038.01,0.9975528358
75,68696.19221,0.9976219555
76,72599.586,0.9976956166
77,67170.62306,0.9977660411
78,60996.52506,0.9978274137
79,50644.60165,0.9978805116
80,48789.65171,0.9979341399
81,51375.15388,0.9979884381
82,63214.44939,0.9980600597
83,53356.72975,0.9981169034
84,46393.15522,0.9981694666
85,44628.29686,0.9982211621
86,58152.56338,0.998288032
87,57054.41416,0.9983546039
88,46335.49736,0.9984059264
89,40874.52075,0.9984577666
90,41013.83764,0.9985056221
91,36041.72724,0.9985495046
92,35138.61458,0.9985925845
93,42425.31983,0.9986449567
94,38683.51078,0.9986946722
95,41065.98265,0.9987450192
96,26152.48139,0.9987781877
97,25130.91246,0.9988117606
98,35041.4732,0.9988567954
99,35514.1204,0.9989051402
100,32900.54569,0.9989474235
101,24425.25294,0.9989817058
102,22281.01546,0.9990120366
103,26679.40623,0.9990472269
104,27826.82083,0.9990867541
105,25824.37076,0.9991219084
106,21376.12067,0.9991533569
107,21226.85512,0.999183509
108,21131.66491,0.9992131686
109,16554.19992,0.9992371032
110,18324.13382,0.9992637518
111,28343.11543,0.9993068881
112,35053.29616,0.9993587549
113,24853.96382,0.9993961607
114,13504.94412,0.9994173994
115,15549.64391,0.9994410649
116,26048.07666,0.999480488
117,25198.80046,0.9995196911
118,17356.30986,0.9995472803
119,10999.4885,0.9995648577
120,10805.62072,0.9995820341
121,10324.08367,0.9995980958
122,9305.728863,0.9996132813
123,8918.225432,0.9996288148
124,8397.046224,0.9996421625
125,8233.248401,0.9996562245
126,8594.046487,0.999669958
127,6396.888257,0.9996809917
128,6618.992996,0.9996925204
129,10765.72113,0.9997104526
130,10018.31347,0.999728241
131,8038.914566,0.999741971
132,5388.363206,0.9997518118
133,5189.38322,0.9997610699
134,7062.794904,0.9997730134
135,6823.964404,0.9997857069
136,4499.564059,0.9997938104
137,3747.481612,0.9998007178
138,3523.775774,0.9998071534
139,3448.011768,0.9998133631
140,4078.944333,0.9998212264
141,3552.562437,0.9998277746
142,2926.465934,0.9998333172
143,3848.506471,0.9998406386
144,3704.124093,0.9998477794
145,2395.659861,0.9998525192
146,1903.373325,0.9998561724
147,2281.661093,0.9998605709
148,3062.579506,0.9998667339
149,2972.372624,0.999872665
150,1891.29694,0.9998764549
151,1990.012101,0.9998803249
152,2214.726683,0.999884894
153,1843.624474,0.9998885884
154,1568.573849,0.9998919041
155,1346.104412,0.9998946356
156,1372.030043,0.9998974662
157,2077.21282,0.9999019448
158,1962.458279,0.9999059271
159,1175.449932,0.9999084118
160,1103.207562,0.9999107531
161,1605.657074,0.9999143372
162,1821.983571,0.9999182809
163,1591.490231,0.9999216315
164,831.5241812,0.9999234595
165,833.8365574,0.9999252785
166,945.9191049,0.9999274379
167,691.8262245,0.9999289412
168,561.5723629,0.9999301568
169,555.4519283,0.9999314436
170,581.4946724,0.9999327662
171,605.0265182,0.9999341474
172,526.510489,0.9999353315
173,422.1746909,0.9999363239
174,918.3758359,0.9999384748
175,1328.950931,0.9999415086
176,955.8121174,0.9999437553
177,434.296484,0.9999447504
178,394.5204129,0.9999457111
179,756.168585,0.9999475269
180,851.0350813,0.9999495201
181,473.0443843,0.999950664
182,211.2844576,0.9999511856
183,183.5088175,0.9999516418
184,160.4826114,0.9999520204
185,158.1271007,0.9999524108
186,129.6158869,0.9999527396
187,182.1634306,0.9999531909
188,256.5363711,0.9999538329
189,258.8651317,0.999954472
190,152.0851507,0.9999548552
191,150.4225342,0.9999552457
192,302.8107802,0.9999559984
193,300.7391553,0.9999567918
194,214.8446892,0.9999573349
195,138.9452389,0.9999577014
196,151.076687,0.9999581
197,172.4350351,0.9999585461
198,108.8249356,0.999958836
199,71.68281826,0.9999590226
200,59.43499741,0.9999591855
201,74.82743932,0.999959381
202,91.81531174,0.9999596216
203,60.51578841,0.9999597915
204,47.11610195,0.9999599178
205,91.21587824,0.9999601723
206,129.4557061,0.9999605182
207,89.76327074,0.9999607656
208,61.96009482,0.999960939
209,88.36676817,0.9999611826
210,110.8739138,0.9999614901
211,92.90149641,0.9999617548
212,77.95083746,0.9999619749
213,71.3935759,0.9999621777
214,83.10417365,0.9999624138
215,98.72007769,0.9999626901
216,88.36264424,0.9999629486
217,72.79872059,0.9999631604
218,78.01105329,0.999963384
219,103.9046933,0.9999636879
220,99.09268494,0.9999639778
221,69.06552557,0.9999641816
222,72.86062875,0.9999644009
223,94.65149969,0.9999646763
224,83.71955186,0.9999649297
225,69.14703792,0.9999651337
226,63.96004075,0.9999653262
227,72.43316997,0.999965543
228,68.09187637,0.999965752
229,53.79592116,0.9999659221
230,62.86032479,0.9999661082
231,65.92668592,0.9999663088
232,59.71433984,0.9999664921
233,55.9013262,0.999966666
234,56.60486846,0.999966847
235,62.10294637,0.9999670365
236,67.20030253,0.9999672467
237,57.44190336,0.9999674313
238,45.31089898,0.9999675704
239,48.6435407,0.9999677283
240,57.83606845,0.9999679073
241,52.51299389,0.9999680813
242,42.77446395,0.9999682213
243,39.64153853,0.999968348
244,57.57890294,0.9999685369
245,60.23903416,0.9999687269
246,38.72003829,0.9999688591
247,39.90542562,0.9999689894
248,55.54450354,0.9999691688
249,64.30138563,0.9999693814
250,67.68918545,0.9999696034
251,57.11873556,0.9999697966
252,49.81485267,0.999969963
253,59.67761152,0.9999701638
254,72.9777783,0.9999704131
255,62.09883038,0.9999706263
256,31.95677085,0.9999707341
257,33.03992251,0.9999708452
258,52.350038,0.9999710285
259,44.43773673,0.9999711807
260,26.42522802,0.9999712723
261,35.72309484,0.9999713961
262,48.92580372,0.9999715661
263,50.1241256,0.9999717416
264,54.30267055,0.9999719298
265,58.23233658,0.9999721396
266,54.20102262,0.9999723307
267,50.77110644,0.9999725093
268,59.62346618,0.999972725
269,56.982906,0.9999729269
270,42.61895364,0.999973079
271,55.71298995,0.9999732825
272,56.81870004,0.99997349
273,34.57378278,0.9999736148
274,31.74934963,0.9999737281
275,55.32656091,0.9999739349
276,46.9339401,0.9999741059
277,19.45226162,0.9999741783
278,25.09699463,0.9999742704
279,43.91825482,0.9999744327
280,34.70664318,0.9999745635
281,20.75228438,0.99997464
282,24.46917573,0.9999747319
283,37.89483291,0.9999748738
284,34.90491756,0.9999750078
285,34.1983933,0.9999751379
286,22.48839486,0.9999752218
287,9.725165476,0.9999752591
288,23.93537248,0.9999753506
289,35.68595548,0.9999754888
290,20.2286342,0.9999755683
291,17.11134429,0.9999756317
292,43.21115459,0.9999758056
293,62.07365889,0.9999760465
294,43.02524172,0.9999762146
295,32.27216598,0.9999763401
296,34.93063611,0.9999764795
297,37.95616767,0.9999766313
298,44.40098255,0.9999768032
299,37.63231614,0.9999769522
300,32.39018866,0.9999770811
301,33.74492369,0.9999772158
302,32.2683859,0.999977349
303,31.29043656,0.9999774725
304,25.27568789,0.9999775738
305,22.03770101,0.9999776651
306,29.78955197,0.9999777845
307,25.52757102,0.9999778892
308,20.26942827,0.9999779704
309,31.11646496,0.9999781035
310,39.08674561,0.9999782625
311,33.96256033,0.9999784032
312,29.47640858,0.9999785238
313,30.98646413,0.9999786527
314,30.36232016,0.9999787829
315,37.05558105,0.9999789377
316,33.64227355,0.9999790776
317,24.74842224,0.999979182
318,26.32712692,0.9999792942
319,28.91071147,0.999979416
320,29.59061499,0.9999795403
321,26.65435433,0.9999796539
322,19.11604502,0.999979737
323,26.80459979,0.9999798526
324,34.21990049,0.9999799969
325,25.90696746,0.99998011
326,20.70856843,0.9999802003
327,25.53621389,0.9999803128
328,26.63186374,0.9999804299
329,25.00474454,0.9999805373
330,19.25514952,0.9999806223
331,20.15993144,0.9999807097
332,25.36652142,0.9999808204
333,22.170891,0.9999809216
334,20.85447359,0.9999810131
335,22.01845533,0.9999811118
336,25.09850436,0.9999812226
337,30.43641575,0.9999813559
338,28.23530865,0.9999814874
339,22.34045488,0.9999815876
340,20.97950624,0.9999816841
341,27.35790415,0.9999818069
342,27.70350354,0.9999819306
343,19.48908395,0.9999820222
344,19.45498052,0.9999821089
345,24.63088482,0.9999822242
346,24.3881781,0.9999823352
347,18.34662913,0.9999824202
348,20.38635441,0.9999825141
349,24.74081009,0.9999826267
350,22.7245442,0.9999827335
351,21.56517174,0.9999828351
352,22.51120546,0.9999829409
353,23.78387079,0.9999830531
354,25.16285116,0.9999831693
355,23.84392817,0.999983284
356,22.41426092,0.9999833882
357,19.35505755,0.9999834822
358,22.70107596,0.9999835891
359,23.49841023,0.9999836995
360,16.31895094,0.9999837793
361,15.11601575,0.9999838505
362,21.38531917,0.9999839546
363,24.31660075,0.9999840698
364,16.79575262,0.9999841527
365,15.43705816,0.999984228
366,21.54649114,0.9999843329
367,24.3920296,0.9999844509
368,19.92709311,0.9999845485
369,16.26504574,0.9999846293
370,16.92325293,0.9999847123
371,17.76897252,0.9999847992
372,18.56830057,0.9999848907
373,16.40484957,0.999984972
374,12.86972383,0.9999850373
375,16.07940779,0.9999851165
376,21.7732091,0.9999852244
377,20.10584085,0.9999853264
378,16.12451355,0.9999854067
379,19.41976196,0.9999855052
380,27.79249715,0.9999856425
381,24.64776788,0.9999857696
382,20.26575077,0.9999858732
383,19.40955369,0.9999859717
384,22.37055839,0.999986086
385,21.93881793,0.9999861978
386,18.76855055,0.9999862956
387,15.85367621,0.999986376
388,14.57801926,0.9999864514
389,15.42216862,0.9999865316
390,16.35149113,0.9999866157
391,13.68205329,0.9999866876
392,12.28847701,0.9999867505
393,15.51481884,0.9999868321
394,17.0988311,0.9999869235
395,15.71853053,0.9999870045
396,14.27833064,0.9999870802
397,18.14800669,0.9999871738
398,18.53622316,0.9999872748
399,16.21828719,0.9999873605
400,13.96095393,0.9999874341
401,15.73961163,0.9999875193
402,16.06878844,0.9999876039
403,14.3956671,0.9999876821
404,14.01223787,0.9999877565
405,13.2286958,0.9999878272
406,13.97996497,0.9999879041
407,15.76724355,0.9999879881
408,14.40844246,0.9999880673
409,13.42564897,0.9999881389
410,15.14815685,0.9999882217
411,17.28837115,0.9999883173
412,15.63268604,0.9999884008
413,12.93041175,0.9999884677
414,14.54336196,0.9999885416
415,16.90811912,0.9999886298
416,15.70928365,0.9999887076
417,12.87137188,0.999988771
418,13.39927887,0.999988836
419,15.21133052,0.9999889119
420,16.68499274,0.9999889937
421,15.93404438,0.9999890706
422,14.61358911,0.9999891415
423,16.335564,0.9999892191
424,20.01444593,0.9999893145
425,19.73026399,0.9999894085
426,16.67410035,0.9999894864
427,15.54499495,0.9999895603
428,18.3148975,0.9999896462
429,19.2555331,0.9999897355
430,16.62443333,0.9999898113
431,14.11318021,0.9999898757
