freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.301839291e+11,0.8119685359
1,832343614.6,0.8354571201
2,542830003.2,0.8660942465
3,172206073.5,0.8782433061
4,161952737.3,0.8919541357
5,65561396.22,0.9012047887
6,53358615.09,0.9079807552
7,43808900.82,0.9153984301
8,31705904.71,0.9216615738
9,14416216.67,0.9245093348
10,13423140.97,0.9277291227
11,10505874.26,0.9301009134
12,10475525.72,0.9330570876
13,10792027.87,0.9365594017
14,5724982.367,0.9383365391
15,6993307.861,0.9407047375
16,5782227.423,0.9426628183
17,5669784.2,0.9449828222
18,4576345.184,0.9469199766
19,4333695.685,0.948754418
20,4814491.462,0.9508603111
21,3112605.634,0.95244138
22,2553725.988,0.9536664965
23,2469577.704,0.9548860895
24,2065671.61,0.9559936541
25,2556015.861,0.9575083904
26,2109945.126,0.9588183203
27,2636780.583,0.9603437143
28,2159490.826,0.9616234634
29,1719636.65,0.9627881314
30,1727324.358,0.9639336336
31,1534843.81,0.9650597719
32,1821417.297,0.9663447735
33,1382563.185,0.9673591811
34,2069273.573,0.969023425
35,1722318.872,0.9702871166
36,1650716.481,0.9716380212
37,1450429.146,0.9728045502
38,1468610.369,0.9741307555
39,1097124.091,0.9750905354
40,1359744.92,0.9762225021
41,1092025.17,0.9772702716
42,1039528.687,0.9782383368
43,883108.4715,0.9791354985
44,864226.6287,0.9799768954
45,801597.1327,0.9807460069
46,998955.2005,0.9817890492
47,753954.6569,0.98256564
48,657092.8651,0.9832888186
49,645286.1561,0.9839807932
50,517723.8092,0.9845944162
51,547368.2591,0.9852200048
52,450583.786,0.985715905
53,516030.1902,0.986342083
54,388862.319,0.9867865147
55,364927.7842,0.9872705299
56,485966.8195,0.9878602274
57,368873.1612,0.9883286563
58,372913.0043,0.9888074773
59,325339.31,0.989229804
60,336814.8195,0.9896955417
61,343913.8988,0.9901662433
62,355800.8434,0.9906582344
63,314259.5705,0.9911016518
64,310961.6517,0.9915272529
65,260363.3005,0.9919240128
66,248102.4618,0.9922740831
67,221281.4569,0.9926050427
68,279486.0343,0.9930506608
69,261319.3892,0.9934341288
70,217522.8458,0.9937778823
71,162966.4247,0.9940239225
72,190370.0333,0.9943462549
73,145058.1368,0.9945836787
74,164977.1355,0.994853705
75,149473.6433,0.995104683
76,138289.8431,0.9953388339
77,153903.4938,0.9956081078
78,133183.5961,0.9958317336
79,134168.9466,0.9960664795
80,92671.12404,0.996236465
81,100206.4169,0.9964132029
82,92221.55134,0.9965875688
83,88593.67443,0.9967450749
84,80742.19434,0.9968977364
85,70694.90112,0.9970343937
86,66680.46075,0.99716235
87,73936.6661,0.9973063171
88,71281.35653,0.9974380734
89,67624.2419,0.9975811992
90,57612.77764,0.9976933809
91,53635.31957,0.9978023586
92,39439.89645,0.9978830501
93,42106.37095,0.9979697912
94,44284.04409,0.9980647674
95,39433.90254,0.9981454467
96,41113.51378,0.9982324629
97,38180.76431,0.9983175818
98,35277.25523,0.9983932411
99,27865.73948,0.9984565436
100,25279.08929,0.9985107598
101,24677.46988,0.9985685605
102,22175.64574,0.9986189368
103,24070.3377,0.9986719191
104,21481.88617,0.9987228412
105,22137.5512,0.9987731309
106,17227.61555,0.9988154269
107,17913.24777,0.9988578896
108,18829.8374,0.9989019937
109,17144.2222,0.9989433592
110,18941.32248,0.9989893279
111,13054.62122,0.9990224838
112,12864.92402,0.9990542503
113,15884.33504,0.9990941449
114,12133.7865,0.9991259893
115,15888.85033,0.9991663435
116,11910.96041,0.9991964267
117,14315.4884,0.9992335929
118,11106.47938,0.9992630547
119,12977.15408,0.9992976618
120,9190.421668,0.9993220409
121,11387.9663,0.9993516066
122,10906.22538,0.9993813066
123,9551.297633,0.9994090688
124,9488.038696,0.9994342373
125,6885.298605,0.9994538618
126,7910.867726,0.9994749583
127,5836.613527,0.9994917585
128,5870.270232,0.9995088213
