freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.366127559e+11,0.8479043361
1,1149811986,0.8808672443
2,181006213.4,0.8912454474
3,89692083.97,0.8976736982
4,133359443.9,0.909143178
5,81302976.2,0.9207971813
6,46024659.11,0.9267346562
7,26114563.33,0.9312265834
8,19748797.79,0.9351897049
9,16056593.82,0.9384118875
10,14928284.57,0.9420495929
11,13705912.49,0.945192971
12,10566070.9,0.9482220613
13,10874960.31,0.9518073506
14,8166006.032,0.9543824919
15,8093264.365,0.9571667127
16,4464070.731,0.958702429
17,5145780.419,0.9608414642
18,3952942.051,0.9625413135
19,3641850.414,0.9641073866
20,3280359.03,0.9655650316
21,2272224.054,0.9667375573
22,2802011.203,0.9681031383
23,2968473.26,0.9695923961
24,2927916.736,0.9711872137
25,2171715.642,0.9724946512
26,1695550.29,0.9735640312
27,1736446.542,0.9745845334
28,1810936.021,0.9756747708
29,1421954.559,0.976653124
30,1412039.849,0.9776044153
31,1106482.495,0.9784291544
32,1026487.441,0.9791648401
33,1034609.042,0.9799360069
34,750536.1492,0.9805492252
35,850484.6603,0.9811831512
36,761682.9654,0.981816395
37,939868.7684,0.9825843057
38,668629.2474,0.983197692
39,785510.6302,0.9838957837
40,646595.8928,0.9844426153
41,562547.5132,0.9849909388
42,529577.9776,0.9854919443
43,584270.8471,0.9860949417
44,555511.3382,0.9866443696
45,438340.0096,0.9870716261
46,497618.251,0.9875994593
47,480698.0453,0.9881024546
48,350922.0219,0.9884948048
49,445216.7973,0.9889798183
50,291172.267,0.9893304071
51,360929.1659,0.9897494666
52,329755.3562,0.9901181513
53,352172.7747,0.9905522845
54,298678.8176,0.9908990677
55,247031.8115,0.9912319184
56,259660.6567,0.9915520093
57,329421.2363,0.9919769837
58,246020.2385,0.992297892
59,241649.6444,0.9926165631
60,181956.0851,0.9928721634
61,183100.8882,0.9931267472
62,205803.1276,0.9934158463
63,203390.5475,0.9937073872
64,202279.2114,0.9939886367
65,161414.3711,0.9942385185
66,131924.328,0.9944276194
67,133157.5844,0.9946299401
68,131508.5337,0.9948429507
69,159185.1039,0.9950802543
70,124495.8493,0.9952801216
71,125077.5566,0.9954719583
72,100449.6314,0.9956447403
73,100425.8458,0.9958117232
74,100587.3611,0.9959789748
75,87307.4002,0.9961278995
76,83605.06059,0.9962717073
77,93001.25197,0.9964370097
78,86539.92797,0.9965846253
79,87680.2943,0.9967404701
80,71621.78327,0.9968739319
81,70508.39354,0.9970002657
82,57027.341,0.9971098017
83,63587.80145,0.9972246469
84,63842.67564,0.9973472735
85,48066.65234,0.997441665
86,54940.72751,0.9975487681
87,56889.04924,0.9976613002
88,54675.58121,0.9977639678
89,37581.87561,0.9978447729
90,42182.7803,0.9979282145
91,42634.87489,0.9980162173
92,51945.78698,0.9981241833
93,49316.6715,0.9982273917
94,35766.84741,0.9983053196
95,34206.8271,0.9983764163
96,32378.98044,0.9984460346
97,29235.67815,0.9985122469
98,30622.22747,0.9985789659
99,25585.6461,0.9986380119
100,29357.33857,0.9987019749
101,21959.36992,0.9987542262
102,24676.67696,0.9988111746
103,23009.51965,0.9988626264
104,21141.51055,0.9989135377
105,19558.57925,0.9989586746
106,20137.32325,0.9990088995
107,19644.60623,0.9990562061
108,16740.29276,0.9990960388
109,15074.25534,0.9991329876
110,16590.3913,0.9991738905
111,15077.74018,0.999212793
112,15907.91,0.9992526973
113,14658.40438,0.9992900976
114,12316.33042,0.9993229346
115,10060.18051,0.9993488912
116,9782.1794,0.9993739902
117,9653.730249,0.9993994516
118,8610.76095,0.9994226559
119,8459.145438,0.9994455728
120,8060.990767,0.9994672956
121,8559.551184,0.9994898711
122,8310.645091,0.9995128622
123,7110.068047,0.9995338569
124,6838.275416,0.9995522847
125,6328.554885,0.9995706089
126,6565.189788,0.9995883949
127,5595.241226,0.9996047562
128,5726.204508,0.9996216646
129,5506.013443,0.9996372125
130,5232.872241,0.9996529642
131,4154.862035,0.9996649945
132,4363.903765,0.9996785058
133,3576.563437,0.9996893231
134,3697.017539,0.9996999217
135,3103.50891,0.9997097086
136,3036.015554,0.999718978
137,2787.041282,0.999727687
138,2742.67342,0.9997361788
139,2760.527985,0.9997446071
140,2535.448744,0.9997528933
141,2597.26218,0.9997610093
142,2016.688412,0.9997674846
143,1961.631562,0.9997738111
144,2009.858736,0.9997803797
145,1624.21068,0.9997858276
146,1828.246067,0.9997917763
147,1503.501579,0.99979669
148,1604.693878,0.9998021645
149,1500.227555,0.9998072395
150,1186.599785,0.9998112706
151,1586.248607,0.9998165001
152,1347.740055,0.9998212139
153,1255.568702,0.9998254793
154,993.0780719,0.999829038
155,947.8526072,0.9998322987
156,995.9801444,0.9998357822
157,944.0506753,0.9998392329
158,926.8596625,0.9998424214
159,754.8926297,0.9998451266
160,995.4295348,0.999848708
161,863.5981781,0.999851976
162,1016.221769,0.999855705
163,928.1414882,0.9998590177
164,883.5772511,0.9998623107
165,806.9529388,0.999865295
166,699.3562443,0.9998680016
167,739.4886188,0.9998707258
168,672.5955186,0.9998731939
169,577.6178368,0.9998754625
170,618.9163853,0.9998778489
171,504.926601,0.9998798031
172,455.0636346,0.9998815382
173,394.0971762,0.9998831086
174,439.0965459,0.999884852
175,419.6862403,0.9998864763
176,400.0732211,0.9998880706
177,364.3947208,0.9998894861
178,387.2588501,0.9998910847
179,403.7857263,0.9998927285
180,399.3396091,0.9998943141
181,374.4670208,0.9998958492
182,314.0130148,0.9998971635
183,282.6050799,0.9998983545
184,231.4129801,0.99989928
185,249.7974199,0.9999003255
186,263.5885902,0.999901459
187,252.6399671,0.99990252
188,230.725924,0.999903499
189,209.8231297,0.9999043772
190,178.3986474,0.9999051392
191,165.6584065,0.9999058682
192,184.201517,0.9999066445
193,174.0212577,0.9999074228
194,205.6410263,0.9999083041
195,166.6424054,0.9999090494
196,150.4350334,0.9999097222
197,150.4598113,0.9999103821
198,152.2424007,0.9999110695
199,174.1948017,0.9999118386
200,160.5590951,0.9999125842
201,143.3852528,0.9999132193
202,131.1735467,0.9999138022
203,113.1046586,0.9999143404
204,127.3331228,0.999914919
205,118.0935003,0.9999154776
206,114.2719264,0.9999159952
207,108.1781194,0.9999165008
208,107.2023687,0.9999170094
209,108.3108658,0.9999175155
210,108.2582264,0.9999180245
211,100.4266333,0.9999185096
212,98.87018112,0.999918983
213,97.22329218,0.9999194512
214,98.76831888,0.9999199269
215,99.12529415,0.9999203972
216,94.77556216,0.9999208673
217,96.74856754,0.9999213443
218,99.78980432,0.9999218292
219,94.82246595,0.9999222995
220,97.02204601,0.9999227807
221,92.90072575,0.9999232454
222,99.76463435,0.9999237545
223,106.2690547,0.9999242785
224,102.3862193,0.9999248039
225,100.7398668,0.9999253079
226,90.72685456,0.9999257709
227,79.49820089,0.9999261742
228,76.45738713,0.9999265721
229,74.26135074,0.9999269702
230,77.80196023,0.9999273605
231,83.83349795,0.9999277931
232,74.24866863,0.9999281794
233,67.13608121,0.9999285336
234,63.34052015,0.9999288768
235,73.19627123,0.9999292555
236,81.84127591,0.9999296896
237,74.23117536,0.9999300939
238,82.13855005,0.9999305213
239,67.18377248,0.9999308911
240,74.92502129,0.9999312842
241,77.41446953,0.9999317192
242,73.78790131,0.9999321285
243,75.68360465,0.9999325386
244,71.44203343,0.9999329359
245,69.11835413,0.9999333055
246,61.80995884,0.9999336634
247,66.33973772,0.9999340304
248,66.13364269,0.9999343926
249,65.475205,0.9999347595
250,65.79707269,0.9999351255
251,61.39260891,0.9999354775
252,61.64174689,0.9999358265
253,61.28691048,0.9999361761
254,62.2185963,0.9999365364
255,59.57807275,0.9999368831
256,59.56973801,0.9999372238
257,58.72026183,0.9999375588
258,56.15431676,0.9999378921
259,59.42090603,0.999938237
260,58.48341862,0.9999385807
261,57.19829092,0.9999389169
262,55.78161509,0.9999392455
263,54.05259305,0.9999395663
264,59.50751764,0.999939916
265,56.50773652,0.9999402611
266,55.19710231,0.999940591
267,58.96660142,0.9999409426
268,53.67277656,0.9999412719
269,57.05431525,0.9999416145
270,53.93750033,0.9999419408
271,51.0820386,0.9999422571
272,53.52147909,0.9999425886
273,54.37955659,0.9999429214
274,55.95498306,0.9999432599
275,54.84290651,0.9999436073
276,48.6771631,0.9999439081
277,48.59567859,0.9999442145
278,48.20157605,0.9999445144
279,55.93745224,0.9999448648
280,46.8428692,0.9999451643
281,49.05959124,0.9999454709
282,51.32578564,0.9999457975
283,41.21348212,0.9999460592
284,44.76720861,0.9999463506
285,48.76584009,0.9999466651
286,51.94960257,0.9999469935
287,44.0910623,0.9999472804
288,42.75446916,0.9999475574
289,43.89036858,0.9999478456
290,41.91129519,0.9999481249
291,46.01988998,0.9999484139
292,36.0073579,0.9999486595
293,40.10701662,0.9999489234
294,36.48403925,0.999949165
295,39.1633664,0.9999494232
296,39.70378291,0.9999496919
297,41.2371218,0.9999499715
298,49.33356615,0.9999502953
299,44.48832799,0.9999505938
300,41.00302537,0.9999508706
301,36.98872823,0.9999511209
302,43.731041,0.9999514268
303,42.52309292,0.9999517114
304,39.06279819,0.9999519768
305,44.32007828,0.9999522881
306,38.78574324,0.9999525516
307,38.28980637,0.9999528178
308,36.8842683,0.9999530684
309,42.48404091,0.9999533766
310,42.46950594,0.9999536694
311,41.22191225,0.9999539589
312,38.22248261,0.9999542241
313,35.49774882,0.9999544744
314,37.35472842,0.9999547459
315,41.13541947,0.9999550372
316,39.77157714,0.9999553176
317,41.50315926,0.9999556145
318,36.14496092,0.9999558756
319,38.36261395,0.9999561495
320,39.66435536,0.999956432
321,36.28012828,0.9999566941
322,35.20066602,0.9999569535
323,32.92969201,0.9999571942
324,33.30078982,0.9999574324
325,32.32601753,0.9999576715
326,32.55286473,0.9999579123
327,31.19460909,0.9999581452
328,30.69956097,0.9999583741
329,31.51589605,0.9999586036
330,32.49842057,0.9999588467
331,33.42626335,0.9999590925
332,33.15669286,0.9999593378
333,30.7753663,0.999959576
334,31.45395014,0.99995981
335,30.44501426,0.9999600413
336,30.97185276,0.999960273
337,30.72815536,0.9999605012
338,29.7816309,0.9999607364
339,29.96570325,0.999960964
340,29.31625175,0.9999611926
341,30.17584633,0.9999614223
342,29.52107446,0.9999616457
343,27.62028123,0.9999618659
344,29.27768336,0.999962087
345,28.31654567,0.9999623119
346,29.0937159,0.9999625363
347,28.70007319,0.9999627617
348,28.94700092,0.9999629878
349,28.99160771,0.9999632114
350,27.57274524,0.9999634312
351,28.18771605,0.9999636562
352,28.19240706,0.9999638809
353,27.76048368,0.9999641029
354,28.39747838,0.9999643252
355,26.53831148,0.9999645416
356,27.47428995,0.9999647582
357,26.69391365,0.9999649779
358,27.75765063,0.9999651995
359,26.9414244,0.9999654142
360,25.74186905,0.9999656275
361,27.03087216,0.9999658433
362,25.77851113,0.9999660561
363,27.00951413,0.9999662729
364,24.81816834,0.9999664807
365,26.01936688,0.9999666959
366,25.62860778,0.9999669075
367,25.9769131,0.9999671205
368,25.31750039,0.9999673306
369,25.24233921,0.9999675433
370,25.91402063,0.9999677588
371,25.70569455,0.9999679718
372,25.24595614,0.9999681827
373,24.57521625,0.9999683892
374,23.58539454,0.999968592
375,25.05028852,0.9999688013
376,24.41653087,0.9999690064
377,23.80504029,0.9999692112
378,23.73244171,0.9999694115
379,23.60141408,0.9999696145
380,24.29005661,0.9999698178
381,23.16818537,0.9999700204
382,23.95578276,0.9999702282
383,23.77073774,0.9999704326
384,23.9439249,0.9999706399
385,24.07271942,0.999970848
386,22.99515465,0.999971051
