freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.550942209e+11,0.8577838222
1,1284970608,0.9146383971
2,296256408.8,0.9408546111
3,146724200.3,0.9570844415
4,29308277.51,0.9609747476
5,20269872,0.9654590329
6,9189775.948,0.967288774
7,6380091.123,0.9689825281
8,8168107.128,0.9715123602
9,4274930.948,0.9728363949
10,4792521.82,0.9746388117
11,5036546.571,0.9764215807
12,3243503.432,0.9778566953
13,2242619.275,0.9789978003
14,2305487.239,0.9801198902
15,1700062.714,0.9810225381
16,1895454.51,0.9820289293
17,1495015.198,0.9829880778
18,1043878.974,0.983680887
19,733443.9111,0.9841676644
20,1147157.342,0.9849543965
21,855111.7766,0.9856354287
22,751843.1832,0.9862009493
23,612917.8612,0.9866755327
24,709720.9453,0.9872721741
25,661080.5105,0.9878864251
26,529842.0803,0.9884021777
27,631211.636,0.9889747114
28,524106.5058,0.9894616913
29,449879.0384,0.9899394177
30,420796.5287,0.9903769521
31,316420.5596,0.9907409596
32,329062.4202,0.9911049505
33,309916.4737,0.9914614757
34,274910.5999,0.9918081395
35,300111.1645,0.9921533848
36,283117.187,0.9925166606
37,227279.2237,0.992803261
38,189874.4439,0.9930720978
39,226922.7503,0.9933833497
40,177342.7008,0.9936148265
41,191642.7283,0.9939031257
42,193210.2481,0.9941852343
43,147736.4894,0.9944205563
44,145081.6489,0.9946420207
45,123254.1147,0.9948274389
46,127464.5534,0.9950361106
47,125958.9412,0.9952395308
48,114357.2577,0.9954368641
49,104743.7409,0.9956129741
50,97592.71496,0.995794333
51,92545.76655,0.9959601709
52,82779.01825,0.9961030133
53,91617.76328,0.9962773225
54,84678.48101,0.9964290626
55,68514.87856,0.996571543
56,75932.8571,0.9967160105
57,72143.74184,0.9968596532
58,60879.80537,0.9969822155
59,63817.07933,0.9971121029
60,56871.28795,0.9972354024
61,56715.0438,0.9973571085
62,60692.40386,0.9974886923
63,49699.44711,0.997598642
64,40461.08374,0.9976854683
65,41061.37816,0.9977835752
66,36766.98017,0.9978649144
67,33591.00212,0.9979436863
68,33920.4609,0.9980284837
69,36065.30158,0.9981114621
70,27250.19254,0.9981789817
71,32248.28778,0.9982553182
72,29773.34111,0.998334359
73,28811.9633,0.9984082979
74,30704.144,0.9984870926
75,22322.59955,0.9985458597
76,24440.84524,0.998610744
77,19522.86067,0.9986642999
78,19527.21994,0.9987157078
79,18810.07899,0.9987673084
80,17533.21365,0.9988177335
81,18396.46131,0.9988686064
82,19301.74259,0.9989258258
83,14222.06723,0.9989654697
84,15035.08634,0.9990100407
85,14960.07467,0.9990553823
86,13470.53157,0.9990959113
87,11035.0155,0.9991296008
88,12745.68305,0.999166539
89,10516.30513,0.9992014367
90,9541.456899,0.9992305664
91,10012.04888,0.9992624618
92,9287.259622,0.9992922537
93,8418.383436,0.9993194446
94,9206.918163,0.9993504045
95,8556.295031,0.9993778516
96,8359.865784,0.9994055933
97,6506.714792,0.999428337
98,6858.865852,0.9994514012
99,5280.920275,0.9994702107
100,5465.974777,0.999488591
101,5624.226622,0.9995092454
102,4839.475248,0.9995264826
103,4967.639108,0.9995436268
104,5318.388557,0.9995633934
105,4558.591183,0.9995796301
106,4301.497673,0.9995961883
107,3801.589401,0.9996103174
108,3012.446485,0.9996213803
109,3624.637345,0.9996350924
110,3131.058536,0.9996470065
111,2940.199999,0.9996587148
112,2735.362175,0.9996693047
113,2081.258507,0.9996775005
114,2030.057605,0.9996858539
115,2300.69993,0.9996950156
116,2056.643876,0.9997031599
117,2115.746496,0.9997117723
118,1961.669314,0.9997199311
119,1775.282328,0.9997273539
120,1742.065493,0.9997345994
121,1567.192584,0.9997409788
122,1764.0417,0.9997485108
123,1387.092354,0.9997548322
124,1331.296093,0.9997603692
125,1282.971544,0.9997661026
126,1342.418406,0.9997717155
127,1107.928106,0.9997767157
128,1042.276784,0.9997814657
129,888.571592,0.9997853383
130,1040.578216,0.9997901726
131,915.2070183,0.9997942625
132,869.3812535,0.9997984169
133,768.664036,0.9998020049
134,859.2103219,0.9998058066
135,722.4329255,0.9998093227
136,704.4458587,0.9998126422
137,687.0870399,0.9998159559
138,688.9451712,0.999819248
139,566.5784547,0.9998219178
140,523.249146,0.9998245571
141,581.363346,0.9998273609
142,597.8188295,0.9998303234
143,498.6621293,0.9998328056
144,500.4123281,0.9998353297
145,493.734711,0.9998378856
146,495.8455041,0.9998403757
147,433.8080983,0.9998425639
148,456.3854505,0.9998449668
149,386.0265093,0.9998469823
150,377.5228474,0.9998489617
151,438.2072605,0.9998511914
152,342.9518972,0.9998530427
153,334.7660766,0.9998547979
154,302.4057912,0.9998564704
155,291.6515054,0.9998580189
156,330.4830107,0.9998598029
157,293.8144948,0.9998614604
158,287.9743939,0.9998629894
159,275.2307041,0.9998645116
160,243.0699814,0.9998658613
161,257.1159745,0.999867363
162,246.7017575,0.9998687602
163,230.6847012,0.9998700309
164,258.6464681,0.9998715187
165,217.5495573,0.9998727604
166,191.0287396,0.9998739014
167,215.3108084,0.9998751256
168,217.6927654,0.9998763585
169,183.5406152,0.999877471
170,184.6835854,0.9998785701
171,180.1484459,0.9998796462
172,169.3352792,0.9998806427
173,176.8012018,0.99988173
174,165.1093717,0.9998827418
175,154.3161502,0.9998836636
176,158.1340863,0.9998846361
177,153.4953313,0.9998855564
178,137.2307296,0.9998864307
179,141.0396666,0.9998873169
180,149.2520505,0.9998882315
181,140.0701618,0.9998891177
182,130.2871796,0.9998899594
183,134.902969,0.9998908368
184,132.2707035,0.9998916532
185,115.5606249,0.9998923997
186,119.6029137,0.9998931935
187,116.6906418,0.9998939499
188,119.5678854,0.9998947329
189,118.2882413,0.999895497
190,112.3892006,0.9998962379
191,110.0726656,0.9998969855
192,110.7031129,0.9998977056
193,103.30962,0.9998984186
194,108.7185835,0.9998991378
195,102.9337037,0.9998998483
196,99.0231032,0.9999005318
197,100.1607311,0.9999012098
198,95.26811539,0.9999018737
199,99.34385981,0.9999025506
200,90.37246255,0.9999031984
201,99.69400282,0.9999038799
202,97.98616474,0.9999045519
203,90.5695825,0.9999052171
204,93.87019516,0.9999058754
205,87.92987314,0.9999065174
206,91.76744161,0.9999071589
207,87.92820464,0.999907793
208,82.01682571,0.9999083936
209,86.53246695,0.9999090177
210,81.86293895,0.9999096117
211,78.64313926,0.999910198
212,88.12953975,0.9999108492
213,83.19405942,0.9999114676
214,80.15623731,0.9999120635
215,79.35987095,0.9999126446
216,77.30327394,0.9999132363
217,78.5657568,0.9999138342
218,77.36160447,0.9999144144
219,72.49753723,0.9999149693
220,72.56107048,0.9999155248
221,71.55916574,0.9999160773
222,67.27777444,0.9999166071
223,71.5454979,0.9999171516
224,66.5107782,0.9999176784
225,69.4501193,0.9999182146
226,67.04871951,0.9999187426
227,65.68415428,0.9999192571
228,66.92582026,0.9999197945
229,62.25150731,0.9999203096
230,66.34976649,0.9999208233
231,63.87376034,0.999921332
232,61.83511599,0.9999218286
233,61.55788748,0.9999223298
234,60.0077824,0.9999228316
235,61.90204975,0.9999233259
236,59.02026111,0.9999238091
237,57.11962355,0.9999242892
238,59.21341731,0.9999247648
239,55.55435598,0.9999252367
240,57.93847313,0.9999257058
241,56.47143665,0.9999261956
242,55.05776542,0.9999266669
243,55.53798956,0.9999271314
244,53.01073418,0.9999275864
245,56.49864964,0.9999280526
246,52.79136039,0.9999285245
247,52.85508346,0.9999289758
248,54.96718668,0.9999294403
249,51.84876784,0.9999298888
250,51.65095184,0.9999303322
251,50.22950257,0.9999307767
252,50.72814773,0.99993122
253,51.55913096,0.9999316739
254,50.41538917,0.9999321245
255,50.29878178,0.9999325763
256,49.56446773,0.9999330138
257,51.12519343,0.999933464
258,47.68426245,0.9999339007
259,46.76456882,0.9999343197
260,50.12973606,0.9999347744
261,47.83263671,0.9999352083
262,47.72723483,0.9999356422
263,46.59509033,0.999936069
264,44.16746472,0.9999364696
265,46.83039334,0.999936911
266,48.3620988,0.9999373571
267,44.94020086,0.9999377707
268,37.76612283,0.9999381283
269,44.34519079,0.9999385393
270,47.26234197,0.9999389806
271,45.02198955,0.9999394109
272,40.64846316,0.9999397993
273,43.7072113,0.9999402122
274,43.08547323,0.9999406145
275,41.30368056,0.9999410183
276,44.511684,0.9999414428
277,38.68735473,0.9999418193
278,42.48452085,0.9999422273
279,41.40978337,0.9999426276
280,38.95190764,0.9999430119
281,40.77923285,0.9999434053
282,39.4066113,0.9999437923
283,39.7049435,0.9999441815
284,37.5037652,0.9999445581
285,37.11935136,0.9999449277
286,37.57922221,0.9999452943
287,36.51253519,0.999945661
288,38.81258435,0.9999460491
289,36.35567139,0.9999464175
290,38.23348165,0.9999468108
291,40.44387541,0.9999472027
292,34.66543308,0.9999475678
293,35.69662555,0.9999479302
294,36.12898247,0.9999482995
295,36.29888241,0.9999486689
296,34.58386523,0.99994903
297,33.4064361,0.9999493796
298,34.450103,0.9999497287
299,32.42559072,0.9999500644
300,33.98213195,0.9999504185
301,34.55105145,0.9999507792
302,33.23018505,0.999951138
303,36.2190948,0.9999515122
304,34.43061134,0.9999518732
305,32.45089132,0.999952225
306,33.4633441,0.9999525759
307,32.79034577,0.9999529277
308,32.46318148,0.9999532682
309,31.07033295,0.999953616
310,32.79933484,0.999953965
311,31.99093618,0.9999543118
312,31.76344462,0.9999546519
313,31.69007672,0.9999549968
314,30.07801944,0.9999553342
315,31.07221104,0.9999556738
316,29.98193019,0.9999560001
317,30.03201878,0.9999563316
318,29.77330674,0.9999566636
319,30.59043162,0.9999570006
320,30.3395911,0.9999573342
321,29.70755169,0.9999576655
322,28.7464929,0.9999579923
323,28.70767264,0.9999583162
324,29.54973331,0.9999586424
325,29.41354225,0.9999589782
326,29.0157366,0.9999593094
327,27.63857047,0.999959628
328,27.71200979,0.9999599468
329,29.0417089,0.9999602732
330,28.45027811,0.9999606017
331,29.42583161,0.9999609357
332,28.33755033,0.9999612592
333,26.76749913,0.9999615789
334,27.69077292,0.9999618969
335,27.53373338,0.9999622197
336,28.10084771,0.9999625442
337,27.44374988,0.9999628587
338,25.96625846,0.9999631752
339,26.2931385,0.9999634835
340,25.82760154,0.9999637944
341,26.26300182,0.9999641029
342,26.54372663,0.9999644129
343,26.02527952,0.9999647331
344,26.54390801,0.9999650425
345,26.29881782,0.9999653649
346,26.34482483,0.9999656784
347,26.20687992,0.9999659961
348,25.46493834,0.9999663032
349,25.4890458,0.9999666065
350,25.31069857,0.9999669179
351,23.86401862,0.9999672119
352,24.80041559,0.999967517
353,25.01759698,0.9999678258
354,25.76872179,0.9999681371
355,23.88627982,0.9999684378
356,24.67103681,0.9999687379
357,23.84197689,0.9999690407
358,24.72513889,0.9999693454
359,24.62457935,0.9999696483
360,23.78866992,0.9999699525
361,23.91419231,0.9999702471
362,23.39978587,0.9999705453
363,24.43921101,0.9999708481
364,22.65250994,0.9999711408
