freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.745151845e+11,0.9101333844
1,164026852.3,0.9122121641
2,922300345.6,0.9355895469
3,243909098.4,0.9433174475
4,225829620.4,0.9519035423
5,93505871.83,0.9578287341
6,53146834.97,0.9608597166
7,30783037.61,0.9632004732
8,22253523.05,0.9651746695
9,25412469.02,0.9674291081
10,18435019.18,0.969415002
11,17630904.88,0.9712025517
12,12522884.89,0.9727896283
13,18068726.31,0.9754230409
14,13674690.4,0.9773293956
15,11382938.79,0.9790605235
16,9351846.726,0.9804827611
17,7054567.439,0.9817791399
18,9144482.285,0.9835175166
19,4281125.722,0.9843313636
20,4340891.209,0.985184079
21,6010646.295,0.9865552361
22,4635253.469,0.9875538921
23,3122236.6,0.9882463564
24,2242054.807,0.9887862315
25,1774049.651,0.98925838
26,1782725.991,0.9897554308
27,2007059.288,0.9902768747
28,2632248.332,0.9909774256
29,1894451.369,0.9915536454
30,982964.8324,0.9918463971
31,1008384.311,0.9921786685
32,1514733.655,0.9926585895
33,1236388.994,0.9930659905
34,864820.7613,0.993378357
35,769011.5364,0.993631753
36,724114.6606,0.993897886
37,508449.9125,0.9940815342
38,617013.6708,0.9943317636
39,630307.1539,0.994579396
40,693656.4088,0.9948387302
41,412050.4035,0.9950162811
42,362866.2479,0.99516804
43,537175.7976,0.9954131225
44,551534.3738,0.9956542714
45,395444.995,0.995824667
46,463228.4397,0.9960418824
47,545999.4661,0.9962944505
48,384953.2532,0.9964847187
49,299834.9731,0.9966291161
50,283691.4473,0.9967801203
51,287110.142,0.9969274862
52,284674.2021,0.9970681902
53,213385.8738,0.9971844762
54,342778.8472,0.9973604154
55,266469.7122,0.9975191382
56,206986.8463,0.997631937
57,171291.0416,0.9977296249
58,198785.1876,0.9978442525
59,184151.5996,0.9979516086
60,151587.7415,0.9980457441
61,187890.7358,0.9981612331
62,225729.9162,0.9983014108
63,145866.4109,0.998393842
64,105102.0965,0.9984584441
65,118163.1573,0.9985393108
66,98935.32429,0.9986020032
67,89326.39158,0.9986620029
68,95858.58486,0.9987306422
69,85171.84369,0.9987867719
70,67097.23828,0.9988343916
71,62809.57636,0.9988769782
72,73027.86723,0.9989325089
73,70819.9567,0.9989845657
74,54148.33439,0.9990243678
75,52825.15754,0.9990642016
76,56927.90397,0.9991074898
77,49041.19608,0.999146024
78,47148.16453,0.999181577
79,51446.98165,0.9992220015
80,53139.99211,0.9992657767
81,47027.55696,0.9993030267
82,37685.38809,0.9993350261
83,33643.56141,0.9993618879
84,35607.3801,0.9993921228
85,31731.86781,0.9994196701
86,33669.6438,0.9994486864
87,32748.92465,0.9994773242
88,33417.72204,0.9995050645
89,29795.34325,0.9995333851
90,25942.92925,0.9995560713
91,31607.03572,0.9995849123
92,25148.97041,0.9996080197
93,22164.69601,0.9996285256
94,23661.28322,0.9996513157
95,21790.8817,0.9996713376
96,17669.1395,0.9996881322
97,14798.47692,0.9997029485
98,15629.25539,0.9997180022
99,15354.04107,0.9997336666
100,16030.92488,0.9997491072
101,13039.46123,0.9997628233
102,12119.70493,0.999775188
103,12340.03167,0.9997873864
104,9720.398508,0.9997977344
105,8957.312703,0.9998068728
106,8497.438894,0.9998162419
107,7746.757761,0.9998244889
108,7379.227906,0.999832251
109,6216.09648,0.9998389867
110,6397.192623,0.999845959
111,6455.590783,0.9998533223
112,6199.34918,0.9998601969
113,5610.607254,0.9998665253
114,5549.224643,0.9998730658
115,5106.981977,0.9998788909
116,5021.105995,0.9998845861
