freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.939635843e+11,0.7884758694
1,1329054566,0.8316974858
2,426132649.3,0.8594136419
3,116378242.5,0.8688753598
4,96986963.36,0.8783375747
5,103454748.6,0.8951596134
6,75323158.68,0.9061825987
7,27473274.51,0.9115432785
8,55480268.44,0.9241730295
9,17286137.52,0.9281081152
10,17526389.83,0.9329528453
11,12120084,0.9361060619
12,11397182.64,0.939812491
13,11170538.69,0.9439901227
14,10069583.78,0.9475922777
15,10455965.07,0.9516726855
16,8084093.952,0.9548274779
17,4619285.244,0.9570056941
18,4629423.951,0.9592639669
19,4551603.873,0.9614842784
20,2612263.016,0.9628010389
21,3337405.539,0.964754657
22,2219428.51,0.9659816675
23,2773231.724,0.9675599415
24,2404960.066,0.9690459444
25,1989245.475,0.9704044639
26,1791004.891,0.971685843
27,2173747.452,0.9731350191
28,1554994.886,0.9741969749
29,1139465.377,0.9750863205
30,1541776.974,0.9762645981
31,1452098.685,0.9774923982
32,900818.0866,0.9782247762
33,1465459.334,0.9794638732
34,1097298.013,0.9804808889
35,1223618.261,0.9815155008
36,756388.4251,0.9822288482
37,805835.5318,0.9829757259
38,720725.5057,0.9837257549
39,609870.5318,0.9843405884
40,570232.3353,0.9848876447
41,524210.519,0.985467264
42,702802.2532,0.9862214966
43,496703.4004,0.9868030075
44,528172.1107,0.9873955953
45,492529.4265,0.9879401849
46,449299.0965,0.988480809
47,453422.6628,0.9890190221
48,348184.3031,0.9894606251
49,338401.7936,0.9898788159
50,294575.6411,0.9902811662
51,282756.8321,0.9906535805
52,331882.1712,0.9910745074
53,230833.6575,0.9913973016
54,277685.1321,0.9917630361
55,194061.7901,0.9920596531
56,215012.3077,0.992360323
57,202331.1592,0.9926564196
58,249792.5836,0.9930260343
59,197995.1412,0.9933222244
60,248579.6222,0.993718338
61,208819.7662,0.9940476985
62,179493.0569,0.9943337222
63,142445.4168,0.9945653425
64,136919.1863,0.994781298
65,174176.0534,0.9950871705
66,155169.1679,0.99533948
67,144845.0738,0.9955891335
68,113928.6957,0.9957984675
69,143445.0696,0.9960410432
70,96239.86698,0.9962163106
71,114036.3014,0.9964147167
72,93825.65465,0.9965977926
73,92703.82166,0.9967726499
74,71183.08877,0.996906915
75,74758.45608,0.9970515706
76,63482.98073,0.9971754408
77,60028.90186,0.9972964756
78,61306.01132,0.9974151012
79,55647.82013,0.9975273025
80,53890.99368,0.9976412193
81,57752.66666,0.9977586037
82,45311.27993,0.9978573314
83,66452.29567,0.9979934786
84,55604.40955,0.9981146339
85,49229.5565,0.9982243006
86,41725.25926,0.9983165718
87,38486.54719,0.9984029325
88,33811.01419,0.9984749532
89,27550.42753,0.9985421499
90,27772.77194,0.9986044698
91,24386.40815,0.9986615701
92,24809.86865,0.9987200654
93,24137.86154,0.9987773687
94,24385.9569,0.9988376401
95,20597.68874,0.9988862042
96,25660.66767,0.9989487916
97,22216.49541,0.9990058686
98,21278.17196,0.9990584589
99,18575.255,0.9991070872
100,18591.62869,0.9991530376
101,16456.83959,0.999197458
102,13854.38729,0.9992337275
103,16055.50321,0.999274454
104,11192.4139,0.9993050286
105,11527.09433,0.9993352055
106,10215.19882,0.9993641072
107,8764.912811,0.9993880506
108,8973.745341,0.9994122726
109,8331.991634,0.9994354398
110,7968.432567,0.9994577256
111,7580.434934,0.9994799124
112,7257.237532,0.9995005633
113,6531.105719,0.9995194665
114,6513.140273,0.9995391649
115,5692.216215,0.9995558252
116,5883.545344,0.9995729498
117,5490.005737,0.9995893753
118,5306.596309,0.9996055972
119,4780.633048,0.999620289
120,3836.619048,0.9996320173
121,4108.889395,0.9996443106
122,3783.834167,0.9996561852
123,3494.562305,0.9996678907
124,3033.307709,0.9996771633
125,3080.067448,0.99968728
126,2851.230239,0.9996960424
127,2836.621112,0.9997054517
128,2590.485807,0.9997141289
129,3099.556547,0.9997240576
130,2204.440483,0.999731585
131,2554.161667,0.9997399744
132,1984.541363,0.9997469445
133,1990.155614,0.9997537726
134,1824.31637,0.9997597054
135,1506.03473,0.9997650928
136,1622.178434,0.9997707112
137,1473.644481,0.9997759349
138,1694.208255,0.9997818853
139,1218.541195,0.9997861056
140,1545.623469,0.9997918358
141,1131.132159,0.9997958454
142,1393.228686,0.9998009199
143,1058.716179,0.9998047933
144,1184.628979,0.9998091851
145,1073.751011,0.9998132707
146,946.6145603,0.9998167647
147,968.9495181,0.9998203569
148,926.9283985,0.9998239441
149,797.5267596,0.9998270045
150,891.229727,0.9998304391
151,636.5005369,0.9998328195
152,856.0645499,0.9998362159
153,649.9223249,0.9998387205
154,806.0059042,0.999841997
155,528.4824927,0.9998440594
156,576.7788154,0.9998463478
157,519.2984703,0.999848501
158,483.6924656,0.9998503886
159,492.0468266,0.9998523888
160,387.1454135,0.9998539688
161,536.2498095,0.9998562708
162,392.4663696,0.9998579045
163,560.6699334,0.9998601746
164,405.0161237,0.9998618868
165,482.630091,0.9998639115
166,409.2704157,0.9998657083
167,382.8465637,0.9998673082
168,347.9629234,0.9998687567
169,323.7317944,0.999870199
170,293.8486334,0.9998714843
171,320.7454557,0.9998728925
172,289.9365449,0.9998741465
173,303.0045145,0.9998755162
174,280.5798808,0.9998767799
175,313.2275468,0.9998781551
176,298.6335222,0.999879505
177,288.4839073,0.9998807762
178,276.0462245,0.999882069
179,268.7606289,0.9998833101
180,243.2854496,0.9998844059
181,205.7080982,0.9998853625
182,218.2717224,0.9998863988
183,162.0144323,0.9998871734
184,196.8699667,0.9998880665
185,156.8783949,0.9998888113
186,191.4752221,0.9998897454
187,178.0045751,0.9998905934
188,184.1737159,0.9998914799
189,197.0613588,0.9998924155
190,196.2374081,0.9998933664
191,173.1729957,0.9998942309
192,219.2849364,0.9998952792
193,186.0141943,0.9998962229
194,184.4785237,0.9998971198
195,157.4746931,0.9998979187
196,153.4533622,0.9998986972
197,147.6251249,0.9998994317
198,142.1481174,0.9999001598
199,144.8392035,0.9999008851
200,135.8825696,0.999901601
201,143.1094099,0.9999023201
202,140.405568,0.9999030278
203,122.9019671,0.9999036913
204,130.7589937,0.9999043653
205,104.753892,0.9999049274
206,110.5464788,0.9999054954
207,116.6371945,0.9999061137
208,102.6761584,0.9999066663
209,109.5537353,0.999907247
210,110.0872689,0.9999078342
211,108.6954501,0.9999084298
212,113.3128873,0.9999090452
213,107.125197,0.9999096304
214,113.6646553,0.9999102514
215,107.066198,0.9999108277
216,102.4656263,0.9999114042
217,101.7004473,0.999911973
218,97.69351714,0.9999125115
219,97.58168626,0.9999130605
220,91.80517638,0.999913577
221,84.13940661,0.9999140545
222,94.49703844,0.9999146015
223,94.01252701,0.9999151274
224,97.75880277,0.9999156965
225,104.7081322,0.9999162907
226,90.60122035,0.9999168151
227,95.3556764,0.999917364
228,91.58633882,0.9999179046
229,85.140673,0.9999184224
230,90.49094895,0.9999189374
231,88.66440731,0.9999194564
232,77.50831761,0.9999199139
233,86.72407207,0.9999204328
234,76.21626767,0.9999209013
235,81.81355403,0.9999213815
236,76.64879073,0.9999218427
237,75.08394335,0.9999223066
238,74.95754554,0.999922749
239,77.61228436,0.9999232336
240,73.31562163,0.99992367
241,74.65006271,0.9999241458
242,73.14360694,0.999924606
243,75.37258577,0.9999250693
244,72.32326644,0.9999255256
245,76.19648262,0.9999259877
246,69.52486555,0.9999264445
247,74.36808487,0.9999269112
248,73.7756869,0.9999273695
249,73.08309467,0.9999278341
250,68.88373047,0.9999282687
251,66.23862171,0.9999286995
252,66.37616649,0.9999291259
253,61.33944468,0.9999295228
254,62.99613376,0.9999299367
255,57.3705865,0.9999303154
256,64.3577447,0.9999307329
257,62.70140792,0.9999311387
258,60.44325936,0.9999315456
259,67.36700888,0.9999319892
260,65.35353129,0.9999324249
261,67.53986527,0.9999328752
262,66.06527777,0.9999333167
263,60.93028425,0.9999337269
264,65.63225857,0.9999341644
265,50.70037011,0.9999345156
266,55.04701387,0.9999348889
267,55.01495129,0.999935261
268,52.94421809,0.9999356295
269,60.30029665,0.9999360403
270,56.02347969,0.9999364247
271,64.05420292,0.9999368747
272,56.92803229,0.9999372746
273,54.82576496,0.9999376552
274,56.33670273,0.9999380418
275,49.76254994,0.9999383995
276,55.50623631,0.9999387885
277,57.2502474,0.999939198
278,53.41716005,0.999939575
279,60.48182781,0.9999400048
280,49.63422818,0.9999403647
281,56.32865676,0.9999407641
282,52.17760017,0.9999411408
283,51.21700205,0.9999415097
284,58.07297097,0.9999419384
285,51.47378408,0.999942315
286,56.16614022,0.9999427178
287,56.61703689,0.9999431358
288,46.58500528,0.9999434781
289,43.85546545,0.9999438047
290,42.29880032,0.9999441246
291,48.37839289,0.9999444691
292,37.57753289,0.99994476
293,46.95900007,0.9999451104
294,50.4959153,0.9999454898
295,45.3600822,0.9999458291
296,47.69592232,0.9999461951
297,49.89134412,0.9999465788
298,47.51235688,0.9999469327
299,43.47654395,0.9999472635
300,45.05909568,0.9999476086
301,40.73319865,0.9999479212
302,41.6354727,0.9999482516
303,48.01475014,0.9999486162
304,44.11068649,0.9999489562
305,47.03257034,0.9999493309
306,48.85799329,0.9999497075
307,44.39295444,0.9999500576
308,47.50870818,0.9999504238
309,38.85306883,0.9999507434
310,44.03883194,0.9999510879
311,38.97447608,0.9999513984
312,38.58532959,0.9999517021
313,39.51186561,0.9999520182
314,35.64969341,0.9999523121
315,39.09336195,0.9999526261
316,37.54902445,0.9999529265
317,40.09733232,0.9999532518
318,39.01543776,0.9999535716
319,37.72811353,0.9999538771
320,41.99432642,0.9999542164
321,39.20533518,0.9999545377
322,40.25047201,0.9999548741
323,38.01217388,0.9999551894
324,38.60374631,0.9999555026
325,36.85718714,0.9999558118
326,36.11752459,0.9999561149
327,34.08292125,0.9999564036
328,35.37463292,0.9999567027
329,34.85512055,0.9999569906
330,35.73737573,0.999957294
331,37.05411518,0.999957603
332,35.80712273,0.9999579035
333,32.80370491,0.9999581915
334,35.4632257,0.9999584908
335,31.92388816,0.9999587659
336,33.62241883,0.9999590513
337,32.52896349,0.9999593253
338,30.64817757,0.9999595999
339,34.01363513,0.999959893
340,31.54569986,0.999960172
341,34.47185674,0.9999604697
342,32.99238642,0.9999607529
343,32.84552807,0.9999610499
344,32.71504585,0.9999613302
345,31.85514138,0.9999616172
346,30.11217557,0.9999618806
347,30.17814233,0.9999621495
348,29.98552376,0.9999624152
349,33.09449338,0.9999627047
350,29.16806158,0.9999629684
351,31.67030403,0.9999632553
352,30.46877095,0.9999635307
353,30.66217709,0.9999638089
354,31.04142423,0.9999640845
355,29.60168778,0.9999643584
356,30.83613516,0.9999646342
357,28.40733878,0.9999648993
358,29.55144047,0.999965167
359,29.19072618,0.9999654309
360,27.79262525,0.9999656921
361,29.62366746,0.9999659604
362,28.65099197,0.9999662287
363,30.23829267,0.9999665041
364,28.49980863,0.9999667747
365,28.20147485,0.9999670393
366,30.24575721,0.9999673226
367,27.90370799,0.9999675821
368,27.91980686,0.9999678449
369,25.85164496,0.9999680921
370,26.80266895,0.9999683449
371,27.21785311,0.9999686007
372,27.52635917,0.9999688616
373,26.88194133,0.9999691178
374,27.13317568,0.9999693825
375,26.87843162,0.9999696373
376,28.41221785,0.999969908
377,26.77289181,0.9999701692
378,28.94026946,0.9999704464
379,27.40454835,0.9999707138
380,27.59041924,0.9999709758
381,24.92250245,0.999971223
382,25.03944299,0.9999714693
383,25.3561797,0.9999717167
384,26.23704145,0.9999719743
385,24.32337792,0.9999722128
386,25.81527909,0.9999724714
387,26.58353748,0.9999727308
388,26.75297008,0.999972997
389,26.4187315,0.9999732612
390,26.15993676,0.9999735198
391,25.3510855,0.9999737762
392,25.09734251,0.9999740231
393,23.77344488,0.9999742635
394,23.35375727,0.9999745035
395,24.4407233,0.999974746
396,25.02808559,0.9999750011
397,24.77277061,0.9999752468
398,23.68660805,0.9999754949
399,24.50447638,0.9999757439
400,25.19251816,0.9999759995
401,24.73230353,0.9999762569
402,24.04386771,0.9999765005
403,23.76751028,0.9999767486
404,22.991353,0.9999769834
405,24.03783198,0.9999772304
406,22.31906116,0.9999774666
407,22.96005363,0.9999777018
408,22.23038128,0.9999779368
409,24.00169116,0.9999781831
410,22.83680497,0.9999784229
411,24.72391137,0.9999786859
412,19.66128813,0.9999788878
413,15.58865912,0.9999790431
414,15.24887439,0.9999791921
415,14.375546,0.9999793362
416,14.35072488,0.999979473
417,14.44123033,0.9999796097
418,14.58189005,0.9999797457
419,13.83357153,0.9999798784
420,14.31846858,0.9999800135
421,15.17646605,0.9999801544
422,15.47733749,0.9999802987
423,15.7652959,0.9999804428
424,15.67060542,0.9999805864
425,14.57179658,0.9999807199
426,16.23993349,0.9999808658
427,13.96342167,0.9999809936
428,15.08349414,0.9999811296
429,14.06205035,0.999981255
430,14.94332041,0.999981386
431,14.49880924,0.9999815133
432,14.52443872,0.9999816471
433,15.21000466,0.9999817799
434,15.69123996,0.9999819202
435,14.68993538,0.9999820468
436,16.23883137,0.9999821891
437,14.40068982,0.9999823165
438,16.47325852,0.9999824585
439,14.25436233,0.9999825841
440,14.90237224,0.9999827128
441,14.53564332,0.9999828385
442,14.52913442,0.9999829634
443,14.780282,0.9999830864
444,15.19477861,0.9999832206
445,14.53326835,0.9999833443
446,16.00352937,0.9999834822
447,15.01733646,0.9999836093
448,16.07061229,0.9999837402
449,15.22901949,0.9999838746
450,15.0554915,0.9999840021
451,14.6962098,0.999984127
452,14.50448253,0.9999842477
453,15.099118,0.9999843743
454,13.94806311,0.9999844925
455,14.79452874,0.9999846136
456,14.77153689,0.9999847391
457,14.95305031,0.9999848648
458,14.80921484,0.9999849875
459,15.70993542,0.9999851181
460,15.22414893,0.9999852415
461,15.90444187,0.9999853758
462,14.82962325,0.9999854967
463,15.53097658,0.9999856261
464,14.05733579,0.9999857421
465,15.12770254,0.9999858662
466,13.30000591,0.9999859768
467,15.09912736,0.999986098
468,14.43099884,0.9999862167
469,15.77947187,0.9999863462
470,14.88273481,0.9999864687
471,16.47253061,0.9999866033
472,15.22197951,0.9999867247
473,15.4953607,0.9999868511
474,14.13464657,0.9999869668
475,14.21892748,0.9999870832
476,14.81302512,0.9999872014
477,14.39923227,0.9999873155
478,14.27068784,0.9999874335
479,15.25561087,0.9999875549
480,14.99782053,0.999987677
481,14.79342107,0.9999877952
482,15.11578204,0.9999879177
483,15.63531142,0.9999880436
484,15.77042138,0.9999881668
485,14.45145773,0.9999882849
486,16.06619671,0.9999884099
487,14.4777835,0.9999885294
488,15.26554659,0.9999886519
489,14.29481717,0.9999887626
490,15.14121865,0.9999888839
491,14.84583837,0.9999890002
492,14.72895568,0.9999891184
493,14.66990872,0.9999892354
494,15.90456995,0.9999893594
495,15.35522747,0.9999894836
496,16.45061288,0.9999896107
497,13.87001388,0.999989722
498,15.88817962,0.9999898466
499,14.0341255,0.999989957
500,14.95742574,0.9999900755
501,14.50375798,0.9999901873
502,14.74475788,0.999990304
503,14.64953795,0.9999904177
504,15.10312156,0.9999905374
505,14.80740336,0.999990654
506,15.86281543,0.9999907766
507,14.62980458,0.9999908935
508,15.96732315,0.9999910166
509,14.93556639,0.9999911335
510,15.48131909,0.9999912527
511,14.81393365,0.9999913693
512,13.89543684,0.9999914786
