freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.051964632e+11,0.7799034686
1,1814729927,0.817002566
2,494319012.7,0.8372136056
3,711553397.8,0.873579883
4,174459423.9,0.8842794704
5,182772229.5,0.9029618227
6,74388458.23,0.9098051831
7,41690927.95,0.914918988
8,43205480.08,0.921101831
9,39449143.44,0.9267471301
10,20209298.12,0.9302588632
11,29245024.61,0.9350417855
12,23100758.18,0.9397643465
13,13805068.42,0.9430098923
14,13708091.99,0.9460925197
15,8244056.487,0.9481149499
16,11283579.35,0.9508830353
17,6084941.47,0.9526867828
18,8525191.192,0.9553010305
19,7373606.364,0.957562145
20,7913722.785,0.9600697774
21,4565507.381,0.9617497913
22,5223514.228,0.9635651525
23,4398540.437,0.9651387657
24,3616891.961,0.9665436497
25,4592804.977,0.9685153852
26,3007999.476,0.9698682418
27,2704975.254,0.9710018644
28,2158555.494,0.9719285531
29,2226767.686,0.9730210935
30,2218945.45,0.9740871147
31,1643229.515,0.9749605342
32,1546504.869,0.9757509264
33,1838349.292,0.9767280573
34,1479290.096,0.9775899427
35,1523229.947,0.9783995794
36,1250922.199,0.9791411963
37,1501189.604,0.9800158412
38,1337595.454,0.9808908775
39,1186746.72,0.9816429697
40,1339930.589,0.9824510521
41,964476.8617,0.9831214337
42,995735.5043,0.9837931862
43,863848.5327,0.9844289436
44,801398.6038,0.9849941656
45,735907.0682,0.9855056745
46,663166.5244,0.9860072955
47,619764.4529,0.9864697519
48,704686.8931,0.9870315913
49,575632.8004,0.9874787693
50,489093.9684,0.9878987148
51,491572.9867,0.9883057148
52,537529.9251,0.9887342817
53,477209.721,0.9891537789
54,554089.269,0.9896125395
55,402130.3173,0.9899989207
56,449437.8925,0.9903940047
57,387557.0614,0.9907505376
58,343356.8993,0.9910699182
59,341795.0357,0.9913913397
60,302940.8163,0.9916948023
61,341078.5878,0.992032982
62,314657.8457,0.9923481818
63,268345.011,0.9926224749
64,289802.9715,0.9929098148
65,273788.1321,0.9932120602
66,239182.2587,0.9934565441
67,189462.8402,0.9936618263
68,216836.4759,0.9939122827
69,175910.7108,0.994099285
70,182064.7371,0.9943077174
71,171678.709,0.9944954854
72,173097.717,0.9947078069
73,173289.9964,0.994913279
74,198955.9407,0.9951491835
75,158981.9473,0.9953425655
76,146181.2011,0.9955218712
77,142845.3656,0.9957029257
78,112392.1234,0.9958396369
79,129848.4537,0.9960042179
80,103029.3592,0.996141125
81,102292.1047,0.9962718243
82,84413.19781,0.9963874453
83,89378.08633,0.9965025579
84,86551.78997,0.9966211081
85,88632.02166,0.9967452254
86,83630.2798,0.9968614837
87,74587.85664,0.9969666965
88,89628.34897,0.9970867122
89,59863.90215,0.9971784984
90,74321.34622,0.9972833353
91,54145.25218,0.9973630327
92,63051.4895,0.9974564839
93,68326.70157,0.997558452
94,76981.49965,0.9976780576
95,90506.608,0.9978122011
96,53896.15354,0.9978948373
97,45504.74903,0.9979683285
98,54633.58288,0.9980532122
99,56730.42915,0.9981465727
100,79452.64513,0.9982700177
101,51351.58428,0.9983571508
102,50588.23128,0.9984404032
103,39731.54027,0.9985037583
104,44242.53644,0.9985797333
105,45794.47208,0.9986550966
106,41307.60361,0.998728565
107,34291.48924,0.9987874517
108,31189.42699,0.9988403738
109,24768.64406,0.998883667
110,27013.76577,0.9989311605
111,20355.87106,0.9989686133
112,20759.68288,0.999005748
113,19989.12336,0.9990421173
114,20558.75054,0.9990812042
115,19425.94069,0.9991169459
116,21310.52032,0.9991559373
117,18733.45372,0.9991911709
118,15312.37961,0.9992205963
119,17354.82016,0.9992541239
120,14381.23291,0.9992817599
