freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.152753083e+11,0.8441995144
1,2078333864,0.909400803
2,272829250.4,0.9265191486
3,93096875.82,0.9338207141
4,37834554.07,0.9373815399
5,26029568.74,0.9414645255
6,29536585.06,0.9456343105
7,18698085.86,0.9491538777
8,14681380.62,0.9523779577
9,6881564.329,0.953889172
10,7284774.757,0.9558317386
11,4403752.787,0.9569369715
12,3353909.007,0.9579891566
13,3007382.99,0.9590741508
14,3540285.966,0.9602958714
15,3132747.687,0.9614752345
16,2481829.351,0.962409551
17,2630342.848,0.9636060745
18,1479807,0.96430244
19,1680748.613,0.9650933642
20,1557605.944,0.9658507727
21,1741531.193,0.9668342053
22,1527485.402,0.9676488474
23,1075862.878,0.9682395051
24,1249983.884,0.9689845782
25,936765.7291,0.9696017288
26,667021.1407,0.9700620947
27,692755.573,0.9705076224
28,573659.387,0.9708855549
29,840302.0581,0.9715182399
30,759514.4272,0.9720781841
31,512491.8104,0.9724962081
32,577416.0544,0.9729490741
33,528838.1208,0.9733804312
34,524844.5962,0.9738496944
35,640256.9442,0.9743719324
36,529610.3754,0.9748537641
37,588439.2165,0.9753798871
38,533034.2149,0.9759150007
39,503415.3899,0.9764045867
40,549378.1156,0.9769130203
41,518633.207,0.9774662177
42,587819.2905,0.978074771
43,649949.257,0.9788088162
44,912541.4577,0.9797964878
45,827120.7299,0.9806787318
46,571226.3862,0.9813417888
47,587366.7323,0.9820143674
48,600688.38,0.9827493122
49,424869.9213,0.9832558133
50,444168.9145,0.9838410591
51,455665.9641,0.984420011
52,364233.4951,0.9848656523
53,405524.9969,0.9854127022
54,331168.9146,0.9858334728
55,378295.5913,0.9863912619
56,377998.1959,0.9869011784
57,434954.0367,0.9875152185
58,355011.9194,0.9880219702
59,371361.6604,0.988557885
60,312372.7804,0.9890380717
61,305650.8076,0.9895031308
62,305750.643,0.9899731378
63,291079.067,0.990429723
64,315167.3314,0.9909092619
65,321049.179,0.9914531457
66,268126.8132,0.9918737282
67,272550.278,0.9923269005
68,218950.2573,0.9927149925
69,196133.5002,0.9930349528
70,186887.7623,0.9933632822
71,184375.126,0.9936727368
72,176329.6757,0.9940046446
73,167436.9598,0.994309308
74,143056.7002,0.9945696097
75,128976.5706,0.994810361
76,124602.8244,0.9950449027
77,116733.478,0.9952719561
78,98065.27421,0.9954550075
79,105459.8145,0.9956601329
80,89871.17618,0.9958433959
81,86633.21543,0.9960132614
82,85873.63265,0.9961937607
83,83137.56835,0.9963580763
84,94224.62657,0.9965561287
85,77741.59761,0.9967231935
86,83619.6383,0.9969015783
87,69368.19094,0.997051737
88,71040.31782,0.9971977149
89,69569.85073,0.9973614053
90,61657.57083,0.997494873
91,56619.68057,0.9976227643
92,52304.98639,0.99774173
93,54021.2594,0.9978654467
94,51262.54854,0.9979876702
95,45764.07577,0.9980917589
96,44803.19547,0.998197176
97,38054.93943,0.9982914906
98,37763.25888,0.9983815282
99,32940.85035,0.9984647183
100,30552.9784,0.9985375647
101,30035.11779,0.9986157722
102,27754.56747,0.9986858646
103,26491.11043,0.9987506886
104,23864.78796,0.998813578
105,22925.9951,0.9988714762
106,20935.86776,0.9989286177
107,20513.64302,0.998982676
108,20160.03483,0.9990351701
109,18135.01864,0.9990838136
110,16650.54445,0.9991287365
111,15591.65288,0.9991727591
112,15109.64916,0.9992142357
113,15615.23281,0.999257835
114,14315.35049,0.9992996013
115,12783.6279,0.9993356955
116,12839.05043,0.9993717448
117,13135.32238,0.9994096561
118,11632.54219,0.99944396
119,11116.87171,0.9994769176
120,9699.10315,0.9995055199
121,9216.189803,0.9995321198
122,8854.477544,0.9995589257
