freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.388315261e+11,0.8695595236
1,1568195761,0.8944189875
2,341363498.5,0.9052417608
3,221261141.5,0.9140104896
4,167135510.7,0.9219589217
5,88798347.46,0.928997199
6,117031091.5,0.9373456375
7,67053306.94,0.9437233206
8,64742794.98,0.9509075628
9,37218258.47,0.9550375202
10,26804401.15,0.9586492605
11,22264108.36,0.9614727539
12,15581141.24,0.9639427186
13,9248001.264,0.9656286395
14,12230346.47,0.967761306
15,8303338.422,0.9693408272
16,7984559.557,0.970859708
17,6598856.381,0.9723765074
18,6363228.992,0.9738895819
19,3650919.799,0.9747577124
20,4204650.267,0.9757908379
21,3946928.51,0.9769170579
22,3312293.73,0.9778096833
23,2920830.987,0.9786199649
24,2777730.556,0.9794565983
25,2639815.942,0.9803353869
26,2107730.218,0.9810704577
27,2327050.237,0.9818266828
28,2603511.849,0.9826933859
29,1984684.143,0.9834484679
30,2050603.67,0.984212376
31,2326400.571,0.985171223
32,1737327.563,0.9858597377
33,1470816.531,0.986465948
34,1403632.73,0.9871000948
35,1167654.691,0.9875813543
36,1112821.942,0.9880929362
37,1008833.387,0.9885487167
38,992148.2487,0.9890520064
39,856507.4434,0.9894729116
40,802801.7125,0.9898483354
41,854288.4413,0.9903087774
42,798252.101,0.990726363
43,849444.2705,0.9912111253
44,646736.8835,0.9915648279
45,601217.9156,0.9918888706
46,499799.1349,0.9921820198
47,573292.7896,0.9925137316
48,551935.4224,0.9928549593
49,432778.4591,0.9931156591
50,397618.3511,0.9933803916
51,346305.6073,0.9936027257
52,357857.9694,0.9938239673
53,378806.7811,0.99408218
54,348997.3829,0.9943062423
55,281973.4267,0.9945163285
56,336284.0377,0.9947455557
57,283150.2249,0.9949475415
58,252649.0962,0.9951297718
59,308212.6496,0.9953545219
60,256543.4042,0.9955537949
61,260351.9857,0.9957539626
62,209064.5571,0.9959163559
63,196642.1229,0.9960722171
64,175448.3254,0.9962071079
65,204124.1843,0.9963818428
66,181733.3906,0.9965258872
67,187083.8708,0.9966830695
68,141456.1714,0.9968097652
69,150209.3769,0.9969335855
70,120591.6946,0.997040638
71,154727.6834,0.997171862
72,120959.814,0.9972869113
73,134305.7766,0.9974103963
74,131173.3842,0.9975310012
75,114051.4409,0.9976385757
76,111645.0508,0.9977447654
77,107982.9704,0.9978508954
78,102079.5832,0.9979471779
79,78388.48274,0.9980242213
80,74687.25742,0.9981011789
81,82722.98626,0.9981831381
82,74026.70966,0.998261762
83,73932.18169,0.9983355976
84,68003.27154,0.998407824
85,55017.25768,0.9984675662
86,52992.83318,0.99852469
87,54526.72801,0.9985843317
88,50129.6811,0.9986363826
89,48297.60039,0.9986938046
90,48139.08742,0.9987464594
91,41852.41167,0.9987942282
92,45115.61235,0.9988460791
93,36890.9492,0.9988887699
94,34516.18247,0.9989303541
95,35996.02174,0.9989717239
96,38535.12865,0.9990175391
97,30473.77417,0.9990557023
98,28996.97363,0.9990906371
99,29102.8927,0.9991277755
100,29214.88776,0.9991629728
101,31368.43149,0.9992042455
102,26097.09408,0.9992375482
103,25195.78798,0.9992687022
104,20411.01044,0.9992958813
105,20645.63842,0.9993222274
106,22632.50303,0.9993534409
107,23230.14685,0.999384374
108,17878.97908,0.999407898
109,20369.00002,0.9994355055
110,15462.07239,0.9994565849
111,14389.07057,0.9994771139
112,14093.00335,0.9994966619
113,11523.18927,0.9995129194
114,11942.87638,0.9995305263
115,11163.4504,0.9995464533
116,10214.70193,0.9995609457
117,9942.063136,0.9995754453
118,9906.594416,0.9995902072
119,8856.919953,0.9996034752
120,9634.980087,0.9996178324
121,7611.461306,0.9996289331
122,7549.155057,0.9996404813
123,7532.842396,0.9996527808
124,6881.274288,0.9996630347
125,7596.004369,0.9996751965
126,6382.388162,0.9996847576
127,6208.711328,0.9996947967
128,5135.249371,0.9997031814
129,5168.498183,0.9997112518
130,4800.804921,0.9997192426
131,5884.909365,0.9997286649
132,4367.328744,0.9997361419
133,4237.598087,0.9997432289
134,4107.734102,0.9997497406
135,4048.703328,0.9997568006
136,3638.379879,0.9997629431
137,3629.545375,0.9997692146
138,3715.410136,0.9997755755
139,3131.454804,0.9997808623
140,3223.886585,0.9997866884
141,3020.960304,0.9997919083
142,2603.568883,0.9997965308
143,2643.146509,0.9998012445
144,2627.013818,0.9998059919
145,2507.124743,0.9998106419
146,2473.231478,0.9998150919
147,2210.3595,0.9998190863
148,2097.051338,0.9998230423
149,1933.915986,0.9998266598
150,1938.903468,0.999830302
151,1739.15995,0.9998334725
152,1626.115425,0.9998366174
153,1467.871916,0.9998393748
154,1699.66626,0.9998427427
155,1534.698802,0.9998456621
156,1429.641296,0.999848427
157,1355.817502,0.9998511674
158,1218.793987,0.9998534858
159,1223.715932,0.9998559107
160,1068.116449,0.9998580356
161,1198.968737,0.9998605445
162,915.8483454,0.9998624028
163,996.3907369,0.9998643693
164,855.4393637,0.9998661322
165,958.4307853,0.9998680921
166,713.9095211,0.9998696199
167,956.1372246,0.9998715676
168,697.0951827,0.9998729821
169,801.3021817,0.9998747223
170,750.6331149,0.9998763228
171,699.2494242,0.9998778192
172,762.3094884,0.9998794264
173,639.1050115,0.9998808346
174,641.9969117,0.9998822442
175,639.6659186,0.9998836131
176,590.3119402,0.9998849138
177,559.5456991,0.9998861157
178,499.5465428,0.9998872561
179,507.4074581,0.9998883982
180,549.0323945,0.9998896037
181,487.2020468,0.9998907081
182,446.8982401,0.9998917424
183,501.5663986,0.9998929112
184,434.5553886,0.9998938722
185,524.3988356,0.9998950859
186,401.8858061,0.9998960415
187,416.9502234,0.9998970098
188,406.5861208,0.9998979637
189,415.346507,0.999898925
190,373.2379894,0.9998998066
191,398.1510197,0.9999007754
192,324.4189529,0.9999015314
193,337.5505376,0.9999023661
194,336.1992297,0.9999031629
195,303.9264102,0.9999039145
196,323.2976098,0.999904714
197,323.0969824,0.9999054976
198,294.6730818,0.9999062333
199,282.2359464,0.9999069224
200,288.5625104,0.9999076634
201,281.513959,0.9999083529
202,259.7637553,0.9999089911
203,256.034724,0.9999096649
204,251.50609,0.9999102968
205,242.5199206,0.9999109312
206,230.6615549,0.9999115089
207,217.6943577,0.9999120714
208,225.4368841,0.9999126628
209,229.7732192,0.9999132566
210,225.649797,0.9999138432
211,224.9318101,0.999914444
212,226.5526368,0.9999150438
213,202.0430721,0.9999155819
214,221.6760877,0.9999161722
215,223.9058674,0.9999167596
216,206.5278564,0.999917326
217,203.6225049,0.9999178812
218,204.5207814,0.9999184308
219,199.0790305,0.9999189767
220,193.0826488,0.9999195063
221,189.9507107,0.9999200317
222,196.6395456,0.9999205866
223,204.95639,0.9999211454
224,184.7810283,0.9999216697
225,187.8254152,0.9999221893
226,184.5232779,0.99992271
227,183.1314918,0.9999232238
228,177.8907996,0.9999237356
229,171.2456781,0.9999242433
230,180.0132857,0.9999247426
231,184.0204603,0.9999252677
232,173.1925485,0.999925766
233,172.380806,0.9999262688
234,162.9538444,0.9999267571
235,173.4149863,0.9999272533
236,155.6812516,0.9999277098
237,170.2593842,0.9999282226
238,160.5863893,0.9999286847
239,159.3724339,0.9999291697
240,160.0128318,0.9999296339
241,154.9218119,0.9999301153
242,154.5759329,0.9999305894
243,157.9632066,0.9999310627
244,150.2001846,0.9999315246
245,155.8095134,0.9999319853
246,138.5720617,0.999932429
247,143.9851475,0.9999328695
248,150.0007691,0.9999333237
249,143.0748715,0.9999337671
250,143.9889325,0.9999342099
251,137.4922601,0.9999346458
252,142.4511588,0.9999350918
253,138.4375366,0.9999355285
254,133.8408608,0.9999359571
255,133.2091084,0.9999363858
256,133.7663786,0.9999368088
257,133.0289672,0.9999372285
258,128.4971587,0.9999376501
259,135.4503137,0.9999380849
260,132.8262884,0.9999385166
261,127.4605919,0.9999389308
262,128.063599,0.999939348
263,118.9972353,0.9999397384
264,126.453626,0.9999401494
265,121.0645945,0.9999405582
266,124.3069868,0.999940969
267,130.3781895,0.9999413989
268,117.516756,0.9999417976
269,123.3328585,0.9999422072
270,114.3438756,0.9999425896
271,119.4961178,0.9999429988
272,121.1753063,0.9999434137
273,120.5657765,0.9999438218
274,127.9617796,0.9999442498
275,120.4590588,0.9999446718
276,111.5363238,0.9999450528
277,115.5174176,0.9999454557
278,123.4685766,0.9999458804
279,102.6986105,0.9999462361
280,111.2256185,0.9999466293
281,105.636149,0.9999469944
282,114.6258701,0.9999473977
283,109.5866771,0.9999477825
284,109.6448258,0.9999481771
285,112.8566104,0.9999485796
286,113.3058545,0.9999489757
287,98.08544234,0.9999493286
288,108.4938943,0.9999497173
289,102.4860493,0.9999500894
290,98.77181018,0.9999504534
291,106.5007641,0.9999508231
292,91.84401066,0.9999511697
293,99.17693183,0.9999515305
294,96.09978552,0.9999518824
295,96.68057369,0.9999522349
296,95.74054822,0.9999525931
297,88.8519281,0.9999529262
298,107.0271171,0.9999533147
299,96.7776632,0.9999536737
300,97.95662775,0.9999540394
301,93.89862952,0.9999543907
302,94.72968893,0.9999547571
303,86.86864204,0.9999550786
304,97.42654849,0.9999554446
305,81.72565994,0.9999557621
306,99.16101062,0.9999561346
307,87.2356058,0.9999564699
308,92.98601741,0.9999568193
309,85.04083351,0.9999571604
310,90.96971792,0.9999575072
311,87.49269291,0.999957847
312,86.62186025,0.9999581793
313,86.41322512,0.9999585163
314,80.97596181,0.9999588417
315,85.97400216,0.9999591783
316,82.97917291,0.9999595019
317,85.75604513,0.9999598411
318,81.92592626,0.9999601684
319,82.21236224,0.9999604929
320,80.86665935,0.9999608114
321,81.46147344,0.9999611368
322,80.23097561,0.9999614637
323,77.16856224,0.9999617756
324,83.90355346,0.9999621075
325,76.90651856,0.999962422
326,76.38183716,0.9999627344
327,76.23441624,0.9999630492
328,77.31935214,0.9999633679
329,77.15078489,0.9999636786
330,76.45181231,0.9999639949
331,76.2419096,0.9999643049
332,74.53460098,0.9999646097
333,72.45552474,0.9999649198
334,74.77433848,0.9999652274
335,73.98189411,0.9999655382
336,72.76465125,0.9999658393
337,75.01911002,0.9999661473
338,68.04854962,0.9999664445
339,74.17288106,0.9999667561
340,70.30482296,0.9999670592
341,70.92663878,0.9999673577
342,70.58648098,0.9999676531
343,66.6544145,0.9999679469
344,72.42864648,0.9999682494
345,68.63217401,0.9999685508
346,70.46320445,0.9999688513
347,68.95562701,0.9999691508
348,68.27038648,0.9999694457
349,70.68592828,0.9999697471
350,67.00187409,0.9999700424
351,66.9556398,0.999970338
352,66.13145743,0.9999706294
353,65.98442191,0.9999709212
354,67.01687028,0.9999712113
355,65.18187449,0.9999715052
356,66.33474133,0.9999717944
357,62.18975269,0.9999720774
358,65.99707409,0.9999723687
359,66.34160502,0.9999726611
360,63.04065938,0.9999729499
361,65.34114349,0.9999732384
362,62.50053213,0.9999735237
363,63.37862224,0.999973805
364,62.10042127,0.9999740925
365,62.75066299,0.9999743795
366,61.00743244,0.999974658
367,61.48886498,0.9999749368
368,61.58841367,0.9999752194
369,61.47345906,0.9999755059
370,60.99818648,0.9999757863
371,62.6167136,0.9999760732
372,59.5968036,0.9999763486
373,60.36089663,0.9999766289
374,57.73851055,0.9999769035
375,60.28933191,0.9999771821
376,59.76770051,0.9999774597
377,58.05690183,0.9999777358
378,60.66008393,0.999978019
379,59.30523664,0.9999783011
380,60.20126967,0.9999785797
381,57.64263899,0.9999788584
382,56.34024395,0.9999791286
383,59.11093938,0.9999794097
384,57.87853584,0.9999796868
385,57.70268763,0.9999799626
386,55.82986605,0.9999802352
387,56.16580607,0.9999805023
388,56.46392848,0.9999807762
389,56.10176952,0.9999810496
390,56.99452547,0.9999813243
391,55.63001228,0.9999815986
392,55.42770537,0.9999818643
393,55.74698782,0.9999821392
394,53.17930243,0.9999824056
395,57.07321591,0.9999826815
396,54.33399295,0.9999829515
397,56.62586651,0.9999832253
398,52.5073763,0.9999834933
399,56.1168774,0.9999837713
400,53.45984461,0.9999840358
401,53.48640761,0.9999843071
402,53.3759657,0.9999845706
403,52.73221248,0.999984839
404,52.94392494,0.9999851025
405,55.59011732,0.999985381
406,51.87236509,0.9999856486
407,53.8391049,0.9999859175
408,51.86954325,0.9999861847
409,54.26411851,0.9999864561
410,53.33056972,0.9999867292
411,52.68391544,0.9999870023
412,36.29541203,0.999987184
413,18.84761324,0.9999872755
414,17.81721264,0.9999873604
415,18.44212735,0.9999874505
416,18.73436614,0.9999875375
417,19.17907345,0.9999876261
418,19.03771405,0.9999877126
419,18.53201189,0.9999877993
420,17.91045814,0.9999878816
421,19.19532112,0.9999879685
422,18.85016915,0.9999880542
423,18.5661602,0.9999881369
424,18.24412395,0.9999882184
425,18.73578324,0.999988302
426,18.99974564,0.9999883852
427,18.67698818,0.9999884686
428,18.49736466,0.9999885499
429,18.72018199,0.9999886313
430,19.14811802,0.9999887131
431,19.23901374,0.9999887954
432,18.93686087,0.9999888804
433,19.38883731,0.999988963
434,18.21955614,0.9999890424
435,19.14915689,0.9999891228
436,19.13694456,0.9999892046
437,17.80750884,0.9999892814
438,19.18572637,0.999989362
439,18.77718601,0.9999894426
440,18.77452924,0.9999895217
441,19.2448449,0.9999896028
442,18.87551131,0.9999896819
443,19.36546038,0.9999897605
444,17.53043754,0.9999898359
445,18.96871643,0.9999899146
446,18.82105218,0.9999899937
447,18.87293781,0.9999900716
448,19.48391932,0.9999901489
449,18.8914836,0.9999902302
450,18.24381286,0.9999903055
451,18.95957397,0.999990384
452,18.97008341,0.999990461
453,18.41509791,0.9999905362
454,18.48038441,0.9999906126
455,18.79508598,0.9999906876
456,18.49666356,0.9999907642
457,19.14709178,0.9999908426
458,18.38858512,0.9999909169
459,18.79219428,0.9999909931
460,19.76559953,0.9999910712
461,18.41768029,0.9999911469
462,19.12425175,0.999991223
463,18.70267747,0.9999912989
464,18.14894041,0.9999913719
465,18.33109368,0.9999914452
466,18.44402605,0.99999152
467,19.0771864,0.9999915946
468,18.87684513,0.9999916703
469,18.85600307,0.9999917457
470,18.11866112,0.9999918185
471,18.63729366,0.9999918927
472,19.05777967,0.9999919668
473,18.6672707,0.999992041
474,17.8829653,0.9999921124
475,18.95325999,0.999992188
476,18.67889669,0.9999922606
477,18.60906669,0.9999923325
478,18.58889141,0.9999924075
479,19.01261891,0.9999924812
480,17.95100208,0.9999925524
481,18.88059129,0.999992626
482,18.46054572,0.9999926989
483,18.79580248,0.9999927727
484,18.78959992,0.9999928442
485,17.96389835,0.9999929158
486,19.27347352,0.9999929889
487,18.03035082,0.9999930614
488,18.03198049,0.9999931319
489,19.1313954,0.9999932042
490,18.80149549,0.9999932776
491,18.61916542,0.9999933487
492,18.38847152,0.9999934206
493,18.19880266,0.9999934914
494,18.89650453,0.9999935632
495,18.43175318,0.9999936359
496,18.53482086,0.9999937057
497,18.18662776,0.9999937768
498,18.66917068,0.9999938482
499,18.82893713,0.9999939204
500,18.69349589,0.9999939926
