freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.949657136e+11,0.7011608656
1,2298002558,0.7672758531
2,278449318.6,0.7832981792
3,299217135.3,0.8048198449
4,275972448.1,0.8286395507
5,101075987.6,0.8431796512
6,56975165.52,0.8505561033
7,55892956.25,0.8602045575
8,35594038.2,0.8673729985
9,42102946.28,0.8758522973
10,34387886.3,0.8842618679
11,24933193.37,0.8900006179
12,17735792.52,0.8951033176
13,16015214.44,0.9004021479
14,14103352.05,0.9048655339
15,15644101.75,0.9102666223
16,10457837.7,0.9138771656
17,10599072.74,0.918298825
18,10879570.03,0.9229940067
19,7677508.695,0.9263073084
20,7818760.437,0.929794044
21,5155685.056,0.9324640258
22,6375400.583,0.9355822391
23,5148402.573,0.938174388
24,5030741.5,0.9409244027
25,2881739.026,0.9426655013
26,2690768.267,0.9443686336
27,3412703.012,0.9463814389
28,3245377.455,0.9483422417
29,1879190.509,0.9496398137
30,2883792.481,0.9515895743
31,2037669.319,0.9531138252
32,1815277.351,0.9544194922
33,1910141.302,0.9558483475
34,2119035.852,0.9575858785
35,1789672.961,0.9589246191
36,1997636.55,0.9605913439
37,1667545.068,0.9619586692
38,1798473.364,0.9636144521
39,1854210.959,0.9652682036
40,1290543.195,0.9663635311
41,1516750.934,0.9678472191
42,1349649.142,0.9691286177
43,1142223.465,0.9703116674
44,1195757.848,0.9714985609
45,947654.9978,0.9724255584
46,962707.1205,0.9734503731
47,1003380.708,0.9745040513
48,876334.587,0.9754873467
49,681021.3257,0.9762318964
50,635396.9491,0.9769996888
51,743531.8766,0.9778660601
52,717012.8863,0.9786705877
53,681238.8611,0.9795133737
54,930564.6158,0.9805976775
55,615736.9586,0.9814302891
56,637518.5239,0.982218987
57,542798.0325,0.9829217359
58,558292.5997,0.9836525766
59,440094.1405,0.9842350188
60,422709.8637,0.9848309386
61,451520.9595,0.98546098
62,355352.2229,0.9859619417
63,411355.601,0.9865536897
64,396174.2781,0.9871065017
65,422125.3777,0.9877623217
66,404791.679,0.9883446273
67,336880.6209,0.9888583175
68,289834.2167,0.9893294549
69,272111.1274,0.989736553
70,241834.1114,0.9901261853
71,239877.2718,0.9904954113
72,278185.3718,0.9909756255
73,211559.0315,0.9913286533
74,241801.011,0.9917321459
75,255125.9059,0.9921688838
76,160002.93,0.9924450869
77,182156.9307,0.9927700147
78,164811.5026,0.9930521477
79,143499.9407,0.9933081199
80,148179.9885,0.99358523
81,152345.2745,0.9938591719
82,127702.5068,0.9941053354
83,131208.8977,0.994343158
84,111157.0047,0.9945574279
85,111345.4588,0.9947768662
86,119585.2921,0.9950108232
87,124845.0163,0.9952586623
88,120322.4652,0.9954854071
89,85873.7131,0.9956707052
90,112348.3485,0.9958937362
91,77169.66323,0.996053592
92,113123.4649,0.996289553
93,87433.03051,0.9964731847
94,88603.14575,0.9966669215
95,84946.00956,0.9968441079
96,62968.0863,0.9969799803
97,59159.94934,0.9971144438
98,55073.3284,0.9972348654
99,54860.80033,0.9973619249
100,63638.4582,0.9975010748
101,53851.4047,0.9976296699
102,41020.17157,0.9977246741
103,49567.31024,0.9978359086
104,44878.94218,0.997944369
105,52779.69749,0.9980666087
106,40144.83664,0.998167093
107,32430.95029,0.9982454699
108,38710.57179,0.9983379093
109,29512.15008,0.998410506
110,29220.78587,0.9984828062
111,25682.1265,0.9985493064
112,26953.25082,0.9986171593
113,20215.62084,0.9986689232
114,22715.54085,0.9987297024
115,19948.76326,0.9987813569
116,20511.25464,0.9988341728
117,17936.13067,0.9988816479
118,15523.1583,0.9989236294
119,16067.10926,0.998967313
120,13139.46187,0.9990028479
