freq_radius,radial_mean_power,cumulative_energy_fraction
0,5.858161527e+11,0.9246171621
1,819876628.2,0.9349695158
2,490445222.4,0.9473549461
3,237725045.5,0.9548591659
4,99667024.45,0.9586345691
5,62487847.96,0.9625796523
6,25991732.88,0.9640565089
7,36385171.77,0.9668130615
8,24701619.18,0.9689963647
9,35629629.77,0.9721455625
10,21843173.93,0.9744899277
11,11999305.08,0.9757020228
12,12460179.67,0.9772753349
13,7452501.553,0.9783574925
14,14501768.3,0.9803717002
15,8647035.001,0.9816819046
16,7090025.704,0.98275619
17,5411339.49,0.9837469383
18,3984199.199,0.9845015489
19,5580431.295,0.9855584872
20,3544426.972,0.9862521818
21,3059326.866,0.9869475086
22,3433409.911,0.9876845047
23,2120384.095,0.9881530409
24,2446190.559,0.9887399009
25,1983529.705,0.9892658559
26,1167422.592,0.9895901518
27,1721161.053,0.9900356705
28,1574184.753,0.9904530831
29,1614995.907,0.9909424936
30,1637969.042,0.9914285248
31,1186448.239,0.9918180295
32,1469080.484,0.9922817713
33,1062592.991,0.992630615
34,892616.4186,0.9929518333
35,748302.4465,0.9931974971
36,787045.3976,0.9934856934
37,1026814.85,0.9938552046
38,802235.3202,0.9941793518
39,701496.9544,0.9944539376
40,521823.6328,0.9946483108
41,737624.7421,0.9949649794
42,534148.7112,0.9951875494
43,505828.9774,0.9954174801
44,511258.727,0.9956401955
45,379693.5077,0.9958032012
46,392124.0087,0.9959863971
47,286818.7778,0.9961185848
48,271869.0874,0.9962524646
49,273035.0683,0.996383471
50,265912.2821,0.9965244902
51,292483.5441,0.9966740611
52,275329.0106,0.9968096447
53,268195.7967,0.9969552614
54,237195.2085,0.9970765588
55,190653.4826,0.9971897032
56,210588.4744,0.997304042
57,212801.5023,0.9974249564
58,164133.6791,0.9975192538
59,179285.3903,0.9976233879
60,234270.5185,0.9977683333
61,167232.1632,0.9978707456
62,122795.4177,0.9979467203
63,138923.0886,0.9980344274
64,124445.8574,0.9981106376
65,129033.4794,0.9981986181
66,127427.0128,0.9982790674
67,88863.22492,0.9983385361
68,99858.13394,0.9984097759
69,101388.5904,0.9984763466
70,91826.70516,0.9985412769
71,97865.65143,0.9986073881
72,79961.84628,0.9986679674
73,74531.11361,0.9987225503
74,71302.31651,0.9987747685
75,72314.01408,0.9988290973
76,60927.74293,0.9988752563
77,53335.54039,0.9989170104
78,54520.20125,0.9989579709
79,47285.79196,0.9989949889
80,52949.78674,0.9990384468
81,49450.57257,0.9990774717
82,47485.1201,0.9991176436
83,45786.58964,0.9991540661
84,46558.0974,0.9991934538
85,42835.78975,0.9992305038
86,37022.16601,0.9992622916
87,43059.89806,0.9992998073
88,35028.63946,0.9993287777
89,33646.90336,0.9993606415
90,30988.5957,0.9993876401
91,30454.70217,0.9994153272
92,25243.95817,0.9994384365
93,29798.29996,0.9994659031
94,20884.74108,0.9994859447
95,23968.32297,0.9995078862
96,22393.25861,0.9995290927
97,23300.59002,0.9995523353
98,22344.86995,0.9995737781
99,18204.13265,0.9995922818
100,16454.95916,0.9996080724
101,15865.13831,0.9996246994
102,16922.11672,0.9996418999
103,16094.04968,0.9996577507
104,13176.82691,0.9996717266
105,11878.90308,0.9996838009
106,12469.36778,0.9996974988
107,14164.5002,0.9997125223
108,12557.65479,0.999725683
109,10991.50714,0.9997375492
110,9074.989604,0.9997474038
111,8401.041806,0.9997569507
112,9661.740218,0.9997676254
113,7457.042937,0.9997760055
114,6782.2838,0.9997839698
115,6829.757989,0.9997917312
116,5504.63025,0.9997979519
117,6095.518961,0.9998050328
118,5663.022757,0.9998117543
119,5484.320985,0.9998182984
120,4816.325628,0.9998240149
121,4979.28547,0.9998297991
122,5119.143728,0.9998360367
123,4678.99661,0.999842122
124,4323.250231,0.9998472533
125,4825.093683,0.9998534067
126,5997.796315,0.9998605635
127,4946.664522,0.9998669344
128,4564.987293,0.9998728714
129,3332.815574,0.9998770165
130,3705.480883,0.9998819293
131,2728.54984,0.999885409
132,3371.418941,0.9998900065
133,3110.426144,0.99989415
134,2689.309171,0.9998975457
135,2411.230744,0.9999008948
136,2174.180225,0.9999038185
137,2727.821681,0.9999075728
138,1730.59804,0.9999099328
139,1973.353469,0.9999125865
140,1646.230026,0.9999149561
141,1654.329221,0.999917233
142,1833.317103,0.9999198257
143,1402.764145,0.9999218183
144,1660.129742,0.999924208
145,1236.045902,0.999926034
146,1328.876014,0.9999279385
147,1145.099226,0.9999295868
148,1278.329899,0.9999315076
149,1035.872013,0.999933051
150,1393.434152,0.9999351359
151,1040.419115,0.9999366467
152,962.6737103,0.9999381297
153,1045.560411,0.9999396941
154,751.4890521,0.9999408802
155,1189.171613,0.999942682
156,670.2412897,0.9999437145
157,818.1273636,0.9999450316
158,702.6675748,0.9999460963
