freq_radius,radial_mean_power,cumulative_energy_fraction
0,3.809411849e+11,0.9024615759
1,387173210,0.9097993794
2,442018096.9,0.9265538544
3,137151127.2,0.9330521606
4,84689005.27,0.9378673022
5,43286302.69,0.9419691664
6,57339044.76,0.946859334
7,36477646.57,0.9510073349
8,25997305.13,0.9544562869
9,16800184.79,0.956685096
10,11913322.78,0.9586042623
11,7210776.377,0.9596975458
12,7232730.274,0.9610683109
13,8568038.216,0.9629357224
14,7111034.571,0.9644181935
15,5730826.735,0.9657215383
16,5800824.833,0.9670408025
17,5858881.683,0.9686508678
18,4223605.217,0.9698515702
19,4651108.24,0.9711738047
20,4618377.284,0.9725304986
21,2618025.748,0.9734236132
22,3648414.905,0.9745990897
23,3060508.629,0.9756141513
24,2857761.595,0.9766432106
25,2991464.284,0.9778338051
26,2504456.224,0.9788780369
27,1983267.441,0.9796485782
28,2115605.69,0.9804905835
29,1705867.076,0.9812665039
30,1967746.958,0.9821428949
31,1653986.717,0.9829579109
32,1492754.8,0.9836651875
33,1378262.473,0.984344338
34,1279205.627,0.985035287
35,1362463.081,0.9857066523
36,1175138.892,0.9863525266
37,908294.9589,0.9868431322
38,889258.143,0.9873824424
39,722052.9032,0.9878066627
40,680902.7162,0.9881873496
41,705245.0643,0.9886417929
42,629848.4592,0.9890357154
43,570947.9778,0.9894252624
44,595734.448,0.9898147849
45,556413.9583,0.990173325
46,484096.7688,0.9905127897
47,451836.7222,0.990825351
48,402850.3895,0.9911231129
49,531289.7813,0.9915057401
50,442135.8254,0.9918576778
51,384580.4595,0.9921528688
52,325505.5648,0.9923934622
53,305652.0548,0.9926425524
54,351630.7312,0.9929124522
55,295477.9323,0.9931756509
56,313623.0162,0.9934312369
57,273593.3621,0.9936645714
58,286901.332,0.9939119742
59,283455.9761,0.9941590922
60,266180.3671,0.9944062833
61,237395.2918,0.9946244933
62,254770.8122,0.9948610888
63,210970.9304,0.9950610075
64,228771.5085,0.9952712906
65,211501.1049,0.9954877454
66,230780.6416,0.995706436
67,172723.2601,0.9958799312
68,134355.3772,0.9960237993
69,142318.829,0.9961640569
70,149637.8916,0.9963228715
71,128023.8056,0.9964526806
72,129934.5709,0.9966004338
73,134056.9787,0.9967477933
74,134804.7454,0.9968959748
75,101919.9308,0.9970109057
76,91463.77432,0.9971149124
77,91457.0328,0.997222378
78,96486.97563,0.9973311824
79,109368.5842,0.9974596948
80,89160.58375,0.9975695314
81,76277.10734,0.9976598828
82,74364.4459,0.9977543108
83,69985.55247,0.997837873
84,70192.5777,0.9979270036
85,68718.72846,0.9980162162
86,67761.10366,0.9981035436
87,54885.81155,0.998175318
88,47357.29107,0.9982341061
89,62285.19328,0.9983226394
90,60185.92393,0.9984013449
91,55408.68092,0.9984769534
92,59825.19528,0.9985591555
