freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.114046043e+11,0.8427771364
1,1421102795,0.8660665781
2,387420566.3,0.8787648976
3,403138105.5,0.895281756
4,290482764.8,0.9095633015
5,114775645.7,0.9189681831
6,75551098.94,0.9245398723
7,46934892.92,0.9291549676
8,31538015.34,0.9327729461
9,23650396.83,0.9354860727
10,18276006.1,0.9380319285
11,25791073.79,0.9414133008
12,32420694.3,0.9467264975
13,19885411.95,0.9504742079
14,9461329.094,0.9521798127
15,10855739.64,0.9543146965
16,14884196.01,0.9572418144
17,13786897.21,0.9605179972
18,7633473.498,0.9623944906
19,5749045.569,0.9638077458
20,6545942.395,0.965470536
21,6137346.586,0.9672809869
22,4101773.613,0.9684237447
23,3580907.869,0.9694507313
24,2572389.251,0.9702517154
25,3402279.54,0.9714226236
26,2837502.419,0.9724456634
27,2776993.46,0.9733786218
28,2471069.442,0.9742290504
29,2096664.385,0.9750537081
30,2068844.94,0.9758504715
31,2167474.239,0.9767740225
32,1756871.338,0.9774938253
33,1695279.294,0.9782161762
34,1315863.281,0.9788307715
35,1918237.564,0.9796481238
36,1661395.217,0.9804377191
37,1575328.205,0.9811735017
38,1271553.177,0.9818403362
39,1137430.088,0.9824181927
40,1170658.777,0.9829841529
41,1205099.399,0.9836556365
42,1116373.281,0.9842593862
43,955918.077,0.9848233572
44,851409.9468,0.9853047409
45,1087299.013,0.9859105859
46,932643.9381,0.9864761101
47,673658.6281,0.9868790741
48,703330.2872,0.9873286029
49,638380.7455,0.9877261577
50,653509.8633,0.9881759738
51,697793.5536,0.9886391173
52,598336.5202,0.98902154
53,552287.0216,0.9894107347
54,713747.6071,0.9898844673
55,537715.6348,0.9902986425
56,494712.5129,0.9906472646
57,463442.2894,0.9909890408
58,501872.3417,0.9913632705
59,375045.7138,0.9916460029
60,405166.691,0.9919713623
61,390873.0274,0.9922820407
62,363637.2738,0.9925740509
63,325220.5044,0.9928405413
64,387366.7687,0.9931484328
