freq_radius,radial_mean_power,cumulative_energy_fraction
0,4.965768154e+11,0.9356567095
1,970548699.2,0.9502864767
2,336639600.7,0.9604352905
3,168920968.9,0.9668009537
4,102481136.5,0.9714352657
5,49559231.07,0.9751704725
6,36991188.73,0.9776796471
7,16072226.79,0.9791332554
8,11054414.01,0.9802996724
9,9483302.281,0.9813003121
10,7756867.948,0.9822941725
11,6689096.579,0.9831008084
12,5252526.097,0.9838925588
13,5966490.656,0.9849268359
14,4744322.619,0.9857134957
15,3166319.55,0.9862862338
16,3247037.428,0.9868735725
17,2524211.519,0.9874252863
18,2047257.621,0.9878881828
19,2755254.096,0.9885111612
20,1887803.094,0.9889522321
21,1679156.714,0.9894078323
22,1627288.391,0.9898248298
23,1315916.901,0.9901719554
24,1176334.399,0.9905088581
25,971866.9166,0.9908165005
26,1098879.933,0.9911809128
27,979137.7591,0.9914834771
28,1141756.888,0.9918448978
29,765382.7938,0.9921217895
30,773981.4043,0.9923959586
31,736393.0315,0.9926845631
32,563475.0705,0.9928969046
33,565362.1649,0.9931184793
34,566629.7056,0.9933619038
35,553153.008,0.9935786935
36,430786.7746,0.9937670066
37,454987.3493,0.9939624695
38,446769.4552,0.9941779726
39,430012.8076,0.9943789111
40,389818.1554,0.9945522532
41,328621.1318,0.9947206735
42,347445.7272,0.9948935043
43,279485.7833,0.9950451682
44,268487.1344,0.995184793
45,256895.0035,0.9953164533
46,260726.1483,0.9954618673
47,265542.799,0.9956079664
48,272063.5361,0.9957679057
49,249270.3128,0.9959106879
50,251529.6681,0.9960699303
51,220762.6192,0.9962047026
52,204955.8709,0.9963251909
53,205170.4724,0.9964581761
54,223954.9838,0.9965948973
55,204810.0517,0.9967399979
56,148097.9647,0.9968359905
57,157762.3154,0.9969430033
58,148719.3707,0.9970450031
59,133469.4496,0.9971375495
60,154049.6666,0.9972513324
61,133331.2483,0.9973488075
62,108664.8612,0.9974290687
63,123003.303,0.9975217745
64,124744.451,0.997612972
65,100388.969,0.9976946866
66,96602.16524,0.9977674943
67,111843.9975,0.9978568472
68,101291.7265,0.9979431137
69,74795.50158,0.9980017409
70,81601.43421,0.9980706229
71,85247.49919,0.9981393702
72,72708.30038,0.9982051292
73,83090.08747,0.9982777728
74,71151.70851,0.998339979
75,71363.2597,0.9984039836
76,72751.10668,0.9984697814
77,67274.29713,0.9985326539
78,56265.05787,0.9985831172
79,63683.63117,0.998642634
80,58198.66463,0.9986996566
81,59194.41959,0.998755424
82,55320.61747,0.9988112944
83,55458.68423,0.9988639604
84,51443.08549,0.9989159148
85,48796.11136,0.9989662991
86,49769.96451,0.999017314
87,44568.00551,0.9990636685
88,40678.95162,0.999103832
89,33669.84954,0.9991418967
90,31597.26771,0.9991747605
91,31795.16596,0.9992092681
92,29425.51319,0.9992414255
93,28185.65326,0.9992724405
94,27264.74096,0.999303675
95,26465.82464,0.999332598
96,22846.40885,0.9993584265
97,21715.30102,0.9993842856
98,22305.07131,0.9994098384
99,24527.51061,0.9994396009
100,23719.11079,0.9994667735
101,18844.80216,0.9994903506
102,19891.394,0.9995144875
103,18938.45231,0.9995367543
104,15580.10114,0.9995564817
105,16350.16834,0.9995763216
106,15911.5055,0.9995971881
107,16750.88213,0.9996183979
